Date,Open,High,Low,Close,Adj Close,Volume
2012-07-10,5.125,5.155,4.95,5.005,4.457185,2104600
2012-07-11,5.05,5.05,4.95,5.0,4.452732,307400
2012-07-12,5.0,5.075,4.975,5.04,4.488354,177800
2012-07-13,5.035,5.1,4.99,5.08,4.523975,95400
2012-07-16,5.01,5.045,5.005,5.035,4.4839,109400
2012-07-17,5.045,5.045,5.0,5.02,4.470541,146000
2012-07-18,5.005,5.01,5.0,5.01,4.461636,157400
2012-07-19,5.01,5.045,5.005,5.045,4.492805,141000
2012-07-20,5.075,5.075,5.0,5.0,4.452732,104200
2012-07-23,5.0,5.08,5.0,5.08,4.523975,133600
2012-07-24,5.075,5.08,5.05,5.075,4.519523,39000
2012-07-25,5.08,5.08,5.05,5.05,4.497257,103600
2012-07-26,5.075,5.085,5.07,5.07,4.515069,167000
2012-07-27,5.07,5.07,5.05,5.06,4.506164,82200
2012-07-30,5.05,5.06,5.03,5.045,4.492805,55600
2012-07-31,5.025,5.06,5.025,5.03,4.479448,92400
2012-08-01,5.035,5.1,5.03,5.1,4.541787,186000
2012-08-02,5.075,5.125,5.075,5.115,4.555145,138400
2012-08-03,5.14,5.14,5.135,5.135,4.572955,41000
2012-08-06,5.14,5.14,5.1,5.125,4.56405,22800
2012-08-07,5.145,5.145,5.1,5.105,4.546237,44000
2012-08-08,5.1,5.14,5.095,5.14,4.577406,101400
2012-08-09,5.105,5.15,5.1,5.105,4.546237,77800
2012-08-10,5.1,5.175,5.1,5.15,4.586314,50400
2012-08-13,5.15,5.175,5.15,5.17,4.604124,6800
2012-08-14,5.175,5.175,5.15,5.17,4.604124,12000
2012-08-15,5.175,5.175,5.15,5.17,4.604124,12800
2012-08-16,5.11,5.17,5.11,5.17,4.604124,11000
2012-08-17,5.17,5.17,5.155,5.17,4.604124,2000
2012-08-20,5.17,5.17,5.17,5.17,4.604124,1000
2012-08-21,5.165,5.24,5.15,5.24,4.666462,68600
2012-08-22,5.3,5.385,5.285,5.33,4.746612,40000
2012-08-23,5.37,5.37,5.24,5.24,4.666462,7000
2012-08-24,5.25,5.31,5.25,5.31,4.728801,11000
2012-08-27,5.31,5.31,5.22,5.265,4.688726,55600
2012-08-28,5.31,5.35,5.3,5.3,4.719895,42000
2012-08-29,5.3,5.3,5.275,5.275,4.697632,2200
2012-08-30,5.34,5.35,5.275,5.35,4.764423,17200
2012-08-31,5.35,5.41,5.335,5.335,4.751062,23400
2012-09-04,5.265,5.335,5.265,5.335,4.751062,28600
2012-09-05,5.32,5.365,5.31,5.365,4.77778,90000
2012-09-06,5.34,5.355,5.335,5.355,4.768876,17800
2012-09-07,5.3,5.36,5.3,5.35,4.764423,1600
2012-09-10,5.345,5.35,5.295,5.35,4.764423,54400
2012-09-11,5.325,5.35,5.325,5.35,4.764423,18000
2012-09-12,5.35,5.355,5.35,5.35,4.764423,22200
2012-09-13,5.35,5.35,5.33,5.345,4.759969,40000
2012-09-14,5.365,5.365,5.34,5.355,4.768876,41000
2012-09-17,5.3,5.39,5.3,5.335,4.751062,9800
2012-09-18,5.265,5.39,5.265,5.39,4.800045,11400
2012-09-19,5.365,5.365,5.355,5.365,4.77778,1600
2012-09-20,5.36,5.415,5.36,5.415,4.822308,12000
2012-09-21,5.4,5.45,5.365,5.365,4.77778,34200
2012-09-24,5.395,5.45,5.385,5.45,4.853477,30800
2012-09-25,5.4,5.43,5.38,5.43,4.835667,18800
2012-09-26,5.38,5.38,5.38,5.38,4.79114,1600
2012-09-27,5.38,5.38,5.38,5.38,4.79114,0
2012-09-28,5.38,5.38,5.38,5.38,4.79114,0
2012-10-01,5.38,5.38,5.335,5.335,4.751062,13600
2012-10-02,5.35,5.35,5.35,5.35,4.764423,1400
2012-10-03,5.38,5.38,5.38,5.38,4.79114,200
2012-10-04,5.355,5.38,5.35,5.37,4.782233,7600
2012-10-05,5.39,5.395,5.38,5.38,4.79114,18400
2012-10-08,5.39,5.395,5.39,5.395,4.804499,4600
2012-10-09,5.375,5.375,5.375,5.375,4.786686,1800
2012-10-10,5.375,5.38,5.375,5.375,4.786686,7800
2012-10-11,5.395,5.395,5.375,5.375,4.786686,2400
2012-10-12,5.385,5.385,5.375,5.385,4.795591,9600
2012-10-15,5.375,5.425,5.375,5.425,4.831214,25200
2012-10-16,5.4,5.425,5.39,5.425,4.831214,22200
2012-10-17,5.42,5.47,5.42,5.47,4.871289,21600
2012-10-18,5.47,5.47,5.47,5.47,4.871289,0
2012-10-19,5.47,5.47,5.47,5.47,4.871289,0
2012-10-22,5.45,5.45,5.45,5.45,4.853477,600
2012-10-23,5.4,5.4,5.4,5.4,4.808949,1600
2012-10-24,5.45,5.465,5.45,5.465,4.866837,2000
2012-10-25,5.47,5.57,5.45,5.57,4.960342,39200
2012-10-26,5.525,5.525,5.425,5.5,4.898005,7600
2012-10-31,5.55,5.875,5.55,5.825,5.187432,130400
2012-11-01,5.875,6.0,5.875,6.0,5.343277,42800
2012-11-02,6.0,6.0,5.95,6.0,5.343277,29200
2012-11-05,5.97,6.0,5.97,5.995,5.338825,6600
2012-11-06,5.995,6.0,5.965,5.965,5.312107,10800
2012-11-07,5.965,5.965,5.965,5.965,5.312107,400
2012-11-08,5.965,5.965,5.96,5.965,5.312107,4400
2012-11-09,5.965,5.965,5.965,5.965,5.312107,0
2012-11-12,5.91,5.995,5.85,5.995,5.338825,6600
2012-11-13,5.945,6.0,5.945,6.0,5.343277,37200
2012-11-14,6.0,6.0,6.0,6.0,5.343277,1200
2012-11-15,6.0,6.0,5.95,5.95,5.298749,7000
2012-11-16,6.0,6.1,5.995,6.0,5.343277,53600
2012-11-19,6.0,6.12,5.99,6.105,5.436786,14000
2012-11-20,6.12,6.24,6.12,6.24,5.557009,20400
2012-11-21,6.235,6.495,6.235,6.29,5.601536,55800
2012-11-23,6.38,6.49,6.38,6.475,5.766288,5200
2012-11-26,6.295,6.485,6.295,6.485,5.775192,5200
2012-11-27,6.4,6.485,6.4,6.485,5.775192,8000
2012-11-28,6.28,6.465,6.28,6.465,5.757381,2200
2012-11-29,6.47,6.825,6.47,6.5,5.788549,27200
2012-11-30,6.53,6.545,6.53,6.545,5.828626,6200
2012-12-03,6.535,6.535,6.5,6.53,5.815266,10000
2012-12-04,6.505,6.535,6.5,6.51,5.797456,15800
2012-12-05,6.535,6.545,6.535,6.535,5.81972,5800
2012-12-06,6.54,6.655,6.5,6.65,5.922133,32000
2012-12-07,6.545,6.545,6.52,6.52,5.806361,7000
2012-12-10,6.52,6.52,6.52,6.52,5.806361,400
2012-12-11,6.32,6.5,6.32,6.475,5.766288,7800
2012-12-12,6.385,6.47,6.375,6.465,5.757381,4600
2012-12-13,6.505,6.51,6.45,6.495,5.784098,6400
2012-12-14,6.51,6.51,6.49,6.5,5.788549,30800
2012-12-17,6.475,6.51,6.475,6.5,5.788549,10400
2012-12-18,6.51,6.51,6.49,6.49,5.779645,10400
2012-12-19,6.495,6.495,6.49,6.495,5.784098,4000
2012-12-20,6.495,6.495,6.495,6.495,5.784098,0
2012-12-21,6.42,6.49,6.335,6.49,5.779645,10800
2012-12-24,6.475,6.495,6.47,6.47,5.761836,2400
2012-12-26,6.47,6.47,6.47,6.47,5.761836,0
2012-12-27,6.47,6.47,6.47,6.47,5.761836,0
2012-12-28,6.385,6.5,6.385,6.485,5.775192,17800
2012-12-31,6.255,6.485,6.255,6.485,5.775192,8400
2013-01-02,6.485,6.5,6.48,6.5,5.788549,58400
2013-01-03,6.495,6.5,6.405,6.5,5.788549,79200
2013-01-04,6.46,6.515,6.405,6.45,5.744023,28200
2013-01-07,6.465,6.545,6.465,6.53,5.815266,34200
2013-01-08,6.525,6.645,6.495,6.595,5.873154,25200
2013-01-09,6.595,6.64,6.59,6.595,5.873154,2600
2013-01-10,6.5,6.64,6.5,6.64,5.913226,7600
2013-01-11,6.635,6.635,6.535,6.535,5.81972,800
2013-01-14,6.53,6.595,6.53,6.595,5.873154,3200
2013-01-15,6.59,6.7,6.59,6.695,5.962207,7200
2013-01-16,6.605,6.89,6.605,6.82,6.073525,4800
2013-01-17,6.86,6.95,6.86,6.87,6.118053,3400
2013-01-18,6.945,7.005,6.92,7.0,6.233824,21200
2013-01-22,7.015,7.1,7.01,7.1,6.322878,10400
2013-01-23,7.125,7.14,7.055,7.055,6.282804,17400
2013-01-24,7.105,7.245,7.105,7.23,6.438649,4200
2013-01-25,7.25,7.255,7.13,7.15,6.367404,12600
2013-01-28,7.02,7.02,7.0,7.0,6.233824,4200
2013-01-29,7.005,7.045,6.975,7.025,6.256086,27600
2013-01-30,7.0,7.025,6.975,7.025,6.256086,7200
2013-01-31,7.025,7.19,7.0,7.125,6.345142,16000
