Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,4.6,4.71,4.57,4.66,4.200596,131400
2012-02-07,4.65,4.72,4.61,4.61,4.155527,180800
2012-02-08,4.64,4.79,4.61,4.69,4.227638,152600
2012-02-09,4.71,4.72,4.64,4.68,4.218625,103700
2012-02-10,4.6,4.62,4.46,4.46,4.020312,115800
2012-02-13,4.53,4.56,4.45,4.51,4.065384,189100
2012-02-14,4.49,4.54,4.4,4.44,4.002285,109400
2012-02-15,4.47,4.51,4.39,4.42,3.984257,166400
2012-02-16,4.42,4.61,4.42,4.58,4.128484,170300
2012-02-17,4.62,4.63,4.52,4.58,4.128484,109500
2012-02-21,4.57,4.6,4.47,4.53,4.083414,107800
2012-02-22,4.53,4.56,4.44,4.44,4.002285,145300
2012-02-23,4.44,4.58,4.4,4.58,4.128484,154300
2012-02-24,4.57,4.86,4.57,4.77,4.299751,375600
2012-02-27,4.73,4.85,4.7,4.78,4.308768,258800
2012-02-28,4.82,4.84,4.73,4.79,4.31778,204200
2012-02-29,4.8,4.84,4.7,4.7,4.236654,314300
2012-03-01,4.71,4.75,4.63,4.65,4.191583,324300
2012-03-02,4.66,4.67,4.33,4.33,3.903129,300700
2012-03-05,4.34,4.43,4.33,4.42,3.984257,193400
2012-03-06,4.38,4.43,4.27,4.27,3.849045,248900
2012-03-07,4.28,4.35,4.25,4.3,3.876087,153600
2012-03-08,4.33,4.34,4.25,4.33,3.903129,120900
2012-03-09,4.32,4.46,4.29,4.43,3.99327,135900
2012-03-12,4.42,4.44,4.34,4.37,3.939186,75700
2012-03-13,4.43,4.6,4.41,4.58,4.128484,262500
2012-03-14,4.55,5.8,4.55,5.78,5.210182,1629800
2012-03-15,5.72,5.77,5.37,5.53,4.984829,704500
2012-03-16,5.5,5.93,5.41,5.89,5.309337,845200
2012-03-19,5.9,5.94,5.72,5.73,5.165111,470900
2012-03-20,5.66,5.72,5.54,5.55,5.002856,275100
2012-03-21,5.6,5.67,5.39,5.49,4.948771,383500
2012-03-22,5.41,5.51,5.34,5.38,4.849616,210500
2012-03-23,5.38,5.38,5.26,5.34,4.813558,214200
2012-03-26,5.43,5.53,5.37,5.5,4.957787,248500
2012-03-27,5.51,5.63,5.44,5.45,4.912716,238300
2012-03-28,5.45,5.54,5.35,5.49,4.948771,243200
2012-03-29,5.44,5.64,5.4,5.55,5.002856,286200
2012-03-30,5.57,5.74,5.5,5.56,5.011871,297900
2012-04-02,5.54,5.93,5.49,5.9,5.318353,556100
2012-04-03,5.86,5.9,5.57,5.67,5.111026,379800
2012-04-04,5.59,5.63,5.51,5.55,5.002856,208900
2012-04-05,5.53,5.67,5.53,5.64,5.083983,270700
2012-04-09,5.49,5.56,5.29,5.31,4.786517,303300
2012-04-10,5.32,5.51,5.14,5.17,4.660318,381800
2012-04-11,5.25,5.43,5.22,5.31,4.786517,209200
2012-04-12,5.31,5.66,5.31,5.61,5.056941,202900
2012-04-13,5.56,5.59,5.4,5.42,4.885673,174100
2012-04-16,5.47,5.55,5.36,5.43,4.894687,106400
2012-04-17,5.51,5.65,5.43,5.58,5.0299,129200
