Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,17.0,17.75,15.5,16.200001,16.200001,9713500
2021-07-16,16.469999,16.65,15.87,16.1,16.1,1855100
2021-07-19,16.299999,16.309999,13.5,13.75,13.75,2686900
2021-07-20,13.71,14.149,13.6,13.96,13.96,1012200
2021-07-21,13.93,15.41,13.87,14.24,14.24,493200
2021-07-22,14.34,16.24,14.24,15.7,15.7,746800
2021-07-23,16.959999,17.028,15.04,15.15,15.15,1145800
2021-07-26,15.15,15.4,14.58,15.07,15.07,479000
2021-07-27,14.81,15.49,14.75,15.0,15.0,509900
2021-07-28,14.82,15.41,14.82,15.05,15.05,585600
2021-07-29,14.88,15.27,14.62,15.02,15.02,634600
2021-07-30,14.74,15.0,14.68,14.74,14.74,452100
2021-08-02,14.81,15.39,14.71,15.28,15.28,508200
2021-08-03,15.38,15.84,15.12,15.39,15.39,335500
2021-08-04,15.39,15.45,15.05,15.43,15.43,325800
2021-08-05,15.31,15.79,15.26,15.69,15.69,288600
2021-08-06,15.7,16.200001,15.69,16.02,16.02,295600
2021-08-09,16.0,16.379999,15.43,16.120001,16.120001,386400
2021-08-10,16.01,17.059999,16.01,16.73,16.73,497000
2021-08-11,16.799999,16.91,16.0,16.040001,16.040001,531100
2021-08-12,16.0,16.799999,16.0,16.190001,16.190001,548600
2021-08-13,16.190001,17.360001,16.02,17.280001,17.280001,314400
2021-08-16,17.200001,17.299999,15.36,15.39,15.39,338200
2021-08-17,15.29,15.3,13.035,13.56,13.56,708700
2021-08-18,13.61,13.97,13.15,13.22,13.22,421400
2021-08-19,13.2,13.72,12.98,13.6,13.6,373400
2021-08-20,13.6,13.87,13.1,13.46,13.46,221400
2021-08-23,13.35,14.86,13.31,14.15,14.15,312900
2021-08-24,14.43,14.775,14.18,14.42,14.42,154600
2021-08-25,14.28,14.44,13.86,14.04,14.04,257700
2021-08-26,13.85,14.0,13.41,13.55,13.55,306700
2021-08-27,13.99,15.61,13.47,15.51,15.51,720800
2021-08-30,15.48,15.5,14.1,14.13,14.13,392900
2021-08-31,14.01,14.23,13.07,13.56,13.56,642500
2021-09-01,13.56,14.425,13.25,14.33,14.33,512800
2021-09-02,14.33,15.17,14.14,14.8,14.8,414900
2021-09-03,14.72,14.9,14.209,14.25,14.25,359800
2021-09-07,14.48,14.85,13.65,14.2,14.2,411700
2021-09-08,13.95,14.42,13.72,14.23,14.23,260800
2021-09-09,14.25,14.99,14.21,14.52,14.52,341300
2021-09-10,14.45,14.51,13.745,14.07,14.07,386300
2021-09-13,14.23,14.45,13.83,14.44,14.44,239300
2021-09-14,14.47,15.18,14.15,14.25,14.25,284400
2021-09-15,14.1,14.64,14.05,14.4,14.4,424700
2021-09-16,14.29,15.2,14.29,15.17,15.17,741100
2021-09-17,15.1,15.24,13.86,14.0,14.0,3453700
2021-09-20,13.48,13.84,12.64,12.84,12.84,728200
2021-09-21,13.18,13.47,12.75,13.06,13.06,708200
2021-09-22,13.17,13.65,13.06,13.38,13.38,290300
2021-09-23,13.4,13.93,13.4,13.86,13.86,284400
2021-09-24,13.83,14.0,13.5,13.86,13.86,110600
2021-09-27,13.69,14.7,13.66,14.42,14.42,256600
2021-09-28,14.5,14.62,14.04,14.1,14.1,243400
2021-09-29,14.05,14.52,13.97,14.35,14.35,137100
2021-09-30,14.27,15.1,14.11,14.96,14.96,434000
2021-10-01,14.8,15.45,14.375,15.4,15.4,360500
2021-10-04,15.4,15.85,15.09,15.73,15.73,218900
2021-10-05,15.73,16.1,15.31,15.89,15.89,237300
2021-10-06,15.72,15.95,15.23,15.43,15.43,432700
2021-10-07,15.46,15.58,14.0,14.05,14.05,267100
2021-10-08,14.01,14.15,13.35,13.43,13.43,162800
2021-10-11,13.38,14.33,13.38,14.02,14.02,247300
2021-10-12,13.86,13.98,13.5,13.82,13.82,113800
2021-10-13,13.86,14.16,13.5,13.58,13.58,230600
2021-10-14,13.73,14.22,13.04,13.28,13.28,395500
2021-10-15,13.65,14.02,12.92,13.01,13.01,320900
2021-10-18,12.99,13.263,12.4,13.11,13.11,329400
2021-10-19,13.22,13.841,13.22,13.59,13.59,299900
2021-10-20,13.52,13.58,12.98,13.22,13.22,269100
2021-10-21,13.05,13.39,12.99,13.36,13.36,152200
2021-10-22,13.38,13.39,12.99,13.16,13.16,162300
2021-10-25,13.09,13.37,12.67,13.34,13.34,368800
2021-10-26,13.34,14.06,13.31,13.87,13.87,390600
2021-10-27,13.85,14.19,13.26,13.27,13.27,183300
2021-10-28,13.35,13.62,13.08,13.42,13.42,167100
2021-10-29,13.34,13.9,13.3,13.73,13.73,136300
2021-11-01,13.84,14.78,13.77,14.74,14.74,947100
2021-11-02,14.7,15.3,14.4,15.18,15.18,326200
2021-11-03,15.16,15.6,14.97,15.19,15.19,180200
2021-11-04,15.29,15.79,15.155,15.61,15.61,118300
2021-11-05,15.99,16.389999,15.49,16.01,16.01,258100
2021-11-08,16.120001,16.440001,15.865,16.290001,16.290001,141700
2021-11-09,16.129999,16.237,15.66,16.08,16.08,109900
2021-11-10,15.88,15.92,14.41,14.92,14.92,234700
2021-11-11,14.93,16.08,14.7,16.01,16.01,232900
2021-11-12,14.98,16.0,11.52,12.98,12.98,2259300
2021-11-15,13.0,13.13,11.6,11.72,11.72,944300
2021-11-16,11.76,11.8,10.77,10.83,10.83,589700
2021-11-17,10.9,11.37,10.59,10.68,10.68,418500
2021-11-18,10.97,11.035,10.18,10.32,10.32,270400
2021-11-19,10.32,11.35,10.31,10.9,10.9,390400
2021-11-22,10.86,11.33,10.72,11.08,11.08,359200
2021-11-23,11.25,11.3,10.36,10.49,10.49,278800
2021-11-24,10.4,10.59,10.11,10.39,10.39,272600
2021-11-26,10.15,10.16,9.66,9.78,9.78,350300
2021-11-29,10.07,10.975,10.07,10.64,10.64,593500
2021-11-30,10.38,10.64,10.2,10.64,10.64,714500
2021-12-01,10.81,10.81,9.38,9.39,9.39,316800
2021-12-02,9.92,10.34,9.64,10.23,10.23,300700
2021-12-03,10.19,10.225,9.72,10.05,10.05,366800
