Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,24.93,25.200001,24.040001,24.809999,20.379026,803000
2012-02-07,24.940001,25.709999,24.52,25.540001,20.978651,606600
2012-02-08,25.67,26.09,25.15,25.780001,21.175789,573400
2012-02-09,25.91,25.91,24.76,24.83,20.395454,394600
2012-02-10,24.5,24.719999,23.93,23.98,19.697256,360500
2012-02-13,24.469999,24.6,24.059999,24.469999,20.099751,378300
2012-02-14,24.23,24.370001,23.610001,23.91,19.639765,383800
2012-02-15,24.030001,24.1,22.9,22.969999,18.867643,445800
2012-02-16,23.07,23.93,22.950001,23.870001,19.606913,556700
2012-02-17,24.15,25.02,24.02,24.77,20.346172,453400
2012-02-21,24.879999,24.98,24.35,24.59,20.198317,437700
2012-02-22,24.540001,24.76,23.91,24.66,20.255817,514000
2012-02-23,24.620001,24.780001,23.82,24.73,20.313318,340300
2012-02-24,24.77,25.030001,24.200001,24.33,19.984753,304400
2012-02-27,24.02,25.51,23.66,25.34,20.814375,444300
2012-02-28,25.370001,26.280001,25.15,25.690001,21.101864,644700
2012-02-29,25.74,26.09,25.27,25.280001,20.765087,578500
2012-03-01,25.4,26.040001,25.18,25.389999,20.85544,382000
2012-03-02,25.4,25.74,24.24,24.809999,20.379026,338300
2012-03-05,24.59,24.73,23.9,24.059999,19.762974,268000
2012-03-06,23.66,23.73,21.77,21.99,18.062666,668800
2012-03-07,22.0,22.98,21.9,22.280001,18.300873,599200
2012-03-08,22.65,22.889999,22.299999,22.49,18.473372,725200
2012-03-09,22.6,23.799999,22.559999,23.65,19.426195,434200
2012-03-12,23.77,23.77,22.219999,22.26,18.284449,379800
2012-03-13,22.469999,22.82,22.120001,22.450001,18.440517,666700
2012-03-14,22.469999,22.559999,21.379999,21.77,17.881962,599700
2012-03-15,21.799999,22.440001,21.67,22.15,18.194099,766000
2012-03-16,22.32,22.92,22.27,22.469999,18.456944,405600
2012-03-19,22.469999,22.9,22.16,22.49,18.473372,272500
2012-03-20,22.18,22.35,21.83,22.129999,18.177662,246200
2012-03-21,22.27,22.34,21.68,22.16,18.202307,597700
2012-03-22,21.799999,21.98,20.950001,21.07,17.306978,350900
2012-03-23,20.530001,21.709999,20.059999,21.6,17.742325,588500
2012-03-26,21.85,22.0,21.129999,21.139999,17.364477,478400
2012-03-27,21.18,21.299999,20.559999,20.85,17.12627,546800
2012-03-28,20.76,20.99,19.690001,20.129999,16.534863,595600
2012-03-29,19.91,20.030001,19.639999,19.91,16.354149,313600
2012-03-30,20.129999,20.129999,19.66,19.790001,16.255581,347500
2012-04-02,19.59,20.549999,19.389999,20.309999,16.682716,419600
2012-04-03,20.299999,20.51,20.02,20.08,16.493793,393200
2012-04-04,19.709999,19.85,19.370001,19.629999,16.124157,434100
2012-04-05,19.43,19.83,19.43,19.700001,16.181658,408000
2012-04-09,20.639999,21.23,18.1,18.440001,15.146686,2334800
2012-04-10,18.1,18.290001,16.4,16.99,13.955651,1627700
2012-04-11,17.58,17.950001,17.219999,17.35,14.251356,764500
2012-04-12,17.58,18.74,17.370001,18.35,15.072761,924300
2012-04-13,18.200001,18.200001,17.709999,17.82,14.637414,490400
2012-04-16,18.25,18.799999,18.09,18.370001,15.089191,610000
2012-04-17,18.629999,18.82,18.379999,18.389999,15.105616,437000
2012-04-18,18.280001,18.620001,17.99,18.43,15.138473,421500
2012-04-19,18.540001,18.540001,17.309999,17.43,14.317069,569100
2012-04-20,17.790001,18.440001,17.68,17.950001,14.744201,558900
2012-04-23,17.559999,17.58,16.58,16.610001,13.643518,1499900
2012-04-24,16.67,17.07,16.41,16.889999,13.87351,887400
2012-04-25,17.48,17.57,16.91,17.52,14.390994,632300
2012-04-26,17.440001,17.950001,17.360001,17.809999,14.629201,459800
2012-04-27,18.01,18.190001,17.610001,18.040001,14.818124,691800
2012-04-30,17.98,18.02,17.0,17.25,14.16922,506200
2012-05-01,17.35,18.08,17.1,17.540001,14.407421,734500
2012-05-02,17.360001,17.83,17.15,17.57,14.432066,669000
2012-05-03,17.559999,17.84,16.76,16.93,13.906369,623800
2012-05-04,16.73,16.780001,15.88,16.02,13.15889,789000
2012-05-07,15.93,16.08,15.5,15.51,12.739976,675300
2012-05-08,15.51,15.62,15.01,15.4,12.649622,718800
2012-05-09,15.03,16.030001,15.03,15.74,12.928895,640000
2012-05-10,15.99,16.190001,15.47,15.99,13.134243,682000
2012-05-11,15.69,15.97,15.17,15.26,12.53462,521300
2012-05-14,14.96,15.16,14.68,14.83,12.181418,428700
2012-05-15,14.76,14.89,14.07,14.22,11.680363,515500
2012-05-16,14.32,14.6,13.67,13.92,11.433942,619900
2012-05-17,13.9,14.16,13.22,13.23,10.867169,459400
2012-05-18,13.42,13.53,13.1,13.37,10.982171,588900
2012-05-21,13.4,14.11,13.3,13.93,11.442155,856000
2012-05-22,13.98,15.0,13.97,14.39,11.82,736900
2012-05-23,14.15,14.86,14.0,14.76,12.12392,414000
2012-05-24,14.92,14.92,14.05,14.31,11.754291,478200
2012-05-25,14.31,14.4,14.08,14.19,11.655721,262900
2012-05-29,14.47,15.04,14.4,14.9,12.238917,546600
2012-05-30,14.6,14.6,14.05,14.14,11.614651,654300
2012-05-31,14.47,14.52,13.6,13.84,11.368228,826700
2012-06-01,13.36,13.71,13.26,13.58,11.154665,655000
2012-06-04,13.65,13.8,13.15,13.31,10.932882,760900
2012-06-05,13.24,14.11,13.2,14.03,11.524296,449000
2012-06-06,14.2,15.11,14.2,14.92,12.255347,479700
2012-06-07,15.31,15.74,14.74,14.88,12.222487,434700
2012-06-08,14.89,15.43,14.6,15.38,12.633192,279900
2012-06-11,15.58,15.75,14.33,14.35,11.787145,431600
2012-06-12,14.43,14.76,14.25,14.61,12.000709,345800
2012-06-13,14.5,15.1,14.32,14.57,11.967854,353700
2012-06-14,14.59,14.86,14.4,14.65,12.033566,186600
2012-06-15,14.77,14.97,14.61,14.75,12.115707,308600
2012-06-18,14.61,14.93,14.35,14.91,12.247128,374700
2012-06-19,15.05,16.120001,14.88,15.97,13.11782,628500
2012-06-20,16.040001,16.33,15.75,16.059999,13.191744,376600
2012-06-21,16.01,16.17,15.14,15.21,12.493553,313600
2012-06-22,15.39,15.4,14.95,15.4,12.649622,743200
2012-06-25,14.92,14.95,14.32,14.44,11.861069,434400
2012-06-26,14.49,15.23,14.3,15.07,12.378553,455500
2012-06-27,15.22,16.15,15.14,16.059999,13.191744,646000
2012-06-28,16.440001,16.889999,15.19,16.280001,13.372452,882100
2012-06-29,16.92,17.6,16.790001,17.58,14.440277,990400
2012-07-02,16.93,17.58,15.6,15.83,13.002821,958500
2012-07-03,16.110001,16.549999,15.85,16.280001,13.372452,322200
2012-07-05,16.200001,16.940001,16.129999,16.67,13.692801,329400
2012-07-06,16.35,16.66,16.200001,16.440001,13.503881,326100
2012-07-09,16.299999,16.469999,15.49,15.57,12.789259,557800
2012-07-10,15.84,16.1,14.96,15.09,12.394983,561900
2012-07-11,15.1,15.12,14.61,14.69,12.066421,397400
2012-07-12,14.66,15.37,14.58,15.28,12.551048,475200
2012-07-13,15.35,15.75,15.32,15.59,12.805686,338400
2012-07-16,15.5,15.6,15.03,15.19,12.477122,285400
2012-07-17,15.31,15.45,14.92,15.34,12.600334,264900
2012-07-18,15.22,16.33,15.22,15.9,13.060319,303400
2012-07-19,16.07,16.139999,15.65,15.86,13.027466,274500
2012-07-20,15.64,15.7,15.08,15.12,12.419627,222900
2012-07-23,14.66,14.84,14.34,14.35,11.787145,480100
2012-07-24,14.5,14.64,13.71,13.88,11.401085,422600
2012-07-25,13.99,14.27,13.56,13.85,11.376443,287400
2012-07-26,14.32,14.9,14.31,14.85,12.197847,427300
2012-07-27,14.94,15.85,14.8,15.74,12.928895,445600
2012-07-30,15.73,15.89,14.64,14.96,12.288202,366600
2012-07-31,14.94,16.49,14.94,16.299999,13.388882,658000
2012-08-01,16.469999,16.549999,15.75,15.75,12.93711,584400
2012-08-02,15.67,16.02,15.15,15.22,12.501765,391600
2012-08-03,15.56,16.309999,15.41,15.51,12.739976,403600
2012-08-06,15.53,15.79,15.01,15.39,12.641403,443300
2012-08-07,15.59,16.4,15.43,16.25,13.347811,574400
2012-08-08,16.049999,16.290001,15.51,15.65,12.854967,295200
2012-08-09,15.62,16.16,15.43,16.15,13.265669,434200
2012-08-10,16.01,16.01,15.54,15.88,13.043892,507000
2012-08-13,15.75,15.93,15.5,15.73,12.920681,328400
2012-08-14,15.91,15.94,15.18,15.28,12.551048,393000
2012-08-15,15.18,15.69,14.9,15.45,12.69069,422200
2012-08-16,15.46,15.8,15.1,15.71,12.904253,308800
2012-08-17,15.84,15.87,15.53,15.82,12.994609,375600
2012-08-20,15.76,15.96,15.61,15.83,13.002821,314200
2012-08-21,16.0,16.24,15.64,15.86,13.027466,413000
2012-08-22,15.74,16.4,15.73,16.26,13.356024,515300
2012-08-23,16.209999,16.25,15.75,15.84,13.011038,380900
2012-08-24,15.74,15.78,15.36,15.53,12.756398,331400
2012-08-27,15.6,15.69,15.01,15.13,12.42784,349700
2012-08-28,15.08,15.39,14.81,14.93,12.263557,346200
2012-08-29,14.95,15.05,14.32,14.81,12.164993,422500
2012-08-30,14.6,14.72,14.39,14.46,11.877498,219500
2012-08-31,14.72,14.77,14.35,14.45,11.869286,359700
2012-09-04,14.39,14.75,13.85,14.7,12.074636,475900
2012-09-05,14.8,15.23,14.75,15.13,12.42784,447800
2012-09-06,15.3,15.76,15.1,15.65,12.854967,590400
2012-09-07,15.83,16.809999,15.76,16.780001,13.783154,794400
2012-09-10,16.700001,16.799999,16.27,16.58,13.618876,575700
2012-09-11,16.58,17.799999,16.42,17.290001,14.202072,744000
2012-09-12,17.33,17.860001,17.0,17.690001,14.530633,346600
2012-09-13,17.889999,18.879999,17.610001,18.690001,15.352037,1207500
2012-09-14,18.879999,19.469999,18.77,18.809999,15.450603,611300
2012-09-17,18.67,18.67,17.85,18.08,14.850978,359700
2012-09-18,18.15,18.23,17.52,17.889999,14.694916,336700
2012-09-19,17.93,18.33,17.799999,18.219999,14.965976,364800
