Date,Open,High,Low,Close,Adj Close,Volume
2016-06-30,10.08,10.243,10.0,10.11,6.561183,245100
2016-07-01,10.18,10.29,10.12,10.15,6.587143,196900
2016-07-05,10.15,10.29,10.03,10.16,6.593634,108600
2016-07-06,10.16,10.27,10.01,10.12,6.567675,203700
2016-07-07,10.15,10.29,10.1,10.11,6.561183,210600
2016-07-08,10.13,10.4,10.13,10.3,6.684492,149800
2016-07-11,10.78,10.78,10.45,10.46,6.788327,260700
2016-07-12,10.5,10.6,10.35,10.4,6.749389,174900
2016-07-13,10.39,10.49,10.31,10.31,6.690981,146500
2016-07-14,10.35,10.41,10.2,10.23,6.639061,140100
2016-07-15,10.38,11.38,10.2,10.35,6.716938,140000
2016-07-18,10.55,10.65,10.351,10.47,6.794819,149700
2016-07-19,10.5,10.539,10.371,10.43,6.768857,56500
2016-07-20,10.5,10.59,10.4,10.49,6.807796,156600
2016-07-21,10.6,10.65,10.4,10.52,6.827266,92900
2016-07-22,10.64,10.899,10.55,10.73,6.963552,89700
2016-07-25,10.85,10.94,10.723,10.79,7.002489,184800
2016-07-26,10.75,10.85,10.65,10.76,6.98302,187200
2016-07-27,10.76,10.8,10.601,10.67,6.924612,97700
2016-07-28,10.64,10.891,10.64,10.81,7.015472,78300
2016-07-29,10.76,10.95,10.65,10.92,7.086858,183900
2016-08-01,10.95,10.95,10.85,10.87,7.054409,94700
2016-08-02,10.93,10.94,10.72,10.81,7.015472,103900
2016-08-03,10.939,11.2,10.73,10.73,6.963552,83600
2016-08-04,10.89,10.9,10.75,10.76,6.98302,71300
2016-08-05,10.65,10.765,10.608,10.64,6.905143,111700
2016-08-08,10.75,10.75,10.65,10.67,6.924612,47400
2016-08-09,10.64,10.82,10.64,10.67,6.924612,50600
2016-08-10,10.75,10.85,10.72,10.74,6.970043,59600
2016-08-11,10.83,10.94,10.721,10.88,7.0609,47400
2016-08-12,10.92,10.93,10.835,10.86,7.047919,30100
2016-08-15,10.94,11.08,10.85,10.98,7.125798,62800
2016-08-16,10.98,11.0,10.85,10.99,7.132286,59900
2016-08-17,10.98,11.0,10.75,10.82,7.021961,30800
2016-08-18,11.0,11.0,10.63,10.91,7.080369,31300
2016-08-19,10.98,11.24,10.865,11.12,7.216654,64300
2016-08-22,10.99,11.02,10.79,10.89,7.067389,70100
2016-08-23,10.89,11.094,10.65,10.74,6.970043,97700
2016-08-24,10.8,10.85,10.41,10.73,6.963552,71000
2016-08-25,10.73,10.89,10.71,10.75,6.976533,92000
2016-08-26,10.74,10.85,10.7,10.72,6.957064,66100
2016-08-29,10.75,10.89,10.6,10.84,7.03494,73900
2016-08-30,10.92,10.93,10.734,10.77,6.989511,40400
2016-08-31,10.83,10.83,10.51,10.75,6.976533,85300
2016-09-01,10.67,10.93,10.5,10.59,6.872696,63300
2016-09-02,10.7,10.95,10.5,10.73,6.963552,38900
2016-09-06,10.76,10.8,10.31,10.49,6.807796,104200
2016-09-07,10.46,10.5,9.621,10.25,6.652041,293300
2016-09-08,10.21,10.48,10.04,10.24,6.645551,229600
2016-09-09,10.2,10.209,10.0,10.2,6.619593,108500
2016-09-12,10.2,10.25,10.1,10.12,6.567675,87700
2016-09-13,10.136,10.136,9.52,9.75,6.327552,138200
2016-09-14,9.97,10.14,9.85,10.0,6.489797,140900
2016-09-15,9.92,10.15,9.908,10.13,6.574164,97100
2016-09-16,10.15,10.23,9.99,10.1,6.554694,683000
2016-09-19,10.14,10.64,10.1,10.43,6.768857,234700
2016-09-20,10.4,10.4,10.06,10.15,6.587143,227100
2016-09-21,10.24,10.35,10.0,10.15,6.587143,206700
2016-09-22,10.2,10.5,10.15,10.37,6.729919,173100
2016-09-23,10.16,10.3,10.12,10.14,6.710066,97200
2016-09-26,10.15,10.185,9.72,9.95,6.584336,220100
2016-09-27,9.98,10.15,9.59,9.7,6.4189,173800
2016-09-28,9.74,10.03,9.53,9.96,6.590952,165800
2016-09-29,9.9,10.02,9.62,9.75,6.451987,355600
2016-09-30,9.72,10.06,9.71,9.76,6.458604,1348200
2016-10-03,9.75,9.8,9.56,9.65,6.385812,132600
2016-10-04,9.63,9.63,9.03,9.2,6.088027,162600
2016-10-05,9.22,9.5,9.05,9.41,6.226997,145100
2016-10-06,9.4,9.46,9.03,9.3,6.154203,101600
2016-10-07,9.3,9.43,9.14,9.24,6.1145,68500
2016-10-10,9.24,9.73,9.23,9.4,6.220377,215700
2016-10-11,9.47,9.52,9.26,9.4,6.220377,105100
2016-10-12,9.44,9.44,9.15,9.21,6.094646,43700
2016-10-13,9.1,9.48,8.98,9.27,6.134351,87700
2016-10-14,9.26,9.55,9.16,9.39,6.213761,101900
2016-10-17,9.37,9.53,9.22,9.46,6.260083,94300
2016-10-18,9.5,9.675,9.42,9.44,6.246846,58700
2016-10-19,9.46,9.625,9.33,9.4,6.220377,40000
2016-10-20,9.41,9.41,9.17,9.21,6.094646,84300
2016-10-21,9.2,9.35,9.15,9.2,6.088027,95600
2016-10-24,9.29,9.399,9.216,9.26,6.127733,67000
2016-10-25,9.21,9.515,9.11,9.22,6.101265,72300
2016-10-26,9.22,9.315,9.13,9.21,6.094646,31200
2016-10-27,9.25,9.27,9.06,9.1,6.021856,39700
2016-10-28,9.1,9.36,9.04,9.2,6.088027,56600
2016-10-31,9.2,9.75,9.11,9.75,6.451987,230600
2016-11-01,9.62,9.73,9.11,9.22,6.101265,101200
2016-11-02,9.25,9.268,8.75,8.78,5.810097,73700
2016-11-03,8.86,8.86,8.42,8.44,5.585104,137400
2016-11-04,8.47,8.51,8.2,8.32,5.505696,126000
2016-11-07,8.42,8.6,8.33,8.5,5.62481,108200
2016-11-08,8.46,8.62,8.33,8.56,5.664515,62700
2016-11-09,8.43,8.6,8.278,8.51,5.631427,107900
2016-11-10,8.24,8.32,6.731,7.82,5.174826,476100
2016-11-11,7.75,8.0,7.4,7.79,5.154973,316500
2016-11-14,7.73,7.82,7.47,7.6,5.029242,341200
2016-11-15,7.51,7.6,7.04,7.24,4.791015,153600
2016-11-16,7.25,7.33,7.1,7.23,4.784396,133200
2016-11-17,7.24,7.28,7.121,7.23,4.784396,111300
