Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.746736,8.746736,8.093995,8.48564,8.48564,42053
2012-02-07,8.224543,8.355091,7.963446,8.355091,8.355091,41693
2012-02-08,8.48564,8.616188,8.224543,8.355091,8.355091,43693
2012-02-09,8.616188,9.530026,8.48564,9.007833,9.007833,312934
2012-02-10,8.877285,9.399478,7.963446,8.224543,8.224543,133161
2012-02-13,8.355091,8.877285,8.093995,8.355091,8.355091,48564
2012-02-14,8.355091,8.355091,7.70235,7.832898,7.832898,118561
2012-02-15,7.832898,8.224543,7.70235,7.963446,7.963446,52257
2012-02-16,8.224543,8.48564,7.963446,8.093995,8.093995,60047
2012-02-17,8.093995,8.616188,8.093995,8.355091,8.355091,72173
2012-02-21,8.48564,8.746736,8.224543,8.355091,8.355091,60751
2012-02-22,8.48564,8.746736,8.48564,8.48564,8.48564,49461
2012-02-23,8.616188,8.746736,8.224543,8.616188,8.616188,41961
2012-02-24,8.877285,10.704961,8.877285,10.313316,10.313316,668029
2012-02-27,10.966057,12.010444,10.704961,11.096606,11.096606,602896
2012-02-28,10.443864,10.443864,9.399478,9.921671,9.921671,246729
2012-02-29,9.921671,10.704961,9.530026,9.921671,9.921671,171676
2012-03-01,10.443864,10.443864,8.616188,9.399478,9.399478,242010
2012-03-02,11.227154,11.357702,9.791123,10.052219,10.052219,461929
2012-03-05,10.052219,10.182768,8.877285,9.138381,9.138381,261214
2012-03-06,8.877285,9.007833,8.224543,8.355091,8.355091,125662
2012-03-07,8.746736,9.26893,8.48564,8.616188,8.616188,76876
2012-03-08,8.877285,9.138381,8.48564,8.48564,8.48564,67875
2012-03-09,9.007833,9.007833,8.355091,8.616188,8.616188,56745
2012-03-12,9.138381,9.138381,8.48564,8.616188,8.616188,66198
2012-03-13,8.746736,8.877285,8.355091,8.616188,8.616188,41624
2012-03-14,8.746736,8.746736,8.48564,8.746736,8.746736,27040
2012-03-15,8.746736,8.746736,8.355091,8.48564,8.48564,56577
2012-03-16,8.48564,9.138381,8.48564,9.007833,9.007833,102299
2012-03-19,9.138381,9.399478,8.746736,9.007833,9.007833,70135
2012-03-20,9.399478,9.399478,8.616188,8.877285,8.877285,22206
2012-03-21,9.007833,9.007833,8.355091,8.48564,8.48564,71790
2012-03-22,9.007833,9.007833,8.355091,8.355091,8.355091,52969
2012-03-23,8.616188,8.746736,8.355091,8.616188,8.616188,19633
2012-03-26,8.746736,9.007833,8.616188,8.746736,8.746736,58339
2012-03-27,8.746736,9.138381,8.746736,9.138381,9.138381,93398
2012-03-28,9.138381,9.138381,8.746736,8.877285,8.877285,21892
