Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,2.34,2.39,2.28,2.33,2.29531,199400
2012-02-07,2.36,2.38,2.28,2.34,2.305161,189100
2012-02-08,2.35,2.35,2.22,2.28,2.246054,113100
2012-02-09,2.29,2.33,2.2,2.23,2.196799,57000
2012-02-10,2.19,2.21,2.08,2.09,2.058883,119800
2012-02-13,2.12,2.15,2.11,2.14,2.108139,62100
2012-02-14,2.11,2.2,2.11,2.16,2.127841,93200
2012-02-15,2.19,2.19,2.02,2.05,2.019479,141900
2012-02-16,2.05,2.18,2.05,2.16,2.127841,53000
2012-02-17,2.18,2.18,2.11,2.14,2.108139,54400
2012-02-21,2.14,2.15,1.98,2.05,2.019479,150700
2012-02-22,2.03,2.07,1.99,1.99,1.960372,111700
2012-02-23,1.99,2.18,1.99,2.14,2.108139,109800
2012-02-24,2.35,2.35,2.19,2.23,2.196799,170800
2012-02-27,2.22,2.27,2.1,2.25,2.216501,235800
2012-02-28,2.24,2.25,2.16,2.19,2.157395,44400
2012-02-29,2.21,2.25,2.06,2.06,2.02933,181700
2012-03-01,2.09,2.15,2.05,2.08,2.049032,164000
2012-03-02,2.09,2.09,1.95,2.04,2.009628,268400
2012-03-05,2.03,2.03,1.95,2.0,1.970223,88500
2012-03-06,1.95,2.0,1.92,1.93,1.901266,215200
2012-03-07,1.95,2.01,1.92,1.95,1.920968,321400
2012-03-08,1.98,1.99,1.92,1.95,1.920968,171800
2012-03-09,1.94,1.99,1.93,1.95,1.920968,109400
2012-03-12,1.95,1.98,1.91,1.94,1.911117,73500
2012-03-13,1.95,1.99,1.94,1.99,1.960372,236700
2012-03-14,1.97,2.0,1.95,1.96,1.930819,96900
2012-03-15,1.97,1.98,1.92,1.98,1.950521,216800
2012-03-16,1.98,1.99,1.94,1.97,1.94067,186300
2012-03-19,1.97,2.0,1.92,1.98,1.950521,126200
2012-03-20,1.95,1.98,1.92,1.95,1.920968,63000
2012-03-21,1.97,1.97,1.87,1.91,1.881563,122000
2012-03-22,1.87,1.89,1.85,1.87,1.842159,73500
2012-03-23,1.87,1.97,1.85,1.96,1.930819,118900
2012-03-26,1.99,2.01,1.97,2.0,1.970223,109300
2012-03-27,2.0,2.0,1.91,1.94,1.911117,118700
2012-03-28,1.95,1.95,1.87,1.91,1.881563,97700
2012-03-29,1.89,1.92,1.87,1.91,1.881563,89300
2012-03-30,1.94,1.94,1.87,1.89,1.861861,183000
2012-04-02,1.88,1.99,1.85,1.99,1.960372,163700
2012-04-03,1.98,1.98,1.9,1.9,1.871712,66400
2012-04-04,1.88,1.9,1.8,1.83,1.802754,181800
2012-04-05,1.82,1.88,1.81,1.82,1.792903,83400
2012-04-09,1.8,1.83,1.75,1.79,1.76335,130500
2012-04-10,1.79,1.81,1.69,1.71,1.684541,175500
2012-04-11,1.74,1.79,1.71,1.73,1.704243,165900
2012-04-12,1.73,1.83,1.73,1.75,1.723945,89900
2012-04-13,1.73,1.75,1.65,1.68,1.654988,94400
2012-04-16,1.7,1.73,1.64,1.69,1.664839,66900
2012-04-17,1.72,1.76,1.65,1.73,1.704243,127100
2012-04-18,1.71,1.75,1.7,1.72,1.694392,84300
2012-04-19,1.72,1.82,1.67,1.71,1.684541,147500
2012-04-20,1.81,1.81,1.65,1.67,1.645136,253800
2012-04-23,1.62,1.64,1.59,1.62,1.595881,157800
2012-04-24,1.61,1.68,1.58,1.68,1.654988,595500
2012-04-25,1.71,1.8,1.71,1.8,1.773201,100300
2012-04-26,1.79,1.83,1.7,1.76,1.733796,173500
2012-04-27,1.77,1.81,1.72,1.81,1.783052,181600
2012-04-30,1.8,1.85,1.76,1.8,1.773201,175000
2012-05-01,1.8,1.85,1.72,1.78,1.753499,232500
2012-05-02,1.98,1.99,1.78,1.92,1.891414,340100
