Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,28.15,28.33,27.370001,27.469999,23.589691,255800
2012-02-07,27.34,27.42,26.93,27.24,23.392179,130300
2012-02-08,27.25,27.52,26.91,27.200001,23.357832,85200
2012-02-09,27.360001,27.559999,26.84,27.309999,23.452293,113100
2012-02-10,26.92,27.209999,26.68,26.85,23.057264,132100
2012-02-13,27.219999,27.48,26.790001,27.209999,23.366415,143400
2012-02-14,27.1,27.219999,26.639999,26.959999,23.151731,99600
2012-02-15,27.15,27.15,26.02,26.129999,22.438976,197100
2012-02-16,26.219999,27.049999,26.15,26.93,23.125967,105400
2012-02-17,27.059999,27.360001,27.02,27.110001,23.280544,72000
2012-02-21,27.15,27.48,26.690001,26.780001,22.997158,147300
2012-02-22,26.780001,27.120001,26.610001,27.02,23.203259,192100
2012-02-23,28.0,29.299999,27.67,29.209999,25.083906,456600
2012-02-24,29.16,30.49,29.139999,30.16,25.899714,486200
2012-02-27,29.75,30.09,29.200001,29.559999,25.384462,413200
2012-02-28,29.530001,29.82,28.809999,28.84,24.766167,384200
2012-02-29,28.82,29.059999,28.1,28.6,24.560072,408100
2012-03-01,28.77,29.27,28.57,28.66,24.611595,181000
2012-03-02,28.58,28.66,27.52,27.74,23.82155,278100
2012-03-05,27.549999,28.49,27.549999,28.450001,24.431257,229200
2012-03-06,28.129999,28.299999,27.200001,27.49,23.606859,276000
2012-03-07,27.620001,27.84,27.5,27.73,23.812967,137500
2012-03-08,28.01,28.389999,27.4,28.290001,24.293859,177400
2012-03-09,28.290001,29.08,28.190001,28.870001,24.791931,273800
2012-03-12,28.870001,28.9,28.610001,28.709999,24.654533,142000
2012-03-13,29.049999,29.82,28.67,29.799999,25.590563,339200
2012-03-14,29.67,29.98,28.969999,29.09,24.980858,167300
2012-03-15,29.110001,29.860001,28.85,29.860001,25.642088,393700
2012-03-16,30.0,30.200001,29.48,29.530001,25.358706,437000
2012-03-19,29.360001,29.9,29.209999,29.75,25.547621,244700
2012-03-20,29.379999,29.73,29.23,29.299999,25.16119,251500
2012-03-21,29.4,29.51,28.98,29.110001,24.99803,165000
2012-03-22,28.74,28.780001,27.93,28.26,24.268097,190300
2012-03-23,28.389999,28.389999,27.83,28.32,24.319618,330500
2012-03-26,28.68,29.530001,28.68,29.41,25.255648,272700
2012-03-27,29.42,29.77,29.23,29.26,25.126835,168800
2012-03-28,29.09,29.15,28.639999,29.09,25.092339,225000
2012-03-29,28.76,28.84,28.23,28.719999,24.773184,163600
2012-03-30,29.01,29.6,28.32,28.74,24.790438,322600
2012-04-02,28.559999,29.209999,28.15,29.129999,25.126837,364400
2012-04-03,29.0,29.309999,28.690001,28.92,24.945705,185300
2012-04-04,28.469999,28.52,28.0,28.290001,24.402277,151100
2012-04-05,28.08,28.68,27.92,28.129999,24.264263,205700
2012-04-09,27.450001,27.969999,27.42,27.82,23.996868,314600
2012-04-10,27.75,27.76,26.860001,26.950001,23.246426,230700
2012-04-11,27.34,27.469999,26.950001,27.469999,23.694967,209400
2012-04-12,27.450001,28.24,27.299999,27.85,24.022745,213500
2012-04-13,27.76,27.879999,27.32,27.450001,23.677717,248500
2012-04-16,27.59,27.969999,27.32,27.5,23.72084,277500
2012-04-17,27.6,28.530001,27.530001,28.24,24.35915,320300
2012-04-18,27.98,28.09,27.57,27.77,23.953739,158000
2012-04-19,27.700001,27.969999,27.0,27.120001,23.393059,266300
2012-04-20,27.43,27.639999,27.290001,27.35,23.591454,301800
2012-04-23,26.82,26.82,26.4,26.48,22.841015,247000
2012-04-24,26.57,27.129999,26.360001,26.92,23.220551,218700
2012-04-25,27.35,27.52,27.129999,27.450001,23.677717,199400
2012-04-26,27.32,27.92,27.219999,27.799999,23.979612,282400
2012-04-27,27.99,28.67,27.73,28.389999,24.488533,325500
2012-04-30,28.26,28.26,27.809999,27.84,24.014118,293000
2012-05-01,27.85,28.469999,27.459999,27.51,23.729462,362600
2012-05-02,27.34,28.139999,27.26,27.99,24.143499,281000
2012-05-03,28.0,28.0,26.9,27.120001,23.393059,223500
2012-05-04,26.870001,27.110001,26.139999,26.35,22.728882,345200
2012-05-07,26.280001,26.700001,26.24,26.309999,22.694372,354400
2012-05-08,25.209999,25.940001,23.16,24.43,21.072733,1246700
2012-05-09,24.040001,24.440001,23.780001,23.799999,20.52931,648600
2012-05-10,24.09,24.51,24.0,24.450001,21.089987,505500
2012-05-11,24.200001,24.5,24.08,24.42,21.064112,429100
2012-05-14,24.02,24.66,23.92,24.26,20.926094,380000
2012-05-15,24.17,24.58,23.74,24.139999,20.82258,374100
2012-05-16,24.299999,24.360001,23.450001,23.450001,20.227407,283600
2012-05-17,23.58,23.6,22.6,22.6,19.494217,343700
2012-05-18,22.610001,23.01,22.32,22.43,19.347582,238200
2012-05-21,22.549999,22.940001,22.25,22.83,19.692616,235100
2012-05-22,22.940001,23.360001,22.57,22.74,19.614983,265000
2012-05-23,22.51,23.110001,22.280001,23.09,19.916878,304000
2012-05-24,23.17,23.370001,22.799999,23.139999,19.960007,166500
2012-05-25,23.18,23.219999,22.709999,22.9,19.752989,182300
2012-05-29,23.219999,23.540001,22.940001,23.129999,19.95138,161300
2012-05-30,22.85,23.16,22.6,23.09,19.916878,297300
2012-05-31,23.030001,23.15,22.57,22.92,19.770245,391200
2012-06-01,22.110001,22.370001,21.549999,21.709999,18.72653,342900
2012-06-04,21.860001,22.1,21.379999,21.66,18.683397,216100
2012-06-05,21.459999,22.059999,21.459999,22.030001,19.002548,170800
2012-06-06,22.309999,23.23,22.309999,23.190001,20.003138,286700
2012-06-07,23.65,24.219999,23.190001,23.200001,20.011768,265100
2012-06-08,23.09,23.360001,22.77,23.280001,20.080776,152600
2012-06-11,23.66,23.700001,22.68,22.709999,19.589098,229100
2012-06-12,22.799999,23.07,22.469999,23.059999,19.891006,219000
2012-06-13,22.92,22.92,22.5,22.610001,19.50284,264000
2012-06-14,22.66,23.309999,22.59,23.200001,20.011768,149600
2012-06-15,23.290001,23.549999,23.09,23.35,20.141148,345700
2012-06-18,23.17,23.620001,22.969999,23.440001,20.218788,200200
2012-06-19,23.52,24.309999,23.379999,24.139999,20.82258,145100
2012-06-20,24.07,24.440001,23.969999,24.139999,20.82258,155800
2012-06-21,24.1,24.26,23.120001,23.16,19.977261,254700
2012-06-22,23.24,23.58,22.92,23.49,20.261908,213800
2012-06-25,23.02,23.1,22.549999,23.059999,19.891006,281100
2012-06-26,23.17,24.24,23.15,24.139999,20.82258,312300
2012-06-27,24.120001,24.91,23.870001,24.870001,21.56842,260900
2012-06-28,24.559999,25.73,24.530001,25.719999,22.305578,378300
2012-06-29,26.370001,26.41,25.879999,26.110001,22.643806,385000
2012-07-02,26.25,26.25,25.379999,25.799999,22.374966,297300
2012-07-03,25.83,26.200001,25.68,26.0,22.548403,144400
2012-07-05,25.9,26.41,25.9,26.309999,22.817249,102300
2012-07-06,25.91,26.26,25.879999,26.08,22.617785,150600
2012-07-09,26.040001,26.389999,25.85,26.23,22.747868,171900
2012-07-10,26.540001,26.68,25.67,25.91,22.470352,113800
2012-07-11,25.969999,26.42,25.73,25.969999,22.522385,168000
2012-07-12,25.73,26.67,25.549999,26.4,22.895311,190900
2012-07-13,26.459999,27.120001,26.42,26.9,23.328936,128200
2012-07-16,26.77,26.83,26.280001,26.620001,23.0861,83700
2012-07-17,26.6,26.959999,26.24,26.790001,23.233536,119000
2012-07-18,26.790001,27.139999,26.66,27.0,23.415657,125000
2012-07-19,27.09,27.25,26.67,26.790001,23.233536,150900
2012-07-20,26.49,26.65,25.98,26.01,22.557087,186900
2012-07-23,25.49,26.200001,25.42,26.0,22.548403,112400
2012-07-24,26.049999,26.049999,25.049999,25.18,21.837265,182600
2012-07-25,25.43,25.719999,24.889999,25.0,21.681158,154700
2012-07-26,25.58,25.58,25.209999,25.370001,22.002041,207000
2012-07-27,25.49,26.459999,25.1,26.280001,22.791237,212300
2012-07-30,26.370001,26.67,26.200001,26.450001,22.938673,554400
2012-07-31,26.309999,26.5,25.74,25.9,22.461681,251700
2012-08-01,26.139999,26.139999,24.91,24.91,21.603109,375400
2012-08-02,24.709999,25.24,24.620001,24.74,21.455673,226400
2012-08-03,22.01,25.030001,21.58,24.4,21.160814,1083100
2012-08-06,24.360001,25.299999,24.360001,25.049999,21.72452,347100
2012-08-07,25.26,25.690001,25.26,25.360001,21.993366,205400
2012-08-08,25.24,26.110001,25.16,26.059999,22.600445,178600
2012-08-09,25.99,26.32,25.76,25.85,22.418322,148000
2012-08-10,25.77,26.07,25.6,26.02,22.565756,141100
2012-08-13,26.02,26.02,25.42,25.82,22.392307,133300
2012-08-14,26.0,26.0,25.33,25.41,22.036732,155100
