Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.95,8.99,8.8,8.96,6.98673,114000
2012-02-07,8.98,9.14,8.87,9.0,7.017921,236000
2012-02-08,9.02,9.22,8.91,8.98,7.002324,144500
2012-02-09,9.01,9.03,8.83,9.01,7.025716,150200
2012-02-10,8.9,8.98,8.8,8.81,6.869764,185700
2012-02-13,8.92,9.04,8.79,8.89,6.932146,185000
2012-02-14,8.84,8.95,8.77,8.89,6.932146,240300
2012-02-15,8.95,9.0,8.88,8.92,6.955538,262500
2012-02-16,8.89,9.02,8.87,8.95,6.978932,268000
2012-02-17,9.01,9.09,8.92,8.93,6.963338,159200
2012-02-21,8.93,8.95,8.85,8.92,6.955538,232200
2012-02-22,8.89,8.94,8.59,8.6,6.706011,265900
2012-02-23,8.64,8.83,8.57,8.83,6.885358,109800
2012-02-24,8.81,8.83,8.68,8.77,6.838571,71800
2012-02-27,8.67,8.81,8.64,8.69,6.776192,159000
2012-02-28,8.67,8.73,8.61,8.64,6.737203,81300
2012-02-29,8.66,8.73,8.6,8.67,6.760595,322000
2012-03-01,8.75,8.87,8.51,8.51,6.635834,216500
2012-03-02,8.55,8.62,8.4,8.4,6.550057,180900
2012-03-05,8.4,8.48,8.3,8.46,6.596844,99700
2012-03-06,8.4,8.53,8.16,8.19,6.386305,259300
2012-03-07,8.24,8.41,8.21,8.39,6.542262,180400
2012-03-08,8.46,8.6,8.36,8.59,6.698212,123800
2012-03-09,8.72,9.14,8.72,9.1,7.095897,500600
2012-03-12,9.1,9.2,8.92,9.13,7.119288,128100
2012-03-13,9.2,9.54,9.2,9.53,7.431196,222400
2012-03-14,9.5,10.07,9.5,9.85,7.680724,493300
2012-03-15,9.89,10.09,9.83,10.08,7.860071,168000
2012-03-16,10.11,10.42,10.04,10.4,8.109595,475600
2012-03-19,10.36,10.72,10.19,10.59,8.257751,367800
2012-03-20,10.59,10.6,10.28,10.35,8.070608,435600
2012-03-21,10.4,10.42,10.12,10.19,7.945842,274400
2012-03-22,10.1,10.2,9.98,10.01,7.805486,301900
2012-03-23,10.0,10.14,9.88,10.03,7.82108,241400
2012-03-26,10.12,10.3,10.1,10.26,8.000429,236100
2012-03-27,10.24,10.25,10.08,10.18,7.938048,208700
2012-03-28,10.14,10.22,10.08,10.18,7.938048,331400
2012-03-29,10.06,10.18,9.88,10.14,7.906857,164000
2012-03-30,10.23,10.23,10.01,10.12,7.891263,329600
2012-04-02,10.12,10.39,10.0,10.39,8.101799,168300
2012-04-03,10.4,10.57,10.27,10.4,8.109595,217700
2012-04-04,10.24,10.38,10.1,10.35,8.070608,247400
2012-04-05,10.31,10.38,10.2,10.26,8.000429,147600
2012-04-09,10.04,10.09,9.95,9.99,7.789891,233900
2012-04-10,10.02,10.02,9.61,9.72,7.579352,252000
2012-04-11,9.86,10.05,9.79,10.0,7.797689,119800
2012-04-12,9.97,10.21,9.97,10.09,7.867868,123000
2012-04-13,10.04,10.04,9.64,9.76,7.610543,192600
2012-04-16,9.82,10.22,9.71,9.96,7.766498,105200
2012-04-17,10.03,10.4,10.03,10.31,8.039415,154800
2012-04-18,10.28,10.28,10.06,10.1,7.875667,134700
2012-04-19,10.14,10.31,9.87,10.17,7.930248,130100
2012-04-20,10.34,10.48,10.25,10.37,8.086203,245300
2012-04-23,10.23,10.27,10.06,10.13,7.899058,177300
2012-04-24,10.16,10.48,10.14,10.39,8.101799,185900
2012-04-25,10.49,10.65,10.38,10.64,8.296741,176200
2012-04-26,10.22,10.54,10.22,10.51,8.195372,137000
2012-04-27,10.55,10.73,10.37,10.68,8.327931,212800
2012-04-30,10.66,10.66,10.41,10.43,8.132989,94000
2012-05-01,10.4,10.68,10.4,10.47,8.16418,234000
2012-05-02,10.38,10.52,10.21,10.43,8.132989,159700
2012-05-03,10.43,10.53,10.26,10.3,8.031619,130000
2012-05-04,10.25,10.3,10.05,10.09,7.867868,133900
2012-05-07,10.09,10.26,10.03,10.14,7.906857,144000
2012-05-08,10.1,10.25,10.0,10.11,7.883461,105300
2012-05-09,10.01,10.18,10.01,10.08,7.860071,124000
2012-05-10,10.15,10.39,10.15,10.36,8.078406,97000
2012-05-11,10.29,10.34,10.1,10.18,7.938048,134100
2012-05-14,10.05,10.1,9.91,9.93,7.743106,187200
2012-05-15,9.91,9.99,9.88,9.92,7.735307,116000
2012-05-16,9.95,10.08,9.84,9.86,7.688519,170100
2012-05-17,9.84,10.02,9.77,9.79,7.633938,269300
2012-05-18,9.76,9.88,9.65,9.66,7.532567,222900
2012-05-21,9.64,9.75,9.55,9.58,7.470184,151400
2012-05-22,9.56,9.7,9.53,9.59,7.477984,146000
2012-05-23,9.47,9.67,9.41,9.54,7.438994,104000
2012-05-24,9.55,9.64,9.43,9.63,7.509175,88200
2012-05-25,9.63,9.63,9.45,9.48,7.39221,85900
2012-05-29,9.59,9.61,9.44,9.58,7.470184,65500
2012-05-30,9.53,9.57,9.42,9.45,7.368813,101300
2012-05-31,9.48,9.63,9.35,9.39,7.322031,297400
2012-06-01,9.22,9.38,9.15,9.2,7.173873,150200
