Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,17.5,18.75,17.5,18.0,7.296858,11341600
2017-04-17,18.030001,19.059999,18.030001,19.0,7.702241,1705300
2017-04-18,18.76,18.98,18.0,18.459999,7.483335,1668900
2017-04-19,18.59,18.940001,18.219999,18.299999,7.418473,1460800
2017-04-20,18.26,18.860001,18.049999,18.58,7.531981,1992000
2017-04-21,18.5,18.73,18.34,18.41,7.463066,305400
2017-04-24,18.48,18.745001,18.25,18.709999,7.584681,688000
2017-04-25,18.690001,18.790001,18.040001,18.280001,7.410366,196300
2017-04-26,18.280001,18.709999,18.139999,18.450001,7.47928,284300
2017-04-27,18.42,18.5,18.0,18.0,7.296858,493800
2017-04-28,18.0,18.280001,18.0,18.08,7.329291,695800
2017-05-01,18.110001,18.4,18.0,18.0,7.296858,171400
2017-05-02,18.0,18.719999,18.0,18.360001,7.442795,228500
2017-05-03,18.379999,18.700001,17.93,18.0,7.296858,456800
2017-05-04,17.969999,18.07,17.5,17.52,7.102276,440300
2017-05-05,17.610001,17.950001,17.32,17.58,7.126599,320300
2017-05-08,17.5,17.75,17.25,17.440001,7.069847,629600
2017-05-09,17.51,17.52,16.67,16.9,6.85094,787500
2017-05-10,16.940001,17.469999,16.75,17.24,6.98877,346600
2017-05-11,17.139999,17.299999,16.93,17.15,6.952286,286900
2017-05-12,17.1,18.139999,16.9,17.0,6.891477,494200
2017-05-15,17.129999,17.860001,17.129999,17.459999,7.077954,178700
2017-05-16,17.290001,18.09,16.719999,16.99,6.887425,190600
2017-05-17,16.84,17.25,16.700001,17.049999,6.911748,203200
2017-05-18,17.09,17.299999,16.9,17.139999,6.948232,295600
2017-05-19,17.9,19.08,17.6,17.76,7.199569,1499100
2017-05-22,17.879999,18.23,17.42,18.200001,7.377935,558100
2017-05-23,18.219999,18.49,17.48,17.9,7.256322,468900
2017-05-24,17.92,18.110001,17.690001,17.73,7.187407,402700
2017-05-25,17.700001,17.98,17.290001,17.33,7.045123,112400
2017-05-26,17.389999,17.41,17.049999,17.120001,6.959752,127700
2017-05-30,17.280001,17.459999,17.01,17.34,7.049186,139800
2017-05-31,17.1,17.25,16.629999,17.09,6.947556,477000
2017-06-01,17.08,18.0,17.08,17.75,7.215864,251500
2017-06-02,17.690001,17.82,17.09,17.209999,6.996339,511600
2017-06-05,17.25,17.65,17.16,17.33,7.045123,161900
2017-06-06,17.33,17.5,16.940001,17.48,7.106101,124400
2017-06-07,17.450001,17.5,16.99,17.030001,6.923164,194900
2017-06-08,17.0,17.5,16.73,17.440001,7.08984,225400
2017-06-09,17.51,17.51,17.309999,17.48,7.106101,115900
2017-06-12,17.5,17.75,17.42,17.450001,7.093906,232600
2017-06-13,17.33,17.610001,17.030001,17.16,6.976012,215400
2017-06-14,17.25,17.5,17.01,17.299999,7.032925,168300
2017-06-15,17.129999,17.27,16.6,16.790001,6.825596,392000
2017-06-16,16.620001,16.75,15.36,15.86,6.447526,1757100
2017-06-19,15.95,16.049999,15.4,15.75,6.402809,849000
2017-06-20,15.61,15.765,15.31,15.5,6.301178,490000
2017-06-21,15.47,15.64,15.13,15.49,6.297112,573700
2017-06-22,15.51,16.98,15.51,16.129999,6.557288,785600
2017-06-23,16.219999,16.465,15.81,16.26,6.610137,2733600
2017-06-26,16.24,16.26,15.945,16.190001,6.581681,207900
2017-06-27,15.15,16.5,15.1,16.280001,6.618268,642800
2017-06-28,16.41,17.049999,16.184999,16.950001,6.890642,438100
2017-06-29,16.84,17.23,16.690001,17.08,6.94349,402500
2017-06-30,17.09,17.35,17.004999,17.129999,6.963817,291500
2017-07-03,17.17,17.469999,17.17,17.32,7.041056,72800
2017-07-05,17.469999,17.879999,17.02,17.780001,7.22806,159200
2017-07-06,17.77,17.91,17.6,17.73,7.207733,193200
2017-07-07,17.719999,17.73,17.379999,17.66,7.179276,155000
2017-07-10,17.559999,18.0,17.41,17.93,7.289037,250900
2017-07-11,18.1,18.629999,17.870001,18.58,7.553282,330800
2017-07-12,18.75,19.059999,18.290001,18.82,7.650848,308900
2017-07-13,18.73,18.924999,18.17,18.75,7.622392,163900
2017-07-14,18.65,18.92,18.620001,18.77,7.630522,109900
2017-07-17,18.75,19.639999,18.75,19.629999,7.980135,406100
2017-07-18,19.4,19.799999,19.219999,19.74,8.024854,817400
2017-07-19,19.73,20.459999,19.43,19.549999,7.947613,341000
2017-07-20,19.66,19.74,19.299999,19.42,7.894764,364200
2017-07-21,19.52,19.76,18.98,19.309999,7.850046,395200
2017-07-24,19.299999,19.49,18.870001,19.0,7.724023,345400
2017-07-25,19.139999,20.190001,19.127001,19.950001,8.110223,455900
2017-07-26,19.959999,20.48,19.9,20.4,8.293161,411900
2017-07-27,20.48,20.969999,19.91,20.68,8.406989,361800
2017-07-28,20.67,21.26,20.620001,21.24,8.634645,185000
2017-07-31,21.360001,21.98,21.24,21.860001,8.886694,255800
2017-08-01,21.950001,22.27,21.540001,22.25,9.045238,191900
2017-08-02,22.110001,22.58,21.843,22.57,9.175327,397400
2017-08-03,22.58,22.58,21.469999,21.860001,8.886694,476300
2017-08-04,23.209999,24.15,22.700001,24.040001,9.772922,1437700
2017-08-07,24.200001,24.785,23.639999,24.66,10.024968,635500
2017-08-08,24.73,24.76,24.309999,24.42,9.927402,299000
2017-08-09,24.4,24.49,24.205,24.42,9.927402,335700
2017-08-10,24.08,24.370001,23.610001,23.73,9.666689,275800
2017-08-11,23.16,23.91,23.030001,23.17,9.438568,375500
2017-08-14,23.32,24.360001,23.200001,24.290001,9.894813,324900
2017-08-15,24.35,24.450001,23.959999,23.969999,9.764454,285400
2017-08-16,24.07,24.639999,23.959999,24.620001,10.029242,261300
2017-08-17,24.58,24.639999,24.049999,24.17,9.845929,237900
2017-08-18,24.059999,24.610001,24.059999,24.24,9.874444,294200
2017-08-21,24.23,24.398001,24.059999,24.24,9.874444,274300
