Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,4.0,4.05,3.88,3.97,3.275079,73300
2012-02-07,3.96,4.02,3.92,4.0,3.299828,84000
2012-02-08,3.98,4.1,3.93,4.09,3.374074,57500
2012-02-09,4.09,4.09,3.99,4.02,3.316327,50100
2012-02-10,3.99,4.04,3.96,3.98,3.283329,33600
2012-02-13,4.0,4.04,3.99,4.0,3.299828,50200
2012-02-14,4.0,4.0,3.93,3.95,3.25858,50600
2012-02-15,3.97,3.97,3.8,3.82,3.151335,42600
2012-02-16,3.84,3.95,3.8,3.9,3.217332,62900
2012-02-17,3.95,3.95,3.85,3.89,3.209083,43700
2012-02-21,3.89,3.95,3.81,3.87,3.192583,111800
2012-02-22,4.68,4.76,4.63,4.74,3.910296,1831700
2012-02-23,4.72,4.92,4.71,4.92,4.058788,409800
2012-02-24,4.87,4.9,4.76,4.81,3.968043,144300
2012-02-27,4.79,4.86,4.78,4.8,3.959794,204000
2012-02-28,4.79,4.86,4.79,4.82,3.976293,96300
2012-02-29,4.83,4.88,4.81,4.82,3.976293,175200
2012-03-01,4.86,4.88,4.8,4.8,3.959794,156700
2012-03-02,4.82,4.82,4.75,4.78,3.943295,169700
2012-03-05,4.74,4.83,4.74,4.79,3.951544,102600
2012-03-06,4.71,4.79,4.69,4.72,3.893798,181700
2012-03-07,4.75,4.84,4.74,4.8,3.959794,344100
2012-03-08,4.79,4.86,4.79,4.86,4.009291,64200
2012-03-09,4.87,4.89,4.81,4.83,3.984543,124600
2012-03-12,4.84,4.85,4.77,4.8,3.959794,130400
2012-03-13,4.84,4.84,4.79,4.81,3.968043,173400
2012-03-14,4.78,4.82,4.76,4.79,3.951544,116000
2012-03-15,4.79,4.81,4.78,4.8,3.959794,99500
2012-03-16,4.79,4.84,4.76,4.82,3.976293,279400
2012-03-19,4.82,4.84,4.8,4.83,3.984543,251600
2012-03-20,4.8,4.84,4.77,4.82,3.976293,402600
2012-03-21,4.82,4.84,4.75,4.8,3.959794,491700
2012-03-22,4.73,5.25,4.66,5.23,4.314526,188100
2012-03-23,5.19,5.21,5.09,5.13,4.23203,271000
2012-03-26,5.22,5.93,5.15,5.89,4.858996,344300
2012-03-27,5.92,6.21,5.91,6.09,5.023989,260100
2012-03-28,6.09,6.21,5.73,5.93,4.891994,304700
2012-03-29,5.87,5.88,5.51,5.54,4.570261,312600
2012-03-30,5.56,5.99,5.5,5.97,4.924993,501300
2012-04-02,5.96,6.25,5.89,6.25,5.155982,358000
2012-04-03,6.21,6.28,6.08,6.23,5.139482,197600
2012-04-04,6.14,6.17,6.04,6.14,5.065235,81100
2012-04-05,6.03,6.42,6.01,6.41,5.287974,137100
2012-04-09,6.25,6.3,6.11,6.13,5.056986,182900
2012-04-10,6.01,6.3,5.96,6.22,5.131232,198000
2012-04-11,6.3,6.4,6.12,6.18,5.098235,219100
2012-04-12,6.17,6.39,6.17,6.34,5.230227,126400
2012-04-13,6.31,6.31,6.13,6.16,5.081734,93000
2012-04-16,6.22,6.4,6.15,6.36,5.246726,148200
2012-04-17,6.38,6.58,6.38,6.47,5.337471,121300
2012-04-18,6.44,6.57,6.36,6.42,5.296225,198100
2012-04-19,6.39,6.4,5.96,6.08,5.015739,196200
2012-04-20,6.15,6.32,5.98,6.17,5.089985,128700
2012-04-23,6.06,6.06,5.66,5.73,4.727004,248700
2012-04-24,5.72,5.86,5.71,5.76,4.751753,125300
2012-04-25,5.85,5.91,5.76,5.89,4.858996,112600
2012-04-26,5.85,5.85,5.41,5.52,4.553763,268500
2012-04-27,5.54,5.75,5.51,5.73,4.727004,143000
2012-04-30,5.69,5.72,5.63,5.71,4.710505,917200
2012-05-01,5.71,5.85,5.61,5.63,4.644508,184000
2012-05-02,5.6,5.75,5.51,5.75,4.743504,123500
2012-05-03,5.72,5.74,5.51,5.56,4.586761,70000
2012-05-04,5.51,5.56,5.39,5.42,4.471268,79300
2012-05-07,5.42,5.46,5.27,5.42,4.471268,81000
2012-05-08,5.41,5.57,5.3,5.55,4.57851,86400
2012-05-09,5.49,5.49,4.96,5.14,4.240279,122000
2012-05-10,5.18,5.18,4.91,5.04,4.157784,67000
2012-05-11,5.04,5.19,5.0,5.09,4.199031,158500
2012-05-14,5.26,5.7,5.25,5.41,4.463018,475300
2012-05-15,5.44,5.55,5.4,5.53,4.562012,78000
2012-05-16,5.54,5.54,5.38,5.43,4.479517,84200
2012-05-17,5.43,5.61,5.1,5.13,4.23203,181800
2012-05-18,5.12,5.21,5.1,5.14,4.240279,132900
2012-05-21,5.15,5.18,5.04,5.16,4.256779,120100
2012-05-22,5.18,5.24,5.07,5.13,4.23203,127000
2012-05-23,5.06,5.28,5.06,5.22,4.306275,124000
2012-05-24,5.25,5.29,5.06,5.19,4.281526,122100
2012-05-25,5.2,5.2,5.08,5.12,4.223779,54200
2012-05-29,5.2,5.21,5.07,5.2,4.289777,215400
2012-05-30,5.13,5.18,5.09,5.15,4.248528,48800
2012-05-31,5.18,5.23,5.11,5.16,4.256779,159500
2012-06-01,5.02,5.13,4.98,5.0,4.124784,108300
2012-06-04,5.01,5.15,4.96,5.02,4.141284,159500
2012-06-05,4.97,5.01,4.79,4.79,3.951544,74800
2012-06-06,4.82,4.99,4.67,4.85,4.001041,163000
2012-06-07,4.95,5.05,4.86,4.91,4.050538,172500
2012-06-08,4.88,5.05,4.85,5.0,4.124784,90300
2012-06-11,5.05,5.12,4.97,5.06,4.174282,129400
2012-06-12,5.09,5.37,5.02,5.33,4.397022,182500
2012-06-13,5.29,5.4,5.21,5.25,4.331023,152500
2012-06-14,5.28,5.4,5.27,5.37,4.43002,82700
2012-06-15,5.35,5.41,5.26,5.32,4.388772,98600
2012-06-18,5.31,5.5,5.29,5.41,4.463018,53600
2012-06-19,5.42,5.53,5.42,5.5,4.537263,125000
2012-06-20,5.47,5.54,5.16,5.24,4.322775,144200
2012-06-21,5.23,5.29,4.94,4.98,4.108286,105800
2012-06-22,5.05,5.27,5.03,5.06,4.174282,776500
2012-06-25,4.98,5.33,4.95,5.33,4.397022,79900
2012-06-26,5.28,5.36,5.16,5.31,4.380521,84600
2012-06-27,5.3,5.76,5.3,5.76,4.751753,194000
2012-06-28,5.7,5.85,5.68,5.74,4.735252,236700
2012-06-29,5.89,5.92,5.52,5.57,4.595012,181600
2012-07-02,4.94,5.38,4.87,5.38,4.438269,196500
2012-07-03,5.35,5.45,5.32,5.35,4.413519,54300
2012-07-05,5.35,5.4,5.24,5.27,4.347523,72600
2012-07-06,5.21,5.33,5.08,5.29,4.364022,64600
2012-07-09,5.27,5.34,5.13,5.23,4.314526,88900
2012-07-10,5.3,5.31,5.16,5.18,4.273278,58000
2012-07-11,5.18,5.29,5.1,5.28,4.355773,62500
2012-07-12,5.25,5.32,5.19,5.3,4.372272,62600
2012-07-13,5.31,5.77,5.28,5.73,4.727004,127400
2012-07-16,5.64,5.64,5.15,5.22,4.306275,103400
2012-07-17,5.27,5.37,5.15,5.26,4.339274,49100
2012-07-18,5.26,5.3,5.02,5.04,4.157784,71600
2012-07-19,5.07,5.09,4.93,4.99,4.116535,71300
2012-07-20,4.94,4.98,4.85,4.96,4.091787,97100
2012-07-23,4.9,4.96,4.79,4.87,4.01754,54400
2012-07-24,4.91,4.91,4.65,4.67,3.85255,64100
2012-07-25,4.69,4.7,4.32,4.38,3.613312,123900
2012-07-26,4.45,4.59,4.3,4.57,3.770053,103400
2012-07-27,4.6,4.88,4.48,4.81,3.968043,151000
2012-07-30,4.8,4.89,4.72,4.76,3.926796,69700
2012-07-31,4.73,4.78,4.68,4.71,3.885547,78300
2012-08-01,4.74,4.75,4.23,4.25,3.506068,68600
2012-08-02,4.22,4.42,4.22,4.25,3.506068,65200
2012-08-03,4.35,4.48,4.31,4.38,3.613312,69700
2012-08-06,4.36,4.61,4.36,4.4,3.629811,76600
2012-08-07,4.43,4.47,4.28,4.31,3.555565,53700
2012-08-08,4.0,4.03,3.54,3.56,2.936847,411100
2012-08-09,3.56,3.71,3.49,3.7,3.052341,124200
2012-08-10,3.72,3.82,3.65,3.74,3.085339,64700
2012-08-13,3.75,3.76,3.62,3.67,3.027592,63500
2012-08-14,3.71,3.71,3.51,3.58,2.953346,83100
2012-08-15,3.59,3.61,3.48,3.58,2.953346,135600
2012-08-16,3.59,3.75,3.48,3.74,3.085339,77100
2012-08-17,3.75,3.9,3.67,3.89,3.209083,96400
2012-08-20,3.89,3.89,3.77,3.8,3.134837,46400
2012-08-21,3.82,4.11,3.79,4.02,3.316327,79200
2012-08-22,3.99,4.01,3.75,3.78,3.118337,105100
2012-08-23,3.76,3.84,3.7,3.73,3.077089,34200
2012-08-24,3.72,3.8,3.7,3.8,3.134837,38300
2012-08-27,3.82,3.88,3.79,3.83,3.159585,29300
2012-08-28,3.84,3.89,3.75,3.8,3.134837,36900
2012-08-29,3.79,3.86,3.75,3.82,3.151335,33300
2012-08-30,3.78,3.81,3.76,3.8,3.134837,30300
2012-08-31,3.84,3.84,3.72,3.75,3.093589,43000
2012-09-04,3.75,3.82,3.7,3.8,3.134837,29500
2012-09-05,3.77,3.82,3.75,3.8,3.134837,49400
2012-09-06,3.82,3.95,3.75,3.8,3.134837,95400
2012-09-07,3.82,3.85,3.76,3.82,3.151335,33900
2012-09-10,3.83,3.85,3.77,3.84,3.167835,33400
