Date,Open,High,Low,Close,Adj Close,Volume
2018-05-29,9.75,9.75,9.67,9.69,9.582564,304100
2018-05-30,9.66,9.67,9.66,9.66,9.552897,844700
2018-05-31,9.64,9.65,9.63,9.63,9.52323,497700
2018-06-01,9.63,9.65,9.63,9.65,9.543007,1665700
2018-06-04,9.63,9.69,9.63,9.67,9.562786,5600
2018-06-05,9.66,9.67,9.635,9.66,9.552897,1559000
2018-06-06,9.66,9.66,9.63,9.65,9.543007,13600
2018-06-07,9.63,9.63,9.6,9.61,9.50345,1084200
2018-06-08,9.626,9.64,9.61,9.64,9.533119,53700
2018-06-11,9.64,9.64,9.64,9.64,9.533119,0
2018-06-12,9.66,9.66,9.62,9.65,9.543007,862800
2018-06-13,9.62,9.65,9.61,9.61,9.50345,2613400
2018-06-14,9.63,9.64,9.62,9.64,9.533119,295200
2018-06-15,9.63,9.63,9.62,9.62,9.513341,4000
2018-06-18,9.62,9.62,9.62,9.62,9.513341,2200
2018-06-19,9.62,9.62,9.62,9.62,9.513341,0
2018-06-20,9.64,9.64,9.6,9.62,9.513341,612200
2018-06-21,9.62,9.62,9.61,9.62,9.513341,20800
2018-06-22,9.6,9.62,9.6,9.62,9.513341,1022600
2018-06-25,9.62,9.63,9.62,9.63,9.52323,1200
2018-06-26,9.63,9.63,9.63,9.63,9.52323,2400
2018-06-27,9.63,9.63,9.63,9.63,9.52323,0
2018-06-28,9.62,9.64,9.61,9.63,9.52323,190700
2018-06-29,9.62,9.64,9.59,9.64,9.533119,170500
2018-07-02,9.63,9.63,9.63,9.63,9.52323,400
2018-07-03,9.63,9.63,9.63,9.63,9.52323,0
2018-07-05,9.63,9.63,9.63,9.63,9.52323,0
2018-07-06,9.61,9.63,9.61,9.63,9.52323,100100
2018-07-09,9.61,9.63,9.61,9.63,9.52323,26200
2018-07-10,9.63,9.63,9.63,9.63,9.52323,0
2018-07-11,9.59,9.62,9.59,9.62,9.513341,2900
2018-07-12,9.63,9.63,9.62,9.62,9.513341,32100
2018-07-13,9.62,9.62,9.62,9.62,9.513341,0
2018-07-16,9.62,9.62,9.6,9.6,9.493563,125100
2018-07-17,9.61,9.61,9.61,9.61,9.50345,42600
2018-07-18,9.62,9.63,9.62,9.63,9.52323,25200
2018-07-19,9.63,9.63,9.63,9.63,9.52323,0
2018-07-20,9.63,9.63,9.63,9.63,9.52323,0
2018-07-23,9.65,9.65,9.65,9.65,9.543007,100
2018-07-24,9.65,9.65,9.65,9.65,9.543007,4800
2018-07-25,9.65,9.65,9.65,9.65,9.543007,0
2018-07-26,9.64,9.65,9.64,9.65,9.543007,87500
