Date,Open,High,Low,Close,Adj Close,Volume
2014-05-23,11.55,11.89,11.33,11.5,10.193019,2207400
2014-05-27,11.45,12.24,11.29,11.92,10.565287,207300
2014-05-28,11.91,12.25,11.91,12.0,10.636194,170500
2014-05-29,12.83,13.05,12.0,12.37,10.964142,103700
2014-05-30,12.84,12.84,12.43,12.43,11.017325,53500
2014-06-02,12.45,12.65,12.4,12.55,11.123687,35800
2014-06-03,12.58,13.0,12.58,12.69,11.247777,108100
2014-06-04,12.63,13.1,12.63,12.95,11.478228,89500
2014-06-05,13.25,13.48,13.01,13.23,11.726405,109900
2014-06-06,13.5,13.89,13.25,13.69,12.134126,158500
2014-06-09,14.16,14.25,13.7,13.97,12.382301,144900
2014-06-10,13.95,14.04,13.4,13.54,12.001174,57600
2014-06-11,13.59,14.46,13.47,14.03,12.435483,147600
2014-06-12,13.95,14.4,13.86,14.13,12.524119,119600
2014-06-13,14.24,14.49,13.99,14.22,12.60389,47000
2014-06-16,14.29,14.59,14.03,14.41,12.772298,73700
2014-06-17,14.8,15.1,14.4,14.59,12.931839,148900
2014-06-18,14.88,15.11,14.56,15.02,13.312972,107700
2014-06-19,15.12,15.36,14.93,15.07,13.357286,82600
2014-06-20,15.07,15.38,15.07,15.25,13.516831,84500
2014-06-23,15.17,15.287,15.01,15.18,13.454786,60000
2014-06-24,15.19,15.25,14.92,15.0,13.295243,63400
2014-06-25,14.84,15.1,14.77,14.99,13.28638,51200
2014-06-26,14.9,15.22,14.83,14.99,13.28638,68900
2014-06-27,14.85,15.27,14.32,14.6,12.940704,640900
2014-06-30,14.6,15.21,14.55,15.21,13.481379,107700
2014-07-01,15.18,15.45,15.1,15.3,13.561147,72000
2014-07-02,15.45,15.699,14.55,14.96,13.259791,129500
2014-07-03,15.0,15.22,14.88,14.96,13.259791,32400
2014-07-07,14.96,15.1,14.64,14.89,13.197744,71500
2014-07-08,14.89,15.19,14.84,15.09,13.375015,42000
2014-07-09,15.14,15.14,14.86,14.94,13.242062,24100
2014-07-10,14.93,15.019,14.68,14.78,13.100245,56600
2014-07-11,14.77,14.85,14.69,14.69,13.020474,46100
2014-07-14,14.79,14.94,14.6,14.65,12.985021,75600
2014-07-15,14.65,14.76,14.17,14.3,12.674803,87200
2014-07-16,14.4,14.95,14.4,14.85,13.162291,129500
2014-07-17,14.72,15.0,14.63,14.66,12.993885,64800
2014-07-18,14.63,15.19,14.57,15.01,13.304107,48900
2014-07-21,14.91,15.35,14.69,15.17,13.445922,50200
2014-07-22,15.22,15.37,14.77,14.84,13.153425,22600
2014-07-23,14.8,15.3,14.8,15.24,13.507966,32700
2014-07-24,15.25,15.4,14.95,15.09,13.375015,48800
2014-07-25,14.97,15.22,14.88,14.98,13.277517,44800
2014-07-28,15.09,15.09,14.7,14.74,13.064791,27000
2014-07-29,14.9,15.1,14.74,14.77,13.091382,40600
2014-07-30,14.86,15.06,14.4,14.57,12.91411,64600
2014-07-31,14.51,14.51,14.03,14.13,12.524119,105500
2014-08-01,14.1,14.48,13.8,14.18,12.568437,73800
2014-08-04,14.3,14.62,14.24,14.6,12.940704,41800
2014-08-05,14.57,14.766,13.87,14.15,12.541843,81700
2014-08-06,14.06,15.03,14.06,14.94,13.242062,94700
2014-08-07,15.03,15.09,14.4,14.45,12.807751,66500
2014-08-08,14.47,14.845,14.39,14.41,12.772298,52000
2014-08-11,14.53,14.89,14.53,14.74,13.064791,27500
2014-08-12,14.65,14.8,14.58,14.76,13.082521,30400
2014-08-13,14.8,15.0,14.8,14.94,13.242062,30900
2014-08-14,14.9,15.0,14.69,14.86,13.171155,21200
2014-08-15,15.0,15.0,14.697,14.87,13.18002,29400
2014-08-18,15.0,15.0,14.85,14.92,13.224337,13400
2014-08-19,14.91,14.98,14.8,14.96,13.259791,19300
2014-08-20,14.88,15.0,14.8,14.89,13.197744,30200
2014-08-21,14.82,14.875,14.68,14.8,13.117972,47600
