Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,19.879999,20.049999,19.75,19.9,15.687605,134500
2012-02-07,19.85,20.0,19.610001,19.67,15.506291,178000
2012-02-08,19.68,19.99,19.459999,19.790001,15.600889,161200
2012-02-09,19.83,19.950001,19.469999,19.65,15.490522,115400
2012-02-10,19.379999,19.690001,19.190001,19.200001,15.135777,100400
2012-02-13,19.5,19.870001,19.469999,19.76,15.577239,170100
2012-02-14,19.65,19.74,19.27,19.57,15.427455,126900
2012-02-15,19.629999,19.68,19.16,19.35,15.254028,262000
2012-02-16,19.34,19.940001,19.25,19.790001,15.600889,369000
2012-02-17,19.91,19.91,19.6,19.75,15.569354,366100
2012-02-21,19.799999,19.799999,19.4,19.549999,15.41169,147200
2012-02-22,19.5,19.6,18.91,18.93,14.922934,135400
2012-02-23,19.0,19.57,18.889999,19.23,15.159431,314400
2012-02-24,19.209999,19.450001,18.93,19.02,14.993882,96000
2012-02-27,18.77,19.4,18.6,19.1,15.056947,139900
2012-02-28,19.190001,19.190001,18.450001,18.68,14.72585,273200
2012-02-29,18.790001,19.280001,18.620001,18.98,14.962347,406100
2012-03-01,19.1,19.389999,19.1,19.139999,15.08848,300700
2012-03-02,19.16,19.290001,18.65,18.82,14.836215,217600
2012-03-05,18.76,19.07,18.68,18.870001,14.875635,350500
2012-03-06,18.610001,18.76,18.32,18.469999,14.560303,348700
2012-03-07,18.57,18.82,18.389999,18.76,14.788918,269800
2012-03-08,18.9,19.1,18.610001,19.030001,15.001765,384600
2012-03-09,19.030001,19.690001,19.030001,19.49,15.364393,302500
2012-03-12,19.51,19.6,19.299999,19.459999,15.340741,173300
2012-03-13,19.58,20.1,19.58,20.07,15.82162,335700
2012-03-14,20.08,20.290001,19.700001,20.15,15.884683,330600
2012-03-15,20.16,20.65,19.98,20.65,16.278845,372900
2012-03-16,20.67,20.99,20.42,20.719999,16.334032,420000
2012-03-19,20.67,21.26,20.42,21.0,16.554758,286200
2012-03-20,20.74,20.99,20.629999,20.860001,16.444397,561900
2012-03-21,20.969999,21.0,20.709999,20.75,16.357676,211900
2012-03-22,20.459999,20.65,20.16,20.549999,16.200016,201800
2012-03-23,20.639999,21.15,20.370001,21.120001,16.649357,280200
2012-03-26,21.32,21.639999,21.139999,21.6,17.027752,392700
2012-03-27,21.59,21.879999,21.41,21.719999,17.122351,378600
2012-03-28,21.700001,21.889999,21.43,21.84,17.216951,229100
2012-03-29,21.389999,21.610001,21.040001,21.469999,17.081696,237200
2012-03-30,21.709999,21.709999,21.139999,21.15,16.827101,356400
2012-04-02,21.139999,21.49,21.049999,21.370001,17.00214,283800
2012-04-03,21.4,21.440001,20.99,21.35,16.986225,231700
2012-04-04,21.0,21.280001,20.59,20.799999,16.548639,230300
2012-04-05,20.790001,20.860001,20.43,20.549999,16.349739,176600
2012-04-09,20.110001,20.299999,19.879999,20.09,15.983754,183000
2012-04-10,20.09,20.190001,19.68,19.719999,15.689384,290100
2012-04-11,19.969999,20.120001,19.799999,20.120001,16.007626,175100
2012-04-12,20.16,20.530001,20.08,20.459999,16.27813,155000
2012-04-13,20.299999,20.309999,19.459999,19.52,15.530262,227400
2012-04-16,19.620001,19.91,19.42,19.73,15.697338,141300
2012-04-17,19.950001,20.389999,19.85,20.219999,16.087189,186300
2012-04-18,20.02,20.02,19.6,19.790001,15.745075,163600
2012-04-19,19.799999,19.99,19.27,19.530001,15.538217,124100
2012-04-20,19.84,19.98,19.549999,19.91,15.84055,206100
2012-04-23,19.620001,19.76,19.389999,19.530001,15.538217,230100
2012-04-24,19.6,20.0,19.6,19.969999,15.888288,155800
2012-04-25,20.049999,20.49,19.950001,20.23,16.09514,180500
2012-04-26,20.15,20.43,20.030001,20.309999,16.158792,113500
2012-04-27,20.299999,20.389999,19.99,20.200001,16.071274,293900
2012-04-30,20.15,20.219999,19.700001,19.73,15.697338,125000
2012-05-01,19.76,20.360001,19.690001,19.98,15.896239,238000
2012-05-02,19.76,20.08,19.6,19.950001,15.872375,114100
2012-05-03,19.879999,20.120001,19.24,19.389999,15.426833,177400
2012-05-04,19.299999,19.469999,18.780001,18.82,14.973334,235400
2012-05-07,18.76,19.32,18.58,19.15,15.235888,92000
2012-05-08,18.959999,19.440001,18.959999,19.389999,15.426833,131200
2012-05-09,19.09,19.25,18.9,19.0,15.116545,114000
2012-05-10,19.209999,19.549999,19.200001,19.48,15.498437,179000
2012-05-11,19.209999,19.48,18.959999,19.09,15.188151,161900
2012-05-14,18.799999,18.950001,18.66,18.67,14.853996,125700
2012-05-15,18.66,18.91,18.559999,18.58,14.782393,82000
2012-05-16,18.639999,18.879999,18.49,18.49,14.710787,104400
2012-05-17,18.48,18.66,18.219999,18.370001,14.615313,216900
2012-05-18,18.32,18.690001,18.25,18.290001,14.551667,243800
2012-05-21,18.42,18.68,18.32,18.530001,14.742608,202200
2012-05-22,18.559999,18.879999,18.43,18.530001,14.742608,185000
2012-05-23,18.26,18.709999,18.15,18.620001,14.814214,135000
2012-05-24,18.68,18.709999,18.27,18.709999,14.885821,124200
2012-05-25,18.709999,18.799999,18.379999,18.5,14.718741,82500
2012-05-29,18.75,18.75,18.35,18.700001,14.877863,92800
2012-05-30,18.440001,18.540001,18.24,18.27,14.535752,107600
2012-05-31,18.32,18.549999,18.15,18.469999,14.694871,266100
2012-06-01,18.23,18.23,17.65,17.690001,14.074301,308600
2012-06-04,17.809999,17.870001,17.6,17.719999,14.098166,188600
2012-06-05,17.57,17.99,17.57,17.719999,14.098166,165500
2012-06-06,17.879999,18.15,17.790001,18.139999,14.432322,102000
2012-06-07,18.440001,18.58,18.209999,18.280001,14.543711,167900
2012-06-08,18.190001,18.799999,18.09,18.65,14.838083,106900
2012-06-11,18.799999,18.92,18.32,18.360001,14.607356,250300
2012-06-12,18.540001,18.780001,18.309999,18.700001,14.877863,170700
2012-06-13,18.620001,18.99,18.25,18.41,14.647137,189100
2012-06-14,18.459999,18.99,18.459999,18.9,15.036986,232900
2012-06-15,18.959999,19.34,18.77,19.18,15.259753,398500
2012-06-18,18.959999,19.700001,18.92,19.66,15.641645,316000
2012-06-19,19.67,20.299999,19.530001,20.209999,16.079231,970500
2012-06-20,20.18,20.309999,19.879999,20.120001,16.007626,268500
2012-06-21,20.18,20.27,19.360001,19.4,15.434791,220000
2012-06-22,19.58,19.860001,19.450001,19.82,15.768944,268500
2012-06-25,19.43,19.52,19.23,19.309999,15.363186,133700
