Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,2.63,2.63,2.35,2.35,2.35,4500
2012-02-07,2.36,2.51,2.34,2.34,2.34,3100
2012-02-08,2.35,2.57,2.31,2.4,2.4,2800
2012-02-09,2.41,2.41,2.24,2.34,2.34,1800
2012-02-10,2.2,2.2,2.2,2.2,2.2,200
2012-02-13,2.34,2.61,2.2,2.39,2.39,10000
2012-02-14,2.34,2.56,2.34,2.34,2.34,1600
2012-02-15,2.41,2.41,2.29,2.29,2.29,3500
2012-02-16,2.41,2.41,2.41,2.41,2.41,700
2012-02-17,2.41,2.41,2.41,2.41,2.41,800
2012-02-21,2.41,2.61,2.3,2.34,2.34,12600
2012-02-22,2.41,2.61,2.41,2.56,2.56,8800
2012-02-23,2.56,2.56,2.51,2.56,2.56,4500
2012-02-24,2.59,2.6,2.51,2.51,2.51,7800
2012-02-27,2.51,2.51,2.51,2.51,2.51,0
2012-02-28,2.54,2.54,2.24,2.54,2.54,23900
2012-02-29,2.5,2.54,2.46,2.54,2.54,23000
2012-03-01,2.65,2.78,2.56,2.78,2.78,7900
2012-03-02,2.78,2.78,2.78,2.78,2.78,0
2012-03-05,2.76,2.76,2.5,2.56,2.56,27500
2012-03-06,2.56,2.56,2.55,2.55,2.55,300
2012-03-07,2.68,2.75,2.68,2.75,2.75,2300
2012-03-08,2.73,2.73,2.7,2.7,2.7,1200
2012-03-09,2.55,2.7,2.55,2.62,2.62,1600
2012-03-12,2.61,2.61,2.55,2.57,2.57,1300
2012-03-13,2.6,2.77,2.59,2.77,2.77,3100
2012-03-14,2.72,2.8,2.62,2.62,2.62,6100
2012-03-15,2.84,2.84,2.61,2.71,2.71,4800
2012-03-16,2.65,2.84,2.65,2.84,2.84,1300
2012-03-19,2.81,2.98,2.79,2.98,2.98,15900
2012-03-20,2.98,2.98,2.98,2.98,2.98,0
2012-03-21,2.98,3.1,2.84,3.1,3.1,8500
2012-03-22,3.01,3.16,3.0,3.16,3.16,8900
2012-03-23,3.2,3.95,3.19,3.9,3.9,52500
2012-03-26,3.95,4.49,3.78,4.37,4.37,38200
2012-03-27,4.72,5.09,4.32,4.74,4.74,35100
2012-03-28,4.75,4.77,4.29,4.4,4.4,22100
2012-03-29,4.36,4.57,4.01,4.25,4.25,8200
2012-03-30,4.19,4.3,3.85,3.85,3.85,4000
2012-04-02,3.86,4.34,3.86,3.97,3.97,4200
2012-04-03,4.23,4.24,3.89,3.92,3.92,12900
2012-04-04,4.03,4.6,3.78,4.6,4.6,35000
2012-04-05,4.5,4.55,4.27,4.5,4.5,27600
2012-04-09,4.48,4.5,4.44,4.49,4.49,8600
2012-04-10,4.5,4.5,4.47,4.5,4.5,2400
