Date,Open,High,Low,Close,Adj Close,Volume
2016-11-16,9.04,9.9,9.0,9.9,9.053905,2600
2016-11-17,9.02,15.79,9.02,15.314,14.0052,7400
2016-11-18,14.34,14.34,13.0,13.95,12.757773,700
2016-11-21,14.06,14.06,14.06,14.06,12.858375,200
2016-11-22,15.46,15.46,15.46,15.46,14.138723,100
2016-11-23,16.059999,16.110001,15.89,16.0,14.632573,1100
2016-11-25,16.0,16.0,16.0,16.0,14.632573,0
2016-11-28,15.484,15.87,15.484,15.87,14.513682,700
2016-11-29,15.87,15.87,15.87,15.87,14.513682,0
2016-11-30,15.49,15.49,15.0,15.0,13.718039,1500
2016-12-01,14.35,16.690001,12.565,12.95,11.84324,382700
2016-12-02,12.85,12.9,11.03,11.58,10.590324,329600
2016-12-05,11.28,11.28,10.36,10.64,9.730661,325500
2016-12-06,10.66,12.27,10.66,12.0,10.97443,216100
2016-12-07,12.0,12.93,11.99,12.52,11.449989,194600
2016-12-08,12.71,14.45,12.71,13.54,12.382814,351500
2016-12-09,13.9,14.44,13.824,14.36,13.132734,192200
2016-12-12,14.61,15.0,14.407,14.88,13.608293,224400
2016-12-13,14.88,15.0,14.181,14.24,13.022989,229900
2016-12-14,14.21,14.53,13.525,13.82,12.638885,182000
2016-12-15,13.79,14.17,13.6,13.72,12.547432,197300
2016-12-16,13.77,14.21,13.72,14.04,12.840084,494500
2016-12-19,13.99,14.26,13.83,13.95,12.757773,105500
2016-12-20,13.97,14.07,13.55,13.69,12.519995,94200
2016-12-21,13.6,13.79,13.07,13.3,12.163326,121400
2016-12-22,13.37,13.37,12.59,13.01,11.898111,84700
2016-12-23,13.31,14.1,13.31,14.0,12.803501,390400
2016-12-27,14.1,14.34,13.724,13.9,12.712045,288400
2016-12-28,14.0,14.05,13.77,13.93,12.739486,174700
2016-12-29,14.01,14.06,13.8,13.85,12.666321,64100
2016-12-30,13.84,14.09,13.75,14.04,12.840084,109000
2017-01-03,14.14,14.85,14.14,14.39,13.16017,317900
2017-01-04,14.45,15.01,14.45,14.8,13.535131,337500
2017-01-05,15.02,15.1,14.73,15.03,13.745472,463500
2017-01-06,15.07,15.39,14.82,15.33,14.019835,172500
2017-01-09,15.33,16.139999,15.05,15.89,14.531975,91500
2017-01-10,15.98,16.18,15.66,15.84,14.486247,153300
2017-01-11,15.9,16.094999,15.21,15.75,14.403938,120600
2017-01-12,15.74,16.0,15.73,15.87,14.513682,181500
2017-01-13,15.9,16.129999,15.82,15.97,14.605137,74100
2017-01-17,16.110001,16.6,15.895,16.559999,15.144711,101100
2017-01-18,16.6,17.34,16.469999,17.040001,15.58369,155800
2017-01-19,17.1,17.35,16.959999,17.07,15.611126,144500
2017-01-20,17.08,17.299999,16.641001,17.17,15.702578,92200
2017-01-23,17.16,17.299999,17.030001,17.09,15.629415,106900
2017-01-24,17.190001,17.98,17.190001,17.940001,16.406771,85100
2017-01-25,17.950001,18.167999,17.950001,18.110001,16.562244,76400
2017-01-26,18.049999,18.09,17.799999,17.98,16.443354,138400
2017-01-27,17.959999,18.23,17.940001,18.1,16.553099,138900
2017-01-30,17.98,18.23,17.745001,17.780001,16.26045,228100
2017-01-31,17.700001,17.860001,17.26,17.379999,15.894633,92400
2017-02-01,17.57,17.719999,17.231001,17.459999,15.967793,80800
2017-02-02,17.5,17.5,17.07,17.09,15.629415,99600
2017-02-03,17.209999,17.440001,17.049999,17.4,15.912923,70200
2017-02-06,17.4,17.709999,17.379999,17.4,15.912923,90300
2017-02-07,17.49,17.629999,17.110001,17.280001,15.803182,151400
2017-02-08,17.190001,17.700001,16.82,17.58,16.077543,352500
2017-02-09,17.66,17.879999,17.65,17.799999,16.278738,88600
2017-02-10,17.799999,18.0,17.73,17.790001,16.269594,112300
2017-02-13,17.860001,18.0,17.75,17.969999,16.434208,115800
2017-02-14,17.940001,18.32,17.940001,18.209999,16.653698,94500
2017-02-15,18.33,18.360001,18.120001,18.25,16.690277,97000
2017-02-16,18.219999,18.440001,18.18,18.309999,16.74515,118800
2017-02-17,18.43,18.59,18.309999,18.51,16.928059,91700
