Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,24.0,24.1,21.5,23.799999,23.799999,18770
2012-02-07,24.0,24.0,23.299999,23.6,23.6,5660
2012-02-08,23.6,24.4,23.299999,23.700001,23.700001,13530
2012-02-09,23.799999,24.0,23.200001,23.4,23.4,5010
2012-02-10,23.0,23.6,21.6,23.1,23.1,9670
2012-02-13,22.5,22.5,21.700001,22.1,22.1,33920
2012-02-14,21.9,22.1,21.4,22.0,22.0,31260
2012-02-15,22.1,22.5,21.5,21.6,21.6,9900
2012-02-16,21.700001,22.299999,21.6,22.200001,22.200001,7270
2012-02-17,22.299999,22.4,21.6,22.299999,22.299999,7960
2012-02-21,22.299999,22.299999,21.6,21.700001,21.700001,4960
2012-02-22,21.6,22.4,21.5,21.700001,21.700001,6820
2012-02-23,21.700001,22.1,21.700001,21.799999,21.799999,5940
2012-02-24,21.799999,22.5,21.200001,22.1,22.1,11920
2012-02-27,22.1,23.200001,22.1,22.5,22.5,23670
2012-02-28,22.6,22.6,22.1,22.200001,22.200001,4700
2012-02-29,22.299999,23.200001,21.700001,22.200001,22.200001,11710
2012-03-01,22.299999,22.299999,19.5,19.799999,19.799999,38570
2012-03-02,20.0,20.9,19.6,19.6,19.6,17040
2012-03-05,20.0,20.200001,19.6,19.9,19.9,8630
2012-03-06,19.700001,19.700001,18.200001,18.4,18.4,20180
2012-03-07,17.0,18.200001,16.5,17.799999,17.799999,24480
2012-03-08,18.0,18.799999,17.6,18.5,18.5,9880
2012-03-09,18.5,19.6,18.4,19.200001,19.200001,5760
2012-03-12,19.1,20.0,18.9,19.200001,19.200001,4730
2012-03-13,19.1,19.799999,18.700001,19.200001,19.200001,10480
2012-03-14,19.1,19.299999,18.6,18.6,18.6,6740
2012-03-15,18.799999,18.799999,17.9,18.5,18.5,10950
2012-03-16,18.6,18.6,18.0,18.4,18.4,11560
2012-03-19,18.1,19.700001,18.1,18.799999,18.799999,8100
2012-03-20,18.5,18.6,17.200001,17.799999,17.799999,25810
2012-03-21,17.799999,17.9,17.1,17.4,17.4,10570
2012-03-22,17.1,17.5,17.0,17.4,17.4,10120
2012-03-23,17.4,18.9,17.200001,18.4,18.4,9810
2012-03-26,18.799999,20.5,18.799999,20.5,20.5,23080
2012-03-27,21.0,22.0,19.700001,20.200001,20.200001,25760
2012-03-28,20.299999,20.299999,19.5,19.700001,19.700001,9590
2012-03-29,19.5,21.0,19.200001,20.700001,20.700001,11990
2012-03-30,21.799999,21.799999,20.299999,20.9,20.9,10460
2012-04-02,20.9,21.4,20.4,21.299999,21.299999,11300
2012-04-03,21.200001,21.4,20.6,21.0,21.0,9600
2012-04-04,20.5,21.200001,20.200001,20.799999,20.799999,12220
2012-04-05,20.700001,21.200001,20.5,21.1,21.1,5700
