Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,20.799999,21.5,16.1,17.540001,17.540001,1737000
2020-07-27,17.93,22.190001,17.5,18.4,18.4,573100
2020-07-28,18.4,18.809999,17.25,18.16,18.16,128500
2020-07-29,18.4,19.26,18.290001,18.799999,18.799999,154000
2020-07-30,19.25,20.799999,18.709999,19.879999,19.879999,97800
2020-07-31,19.9,20.700001,19.01,19.549999,19.549999,55400
2020-08-03,19.5,23.32,18.209999,22.049999,22.049999,76900
2020-08-04,22.49,24.799999,20.370001,24.73,24.73,219100
2020-08-05,24.360001,25.9,22.42,22.43,22.43,75500
2020-08-06,22.42,24.690001,22.290001,22.49,22.49,127800
2020-08-07,22.360001,23.0,21.488001,22.41,22.41,98000
2020-08-10,22.120001,25.295,21.99,24.209999,24.209999,151000
2020-08-11,24.690001,25.815001,22.565001,24.9,24.9,100100
2020-08-12,25.34,27.120001,24.575001,27.040001,27.040001,77300
2020-08-13,27.049999,27.85,26.09,26.75,26.75,118000
2020-08-14,26.74,27.52,24.75,26.35,26.35,75200
2020-08-17,26.389999,31.27,25.540001,29.0,29.0,99700
2020-08-18,29.76,31.09,28.0,28.799999,28.799999,203900
2020-08-19,28.5,29.0,27.52,28.41,28.41,56700
2020-08-20,28.08,28.889999,26.18,28.32,28.32,48600
2020-08-21,28.049999,28.650999,27.4,28.309999,28.309999,89900
2020-08-24,28.280001,31.65,28.110001,28.540001,28.540001,87000
2020-08-25,28.540001,28.635,26.360001,27.73,27.73,62700
2020-08-26,27.6,29.049999,26.83,28.639999,28.639999,15600
2020-08-27,29.0,29.01,27.291,28.49,28.49,15600
2020-08-28,28.620001,29.68,28.5,28.719999,28.719999,61500
2020-08-31,29.0,30.424999,29.0,29.98,29.98,51000
2020-09-01,30.0,30.58,29.27,30.200001,30.200001,46500
2020-09-02,30.4,30.5,29.09,29.290001,29.290001,48800
2020-09-03,28.940001,30.959999,28.51,29.200001,29.200001,34000
2020-09-04,28.629999,28.66,24.6,27.629999,27.629999,160800
2020-09-08,27.02,29.084999,26.35,28.6,28.6,94100
2020-09-09,28.48,30.059999,24.610001,25.459999,25.459999,145700
2020-09-10,25.18,26.629999,23.889999,24.950001,24.950001,51000
2020-09-11,24.73,25.0,24.01,24.23,24.23,56400
2020-09-14,24.940001,25.5,23.459999,24.23,24.23,81000
2020-09-15,24.190001,25.190001,21.115,23.530001,23.530001,75300
2020-09-16,23.450001,25.334999,21.940001,22.459999,22.459999,109700
2020-09-17,22.459999,25.09,21.620001,24.4,24.4,106700
2020-09-18,24.4,25.18,23.02,23.969999,23.969999,1103800
2020-09-21,23.07,24.0,20.569,20.799999,20.799999,87500
2020-09-22,21.1,23.610001,20.51,22.65,22.65,76300
2020-09-23,22.440001,22.959999,21.257999,21.690001,21.690001,39400
2020-09-24,21.219999,23.1,21.219999,22.25,22.25,19300
2020-09-25,21.83,22.76,21.25,22.0,22.0,13900
2020-09-28,21.93,24.0,21.93,23.879999,23.879999,75400
2020-09-29,23.5,24.34,22.799999,23.91,23.91,121500
2020-09-30,23.85,26.4,23.094999,26.290001,26.290001,79400
2020-10-01,26.25,26.35,24.040001,24.33,24.33,68100
2020-10-02,23.459999,24.5,20.76,21.0,21.0,54700
2020-10-05,20.84,22.68,19.75,19.950001,19.950001,68700
2020-10-06,19.76,22.17,19.629999,20.1,20.1,227400
2020-10-07,19.58,22.07,19.58,21.629999,21.629999,60900
2020-10-08,21.66,24.08,21.0,23.58,23.58,59700
2020-10-09,23.469999,24.215,21.33,22.1,22.1,47000
2020-10-12,21.99,24.537001,21.700001,24.049999,24.049999,30900
2020-10-13,23.690001,23.690001,21.43,21.700001,21.700001,64700
2020-10-14,21.530001,22.415001,21.48,22.0,22.0,13400
2020-10-15,21.52,22.120001,20.799999,22.120001,22.120001,21100
2020-10-16,22.07,23.375,22.07,23.190001,23.190001,63200
2020-10-19,23.190001,24.370001,23.0,23.57,23.57,106800
2020-10-20,23.497999,24.225,22.549999,23.23,23.23,21000
2020-10-21,22.6,23.67,22.6,23.23,23.23,24100
2020-10-22,23.309999,24.200001,23.120001,23.540001,23.540001,24300
2020-10-23,23.59,24.49,23.379999,23.75,23.75,21000
2020-10-26,23.9,24.440001,23.030001,23.610001,23.610001,16700
2020-10-27,23.459999,24.025999,22.99,23.360001,23.360001,39700
2020-10-28,22.74,23.85,22.23,23.219999,23.219999,126200
2020-10-29,22.84,24.58,22.257,24.15,24.15,84000
2020-10-30,23.780001,24.218,22.5,22.969999,22.969999,22400
2020-11-02,22.99,24.299999,22.99,23.65,23.65,43300
2020-11-03,24.219999,24.219999,23.25,23.98,23.98,30200
2020-11-04,23.43,24.9,22.809999,24.059999,24.059999,27000
2020-11-05,24.09,25.225,23.690001,24.639999,24.639999,172100
2020-11-06,24.5,25.469999,23.559999,23.700001,23.700001,15000
2020-11-09,24.129999,25.6,23.66,23.66,23.66,32100
2020-11-10,23.77,25.48,23.77,24.24,24.24,25600
2020-11-11,24.040001,24.487,23.799999,24.030001,24.030001,11400
2020-11-12,23.559999,25.135,23.559999,24.059999,24.059999,22500
2020-11-13,24.74,25.49,23.959999,24.66,24.66,26800
2020-11-16,25.469999,25.49,24.41,25.26,25.26,22800
2020-11-17,25.139999,27.003,24.030001,26.530001,26.530001,40900
2020-11-18,26.719999,27.52,26.58,26.84,26.84,29900
2020-11-19,27.219999,27.549999,26.92,27.549999,27.549999,81100
2020-11-20,26.940001,28.26,26.58,26.98,26.98,96600
2020-11-23,27.35,27.35,25.67,25.84,25.84,26900
2020-11-24,25.549999,27.299,25.549999,26.450001,26.450001,28300
2020-11-25,26.455,26.74,25.92,26.110001,26.110001,19500
2020-11-27,26.02,26.5,25.66,26.23,26.23,19500
2020-11-30,26.139999,27.025,25.879,26.02,26.02,23100
2020-12-01,27.193001,27.193001,25.559999,25.559999,25.559999,12300
2020-12-02,25.549999,25.549999,23.82,24.040001,24.040001,34400
2020-12-03,24.059999,25.41,24.059999,25.34,25.34,13400
2020-12-04,24.865,25.219999,23.76,24.34,24.34,20600
2020-12-07,24.379999,24.950001,23.77,24.57,24.57,10800
2020-12-08,24.549999,25.4,24.549999,25.23,25.23,10900
2020-12-09,25.309999,25.549999,23.620001,23.620001,23.620001,18500
2020-12-10,23.856001,23.93,21.695,22.690001,22.690001,50300
2020-12-11,22.65,23.035999,21.74,22.120001,22.120001,17600
2020-12-14,22.879999,23.85,22.58,23.389999,23.389999,45500
2020-12-15,23.82,24.549999,23.73,23.76,23.76,40800
2020-12-16,24.18,24.209999,23.73,23.83,23.83,17600
2020-12-17,24.290001,24.549999,23.6,24.02,24.02,40000
2020-12-18,24.360001,24.549999,21.01,21.6,21.6,341700
2020-12-21,21.4,21.6,19.4,20.280001,20.280001,81500
2020-12-22,20.66,24.110001,20.66,24.0,24.0,46900
2020-12-23,23.895,25.959999,23.870001,25.790001,25.790001,30200
2020-12-24,26.379,26.379,24.77,24.77,24.77,7700
2020-12-28,24.719999,25.165001,23.549999,24.59,24.59,24200
2020-12-29,24.6,25.1,24.115,24.23,24.23,18500
2020-12-30,24.48,24.48,21.559999,21.639999,21.639999,39400
2020-12-31,22.07,22.07,20.16,20.639999,20.639999,37600
2021-01-04,21.52,24.07,20.868,23.370001,23.370001,48700
2021-01-05,23.93,24.67,23.374001,24.15,24.15,32500
2021-01-06,24.35,26.620001,23.809999,26.549999,26.549999,42300
2021-01-07,26.059999,26.389999,24.65,25.49,25.49,14700
2021-01-08,25.799999,26.51,25.190001,26.08,26.08,12600
2021-01-11,25.200001,26.360001,25.200001,25.93,25.93,10500
2021-01-12,25.700001,27.540001,25.700001,26.629999,26.629999,74300
2021-01-13,26.559999,27.379999,26.219999,26.799999,26.799999,28100
2021-01-14,27.049999,27.209999,25.68,26.450001,26.450001,11400
2021-01-15,26.16,29.459999,25.17,27.9,27.9,49700
2021-01-19,27.93,28.1,25.799999,26.32,26.32,39000
2021-01-20,26.879999,28.42,26.01,27.17,27.17,45200
2021-01-21,26.030001,27.059999,26.030001,26.35,26.35,12300
2021-01-22,25.84,26.77,25.84,26.5,26.5,19600
2021-01-25,26.209999,27.07,25.84,26.26,26.26,11800
2021-01-26,26.23,26.99,24.9,25.209999,25.209999,18100
2021-01-27,24.559999,25.525,23.6,23.780001,23.780001,53100
2021-01-28,24.18,24.700001,22.6,22.879999,22.879999,32500
2021-01-29,22.719999,22.719999,20.83,21.040001,21.040001,100000
2021-02-01,21.07,23.549999,20.549999,22.0,22.0,469500
2021-02-02,22.190001,23.1,21.58,22.610001,22.610001,62200
2021-02-03,22.309999,22.66,21.379999,21.530001,21.530001,188600
2021-02-04,21.5,22.049999,20.280001,21.01,21.01,190100
2021-02-05,21.360001,22.549999,21.253,22.27,22.27,192900
2021-02-08,22.549999,22.549999,21.1,21.700001,21.700001,91900
2021-02-09,21.700001,21.799999,20.24,21.459999,21.459999,101000
2021-02-10,21.66,21.91,20.549999,20.709999,20.709999,49800
2021-02-11,21.01,21.200001,19.6,19.959999,19.959999,49600
2021-02-12,19.9,20.540001,19.719999,20.43,20.43,27300
2021-02-16,20.43,20.450001,19.913,20.120001,20.120001,31100
2021-02-17,20.01,20.42,20.0,20.08,20.08,21200
2021-02-18,20.08,21.15,20.0,20.549999,20.549999,75400
2021-02-19,20.48,21.4,20.41,20.67,20.67,23100
2021-02-22,20.73,21.92,20.73,21.08,21.08,74100
2021-02-23,21.030001,21.459999,20.01,21.15,21.15,116100
2021-02-24,20.879999,22.379999,20.879999,21.93,21.93,35700
2021-02-25,21.91,21.91,20.75,20.889999,20.889999,36300
2021-02-26,20.73,21.48,19.905001,20.0,20.0,43300
2021-03-01,19.9,21.85,19.9,20.1,20.1,75200
2021-03-02,20.34,20.440001,20.0,20.049999,20.049999,39900
2021-03-03,20.049999,20.514999,20.01,20.290001,20.290001,48400
2021-03-04,20.15,20.93,19.77,19.780001,19.780001,54000
2021-03-05,20.09,20.450001,18.76,20.33,20.33,82200
2021-03-08,20.27,20.389999,19.610001,19.74,19.74,45500
2021-03-09,19.950001,21.02,19.940001,20.129999,20.129999,51600
2021-03-10,20.715,20.715,19.757,20.0,20.0,65500
2021-03-11,20.5,21.17,20.360001,20.92,20.92,43900
2021-03-12,20.870001,21.34,20.701,21.25,21.25,17800
2021-03-15,20.950001,22.34,20.950001,21.719999,21.719999,33100
2021-03-16,21.540001,23.0,20.754999,22.129999,22.129999,28100
2021-03-17,22.450001,22.6,21.5,22.139999,22.139999,42700
2021-03-18,22.940001,22.940001,21.76,21.799999,21.799999,27600
2021-03-19,22.200001,22.629999,20.27,20.5,20.5,416400
2021-03-22,20.610001,21.5,20.014999,20.290001,20.290001,46700
2021-03-23,19.950001,20.360001,17.950001,18.09,18.09,44400
2021-03-24,18.559999,18.825001,17.65,17.77,17.77,19700
2021-03-25,18.315001,19.459999,17.735001,19.059999,19.059999,48500
2021-03-26,18.73,19.245001,18.295,18.889999,18.889999,18800
2021-03-29,18.695,19.110001,17.76,17.83,17.83,44600
2021-03-30,17.549999,18.74,17.549999,18.33,18.33,23300
2021-03-31,18.725,20.389999,18.725,19.799999,19.799999,45000
2021-04-01,19.02,20.84,19.02,20.5,20.5,114600
2021-04-05,20.620001,21.99,20.34,21.129999,21.129999,107000
2021-04-06,21.049999,21.68,20.290001,21.200001,21.200001,30100
2021-04-07,20.99,20.99,19.485001,20.0,20.0,76100
2021-04-08,20.049999,20.360001,19.040001,19.280001,19.280001,17900
2021-04-09,19.33,19.370001,18.74,19.02,19.02,16200
2021-04-12,19.530001,19.559999,18.57,18.75,18.75,35600
2021-04-13,18.57,19.325001,18.309999,19.09,19.09,26200
2021-04-14,19.483,19.504999,18.799999,18.889999,18.889999,10400
2021-04-15,18.860001,20.549999,18.355,20.049999,20.049999,35000
2021-04-16,20.559999,20.98,18.245001,18.6,18.6,38500
2021-04-19,18.51,19.0,17.565001,18.15,18.15,17400
2021-04-20,18.5,18.5,17.83,18.07,18.07,7900
2021-04-21,18.389999,19.18,18.389999,18.780001,18.780001,13800
2021-04-22,18.790001,19.360001,18.4,18.83,18.83,9500
2021-04-23,19.110001,19.290001,18.549999,18.74,18.74,12200
2021-04-26,19.01,19.48,18.17,19.09,19.09,9600
2021-04-27,19.309999,19.309999,18.190001,18.83,18.83,23600
2021-04-28,18.51,18.780001,17.76,17.860001,17.860001,19000
2021-04-29,18.08,18.639999,17.92,18.33,18.33,74200
2021-04-30,18.280001,18.860001,18.24,18.48,18.48,106400
2021-05-03,18.450001,18.82,16.57,17.43,17.43,64200
2021-05-04,17.98,18.290001,17.0,17.309999,17.309999,41200
2021-05-05,17.190001,17.799999,16.52,17.49,17.49,109000
2021-05-06,17.32,17.5,15.64,16.370001,16.370001,48400
2021-05-07,15.93,16.25,15.55,16.139999,16.139999,44600
2021-05-10,16.474001,16.474001,15.5,16.0,16.0,93300
2021-05-11,15.9,16.219999,15.7,16.15,16.15,24800
2021-05-12,16.049999,16.25,15.65,15.85,15.85,42000
2021-05-13,16.24,16.309999,14.51,15.19,15.19,43700
2021-05-14,15.5,16.35,15.12,15.84,15.84,28300
2021-05-17,15.57,16.389999,15.45,15.9,15.9,13700
2021-05-18,15.91,16.530001,15.67,15.95,15.95,10500
2021-05-19,15.55,16.1,15.16,15.67,15.67,24600
2021-05-20,16.329,16.329,15.744,16.059999,16.059999,38300
2021-05-21,16.4,16.4,15.7,15.75,15.75,16300
2021-05-24,15.98,17.26,15.83,17.25,17.25,24300
2021-05-25,17.17,17.17,16.209999,16.32,16.32,33800
2021-05-26,16.469999,16.870001,16.073,16.549999,16.549999,20200
2021-05-27,16.66,17.530001,16.639999,17.110001,17.110001,35600
2021-05-28,17.23,17.23,16.280001,16.360001,16.360001,15500
2021-06-01,16.33,17.719999,15.97,16.18,16.18,36200
2021-06-02,16.18,16.959999,15.78,16.34,16.34,29100
2021-06-03,16.379999,16.865,15.82,16.41,16.41,39600
2021-06-04,17.879999,17.879999,16.49,16.559999,16.559999,63100
2021-06-07,16.440001,18.26,16.440001,17.92,17.92,69000
2021-06-08,17.9,18.25,16.780001,17.42,17.42,27600
2021-06-09,17.73,18.42,17.41,17.629999,17.629999,49500
2021-06-10,17.870001,18.35,17.440001,18.190001,18.190001,153900
2021-06-11,18.120001,18.120001,16.209999,16.66,16.66,56600
2021-06-14,16.66,16.879999,16.139999,16.85,16.85,44300
2021-06-15,16.709999,17.190001,16.450001,17.129999,17.129999,97900
2021-06-16,17.040001,17.040001,15.76,16.040001,16.040001,37500
2021-06-17,15.98,16.360001,15.59,16.040001,16.040001,90600
2021-06-18,15.7,16.24,14.95,15.43,15.43,225000
2021-06-21,15.58,15.58,14.56,15.48,15.48,160800
2021-06-22,15.51,16.26,15.45,16.120001,16.120001,110700
2021-06-23,16.200001,17.120001,16.15,17.120001,17.120001,56900
2021-06-24,17.17,17.48,16.26,16.42,16.42,27800
2021-06-25,16.52,17.5,16.52,16.950001,16.950001,640900
2021-06-28,16.82,16.99,16.690001,16.77,16.77,35800
2021-06-29,16.860001,17.049999,16.799999,17.0,17.0,30500
2021-06-30,16.940001,17.389999,16.940001,17.040001,17.040001,26000
2021-07-01,17.290001,17.43,16.790001,17.1,17.1,24900
2021-07-02,17.15,17.472,16.475,17.0,17.0,13200
2021-07-06,17.030001,17.15,16.870001,17.0,17.0,23100
2021-07-07,17.389999,17.389999,16.049999,17.01,17.01,22100
2021-07-08,16.98,17.450001,16.959999,17.360001,17.360001,19500
2021-07-09,17.48,17.59,16.993999,17.540001,17.540001,14600
2021-07-12,17.49,17.84,17.065001,17.620001,17.620001,25500
2021-07-13,17.48,18.24,17.48,18.219999,18.219999,30500
2021-07-14,18.32,18.32,17.834999,18.0,18.0,48600
2021-07-15,18.0,18.32,17.75,18.184999,18.184999,33900
2021-07-16,18.33,18.33,17.733,18.049999,18.049999,53800
2021-07-19,17.75,18.4,17.75,18.34,18.34,64500
2021-07-20,18.42,18.549999,17.57,18.450001,18.450001,130100
2021-07-21,18.450001,19.530001,18.205,19.4,19.4,50500
2021-07-22,19.24,19.25,18.655001,19.030001,19.030001,79300
2021-07-23,19.24,19.58,18.32,19.030001,19.030001,73200
2021-07-26,19.030001,19.459999,18.674999,19.200001,19.200001,92200
2021-07-27,19.059999,19.059999,16.1,17.030001,17.030001,350200
2021-07-28,16.93,17.219999,16.67,17.139999,17.139999,38300
2021-07-29,17.190001,17.799999,16.9,17.059999,17.059999,25400
2021-07-30,16.91,17.23,16.41,16.77,16.77,97700
2021-08-02,16.715,17.049999,15.81,15.91,15.91,58300
2021-08-03,16.0,16.629999,15.805,16.58,16.58,45800
2021-08-04,16.370001,16.9,15.35,15.44,15.44,29600
2021-08-05,15.89,16.280001,15.665,15.85,15.85,11200
2021-08-06,15.84,16.415001,15.68,16.26,16.26,25900
2021-08-09,16.059999,17.129999,16.059999,16.790001,16.790001,22200
2021-08-10,16.790001,16.837,15.84,15.99,15.99,21700
2021-08-11,15.87,16.15,15.45,15.95,15.95,19500
2021-08-12,16.15,16.52,16.02,16.27,16.27,25400
2021-08-13,16.290001,16.43,15.45,15.88,15.88,12400
2021-08-16,15.69,15.73,15.3,15.53,15.53,8300
2021-08-17,15.3,15.3,14.83,15.05,15.05,20200
2021-08-18,15.05,15.745,14.9,15.25,15.25,64300
2021-08-19,14.815,15.0,14.59,14.72,14.72,17500
2021-08-20,14.58,15.76,14.58,15.48,15.48,26300
2021-08-23,15.75,16.33,15.75,15.99,15.99,15400
2021-08-24,15.95,16.27,15.605,16.059999,16.059999,25800
2021-08-25,15.91,16.0,15.65,15.81,15.81,12100
2021-08-26,15.65,16.379999,15.58,15.65,15.65,19200
2021-08-27,15.83,16.299999,15.48,16.1,16.1,35600
2021-08-30,16.299999,16.540001,15.8,16.01,16.01,45700
2021-08-31,16.059999,16.450001,15.4,15.42,15.42,16700
2021-09-01,15.19,15.74,14.66,15.16,15.16,47100
2021-09-02,15.08,15.86,15.07,15.86,15.86,13200
2021-09-03,15.66,16.25,15.66,16.030001,16.030001,15600
2021-09-07,16.25,17.51,16.08,17.190001,17.190001,50500
2021-09-08,16.48,16.48,13.41,14.67,14.67,450500
2021-09-09,14.67,17.549999,13.53,13.91,13.91,218700
2021-09-10,13.9,14.0,12.06,12.42,12.42,106100
