Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,17.76,17.76,17.290001,17.49,14.709761,74700
2012-02-07,17.469999,17.469999,16.83,17.299999,14.549961,68800
2012-02-08,17.370001,17.4,16.68,17.18,14.449036,62500
2012-02-09,17.15,17.540001,16.83,17.379999,14.617242,48800
2012-02-10,17.110001,17.110001,16.790001,16.9,14.213546,70800
2012-02-13,17.110001,17.58,16.870001,17.059999,14.348115,66000
2012-02-14,17.0,17.120001,16.5,17.059999,14.348115,57900
2012-02-15,17.129999,17.25,16.74,16.99,14.289235,43000
2012-02-16,17.0,17.85,17.0,17.84,15.004123,43000
2012-02-17,17.92,17.92,17.190001,17.459999,14.684525,62300
2012-02-21,17.42,17.629999,16.9,17.09,14.373343,94100
2012-02-22,17.08,17.5,16.799999,17.129999,14.406985,100300
2012-02-23,17.15,17.57,16.969999,17.540001,14.75181,50100
2012-02-24,17.59,17.6,17.129999,17.25,14.50791,35200
2012-02-27,17.200001,17.67,16.969999,17.35,14.59201,70600
2012-02-28,17.35,17.370001,16.889999,17.08,14.364928,133000
2012-02-29,17.120001,17.290001,16.82,16.870001,14.188314,89600
2012-03-01,16.959999,17.18,16.65,16.73,14.070569,48700
2012-03-02,16.68,16.950001,15.95,16.219999,13.641638,112000
2012-03-05,16.190001,16.370001,16.01,16.33,13.734159,52700
2012-03-06,16.110001,16.17,15.82,16.09,13.532304,40200
2012-03-07,16.15,16.280001,16.01,16.139999,13.574355,49800
2012-03-08,16.299999,16.309999,15.95,16.280001,13.692104,61300
2012-03-09,16.280001,16.459999,16.15,16.42,13.809846,101100
2012-03-12,16.42,16.42,16.110001,16.360001,13.759385,57700
2012-03-13,16.110001,16.389999,15.8,16.32,13.725743,150300
2012-03-14,16.07,16.32,15.82,15.88,13.35569,354700
2012-03-15,15.87,16.16,15.49,16.0,13.456614,220200
2012-03-16,16.09,16.09,15.66,15.83,13.313634,222000
2012-03-19,15.82,16.139999,15.78,15.87,13.347275,102600
2012-03-20,15.76,15.78,15.5,15.53,13.061323,97800
2012-03-21,15.49,15.6,15.12,15.13,12.724908,223800
2012-03-22,15.04,15.21,15.0,15.07,12.674446,154000
2012-03-23,15.11,15.66,15.11,15.58,13.103377,108200
2012-03-26,15.78,16.1,15.78,16.09,13.532304,165600
2012-03-27,16.16,16.360001,15.91,15.93,13.39774,83400
2012-03-28,15.92,16.09,15.49,15.67,13.245592,120200
2012-03-29,15.56,15.73,15.3,15.63,13.211779,81600
2012-03-30,15.74,15.79,15.63,15.69,13.26249,73400
2012-04-02,15.64,16.110001,15.63,16.08,13.592154,276600
2012-04-03,16.02,16.120001,15.84,16.01,13.532984,64000
2012-04-04,15.8,15.88,15.63,15.76,13.321665,44000
2012-04-05,15.68,16.16,15.6,16.120001,13.62597,103800
2012-04-09,15.82,16.030001,15.82,15.98,13.507626,81100
2012-04-10,15.91,15.99,15.57,15.69,13.26249,79200
2012-04-11,15.9,15.9,15.72,15.88,13.4231,44600
2012-04-12,15.91,16.190001,15.85,16.110001,13.617516,48300
2012-04-13,15.98,15.98,15.78,15.85,13.397741,44600
2012-04-16,15.91,16.27,15.82,16.200001,13.693587,98100
2012-04-17,16.280001,16.5,16.24,16.280001,13.761213,46100
2012-04-18,16.26,16.26,15.98,16.120001,13.62597,57300
2012-04-19,16.120001,16.139999,15.88,15.94,13.473816,71500
2012-04-20,16.25,16.25,15.86,16.049999,13.566795,62900
2012-04-23,15.63,15.94,15.39,15.47,13.07653,75200
2012-04-24,15.51,15.81,15.51,15.72,13.287853,49300
2012-04-25,16.02,16.209999,15.9,16.110001,13.617516,32200
2012-04-26,16.09,16.129999,15.76,15.77,13.330114,40100
2012-04-27,15.82,16.15,15.69,15.92,13.456909,87500
2012-04-30,15.92,15.94,15.71,15.75,13.31321,83000
2012-05-01,15.75,16.0,15.55,15.61,13.194873,77000
2012-05-02,15.5,15.69,15.42,15.65,13.22868,64400
2012-05-03,15.59,15.61,15.37,15.48,13.084985,56000
2012-05-04,15.37,15.39,15.01,15.2,12.848306,67200
2012-05-07,15.08,15.57,15.08,15.44,13.051171,47000
2012-05-08,15.25,15.95,15.25,15.83,13.380833,99600
2012-05-09,15.58,16.059999,15.58,15.81,13.363927,66000
2012-05-10,16.0,16.200001,15.35,16.0,13.524533,129000
2012-05-11,15.87,16.07,15.37,15.6,13.18642,71100
2012-05-14,15.42,15.73,15.42,15.48,13.084985,66500
