Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,6.076893,6.076893,5.978815,5.990585,4.697968,405801
2012-02-07,5.978815,6.080816,5.974892,5.998431,4.704122,299762
2012-02-08,6.006277,6.07297,5.970969,6.0102,4.71335,251586
2012-02-09,6.002354,6.021969,5.967046,5.970969,4.682586,344115
2012-02-10,5.904276,5.963123,5.89643,5.89643,4.624129,147332
2012-02-13,5.9592,5.978815,5.853276,5.927815,4.648741,434859
2012-02-14,5.900353,5.900353,5.829737,5.857199,4.593363,466467
2012-02-15,5.888584,5.923892,5.829737,5.857199,4.593363,576074
2012-02-16,5.876814,5.943507,5.865045,5.916046,4.639513,831229
2012-02-17,5.943507,6.014123,5.912122,5.986661,4.69489,308939
2012-02-21,5.986661,6.0102,5.884661,5.900353,4.627205,458310
2012-02-22,5.884661,5.89643,5.770891,5.790506,4.541061,372919
2012-02-23,5.810122,5.865045,5.78266,5.821891,4.565674,508271
2012-02-24,5.817968,5.900353,5.747352,5.790506,4.541061,394075
2012-02-27,5.739506,5.821891,5.692428,5.790506,4.541061,461624
2012-02-28,5.78266,5.84543,5.751275,5.766967,4.522601,365272
2012-02-29,5.78266,5.837583,5.700275,5.715967,4.482606,556702
2012-03-01,5.735583,5.766967,5.65712,5.664967,4.442611,626034
2012-03-02,5.641428,5.676736,5.566889,5.590428,4.384155,633681
2012-03-05,5.562966,5.633582,5.535504,5.613966,4.402614,582956
2012-03-06,5.578658,5.610043,5.551197,5.590428,4.384155,851366
2012-03-07,5.625736,5.661044,5.582581,5.649274,4.430305,520506
2012-03-08,5.680659,5.731659,5.594351,5.625736,4.411846,355840
2012-03-09,5.629659,5.735583,5.602197,5.723813,4.488761,674720
2012-03-12,5.731659,5.735583,5.66889,5.700275,4.4703,629603
2012-03-13,5.747352,5.821891,5.723813,5.806199,4.553369,812621
2012-03-14,5.802275,5.841506,5.751275,5.78266,4.534908,505977
2012-03-15,5.778737,5.861122,5.755198,5.853276,4.590286,870993
2012-03-16,5.876814,5.888584,5.821891,5.861122,4.59644,1243147
2012-03-19,5.849353,5.912122,5.810122,5.900353,4.627205,660191
2012-03-20,5.857199,5.908199,5.821891,5.865045,4.599516,531467
2012-03-21,5.876814,5.89643,5.821891,5.876814,4.608747,494761
2012-03-22,5.841506,5.84543,5.766967,5.806199,4.553369,237057
2012-03-23,5.806199,5.857199,5.763044,5.853276,4.590286,260253
2012-03-26,5.892507,5.939584,5.861122,5.919969,4.642589,359919
2012-03-27,5.931738,5.967046,5.865045,5.904276,4.630282,338507
2012-03-28,5.904276,5.974892,5.888584,5.970969,4.682586,258724
2012-03-29,5.923892,5.939584,5.853276,5.927815,4.648741,358899
2012-03-30,5.974892,5.974892,5.84543,5.892507,4.621053,480741
2012-04-02,5.884661,5.963123,5.884661,5.935661,4.654894,346664
2012-04-03,5.935661,5.9592,5.89643,5.94743,4.664125,400193
2012-04-04,5.904276,5.927815,5.872891,5.884661,4.614899,423389
2012-04-05,5.876814,5.89643,5.849353,5.884661,4.614899,296704
2012-04-09,5.810122,5.916046,5.806199,5.884661,4.614899,666818
2012-04-10,5.89643,5.923892,5.884661,5.892507,4.621053,860797
2012-04-11,5.94743,5.974892,5.89643,5.935661,4.654894,446075
2012-04-12,5.927815,5.970969,5.912122,5.955277,4.670279,311998
2012-04-13,5.916046,5.943507,5.806199,5.817968,4.562598,380821
2012-04-16,5.829737,5.951353,5.814045,5.904276,4.630282,286763
2012-04-17,5.912122,6.041585,5.912122,5.978815,4.688739,379801
