Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,17.65,18.16,17.610001,17.940001,17.313686,131800
2012-02-07,17.9,17.969999,17.709999,17.719999,17.101368,124900
2012-02-08,17.709999,17.860001,17.530001,17.68,17.062763,71800
2012-02-09,17.790001,18.01,17.459999,17.559999,16.946957,105600
2012-02-10,17.370001,17.610001,17.370001,17.469999,16.860092,76100
2012-02-13,17.690001,17.780001,17.49,17.549999,16.937302,81800
2012-02-14,17.450001,17.5,17.26,17.4,16.792538,80600
2012-02-15,17.530001,17.530001,17.15,17.370001,16.763592,128600
2012-02-16,17.389999,17.799999,17.25,17.719999,17.101368,104900
2012-02-17,17.780001,17.84,17.559999,17.76,17.139977,96500
2012-02-21,17.76,17.76,17.030001,17.26,16.657425,120400
2012-02-22,17.219999,17.6,17.030001,17.129999,16.531961,128800
2012-02-23,17.16,17.370001,16.9,17.290001,16.686382,205600
2012-02-24,17.299999,17.65,17.23,17.58,16.966255,61100
2012-02-27,17.450001,17.610001,17.23,17.34,16.734638,58200
2012-02-28,17.32,17.48,17.01,17.110001,16.512663,83000
2012-02-29,17.09,17.299999,16.51,16.51,15.93361,159500
2012-03-01,16.57,16.82,16.42,16.48,15.90466,151000
2012-03-02,16.51,16.559999,16.09,16.1,15.537926,127300
2012-03-05,16.01,16.280001,15.79,15.8,15.248398,109100
2012-03-06,15.52,15.9,15.38,15.64,15.093986,177600
2012-03-07,15.75,15.75,15.43,15.54,14.997473,82200
2012-03-08,15.59,15.74,15.36,15.65,15.103633,181400
2012-03-09,15.61,16.059999,15.61,15.92,15.364209,199600
2012-03-12,15.9,15.98,15.72,15.9,15.344907,105300
2012-03-13,16.059999,16.370001,15.91,16.34,15.769547,182900
2012-03-14,16.379999,16.639999,16.299999,16.440001,15.866053,119300
2012-03-15,16.469999,17.040001,16.32,17.030001,16.435459,229000
2012-03-16,17.110001,17.790001,17.110001,17.76,17.139977,445500
2012-03-19,17.690001,18.190001,17.5,17.799999,17.178577,202800
2012-03-20,17.66,17.709999,17.48,17.610001,16.995213,107900
2012-03-21,17.610001,17.719999,17.4,17.49,16.879396,120000
2012-03-22,17.32,17.33,16.809999,16.9,16.309994,151400
2012-03-23,16.85,16.91,16.48,16.540001,15.962562,226100
2012-03-26,16.700001,17.530001,16.66,17.530001,16.918005,240900
2012-03-27,17.5,17.65,17.25,17.25,16.647778,227700
2012-03-28,17.27,17.459999,16.860001,16.99,16.396852,139100
2012-03-29,16.860001,16.91,16.610001,16.85,16.261744,139600
2012-03-30,16.98,16.98,16.530001,16.57,15.991515,165100
2012-04-02,16.48,16.58,16.290001,16.540001,15.962562,235400
2012-04-03,16.540001,16.540001,16.129999,16.23,15.675707,256800
2012-04-04,16.040001,16.129999,15.74,15.9,15.356978,129900
2012-04-05,15.84,15.95,15.64,15.82,15.279709,119800
2012-04-09,15.5,15.53,15.28,15.3,14.777467,216200
2012-04-10,15.3,15.37,14.94,15.09,14.574642,240300
2012-04-11,15.24,15.31,15.06,15.22,14.700203,117300
2012-04-12,15.22,15.62,15.21,15.52,14.989955,102800
2012-04-13,15.43,15.58,15.08,15.33,14.806441,418900
2012-04-16,15.44,15.5,15.17,15.37,14.845078,142400
2012-04-17,15.48,15.9,15.42,15.72,15.183124,104500
2012-04-18,15.61,15.79,15.47,15.48,14.951322,104800
2012-04-19,15.5,15.72,15.27,15.35,14.825761,104000
2012-04-20,15.52,15.83,15.42,15.77,15.231418,151900
2012-04-23,15.53,15.53,15.13,15.18,14.661567,143600
