Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,16.84,16.84,16.32,16.42,16.272015,402800
2012-02-07,16.42,16.610001,16.219999,16.5,16.351294,330200
2012-02-08,16.6,16.92,16.25,16.540001,16.390934,616700
2012-02-09,16.559999,16.719999,16.379999,16.610001,16.460302,288900
2012-02-10,16.41,16.440001,16.02,16.139999,15.994536,353600
2012-02-13,16.32,16.6,16.200001,16.59,16.440483,317100
2012-02-14,16.559999,16.690001,16.290001,16.450001,16.301744,255600
2012-02-15,16.51,16.51,16.129999,16.17,16.024267,325300
2012-02-16,16.219999,16.639999,16.059999,16.5,16.351294,390100
2012-02-17,16.57,16.6,16.26,16.299999,16.153097,425900
2012-02-21,16.32,16.52,16.209999,16.27,16.123365,255600
2012-02-22,16.200001,16.389999,15.59,15.59,15.449494,722300
2012-02-23,15.6,16.1,15.6,16.0,15.855801,459600
2012-02-24,16.23,16.23,15.86,16.1,15.954898,417500
2012-02-27,16.07,16.17,15.74,15.97,15.826071,721700
2012-02-28,16.18,16.450001,15.67,15.72,15.578324,682400
2012-02-29,15.81,16.48,15.67,16.110001,15.964809,1202700
2012-03-01,16.120001,16.379999,15.96,16.07,15.925168,425800
2012-03-02,16.15,16.15,15.96,15.99,15.84589,412700
2012-03-05,15.9,16.15,15.9,16.1,15.954898,288100
2012-03-06,15.9,16.15,15.85,15.89,15.746792,474800
2012-03-07,16.09,16.34,15.83,16.32,16.172916,347000
2012-03-08,16.48,18.15,16.459999,17.629999,17.471109,1381200
2012-03-09,17.879999,19.450001,17.719999,18.6,18.432367,1327600
2012-03-12,18.879999,18.9,18.27,18.629999,18.462097,511700
2012-03-13,19.0,19.67,18.91,19.58,19.403534,717100
2012-03-14,19.6,20.190001,19.48,19.719999,19.542273,685600
2012-03-15,19.68,19.9,19.49,19.790001,19.611643,640100
2012-03-16,20.0,20.34,19.780001,19.83,19.651285,838300
2012-03-19,20.040001,20.389999,19.629999,20.030001,19.849482,586800
2012-03-20,19.83,19.9,19.5,19.73,19.552181,254800
2012-03-21,19.77,20.01,19.459999,19.73,19.552181,325200
2012-03-22,19.530001,19.620001,18.9,19.16,18.987322,493700
2012-03-23,19.15,19.27,18.67,19.09,18.917952,517400
2012-03-26,19.48,19.48,18.959999,19.01,18.838671,387200
2012-03-27,19.129999,19.59,19.059999,19.15,18.977409,499400
2012-03-28,19.129999,19.26,18.879999,19.200001,19.02696,409000
2012-03-29,19.09,19.1,18.450001,18.940001,18.769304,566700
2012-03-30,19.040001,19.040001,18.690001,19.01,18.838671,411200
2012-04-02,18.889999,19.24,18.190001,18.5,18.333269,667400
2012-04-03,18.639999,18.639999,18.34,18.530001,18.362999,701800
2012-04-04,18.23,18.459999,17.780001,17.9,17.738678,693000
2012-04-05,17.860001,17.959999,17.549999,17.719999,17.560297,415000
2012-04-09,17.43,17.610001,17.17,17.33,17.173813,442600
2012-04-10,17.290001,17.48,16.860001,17.049999,16.896339,666100
2012-04-11,17.25,17.58,17.1,17.51,17.352192,442200
2012-04-12,17.49,17.92,17.49,17.84,17.679218,502800
2012-04-13,17.75,17.879999,17.700001,17.780001,17.619757,489000
2012-04-16,17.889999,18.040001,17.48,17.639999,17.481018,515600
2012-04-17,17.780001,17.9,17.6,17.629999,17.471109,535500
2012-04-18,17.530001,17.530001,17.24,17.309999,17.153994,385100
2012-04-19,17.280001,17.85,17.200001,17.73,17.570208,529100
2012-04-20,17.809999,18.049999,17.719999,17.99,17.827862,444400
2012-04-23,17.700001,17.719999,17.25,17.42,17.263,426300
2012-04-24,17.51,18.32,17.370001,17.959999,17.798134,624800
2012-04-25,18.129999,18.290001,17.92,17.940001,17.778318,628200
2012-04-26,17.9,18.059999,17.74,18.0,17.837774,641700
2012-04-27,18.059999,18.17,17.83,17.93,17.768408,431200
2012-04-30,17.940001,18.030001,17.65,17.83,17.669308,317300
2012-05-01,17.83,18.33,17.68,18.08,17.917055,587900
2012-05-02,17.969999,18.700001,17.83,18.389999,18.22426,933900
2012-05-03,18.66,18.719999,18.059999,18.120001,17.956694,758200
2012-05-04,17.92,18.34,17.76,18.280001,18.115253,1338800
2012-05-07,18.15,18.280001,17.969999,18.040001,17.877415,784100
2012-05-08,17.9,17.9,17.030001,17.379999,17.223362,842700
2012-05-09,17.25,17.34,16.91,17.219999,17.064806,748100
2012-05-10,17.450001,17.549999,16.98,17.41,17.253092,625400
2012-05-11,17.219999,17.65,17.139999,17.459999,17.302641,447500
2012-05-14,17.209999,17.52,17.08,17.25,17.094534,467200
2012-05-15,17.209999,17.51,17.110001,17.48,17.32246,527100
2012-05-16,17.530001,17.58,17.129999,17.15,16.995434,493100
2012-05-17,17.15,17.18,16.719999,16.76,16.60895,504700
2012-05-18,16.83,17.0,16.639999,16.690001,16.539583,386000
2012-05-21,16.690001,16.889999,16.629999,16.639999,16.490032,415300
2012-05-22,16.709999,16.719999,16.33,16.549999,16.400841,450700
2012-05-23,16.42,16.66,16.139999,16.610001,16.460302,498000
2012-05-24,16.629999,16.879999,16.370001,16.639999,16.490032,226700
2012-05-25,16.68,16.75,16.459999,16.540001,16.390934,185300
2012-05-29,16.65,16.98,16.559999,16.940001,16.787329,282700
2012-05-30,16.790001,16.790001,15.83,15.97,15.826071,1112400
2012-05-31,16.040001,16.08,15.52,15.97,15.826071,507300
2012-06-01,15.6,15.63,15.13,15.18,15.04319,580600
2012-06-04,15.18,15.35,14.65,14.82,14.686434,469600
2012-06-05,14.73,15.05,14.51,14.69,14.557606,791400
2012-06-06,14.79,15.36,14.76,15.36,15.221567,486400
2012-06-07,15.51,15.69,15.28,15.3,15.162107,301200
2012-06-08,15.22,15.62,15.04,15.62,15.479224,219200
2012-06-11,15.72,15.81,15.15,15.15,15.01346,381200
2012-06-12,15.21,15.41,14.91,15.37,15.231477,394400
2012-06-13,15.44,15.49,15.05,15.14,15.003551,290000
2012-06-14,15.21,15.55,15.11,15.45,15.310757,268800
2012-06-15,15.48,15.66,15.38,15.63,15.489134,258600
2012-06-18,15.48,16.01,15.35,15.66,15.518864,652600
2012-06-19,15.71,16.0,15.53,15.63,15.489134,494200
2012-06-20,15.61,15.67,15.15,15.24,15.102651,409200
2012-06-21,15.23,15.48,14.87,14.88,14.745894,494700
2012-06-22,15.04,15.08,14.8,14.87,14.735984,565400
2012-06-25,14.62,14.8,14.32,14.4,14.27022,588200
2012-06-26,14.49,14.88,14.46,14.8,14.666615,531600
2012-06-27,14.86,15.22,14.76,15.15,15.01346,225500
2012-06-28,15.01,15.57,14.89,15.57,15.429675,365900
2012-06-29,15.89,16.0,15.7,15.81,15.667513,452500
2012-07-02,15.88,16.0,15.65,15.93,15.786431,198200
2012-07-03,15.94,16.370001,15.84,15.86,15.717062,229800
2012-07-05,15.87,16.15,15.83,15.96,15.81616,343100
2012-07-06,15.81,15.89,15.63,15.85,15.707152,175100
2012-07-09,15.8,15.93,15.54,15.85,15.707152,372500
2012-07-10,15.95,16.059999,15.44,15.55,15.409857,236600
2012-07-11,15.58,15.94,15.54,15.92,15.776521,425700
2012-07-12,15.8,16.23,15.67,16.200001,16.053997,357100
2012-07-13,16.18,17.129999,16.120001,17.02,16.866611,934800
2012-07-16,16.950001,17.370001,16.75,17.190001,17.035078,813900
2012-07-17,17.26,17.290001,16.860001,17.040001,16.886431,302200
2012-07-18,17.02,17.129999,16.92,17.0,16.846786,301400
2012-07-19,17.07,17.129999,16.809999,16.969999,16.817057,217500
2012-07-20,16.799999,17.09,16.73,16.780001,16.628771,230400
2012-07-23,16.5,16.870001,16.41,16.75,16.599039,191800
2012-07-24,16.76,16.959999,16.76,16.9,16.747688,257200
2012-07-25,16.940001,17.120001,16.690001,16.790001,16.63868,222700
2012-07-26,17.0,17.24,16.84,17.08,16.926065,274700
2012-07-27,17.18,17.35,16.879999,17.299999,17.144081,254100
2012-07-30,17.280001,17.440001,17.08,17.200001,17.044987,272700
2012-07-31,17.18,17.280001,16.870001,16.93,16.777418,230600
2012-08-01,17.0,17.200001,16.889999,16.940001,16.787329,214200
2012-08-02,16.67,17.26,16.67,16.959999,16.807146,324700
2012-08-03,17.280001,17.5,16.940001,17.09,16.935974,384100
2012-08-06,17.129999,18.0,17.129999,17.610001,17.45129,325700
2012-08-07,17.709999,18.190001,17.66,18.08,17.917055,406800
2012-08-08,17.959999,18.34,17.959999,18.219999,18.055794,255000
2012-08-09,18.17,18.77,18.16,18.58,18.412548,450400
2012-08-10,18.5,18.700001,18.27,18.610001,18.442278,396700
2012-08-13,18.629999,18.860001,18.59,18.799999,18.630566,336900
2012-08-14,18.860001,19.09,18.76,18.91,18.739573,426500
2012-08-15,18.860001,19.049999,18.49,18.540001,18.37291,429800
2012-08-16,18.6,19.129999,18.549999,19.030001,18.858492,603000
2012-08-17,19.110001,19.120001,18.73,18.860001,18.690025,262700
2012-08-20,18.92,18.92,18.540001,18.790001,18.620657,273700
2012-08-21,18.860001,18.950001,18.51,18.610001,18.442278,233900
2012-08-22,18.639999,18.690001,18.370001,18.639999,18.472006,234500
2012-08-23,18.66,18.75,18.5,18.66,18.491827,201000
2012-08-24,18.559999,18.73,18.459999,18.68,18.511646,183400
2012-08-27,18.799999,18.879999,18.52,18.559999,18.392729,188800
2012-08-28,18.6,18.959999,18.559999,18.860001,18.690025,197600
2012-08-29,18.860001,19.0,18.84,18.879999,18.709843,245300
2012-08-30,18.889999,19.18,18.879999,19.0,18.828764,348200
2012-08-31,19.07,19.27,18.969999,19.17,18.997232,369300
2012-09-04,19.23,19.280001,18.76,19.18,19.007143,455400
2012-09-05,19.24,19.24,18.959999,19.1,18.927862,224900
2012-09-06,19.15,19.41,19.15,19.4,19.225157,385400
2012-09-07,19.440001,19.99,19.41,19.959999,19.780109,566500
2012-09-10,19.799999,20.200001,19.780001,20.030001,19.849482,580500
2012-09-11,20.059999,20.559999,20.0,20.5,20.315243,551600
2012-09-12,20.5,21.42,20.5,21.33,21.137764,761300
2012-09-13,21.299999,21.639999,20.889999,21.139999,20.949472,742400
2012-09-14,21.27,23.16,21.27,22.35,22.148573,1049600
2012-09-17,22.290001,22.32,21.42,21.709999,21.514339,372600
2012-09-18,21.690001,21.809999,21.379999,21.48,21.286411,431700
2012-09-19,21.469999,21.719999,21.4,21.469999,21.276501,390200
2012-09-20,21.299999,21.32,20.860001,20.98,20.790916,503200
