Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,52.0,52.810001,51.91,52.0,40.917107,89700
2012-02-07,52.029999,52.049999,50.869999,51.049999,40.169582,100500
2012-02-08,51.099998,52.130001,50.790001,51.220001,40.303352,92100
2012-02-09,51.369999,51.369999,49.869999,50.810001,39.980736,69300
2012-02-10,50.060001,51.049999,48.689999,49.700001,39.107319,151100
2012-02-13,50.400002,50.889999,49.66,50.130001,39.445663,56800
2012-02-14,49.93,50.360001,48.75,49.759998,39.154526,115500
2012-02-15,50.459999,50.459999,48.82,49.029999,38.580112,124300
2012-02-16,48.830002,50.82,48.700001,50.360001,39.626652,144200
2012-02-17,50.470001,50.860001,49.630001,50.009998,39.351246,109700
2012-02-21,50.200001,50.84,49.279999,50.549999,39.77615,121300
2012-02-22,50.43,51.32,49.580002,49.66,39.075844,113600
2012-02-23,49.830002,50.939999,49.32,50.25,39.540089,93500
2012-02-24,50.18,50.41,49.299999,49.450001,38.910587,99600
2012-02-27,48.900002,49.73,48.259998,49.470001,38.926334,127500
2012-02-28,49.380001,49.709999,49.040001,49.439999,38.902714,67900
2012-02-29,49.549999,50.049999,48.02,48.34,38.03717,192300
2012-03-01,48.830002,49.48,48.209999,48.509998,38.170948,86800
2012-03-02,48.470001,48.860001,47.939999,48.07,37.824711,146200
2012-03-05,47.740002,47.849998,47.099998,47.439999,37.328999,106500
2012-03-06,46.599998,47.290001,46.34,46.82,36.841145,92500
2012-03-07,47.220001,47.23,46.150002,47.119999,37.077187,85800
2012-03-08,47.619999,47.799999,47.029999,47.740002,37.565044,76300
2012-03-09,47.540001,49.48,47.540001,48.32,38.021439,76100
2012-03-12,48.27,48.59,47.5,48.040001,37.801113,74800
2012-03-13,48.580002,49.419998,48.459999,49.290001,38.784687,148700
2012-03-14,49.23,49.23,47.189999,47.720001,37.549316,252200
2012-03-15,48.0,48.580002,47.810001,48.419998,38.100113,127200
2012-03-16,48.580002,49.779999,48.580002,49.02,38.572247,300400
2012-03-19,48.939999,50.459999,48.939999,49.48,38.934196,91700
2012-03-20,49.25,49.5,48.349998,48.869999,38.454208,85000
