Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,16.799999,17.02,16.65,17.0,15.697111,421400
2012-02-07,16.91,17.200001,16.75,17.1,15.789451,479300
2012-02-08,17.139999,17.27,16.9,17.01,15.706343,253300
2012-02-09,17.030001,17.1,16.65,16.98,15.678643,253700
2012-02-10,16.74,17.07,16.33,16.85,15.558609,249900
2012-02-13,17.040001,17.139999,16.799999,16.959999,15.660176,186400
2012-02-14,16.879999,16.92,16.4,16.540001,15.272372,359900
2012-02-15,16.66,16.66,16.299999,16.34,15.087697,407400
2012-02-16,16.379999,16.559999,16.030001,16.24,14.99536,550700
2012-02-17,16.32,16.780001,16.26,16.52,15.253905,440700
2012-02-21,16.540001,16.92,16.450001,16.51,15.244667,259300
2012-02-22,16.48,16.65,16.190001,16.360001,15.106164,247700
2012-02-23,16.440001,16.73,16.309999,16.690001,15.410873,256800
2012-02-24,16.68,16.73,16.370001,16.459999,15.1985,155000
2012-02-27,16.27,16.639999,16.0,16.49,15.226203,241500
2012-02-28,16.48,16.48,16.0,16.059999,14.829158,337200
2012-02-29,16.129999,16.43,15.84,15.97,14.746056,428700
2012-03-01,16.09,16.67,15.98,16.09,14.856857,417500
2012-03-02,16.09,16.23,15.82,15.87,14.653717,379700
2012-03-05,15.75,16.0,15.62,15.87,14.653717,309600
2012-03-06,15.7,16.26,15.61,16.0,14.773755,804500
2012-03-07,15.92,16.049999,15.1,15.28,14.108935,796200
2012-03-08,15.34,15.47,15.07,15.3,14.127403,644700
2012-03-09,15.28,15.66,15.1,15.6,14.40441,572300
2012-03-12,15.64,15.71,15.38,15.44,14.256673,213900
2012-03-13,15.62,16.15,15.52,16.030001,14.801455,444300
2012-03-14,15.99,16.17,15.84,15.93,14.709121,313100
2012-03-15,15.93,16.309999,15.83,16.23,14.986127,289000
2012-03-16,16.120001,16.360001,16.120001,16.309999,15.059997,385900
2012-03-19,16.25,16.709999,16.139999,16.450001,15.189264,201700
2012-03-20,16.290001,16.389999,16.059999,16.15,14.91226,143700
2012-03-21,16.110001,16.32,15.78,15.78,14.570618,287500
2012-03-22,15.7,15.7,15.32,15.45,14.265905,194700
2012-03-23,15.45,15.72,15.27,15.71,14.50598,235200
2012-03-26,15.83,16.6,15.83,16.6,15.32777,280700
2012-03-27,16.629999,16.65,16.34,16.34,15.087697,156500
2012-03-28,16.4,16.549999,16.209999,16.540001,15.272372,327200
2012-03-29,16.41,16.889999,16.34,16.809999,15.521676,408600
2012-03-30,16.9,16.92,16.719999,16.75,15.466275,303200
2012-04-02,16.74,17.09,16.51,17.0,15.697111,393900
2012-04-03,16.940001,16.940001,16.65,16.780001,15.493976,290000
2012-04-04,16.559999,16.639999,16.32,16.41,15.15233,256800
2012-04-05,16.299999,16.540001,16.25,16.43,15.170798,193900
2012-04-09,16.1,16.1,15.62,15.84,14.626016,312100
2012-04-10,15.82,16.200001,15.59,15.77,14.561383,427800
2012-04-11,15.98,16.07,15.83,16.07,14.838392,227500
2012-04-12,16.049999,16.51,16.049999,16.33,15.078465,154500
2012-04-13,16.24,16.25,15.83,15.87,14.653717,244400
2012-04-16,15.98,16.15,15.71,16.030001,14.801455,163500
2012-04-17,16.190001,16.59,16.190001,16.379999,15.12463,163200
2012-04-18,16.25,16.25,15.99,16.15,14.91226,219200
2012-04-19,16.129999,16.190001,15.66,15.84,14.626016,188100
2012-04-20,15.98,16.4,15.97,16.120001,14.884558,252400
2012-04-23,15.8,15.8,15.44,15.58,14.385946,229800
2012-04-24,15.55,15.91,15.46,15.86,14.644484,191700
2012-04-25,16.049999,16.450001,15.99,16.16,14.921491,273600
2012-04-26,16.15,16.42,16.08,16.299999,15.05076,149800
2012-04-27,16.34,16.549999,16.059999,16.5,15.235433,243000
2012-04-30,16.450001,16.459999,16.110001,16.15,14.91226,200000
2012-05-01,16.129999,16.540001,16.110001,16.17,14.930726,255400
2012-05-02,16.08,16.32,15.81,16.309999,15.059997,294000
2012-05-03,16.309999,16.4,15.84,15.84,14.626016,356200
2012-05-04,15.7,15.72,15.1,15.14,13.979667,393500
2012-05-07,15.07,15.1,14.42,14.47,13.361012,435200
2012-05-08,14.34,14.79,14.31,14.68,13.55492,404900
2012-05-09,14.43,14.54,14.26,14.34,13.24098,163000
2012-05-10,14.5,14.52,14.18,14.43,13.32408,228700
2012-05-11,14.24,14.43,13.96,14.34,13.24098,193000
2012-05-14,14.14,14.14,13.87,14.03,12.954732,134500
2012-05-15,14.02,14.14,13.84,13.97,12.899337,234000
2012-05-16,14.0,14.2,13.89,13.97,12.899337,277400
2012-05-17,14.0,14.09,13.76,13.81,12.751599,214500
2012-05-18,13.83,13.99,13.67,13.73,12.677728,232500
2012-05-21,13.8,14.18,13.68,13.99,12.917801,220100
2012-05-22,14.02,14.1,13.66,13.76,12.70543,152000
2012-05-23,13.57,13.86,13.43,13.81,12.751599,144000
2012-05-24,13.83,13.86,13.47,13.78,12.723896,127200
2012-05-25,13.77,13.89,13.54,13.58,12.539227,97300
2012-05-29,13.79,14.02,13.68,13.94,12.871634,94000
2012-05-30,13.78,13.78,13.46,13.49,12.456122,172100
