Date,Open,High,Low,Close,Adj Close,Volume
2021-07-21,11.5,12.04,10.19,12.0,12.0,6542900
2021-07-22,11.9,12.01,11.5,11.65,11.65,1293500
2021-07-23,11.69,12.0,11.5,11.76,11.76,358100
2021-07-26,11.68,11.937,11.21,11.5,11.5,673800
2021-07-27,11.3,11.86,11.22,11.27,11.27,522300
2021-07-28,11.46,11.465,11.01,11.29,11.29,147200
2021-07-29,11.22,11.65,11.01,11.58,11.58,181600
2021-07-30,11.43,11.935,11.21,11.91,11.91,79400
2021-08-02,11.91,13.19,11.63,12.69,12.69,244500
2021-08-03,12.43,13.83,12.01,12.66,12.66,248600
2021-08-04,12.51,12.96,11.78,12.05,12.05,240500
2021-08-05,11.8,12.52,11.79,12.11,12.11,230600
2021-08-06,12.15,13.98,12.12,13.61,13.61,209700
2021-08-09,13.91,14.0,12.18,12.35,12.35,386400
2021-08-10,12.6,12.98,11.99,12.3,12.3,239500
2021-08-11,12.24,12.48,11.85,12.14,12.14,188800
2021-08-12,12.07,12.27,11.71,11.73,11.73,135400
2021-08-13,11.84,12.04,11.7,11.8,11.8,166700
2021-08-16,11.72,11.97,10.92,11.09,11.09,690300
2021-08-17,11.08,12.0,10.77,11.18,11.18,525800
2021-08-18,10.94,12.12,10.94,12.02,12.02,763500
2021-08-19,11.92,12.68,11.54,12.53,12.53,458000
2021-08-20,12.37,13.71,11.92,13.2,13.2,332200
2021-08-23,13.06,13.52,12.6,13.48,13.48,245200
2021-08-24,13.34,13.98,12.29,12.56,12.56,384000
2021-08-25,12.52,12.75,12.13,12.61,12.61,170000
2021-08-26,12.5,13.98,12.2,13.09,13.09,327500
2021-08-27,13.0,13.1,12.3,12.49,12.49,226600
2021-08-30,12.46,12.6,11.01,12.05,12.05,508400
2021-08-31,12.15,12.528,11.2,11.28,11.28,311700
2021-09-01,11.28,11.78,11.03,11.58,11.58,469900
2021-09-02,11.64,12.785,11.55,12.09,12.09,360700
2021-09-03,12.08,13.22,12.01,13.11,13.11,384500
