Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,18.6,20.0,17.1,18.559999,18.559999,1963200
2021-04-16,18.0,19.23,17.830999,18.120001,18.120001,171200
2021-04-19,18.08,18.49,17.6,18.49,18.49,139500
2021-04-20,18.48,18.5,18.0,18.26,18.26,46900
2021-04-21,18.49,18.49,17.9,18.0,18.0,48500
2021-04-22,17.879999,18.35,17.855,18.1,18.1,27900
2021-04-23,18.1,18.43,18.0,18.35,18.35,15200
2021-04-26,18.5,18.51,17.969999,17.969999,17.969999,22000
2021-04-27,18.25,18.6,17.969999,18.48,18.48,45200
2021-04-28,18.24,19.74,18.141001,19.34,19.34,209400
2021-04-29,19.24,19.540001,18.809999,19.02,19.02,111000
2021-04-30,19.01,19.73,18.42,18.450001,18.450001,52300
2021-05-03,18.700001,18.91,18.280001,18.91,18.91,15500
2021-05-04,18.450001,18.85,17.690001,17.91,17.91,85500
2021-05-05,17.940001,18.497,17.5,17.68,17.68,22800
2021-05-06,17.65,17.983999,16.681999,17.540001,17.540001,74500
2021-05-07,17.66,18.360001,17.65,18.32,18.32,9600
2021-05-10,18.790001,19.302999,17.68,18.08,18.08,45800
2021-05-11,18.030001,18.77,18.0,18.290001,18.290001,21200
2021-05-12,18.23,18.23,17.969999,18.15,18.15,29600
2021-05-13,17.99,18.0,15.56,16.209999,16.209999,74400
2021-05-14,16.32,17.35,16.32,17.200001,17.200001,30300
2021-05-17,17.294001,17.370001,17.023001,17.370001,17.370001,6700
2021-05-18,17.228001,18.0,17.228001,17.9,17.9,27000
2021-05-19,17.77,18.15,17.360001,17.68,17.68,13200
2021-05-20,17.620001,18.15,17.559999,17.57,17.57,36500
2021-05-21,17.65,18.049999,17.450001,17.799999,17.799999,13400
2021-05-24,17.77,18.49,17.77,18.07,18.07,17000
2021-05-25,18.0,18.25,17.809999,18.07,18.07,16200
2021-05-26,18.18,18.5,18.18,18.360001,18.360001,32900
2021-05-27,18.290001,18.969999,18.080999,18.709999,18.709999,54700
2021-05-28,18.360001,19.49,18.110001,19.0,19.0,37100
2021-06-01,19.23,20.219999,18.799999,19.860001,19.860001,92900
2021-06-02,20.059999,20.059999,19.040001,19.41,19.41,40400
2021-06-03,19.360001,20.389999,18.950001,20.389999,20.389999,72200
2021-06-04,20.540001,20.9,19.91,20.6,20.6,90900
2021-06-07,20.799999,21.225,20.09,20.360001,20.360001,68200
2021-06-08,20.74,20.969999,20.040001,20.17,20.17,57500
2021-06-09,20.4,20.959999,19.790001,20.120001,20.120001,30600
2021-06-10,20.190001,20.513,20.0,20.26,20.26,40300
2021-06-11,20.190001,20.84,19.555,20.4,20.4,34200
2021-06-14,20.530001,20.99,20.0,20.07,20.07,37300
2021-06-15,20.18,20.48,19.620001,20.290001,20.290001,66200
2021-06-16,20.200001,20.948999,20.15,20.690001,20.690001,69900
2021-06-17,20.52,20.969999,20.277,20.809999,20.809999,92600
2021-06-18,20.52,20.879999,19.870001,20.01,20.01,169000
2021-06-21,20.34,20.889999,20.030001,20.85,20.85,77800
2021-06-22,20.809999,20.85,20.309999,20.84,20.84,79000
2021-06-23,20.9,20.9,20.450001,20.77,20.77,34300
2021-06-24,20.77,20.874001,20.52,20.790001,20.790001,111100
2021-06-25,20.799999,20.9,19.68,19.870001,19.870001,533600
2021-06-28,19.959999,20.014999,19.450001,19.57,19.57,41100
2021-06-29,19.84,20.110001,19.690001,19.690001,19.690001,115000
2021-06-30,19.775,20.48,19.690001,20.370001,20.370001,57900
2021-07-01,20.469999,20.84,20.075001,20.65,20.65,127500
2021-07-02,20.65,20.719999,20.290001,20.389999,20.389999,37000
2021-07-06,20.49,20.889999,20.25,20.43,20.43,39600
2021-07-07,20.309999,20.66,20.120001,20.27,20.27,20600
2021-07-08,20.153,20.67,19.563999,20.299999,20.299999,37400
2021-07-09,20.299999,20.76,20.110001,20.35,20.35,66600
2021-07-12,20.360001,20.684999,19.827,20.57,20.57,25400
2021-07-13,20.360001,22.440001,20.360001,21.93,21.93,86500
2021-07-14,22.0,22.0,21.26,21.334999,21.334999,31900
2021-07-15,21.51,21.59,20.799999,21.129999,21.129999,38100
2021-07-16,21.440001,21.440001,20.65,20.67,20.67,15400
2021-07-19,20.309999,21.49,19.42,20.77,20.77,31400
2021-07-20,20.870001,21.870001,20.870001,21.51,21.51,44700
2021-07-21,21.6,21.99,21.5,21.690001,21.690001,35000
2021-07-22,21.690001,22.0,20.98,21.32,21.32,34600
2021-07-23,21.32,24.0,21.01,23.780001,23.780001,91700
2021-07-26,23.719999,25.91,23.23,25.370001,25.370001,156100
2021-07-27,25.43,25.43,22.91,23.379999,23.379999,57600
2021-07-28,23.52,23.93,23.25,23.65,23.65,8300
2021-07-29,22.98,24.17,22.98,23.549999,23.549999,22900
2021-07-30,23.42,23.42,21.996,22.25,22.25,19300
2021-08-02,22.360001,23.92,22.049999,23.370001,23.370001,34000
2021-08-03,23.370001,24.299999,23.209999,23.690001,23.690001,21100
2021-08-04,23.549999,24.0,23.41,23.51,23.51,24400
2021-08-05,23.75,24.131001,23.57,23.76,23.76,15100
2021-08-06,24.01,24.49,23.099001,23.35,23.35,22800
2021-08-09,23.290001,24.1,23.290001,23.959999,23.959999,42700
2021-08-10,23.9,25.254999,23.530001,24.379999,24.379999,46100
2021-08-11,24.389999,24.780001,23.370001,24.51,24.51,16400
2021-08-12,24.25,25.0,23.049999,24.5,24.5,33700
2021-08-13,25.15,25.889999,23.67,23.870001,23.870001,23300
2021-08-16,23.9,24.209999,23.309999,23.59,23.59,14800
2021-08-17,23.254999,25.139999,22.299999,22.639999,22.639999,26000
2021-08-18,22.76,23.620001,22.49,22.91,22.91,12400
2021-08-19,22.99,23.610001,22.67,22.99,22.99,9100
2021-08-20,22.77,23.959999,22.690001,23.700001,23.700001,26700
2021-08-23,23.99,23.99,22.43,22.879999,22.879999,15500
2021-08-24,23.200001,24.0,22.459999,22.91,22.91,23600
2021-08-25,22.921,23.955,22.591,23.030001,23.030001,24700
2021-08-26,23.25,23.450001,22.92,23.02,23.02,10700
2021-08-27,23.120001,23.229,22.618,23.040001,23.040001,16800
2021-08-30,23.0,24.249001,22.205999,23.35,23.35,21200
2021-08-31,23.290001,25.280001,22.620001,23.469999,23.469999,31300
2021-09-01,22.73,23.93,22.58,23.15,23.15,21700
2021-09-02,23.49,23.49,22.57,23.040001,23.040001,13300
2021-09-03,22.790001,23.51,22.35,23.27,23.27,7600
2021-09-07,23.58,23.9,22.417,23.0,23.0,15700
2021-09-08,23.01,23.66,22.77,23.450001,23.450001,22100
2021-09-09,23.610001,24.268999,23.1,23.1,23.1,11700
2021-09-10,23.700001,23.881001,22.440001,23.0,23.0,9000
2021-09-13,23.43,23.969,22.790001,23.299999,23.299999,20100
2021-09-14,23.33,23.33,22.5,22.5,22.5,10000
2021-09-15,22.575001,22.68,22.575001,22.68,22.68,2900
2021-09-16,22.827999,23.32,22.379999,22.77,22.77,7800
2021-09-17,22.690001,23.698999,20.290001,20.290001,20.290001,66900
2021-09-20,20.639999,22.070999,20.009001,21.26,21.26,31800
2021-09-21,20.959999,23.030001,20.156,22.58,22.58,27900
2021-09-22,22.58,24.09,22.1,22.120001,22.120001,52300
2021-09-23,22.120001,22.419001,21.27,21.870001,21.870001,24800
2021-09-24,21.809999,23.08,21.684999,22.52,22.52,11300
2021-09-27,22.73,24.08,22.0,22.1,22.1,19200
2021-09-28,21.969999,23.82,21.379999,21.51,21.51,14200
2021-09-29,21.469999,22.049999,20.754999,21.309999,21.309999,19700
2021-09-30,21.370001,22.73,20.610001,21.030001,21.030001,8600
2021-10-01,21.07,22.26,20.565001,20.719999,20.719999,9300
2021-10-04,20.280001,21.271,19.870001,20.139999,20.139999,23500
2021-10-05,19.870001,20.389999,18.055,18.27,18.27,46100
2021-10-06,18.700001,19.76,18.299999,18.799999,18.799999,14200
2021-10-07,19.24,20.08,18.825001,18.860001,18.860001,30300
2021-10-08,19.02,19.629999,18.75,19.23,19.23,39300
2021-10-11,19.42,19.959999,18.879999,19.5,19.5,24900
2021-10-12,19.42,20.35,19.42,20.1,20.1,61100
2021-10-13,19.98,21.940001,19.450001,21.815001,21.815001,15500
2021-10-14,22.370001,22.370001,21.92,22.059999,22.059999,15500
2021-10-15,22.48,22.628,22.0,22.25,22.25,13100
2021-10-18,22.0,23.370001,22.0,22.959999,22.959999,9500
2021-10-19,23.0,23.49,23.0,23.290001,23.290001,8800
2021-10-20,23.0,23.48,22.200001,22.280001,22.280001,16100
2021-10-21,22.280001,23.198999,22.280001,22.870001,22.870001,4100
2021-10-22,23.149,24.1,22.85,23.08,23.08,23700
2021-10-25,22.860001,25.57,22.860001,24.0,24.0,83700
2021-10-26,24.139999,24.139999,19.49,20.1,20.1,102300
2021-10-27,20.379999,20.870001,19.875,20.43,20.43,28400
2021-10-28,20.43,23.530001,19.75,22.370001,22.370001,64400
2021-10-29,22.09,24.0,21.299999,22.74,22.74,44200
2021-11-01,22.66,24.0,22.17,23.75,23.75,50800
2021-11-02,23.09,23.57,22.527,22.73,22.73,14600
2021-11-03,21.0,23.1,21.0,22.870001,22.870001,8500
2021-11-04,23.030001,23.879999,22.4,22.709999,22.709999,9600
2021-11-05,23.0,23.85,22.91,22.99,22.99,18700
2021-11-08,23.6,23.85,22.940001,23.0,23.0,13100
2021-11-09,22.93,23.424999,22.9,23.0,23.0,11100
2021-11-10,23.0,23.540001,22.136,22.940001,22.940001,12200
2021-11-11,23.08,23.889999,23.040001,23.49,23.49,19900
2021-11-12,19.99,21.25,19.753,21.23,21.23,31100
2021-11-15,21.24,21.555,20.93,21.0,21.0,36300
2021-11-16,20.790001,21.4,20.790001,21.139999,21.139999,25800
2021-11-17,21.0,21.209999,20.774,20.959999,20.959999,14400
2021-11-18,21.129999,21.129999,20.826,20.98,20.98,26400
2021-11-19,20.780001,21.01,20.780001,21.0,21.0,12000
2021-11-22,21.0,21.549999,20.466999,21.549999,21.549999,39300
2021-11-23,21.16,21.849001,21.004,21.35,21.35,15600
2021-11-24,21.379999,22.0,20.934999,21.49,21.49,14500
2021-11-26,21.049999,21.809999,20.360001,21.0,21.0,6600
2021-11-29,21.110001,21.999001,21.1,21.17,21.17,28600
2021-11-30,21.280001,22.0,21.0,21.99,21.99,10600
2021-12-01,22.059999,22.389999,20.469999,20.559999,20.559999,26600
2021-12-02,20.879999,21.33,19.75,21.26,21.26,40000
2021-12-03,20.99,21.98,20.32,21.059999,21.059999,10400
2021-12-06,21.799999,22.0,20.514999,21.32,21.32,15500
2021-12-07,21.23,21.99,21.030001,21.49,21.49,13700
2021-12-08,21.25,21.389999,20.612,20.84,20.84,3100
2021-12-09,21.93,21.93,20.799999,21.0,21.0,3600
2021-12-10,20.9,21.950001,20.863001,21.200001,21.200001,17500
2021-12-13,21.200001,21.91,21.0,21.120001,21.120001,14300
2021-12-14,20.905001,21.620001,19.08,20.690001,20.690001,48200
2021-12-15,20.690001,21.532,19.0,19.34,19.34,35400
2021-12-16,19.42,19.57,18.09,18.09,18.09,24900
2021-12-17,18.33,19.49,17.15,18.0,18.0,76600
2021-12-20,18.0,18.690001,17.299999,18.25,18.25,38600
2021-12-21,19.009001,20.860001,18.75,19.620001,19.620001,40800
2021-12-22,20.549999,20.75,18.85,19.15,19.15,20300
2021-12-23,19.01,20.559999,18.83,19.65,19.65,33300
2021-12-27,19.780001,20.5,19.780001,20.1,20.1,12300
2021-12-28,20.450001,20.99,19.75,20.639999,20.639999,8000
2021-12-29,20.389999,20.889999,20.113001,20.459999,20.459999,12300
2021-12-30,20.17,20.715,19.98,20.120001,20.120001,7600
2021-12-31,18.923,20.809999,18.923,20.209999,20.209999,4700
2022-01-03,20.190001,20.379999,19.889999,20.02,20.02,7100
2022-01-04,19.92,20.84,19.92,20.07,20.07,5300
2022-01-05,20.370001,20.99,20.285,20.41,20.41,14100
2022-01-06,20.35,20.65,19.940001,20.09,20.09,5600
2022-01-07,20.09,20.41,20.08,20.09,20.09,3500
2022-01-10,20.01,20.879999,19.809999,20.5,20.5,16700
2022-01-11,20.809999,20.870001,19.110001,19.450001,19.450001,21500
2022-01-12,19.389999,20.315001,18.92,18.92,18.92,13200
2022-01-13,19.15,19.58,18.5,18.5,18.5,6500
2022-01-14,18.58,19.52,17.059999,18.030001,18.030001,62100
2022-01-18,17.709999,18.379999,17.709999,18.25,18.25,14300
2022-01-19,18.25,18.459999,16.42,17.860001,17.860001,23100
2022-01-20,17.73,19.040001,17.549999,17.940001,17.940001,9300
2022-01-21,17.6,19.049999,17.4,17.4,17.4,23500
2022-01-24,17.450001,17.809999,16.799999,17.74,17.74,16400
2022-01-25,17.49,17.98,16.99,17.120001,17.120001,11200
2022-01-26,17.24,17.950001,16.450001,16.530001,16.530001,32600
2022-01-27,16.389999,17.66,16.389999,16.52,16.52,31500
2022-01-28,16.610001,17.559999,16.190001,16.719999,16.719999,28600
2022-01-31,16.889999,17.33,16.280001,16.530001,16.530001,12300
2022-02-01,16.51,16.82,16.209999,16.43,16.43,9061
