Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.56,7.79,7.32,7.41,7.41,278100
2012-02-07,7.43,7.46,7.22,7.27,7.27,303000
2012-02-08,7.27,7.32,6.92,6.99,6.99,292200
2012-02-09,7.03,7.06,6.87,6.94,6.94,232700
2012-02-10,6.84,6.92,6.68,6.69,6.69,196500
2012-02-13,6.79,6.98,6.63,6.8,6.8,183900
2012-02-14,6.73,6.8,6.5,6.58,6.58,170400
2012-02-15,6.6,6.72,6.44,6.46,6.46,150100
2012-02-16,6.45,6.49,6.35,6.41,6.41,329200
2012-02-17,6.41,6.78,6.38,6.68,6.68,387600
2012-02-21,6.7,6.88,6.46,6.47,6.47,175600
2012-02-22,6.45,6.47,6.21,6.24,6.24,253500
2012-02-23,6.24,6.29,6.1,6.26,6.26,180700
2012-02-24,6.26,6.36,6.16,6.19,6.19,116100
2012-02-27,6.14,6.25,6.14,6.18,6.18,126100
2012-02-28,6.17,6.39,6.13,6.37,6.37,158300
2012-02-29,6.38,6.48,6.19,6.37,6.37,443500
2012-03-01,6.38,6.45,6.22,6.23,6.23,252800
2012-03-02,6.29,6.41,6.11,6.14,6.14,189600
2012-03-05,6.12,6.3,6.02,6.1,6.1,169900
2012-03-06,6.01,6.07,5.82,5.9,5.9,257700
2012-03-07,5.92,6.0,5.9,5.93,5.93,224300
2012-03-08,7.17,7.17,6.51,6.69,6.69,1254700
2012-03-09,6.68,6.78,6.43,6.63,6.63,397900
2012-03-12,6.61,6.65,6.44,6.44,6.44,229200
2012-03-13,6.51,6.52,6.26,6.38,6.38,233900
2012-03-14,6.36,6.36,6.08,6.19,6.19,182900
2012-03-15,6.2,6.2,6.03,6.08,6.08,224600
2012-03-16,6.1,6.24,6.0,6.22,6.22,233200
2012-03-19,6.2,6.28,6.09,6.13,6.13,113000
2012-03-20,6.07,6.09,6.0,6.02,6.02,299700
2012-03-21,6.03,6.06,5.94,5.95,5.95,215200
2012-03-22,5.9,6.07,5.86,6.06,6.06,178900
2012-03-23,6.05,6.13,5.98,6.13,6.13,176400
2012-03-26,6.2,6.22,5.85,5.9,5.9,353800
2012-03-27,5.93,5.98,5.75,5.76,5.76,215300
2012-03-28,5.75,5.78,5.55,5.61,5.61,192300
2012-03-29,5.56,5.61,5.4,5.49,5.49,226300
2012-03-30,5.53,5.53,5.3,5.34,5.34,369000
2012-04-02,5.4,6.05,5.4,5.86,5.86,646800
2012-04-03,5.87,5.91,5.6,5.61,5.61,414700
2012-04-04,5.56,5.73,5.51,5.57,5.57,220300
2012-04-05,5.55,5.65,5.55,5.56,5.56,298100
2012-04-09,5.5,5.56,5.39,5.4,5.4,278800
2012-04-10,5.42,5.5,5.32,5.36,5.36,266100
2012-04-11,5.42,5.59,5.42,5.57,5.57,108600
2012-04-12,5.57,5.81,5.57,5.61,5.61,148700
2012-04-13,5.58,5.59,5.4,5.43,5.43,92400
2012-04-16,5.48,5.5,5.4,5.47,5.47,77200
2012-04-17,5.53,5.6,5.47,5.49,5.49,105900
2012-04-18,5.44,5.48,5.4,5.44,5.44,139000
2012-04-19,5.43,5.61,5.37,5.5,5.5,157500
2012-04-20,5.6,5.62,5.52,5.56,5.56,132500
2012-04-23,5.46,5.59,5.38,5.41,5.41,115300
2012-04-24,5.41,5.61,5.39,5.57,5.57,124100
2012-04-25,5.73,5.98,5.72,5.86,5.86,184900
2012-04-26,5.84,5.92,5.75,5.78,5.78,111500
2012-04-27,5.8,5.83,5.56,5.73,5.73,227500
2012-04-30,5.68,5.71,5.5,5.55,5.55,119000
2012-05-01,5.53,5.82,5.5,5.65,5.65,234000
2012-05-02,5.59,5.82,5.56,5.8,5.8,191000
2012-05-03,5.76,5.8,5.46,5.52,5.52,221200
2012-05-04,5.53,5.71,4.87,5.11,5.11,492300
2012-05-07,5.11,5.14,4.93,4.96,4.96,227000
2012-05-08,4.97,4.97,4.73,4.77,4.77,285500
2012-05-09,5.02,5.12,4.9,4.99,4.99,3729900
2012-05-10,5.03,5.1,4.96,4.99,4.99,836000
2012-05-11,4.97,5.07,4.93,4.95,4.95,608600
2012-05-14,4.93,5.05,4.9,4.95,4.95,655400
2012-05-15,4.94,5.05,4.91,4.91,4.91,487900
2012-05-16,4.98,5.25,4.98,5.17,5.17,799900
2012-05-17,5.21,5.26,5.06,5.18,5.18,408300
2012-05-18,5.21,5.24,5.11,5.21,5.21,485200
2012-05-21,5.21,5.27,5.16,5.24,5.24,380500
2012-05-22,5.24,5.27,5.06,5.12,5.12,429500
2012-05-23,5.09,5.18,5.01,5.11,5.11,407000
2012-05-24,5.16,5.31,5.09,5.24,5.24,432300
2012-05-25,5.25,5.44,5.25,5.4,5.4,346200
2012-05-29,5.47,5.58,5.4,5.53,5.53,249800
2012-05-30,5.49,5.49,5.34,5.39,5.39,271100
2012-05-31,5.39,5.54,5.26,5.41,5.41,909400
2012-06-01,5.3,5.47,5.21,5.23,5.23,312200
2012-06-04,5.26,5.38,5.2,5.35,5.35,292700
2012-06-05,5.35,5.41,5.23,5.24,5.24,406200
2012-06-06,5.28,5.43,5.17,5.24,5.24,316400
2012-06-07,5.31,5.37,5.22,5.26,5.26,160700
2012-06-08,5.25,5.32,5.24,5.3,5.3,139700
2012-06-11,5.37,5.37,5.14,5.14,5.14,233100
2012-06-12,5.13,5.15,5.03,5.15,5.15,178000
2012-06-13,5.15,5.15,5.0,5.03,5.03,261500
2012-06-14,5.02,5.34,5.01,5.32,5.32,231100
2012-06-15,5.3,5.48,5.26,5.45,5.45,489100
2012-06-18,5.42,5.6,5.4,5.55,5.55,402300
2012-06-19,5.58,5.74,5.54,5.67,5.67,570200
2012-06-20,5.68,5.72,5.52,5.72,5.72,280200
2012-06-21,5.7,5.79,5.48,5.5,5.5,177700
2012-06-22,5.55,5.78,5.5,5.75,5.75,848500
2012-06-25,5.65,5.75,5.39,5.4,5.4,322600
2012-06-26,5.4,5.53,5.32,5.33,5.33,180000
2012-06-27,5.35,5.41,5.28,5.34,5.34,140400
2012-06-28,5.29,5.41,5.26,5.41,5.41,174300
