Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,9.433107,9.433107,9.124717,9.197279,6.924069,48290
2012-02-07,9.197279,9.424036,9.070295,9.351474,7.040154,35390
2012-02-08,9.396825,9.52381,9.297052,9.396825,7.074295,50164
2012-02-09,9.414966,9.451247,9.106576,9.124717,6.869442,24917
2012-02-10,9.052154,9.142857,8.798186,8.798186,6.623618,36603
2012-02-13,8.852608,9.024943,8.852608,8.9161,6.712387,52589
2012-02-14,8.843537,8.843537,8.562358,8.671202,6.52802,25799
2012-02-15,8.743764,8.743764,8.562358,8.60771,6.480219,39029
2012-02-16,8.662132,9.061224,8.589569,9.024943,6.794329,73096
2012-02-17,9.052154,9.061224,8.93424,8.952381,6.739699,23924
2012-02-21,8.979592,9.061224,8.843537,8.952381,6.739699,28886
2012-02-22,8.93424,8.979592,8.707483,8.725624,6.568987,38147
2012-02-23,8.743764,9.070295,8.680272,9.070295,6.828471,25909
2012-02-24,9.070295,9.088435,8.707483,8.707483,6.55533,27673
2012-02-27,8.598639,8.743764,8.517007,8.634921,6.500705,27122
2012-02-28,8.598639,8.634921,8.535147,8.60771,6.480219,26350
2012-02-29,8.61678,8.662132,8.208617,8.217687,6.186594,65930
2012-03-01,8.326531,8.471655,8.163265,8.163265,6.145623,33847
2012-03-02,8.190476,8.226757,7.773243,7.936508,5.974912,86657
2012-03-05,7.882086,8.208617,7.882086,8.190476,6.16611,34067
2012-03-06,8.081633,8.163265,7.981859,8.063492,6.070511,42005
2012-03-07,8.063492,8.217687,7.981859,8.217687,6.186594,57220
2012-03-08,8.272109,8.471655,8.081633,8.390023,6.316336,45092
2012-03-09,8.362812,8.725624,8.290249,8.61678,6.487046,69899
2012-03-12,8.643991,8.689342,8.471655,8.598639,6.473387,28224
2012-03-13,8.716553,9.24263,8.60771,9.106576,6.855784,61630
2012-03-14,9.061224,9.115646,8.807256,8.852608,6.664588,43108
2012-03-15,8.870748,8.888889,8.62585,8.843537,6.65776,37816
2012-03-16,8.888889,8.888889,8.734694,8.780045,6.609958,66922
2012-03-19,8.770975,9.197279,8.698413,9.052154,6.814813,60748
2012-03-20,8.93424,9.097506,8.897959,8.897959,6.69873,33075
2012-03-21,8.970522,9.070295,8.798186,8.997732,6.773841,55787
2012-03-22,8.852608,8.943311,8.643991,8.879819,6.685071,37816
2012-03-23,8.888889,9.260771,8.807256,9.206349,6.930897,45864
2012-03-26,9.342404,9.52381,9.197279,9.514739,7.163067,52920
2012-03-27,9.514739,9.578231,9.306122,9.315193,7.01284,34508
2012-03-28,9.409524,9.752381,9.409524,9.72381,7.32046,36750
2012-03-29,9.6,9.666667,9.438095,9.571429,7.205744,23940
2012-03-30,9.695238,9.695238,9.380952,9.380952,7.062344,43575
2012-04-02,9.32381,9.657143,9.32381,9.657143,7.270273,32445
2012-04-03,9.6,9.6,9.228571,9.285714,6.990647,31080
2012-04-04,9.114286,9.219048,9.114286,9.142857,6.883097,38955
2012-04-05,9.057143,9.219048,8.771429,8.790476,6.617812,18690
2012-04-09,8.580952,8.790476,8.571429,8.571429,6.452905,38430
2012-04-10,8.571429,8.742857,8.333333,8.342857,6.280828,55440
2012-04-11,8.485714,8.742857,8.485714,8.638095,6.503094,37275
2012-04-12,8.619048,8.971429,8.561905,8.87619,6.68234,35280
2012-04-13,8.771429,8.809524,8.457143,8.52381,6.417055,41580
2012-04-16,8.542857,8.704762,8.542857,8.6,6.474414,26250
2012-04-17,8.714286,8.933333,8.666667,8.838095,6.65366,40320
2012-04-18,8.742857,8.866667,8.52381,8.571429,6.452905,30975
2012-04-19,8.609524,8.752381,8.285714,8.333333,6.273657,52710
2012-04-20,9.12381,9.12381,8.590476,8.952381,6.739699,86100
2012-04-23,8.72381,8.961905,8.619048,8.704762,6.553283,48615
2012-04-24,8.685714,8.857143,8.685714,8.780952,6.610643,47040
2012-04-25,8.67619,9.095238,8.628571,8.980952,6.76121,44415
2012-04-26,8.904762,8.942857,8.761905,8.895238,6.739564,18060
2012-04-27,8.885714,9.27619,8.752381,9.228571,6.992116,33495
2012-04-30,9.171429,9.171429,8.685714,8.704762,6.595247,48300
2012-05-01,8.714286,8.952381,8.514286,8.552381,6.479795,53550
2012-05-02,8.485714,8.72381,8.438095,8.685714,6.580815,46935
2012-05-03,8.628571,8.714286,8.47619,8.619048,6.530305,44100
2012-05-04,8.552381,8.628571,8.380952,8.457143,6.407634,53865
2012-05-07,8.438095,8.695238,8.4,8.571429,6.494226,46200
2012-05-08,8.47619,9.07619,8.47619,9.047619,6.855016,62580
2012-05-09,8.866667,9.019048,8.790476,8.790476,6.660188,27300
2012-05-10,8.92381,8.92381,8.72381,8.8,6.667405,17850
2012-05-11,8.685714,8.809524,8.533333,8.628571,6.537519,45360
