Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.82,6.1,5.77,5.82,5.82,152700
2012-02-07,5.91,5.99,5.7,5.74,5.74,128300
2012-02-08,5.75,5.98,5.71,5.97,5.97,77200
2012-02-09,5.98,6.02,5.85,5.91,5.91,83600
2012-02-10,5.9,5.9,5.71,5.71,5.71,49700
2012-02-13,5.77,5.85,5.73,5.81,5.81,55900
2012-02-14,5.7,5.86,5.7,5.85,5.85,61300
2012-02-15,5.89,5.89,5.71,5.82,5.82,66300
2012-02-16,5.83,5.85,5.73,5.78,5.78,53600
2012-02-17,5.78,5.78,5.45,5.47,5.47,196100
2012-02-21,5.49,5.53,5.25,5.28,5.28,182400
2012-02-22,5.29,5.51,5.11,5.12,5.12,280400
2012-02-23,5.15,5.34,5.15,5.26,5.26,125700
2012-02-24,5.19,5.34,5.18,5.18,5.18,100200
2012-02-27,5.18,5.18,4.96,5.03,5.03,180300
2012-02-28,5.03,5.1,4.96,5.03,5.03,132200
2012-02-29,5.06,5.25,4.99,4.99,4.99,207200
2012-03-01,5.05,5.12,5.0,5.03,5.03,148400
2012-03-02,4.97,5.07,4.95,4.97,4.97,171300
2012-03-05,4.96,5.05,4.94,5.02,5.02,92600
2012-03-06,4.95,4.96,4.9,4.91,4.91,100700
2012-03-07,4.92,4.92,4.81,4.84,4.84,154000
2012-03-08,4.88,4.98,4.85,4.97,4.97,64600
2012-03-09,4.93,5.08,4.93,5.03,5.03,93500
2012-03-12,4.95,5.05,4.95,5.0,5.0,69700
2012-03-13,5.03,5.08,4.96,4.99,4.99,71600
2012-03-14,4.95,4.98,4.83,4.83,4.83,72900
2012-03-15,4.81,4.85,4.75,4.78,4.78,96700
2012-03-16,4.78,4.83,4.73,4.75,4.75,135800
2012-03-19,4.72,4.75,4.64,4.67,4.67,92100
2012-03-20,4.64,4.74,4.63,4.66,4.66,45500
2012-03-21,4.63,4.7,4.38,4.5,4.5,114700
2012-03-22,4.5,4.6,4.47,4.57,4.57,57900
2012-03-23,4.56,4.71,4.56,4.71,4.71,81200
2012-03-26,4.76,4.93,4.7,4.87,4.87,124000
2012-03-27,4.99,4.99,4.82,4.86,4.86,107000
2012-03-28,4.88,4.92,4.6,4.71,4.71,65400
2012-03-29,4.67,4.7,4.44,4.55,4.55,68700
2012-03-30,4.57,4.57,4.41,4.41,4.41,63200
2012-04-02,4.41,4.78,4.4,4.77,4.77,131400
2012-04-03,4.77,4.83,4.68,4.79,4.79,119800
2012-04-04,4.76,4.82,4.68,4.79,4.79,114100
2012-04-05,4.78,4.83,4.7,4.76,4.76,48000
2012-04-09,4.7,4.72,4.51,4.6,4.6,91000
2012-04-10,4.61,4.66,4.35,4.39,4.39,145000
2012-04-11,4.32,4.4,3.86,4.19,4.19,469100
2012-04-12,4.2,4.2,4.02,4.13,4.13,138900
2012-04-13,4.11,4.11,3.89,3.91,3.91,137700
2012-04-16,3.88,3.99,3.85,3.9,3.9,118600
2012-04-17,3.92,3.95,3.77,3.94,3.94,304900
2012-04-18,3.99,4.1,3.91,3.91,3.91,211900
2012-04-19,3.87,3.92,3.66,3.69,3.69,342200
2012-04-20,3.78,3.8,3.44,3.5,3.5,436200
2012-04-23,3.5,3.56,3.35,3.47,3.47,224100
2012-04-24,3.47,3.95,3.46,3.94,3.94,343900
2012-04-25,4.0,4.05,3.82,3.85,3.85,190100
2012-04-26,3.89,3.89,3.65,3.67,3.67,149200
2012-04-27,3.68,3.92,3.63,3.86,3.86,125200
2012-04-30,3.87,4.02,3.74,3.79,3.79,94900
2012-05-01,3.79,3.99,3.79,3.87,3.87,158000
2012-05-02,3.85,3.87,3.8,3.85,3.85,45700
2012-05-03,3.9,3.91,3.81,3.87,3.87,97500
2012-05-04,3.86,3.87,3.8,3.8,3.8,77000
2012-05-07,3.8,3.91,3.8,3.9,3.9,39600
2012-05-08,3.88,3.89,3.78,3.85,3.85,62900
2012-05-09,3.79,3.85,3.79,3.82,3.82,60900
2012-05-10,3.87,3.93,3.81,3.87,3.87,20400
2012-05-11,3.8,3.9,3.69,3.74,3.74,92000
2012-05-14,3.72,3.86,3.67,3.8,3.8,53300
2012-05-15,3.79,3.84,3.75,3.81,3.81,58700
2012-05-16,3.61,3.96,3.61,3.94,3.94,126900
2012-05-17,3.9,3.92,3.83,3.84,3.84,88400
2012-05-18,3.85,4.04,3.76,4.02,4.02,188800
2012-05-21,4.07,4.38,4.01,4.33,4.33,156600
2012-05-22,4.37,4.47,4.13,4.26,4.26,132500
2012-05-23,4.18,4.34,4.13,4.22,4.22,132100
2012-05-24,4.2,4.27,4.13,4.26,4.26,50900
2012-05-25,4.26,4.3,4.18,4.21,4.21,45500
2012-05-29,4.23,4.23,4.14,4.18,4.18,44900
2012-05-30,4.14,4.19,4.11,4.11,4.11,45900
2012-05-31,4.18,4.18,4.0,4.02,4.02,177600
2012-06-01,3.94,4.25,3.94,4.22,4.22,143300
2012-06-04,4.23,4.23,4.02,4.08,4.08,115400
2012-06-05,4.06,4.29,4.03,4.25,4.25,92800
2012-06-06,4.31,4.36,4.26,4.3,4.3,94900
2012-06-07,4.35,4.35,4.27,4.3,4.3,61600
2012-06-08,4.28,4.35,4.14,4.35,4.35,54300
2012-06-11,4.36,4.39,4.18,4.22,4.22,106000
2012-06-12,4.23,4.49,4.23,4.49,4.49,75000
2012-06-13,4.5,4.5,4.28,4.32,4.32,82000
2012-06-14,4.33,4.42,4.22,4.33,4.33,80800
2012-06-15,4.32,4.32,4.11,4.27,4.27,147800
2012-06-18,4.25,4.28,4.14,4.26,4.26,87400
2012-06-19,4.35,4.45,4.25,4.43,4.43,104600
2012-06-20,4.44,4.45,4.31,4.33,4.33,67400
2012-06-21,4.31,4.41,4.25,4.31,4.31,97700
2012-06-22,4.32,4.58,4.25,4.52,4.52,796200
2012-06-25,4.52,4.56,4.45,4.51,4.51,62600
2012-06-26,4.51,4.59,4.38,4.55,4.55,103200
2012-06-27,4.58,4.59,4.49,4.59,4.59,52000
2012-06-28,4.56,4.62,4.31,4.4,4.4,47900
2012-06-29,4.53,4.62,4.33,4.6,4.6,102700
2012-07-02,4.5,4.79,4.4,4.79,4.79,132300
2012-07-03,4.75,4.87,4.72,4.86,4.86,50500
2012-07-05,4.83,4.96,4.83,4.91,4.91,82000
2012-07-06,4.86,5.0,4.81,4.98,4.98,130900
2012-07-09,5.0,5.07,4.9,4.98,4.98,89900
2012-07-10,5.0,5.0,4.6,4.64,4.64,130800
2012-07-11,4.67,4.68,4.5,4.59,4.59,120200
2012-07-12,4.54,4.67,4.46,4.63,4.63,65700
2012-07-13,4.64,4.7,4.5,4.58,4.58,69500
2012-07-16,4.54,4.66,4.48,4.58,4.58,39600
2012-07-17,4.63,4.71,4.47,4.61,4.61,66200
2012-07-18,4.59,4.66,4.41,4.62,4.62,55700
2012-07-19,4.63,4.63,4.4,4.46,4.46,58500
2012-07-20,4.43,4.45,4.25,4.41,4.41,148200
2012-07-23,4.33,4.57,4.18,4.54,4.54,111400
2012-07-24,4.54,4.55,4.35,4.46,4.46,75400
2012-07-25,4.49,4.49,4.36,4.38,4.38,41800
2012-07-26,4.36,4.38,4.17,4.21,4.21,75300
2012-07-27,4.2,4.2,4.02,4.19,4.19,102500
2012-07-30,4.17,4.17,3.9,3.91,3.91,106300
2012-07-31,3.88,4.0,3.8,3.86,3.86,188900
2012-08-01,4.09,4.15,3.87,3.93,3.93,192300
2012-08-02,3.95,4.18,3.8,3.85,3.85,156700
2012-08-03,3.9,4.09,3.85,3.92,3.92,93900
2012-08-06,3.9,4.02,3.88,3.95,3.95,104200
2012-08-07,3.99,4.04,3.95,4.03,4.03,94300
2012-08-08,4.02,4.03,3.97,3.98,3.98,73500
2012-08-09,3.99,4.04,3.85,3.88,3.88,64300
2012-08-10,3.88,4.04,3.81,3.81,3.81,64800
2012-08-13,3.85,3.97,3.82,3.96,3.96,81600
2012-08-14,3.99,4.0,3.9,3.97,3.97,78400
2012-08-15,3.95,4.04,3.91,4.04,4.04,82900
2012-08-16,4.05,4.07,3.94,4.0,4.0,119400
2012-08-17,3.97,4.17,3.96,4.17,4.17,98100
2012-08-20,4.12,4.15,3.97,4.07,4.07,66600
2012-08-21,4.07,4.14,3.95,4.12,4.12,55600
2012-08-22,4.25,4.34,4.17,4.19,4.19,149500
2012-08-23,4.21,4.25,4.1,4.11,4.11,69000
2012-08-24,4.1,4.22,4.05,4.12,4.12,88200
2012-08-27,4.14,4.19,3.97,3.99,3.99,112000
2012-08-28,4.0,4.12,3.95,3.96,3.96,97100
2012-08-29,3.97,4.05,3.97,4.02,4.02,73700
2012-08-30,4.0,4.02,4.0,4.0,4.0,52000
2012-08-31,4.06,4.1,3.97,4.05,4.05,82300
2012-09-04,4.15,4.26,4.1,4.17,4.17,87900
2012-09-05,4.17,4.17,4.11,4.11,4.11,58500
2012-09-06,4.09,4.26,4.09,4.26,4.26,87200
2012-09-07,4.27,4.3,4.22,4.27,4.27,66100
2012-09-10,4.28,4.28,4.16,4.18,4.18,71500
2012-09-11,4.19,4.25,4.14,4.14,4.14,48400
2012-09-12,4.14,4.19,4.08,4.16,4.16,76900
2012-09-13,4.15,4.26,4.1,4.26,4.26,95200
2012-09-14,4.27,4.36,4.19,4.31,4.31,129100
2012-09-17,4.3,4.36,4.13,4.19,4.19,69400
2012-09-18,4.18,4.26,4.14,4.24,4.24,65900
2012-09-19,4.3,4.34,4.26,4.32,4.32,89400
2012-09-20,4.31,4.32,4.14,4.15,4.15,61900
2012-09-21,4.11,4.3,4.11,4.2,4.2,123000
2012-09-24,4.23,4.34,4.19,4.34,4.34,78400
2012-09-25,4.29,4.46,4.29,4.42,4.42,117300
2012-09-26,4.43,4.48,4.29,4.29,4.29,73400
2012-09-27,4.24,4.3,4.12,4.29,4.29,46600
2012-09-28,4.26,4.4,4.2,4.2,4.2,39700
2012-10-01,4.32,4.35,4.24,4.3,4.3,89600
2012-10-02,4.31,4.41,4.29,4.4,4.4,87300
2012-10-03,4.42,4.6,4.32,4.34,4.34,209400
2012-10-04,4.43,4.44,4.29,4.33,4.33,79200
2012-10-05,4.33,4.43,4.27,4.28,4.28,23800
2012-10-08,4.32,4.37,4.25,4.25,4.25,37600
2012-10-09,4.25,4.35,4.0,4.02,4.02,111700
2012-10-10,4.0,4.08,3.92,4.06,4.06,70300
2012-10-11,4.01,4.07,3.98,3.99,3.99,30400
2012-10-12,4.03,4.04,3.89,3.92,3.92,67000
2012-10-15,3.92,3.96,3.8,3.93,3.93,82900
2012-10-16,3.91,3.98,3.89,3.95,3.95,36500
2012-10-17,3.95,3.99,3.9,3.99,3.99,15100
2012-10-18,4.0,4.0,3.95,3.97,3.97,32700
2012-10-19,3.83,3.99,3.8,3.8,3.8,136500
2012-10-22,3.8,3.84,3.77,3.83,3.83,55500
2012-10-23,3.79,3.83,3.61,3.8,3.8,72600
2012-10-24,3.82,3.82,3.71,3.8,3.8,72900
2012-10-25,3.87,3.88,3.72,3.8,3.8,36900
2012-10-26,3.79,3.92,3.78,3.85,3.85,29100
2012-10-31,3.84,3.85,3.75,3.81,3.81,37500
2012-11-01,3.83,3.84,3.6,3.67,3.67,129500
2012-11-02,3.69,3.71,3.65,3.7,3.7,64900
2012-11-05,3.69,3.71,3.64,3.65,3.65,42800
2012-11-06,3.65,3.7,3.6,3.67,3.67,55000
2012-11-07,3.63,3.63,3.35,3.47,3.47,146100
2012-11-08,3.45,3.55,3.35,3.35,3.35,91300
2012-11-09,3.33,3.42,3.27,3.34,3.34,130200
2012-11-12,3.34,3.34,3.12,3.2,3.2,110000
2012-11-13,3.18,3.18,3.1,3.14,3.14,74700
2012-11-14,3.15,3.16,2.88,2.91,2.91,142700
2012-11-15,2.9,3.02,2.67,2.97,2.97,231700
2012-11-16,2.98,3.08,2.93,3.05,3.05,147500
2012-11-19,3.15,3.55,3.15,3.51,3.51,389400
2012-11-20,3.55,3.64,3.5,3.5,3.5,150400
2012-11-21,3.53,3.6,3.51,3.52,3.52,75700
2012-11-23,3.55,3.65,3.5,3.52,3.52,72400
2012-11-26,3.54,3.59,3.51,3.52,3.52,104800
2012-11-27,3.51,3.56,3.5,3.52,3.52,159300
2012-11-28,3.55,3.58,3.54,3.58,3.58,40500
2012-11-29,3.61,3.65,3.58,3.64,3.64,74100
2012-11-30,3.66,3.69,3.59,3.59,3.59,115200
2012-12-03,3.55,3.6,3.43,3.56,3.56,157700
2012-12-04,3.57,3.59,3.52,3.54,3.54,44000
2012-12-05,3.52,3.58,3.44,3.44,3.44,35500
2012-12-06,3.45,3.5,3.34,3.34,3.34,49400
2012-12-07,3.36,3.36,3.22,3.28,3.28,110400
2012-12-10,3.29,3.45,3.29,3.44,3.44,121100
2012-12-11,3.45,3.49,3.39,3.48,3.48,67200
2012-12-12,3.48,3.48,3.4,3.42,3.42,36600
2012-12-13,3.4,3.44,3.36,3.42,3.42,56300
2012-12-14,3.4,3.48,3.38,3.45,3.45,57400
2012-12-17,3.47,3.56,3.4,3.51,3.51,127600
2012-12-18,3.51,3.55,3.48,3.52,3.52,101400
2012-12-19,3.51,3.51,3.41,3.5,3.5,79200
2012-12-20,3.47,3.5,3.4,3.49,3.49,74100
2012-12-21,3.49,3.49,3.34,3.45,3.45,228300
2012-12-24,3.45,3.48,3.36,3.42,3.42,17900
2012-12-26,3.45,3.47,3.2,3.21,3.21,65800
2012-12-27,3.2,3.35,3.2,3.31,3.31,102000
2012-12-28,3.3,3.3,3.16,3.16,3.16,84400
2012-12-31,3.12,3.17,3.08,3.14,3.14,129700
2013-01-02,3.19,3.39,3.19,3.31,3.31,210300
2013-01-03,3.32,3.33,3.2,3.31,3.31,24700
2013-01-04,3.31,3.32,3.15,3.2,3.2,86000
2013-01-07,3.43,3.52,3.4,3.45,3.45,268100
2013-01-08,3.55,3.91,3.55,3.88,3.88,582000
2013-01-09,3.99,4.23,3.96,4.18,4.18,986000
2013-01-10,4.5,4.5,4.22,4.37,4.37,472700
2013-01-11,4.62,4.62,4.37,4.52,4.52,546900
2013-01-14,4.64,4.85,4.64,4.79,4.79,1017300
2013-01-15,4.78,4.99,4.76,4.99,4.99,613600
2013-01-16,5.02,5.02,4.85,4.88,4.88,563800
2013-01-17,4.88,5.01,4.58,4.69,4.69,465200
2013-01-18,4.61,4.75,4.45,4.61,4.61,499200
2013-01-22,4.63,4.73,4.63,4.73,4.73,462700
2013-01-23,4.79,4.88,4.66,4.76,4.76,430400
2013-01-24,4.76,4.84,4.7,4.76,4.76,220800
2013-01-25,4.82,4.82,4.71,4.78,4.78,250300
2013-01-28,4.79,4.95,4.69,4.83,4.83,406000
2013-01-29,4.83,4.89,4.75,4.86,4.86,443200
2013-01-30,4.87,4.93,4.5,4.52,4.52,503700
2013-01-31,4.52,4.63,4.52,4.6,4.6,273400
2013-02-01,4.62,4.65,4.58,4.6,4.6,266700
2013-02-04,4.74,4.74,4.65,4.67,4.67,227500
2013-02-05,4.73,4.74,4.69,4.73,4.73,146600
2013-02-06,4.73,4.75,4.62,4.7,4.7,117100
2013-02-07,4.75,4.75,4.52,4.53,4.53,136800
2013-02-08,4.52,4.53,4.21,4.3,4.3,412900
2013-02-11,4.28,4.37,4.11,4.17,4.17,204300
2013-02-12,4.17,4.3,4.11,4.24,4.24,200600
2013-02-13,4.81,4.81,4.19,4.26,4.26,91600
2013-02-14,4.26,4.32,4.2,4.26,4.26,159300
2013-02-15,4.26,4.26,4.1,4.11,4.11,151500
2013-02-19,4.17,4.18,4.1,4.16,4.16,259600
2013-02-20,4.18,4.28,4.16,4.22,4.22,330600
2013-02-21,4.31,4.46,4.22,4.29,4.29,282900
2013-02-22,4.31,4.34,4.27,4.34,4.34,137500
2013-02-25,4.38,4.58,4.33,4.46,4.46,140900
2013-02-26,4.43,4.46,4.16,4.26,4.26,198000
2013-02-27,4.26,4.37,4.22,4.28,4.28,142400
2013-02-28,4.3,4.33,4.18,4.21,4.21,137400
2013-03-01,4.15,4.19,4.11,4.17,4.17,80500
2013-03-04,4.15,4.17,3.89,3.96,3.96,175100
2013-03-05,3.99,3.99,3.64,3.91,3.91,496500
2013-03-06,3.89,4.17,3.89,4.15,4.15,204900
2013-03-07,4.17,4.22,4.04,4.18,4.18,134600
2013-03-08,4.24,4.24,4.1,4.17,4.17,77400
2013-03-11,4.14,4.17,4.1,4.12,4.12,72300
2013-03-12,4.12,4.25,4.0,4.17,4.17,194600
2013-03-13,4.25,4.38,4.22,4.32,4.32,132000
2013-03-14,4.36,4.41,4.26,4.41,4.41,105100
2013-03-15,4.41,4.57,4.25,4.41,4.41,202000
2013-03-18,4.31,4.4,4.2,4.34,4.34,153200
2013-03-19,4.28,4.28,3.9,3.99,3.99,198400
2013-03-20,4.0,4.08,3.9,3.99,3.99,129300
2013-03-21,3.98,3.99,3.78,3.86,3.86,193700
2013-03-22,3.87,3.92,3.74,3.9,3.9,171800
2013-03-25,3.95,3.96,3.75,3.79,3.79,125300
2013-03-26,3.8,3.95,3.78,3.95,3.95,109700
2013-03-27,3.83,4.0,3.77,3.82,3.82,84800
2013-03-28,3.83,3.83,3.74,3.82,3.82,305900
2013-04-01,3.79,3.84,3.67,3.81,3.81,157400
2013-04-02,3.84,3.84,3.75,3.79,3.79,73900
2013-04-03,3.78,3.79,3.62,3.75,3.75,144000
2013-04-04,3.74,3.74,3.6,3.63,3.63,72700
2013-04-05,3.53,3.7,3.53,3.68,3.68,120900
2013-04-08,3.68,3.71,3.46,3.56,3.56,145000
2013-04-09,3.63,3.82,3.58,3.58,3.58,123000
2013-04-10,3.61,4.03,3.6,4.03,4.03,162600
2013-04-11,4.08,4.08,3.79,3.83,3.83,82900
2013-04-12,3.82,3.83,3.65,3.77,3.77,98700
2013-04-15,3.7,3.8,3.51,3.54,3.54,170100
2013-04-16,3.56,3.64,3.44,3.48,3.48,186200
2013-04-17,3.45,3.53,3.36,3.39,3.39,145000
