Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,13.77,14.16,13.53,14.02,14.02,73300
2012-02-07,13.99,14.09,13.44,13.93,13.93,114300
2012-02-08,14.02,14.32,14.02,14.27,14.27,61700
2012-02-09,14.26,14.53,14.05,14.47,14.47,146800
2012-02-10,14.65,15.43,14.2,14.7,14.7,360600
2012-02-13,15.2,15.73,14.53,15.68,15.68,322800
2012-02-14,15.53,15.86,15.3,15.36,15.36,111800
2012-02-15,15.49,15.52,15.0,15.03,15.03,67200
2012-02-16,15.0,15.48,15.0,15.43,15.43,92200
2012-02-17,15.48,15.53,15.05,15.22,15.22,69000
2012-02-21,15.31,15.48,14.75,14.76,14.76,88200
2012-02-22,14.78,14.96,14.55,14.64,14.64,55200
2012-02-23,14.66,14.96,14.52,14.83,14.83,94200
2012-02-24,14.83,14.95,14.71,14.76,14.76,50900
2012-02-27,14.66,14.81,14.51,14.74,14.74,44200
2012-02-28,14.79,14.94,14.6,14.71,14.71,36800
2012-02-29,15.0,15.0,14.57,14.68,14.68,104100
2012-03-01,14.68,14.99,14.68,14.77,14.77,67000
2012-03-02,14.8,14.94,14.63,14.78,14.78,87100
2012-03-05,14.8,15.43,14.71,15.43,15.43,141800
2012-03-06,15.31,15.48,15.16,15.26,15.26,81800
2012-03-07,15.33,15.82,15.24,15.7,15.7,101700
2012-03-08,15.84,15.94,15.67,15.82,15.82,56200
2012-03-09,15.8,15.93,15.69,15.8,15.8,71100
2012-03-12,15.77,16.02,15.56,15.96,15.96,259600
2012-03-13,16.040001,16.370001,15.91,16.24,16.24,152700
2012-03-14,16.200001,16.41,16.07,16.139999,16.139999,99800
2012-03-15,16.200001,16.299999,16.129999,16.27,16.27,58800
2012-03-16,16.219999,16.540001,16.200001,16.290001,16.290001,90700
2012-03-19,16.280001,18.200001,16.280001,17.950001,17.950001,331900
2012-03-20,17.91,18.219999,17.530001,18.049999,18.049999,124000
2012-03-21,18.059999,18.1,17.610001,17.709999,17.709999,134100
2012-03-22,17.610001,17.860001,17.5,17.85,17.85,68000
2012-03-23,17.82,18.059999,17.58,18.049999,18.049999,56200
2012-03-26,18.26,18.74,18.1,18.24,18.24,120500
2012-03-27,18.200001,18.379999,17.889999,17.9,17.9,58200
2012-03-28,17.93,18.01,17.42,17.49,17.49,82200
2012-03-29,17.379999,17.469999,17.049999,17.09,17.09,99600
2012-03-30,17.16,17.16,15.93,15.95,15.95,277600
2012-04-02,15.95,16.790001,15.9,16.67,16.67,181700
2012-04-03,16.65,16.65,16.139999,16.299999,16.299999,76200
2012-04-04,16.01,16.23,14.5,15.53,15.53,415700
2012-04-05,15.48,15.71,15.31,15.61,15.61,56200
2012-04-09,15.37,15.38,15.09,15.25,15.25,120400
2012-04-10,14.72,15.17,14.5,14.62,14.62,208700
2012-04-11,14.74,15.12,14.72,14.87,14.87,72600
2012-04-12,14.84,14.95,14.53,14.66,14.66,72600
2012-04-13,14.64,14.64,14.15,14.15,14.15,93200
2012-04-16,14.21,14.23,13.69,13.74,13.74,97800
2012-04-17,13.89,14.35,13.89,14.18,14.18,85800
2012-04-18,14.1,14.18,13.67,13.84,13.84,66800
2012-04-19,13.9,14.3,13.75,14.05,14.05,69100
2012-04-20,14.3,14.5,14.06,14.28,14.28,62400
2012-04-23,14.08,14.35,13.77,13.84,13.84,53200
2012-04-24,13.81,14.0,13.75,13.95,13.95,71900
2012-04-25,14.13,14.31,13.94,14.11,14.11,28400
2012-04-26,14.13,14.16,13.89,13.92,13.92,42300
2012-04-27,13.95,13.99,13.62,13.89,13.89,79800
2012-04-30,13.85,13.92,13.45,13.51,13.51,67000
2012-05-01,13.44,13.45,12.49,12.58,12.58,218000
2012-05-02,12.12,12.93,12.0,12.85,12.85,279800
2012-05-03,12.79,12.82,12.0,12.12,12.12,212100
