Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,22.35,22.639999,22.25,22.440001,22.440001,174000
2012-02-07,22.4,22.68,22.25,22.549999,22.549999,201300
2012-02-08,22.530001,22.690001,21.85,22.200001,22.200001,320300
2012-02-09,22.290001,22.65,22.24,22.5,22.5,280600
2012-02-10,22.299999,22.299999,21.91,22.1,22.1,263300
2012-02-13,22.35,22.450001,22.030001,22.15,22.15,262500
2012-02-14,21.200001,21.440001,20.120001,21.16,21.16,1017200
2012-02-15,21.200001,21.33,20.799999,20.879999,20.879999,393700
2012-02-16,20.85,21.790001,20.809999,21.459999,21.459999,609900
2012-02-17,21.57,22.08,21.57,21.700001,21.700001,323100
2012-02-21,21.93,22.16,21.370001,21.530001,21.530001,428700
2012-02-22,20.059999,20.389999,18.65,19.17,19.17,2513600
2012-02-23,20.030001,20.690001,19.610001,20.559999,20.559999,1282500
2012-02-24,20.58,21.280001,20.58,21.07,21.07,994500
2012-02-27,20.879999,21.6,20.799999,21.4,21.4,774100
2012-02-28,21.52,22.41,21.52,21.889999,21.889999,1154000
2012-02-29,22.02,22.389999,21.66,21.889999,21.889999,696900
2012-03-01,22.219999,22.540001,21.99,22.16,22.16,791900
2012-03-02,22.129999,22.639999,21.790001,21.84,21.84,401600
2012-03-05,21.799999,22.379999,21.799999,22.299999,22.299999,632000
2012-03-06,22.0,22.120001,21.889999,21.92,21.92,448100
2012-03-07,21.99,23.559999,21.92,23.059999,23.059999,1067200
2012-03-08,23.24,23.49,23.0,23.459999,23.459999,324200
2012-03-09,23.450001,24.23,23.139999,24.01,24.01,622900
2012-03-12,24.0,24.25,23.629999,24.040001,24.040001,416700
2012-03-13,24.200001,24.33,23.709999,24.33,24.33,352400
2012-03-14,24.23,24.309999,23.809999,23.969999,23.969999,241000
2012-03-15,23.91,24.42,23.6,24.41,24.41,250600
2012-03-16,24.48,24.48,23.77,23.959999,23.959999,469800
2012-03-19,23.91,24.450001,23.6,24.33,24.33,212400
2012-03-20,24.24,24.65,24.0,24.43,24.43,280300
2012-03-21,24.440001,24.75,24.139999,24.200001,24.200001,447100
2012-03-22,23.92,24.57,23.92,24.35,24.35,477200
2012-03-23,24.280001,24.42,23.549999,24.299999,24.299999,714800
2012-03-26,24.370001,25.26,24.16,25.0,25.0,364300
2012-03-27,25.049999,25.5,25.049999,25.16,25.16,322000
2012-03-28,25.15,25.25,24.719999,25.17,25.17,202400
2012-03-29,24.92,25.190001,24.73,25.1,25.1,172900
2012-03-30,25.27,25.27,24.93,25.110001,25.110001,226900
2012-04-02,24.459999,24.84,24.1,24.84,24.84,558500
2012-04-03,24.83,25.190001,24.780001,24.940001,24.940001,296800
2012-04-04,24.65,24.83,24.379999,24.74,24.74,344300
2012-04-05,24.59,25.120001,24.51,25.01,25.01,350100
2012-04-09,24.52,24.870001,24.360001,24.73,24.73,366000
2012-04-10,24.719999,24.940001,23.389999,23.620001,23.620001,1203600
2012-04-11,23.889999,24.290001,23.879999,24.0,24.0,551500
2012-04-12,24.030001,24.459999,23.91,24.18,24.18,439400
2012-04-13,23.99,24.299999,23.9,24.07,24.07,502600
2012-04-16,24.27,24.51,23.639999,23.950001,23.950001,1118600
2012-04-17,24.23,25.709999,24.040001,25.639999,25.639999,1288900
2012-04-18,25.540001,25.74,25.35,25.549999,25.549999,346200
2012-04-19,25.620001,25.639999,24.780001,25.110001,25.110001,444600
2012-04-20,24.709999,24.709999,23.33,23.93,23.93,1095700
2012-04-23,23.59,23.93,23.450001,23.58,23.58,609300
2012-04-24,23.549999,23.93,23.059999,23.469999,23.469999,746700
2012-04-25,25.719999,25.99,24.32,25.030001,25.030001,1611500
2012-04-26,25.290001,27.48,25.290001,27.48,27.48,1740900
2012-04-27,27.450001,28.84,27.32,28.799999,28.799999,1376800
2012-04-30,28.76,29.07,28.43,28.93,28.93,1146500
2012-05-01,28.84,29.49,28.809999,29.17,29.17,1061300
2012-05-02,29.059999,29.35,28.66,29.200001,29.200001,947000
2012-05-03,29.09,29.190001,27.91,28.33,28.33,575000
