Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,1.78,1.8,1.67,1.75,1.75,16800
2012-02-07,1.75,1.75,1.67,1.75,1.75,7800
2012-02-08,1.69,1.73,1.69,1.72,1.72,6000
2012-02-09,1.71,1.75,1.66,1.75,1.75,43200
2012-02-10,1.72,1.77,1.72,1.76,1.76,7700
2012-02-13,1.75,1.8,1.7,1.75,1.75,26200
2012-02-14,1.75,1.89,1.65,1.69,1.69,63200
2012-02-15,1.75,1.81,1.69,1.74,1.74,16000
2012-02-16,1.69,1.8,1.68,1.69,1.69,28300
2012-02-17,1.7,1.85,1.7,1.85,1.85,8400
2012-02-21,1.83,1.84,1.7,1.82,1.82,8300
2012-02-22,1.68,1.8,1.67,1.7,1.7,11100
2012-02-23,1.7,1.74,1.65,1.65,1.65,17900
2012-02-24,1.65,1.68,1.63,1.63,1.63,21400
2012-02-27,1.63,1.65,1.6,1.61,1.61,9900
2012-02-28,1.64,1.75,1.61,1.68,1.68,6200
2012-02-29,1.68,1.77,1.64,1.77,1.77,35400
2012-03-01,1.77,1.79,1.71,1.71,1.71,26800
2012-03-02,1.7,1.7,1.64,1.67,1.67,20000
2012-03-05,1.64,1.68,1.6,1.6,1.6,11000
2012-03-06,1.6,1.6,1.43,1.45,1.45,24400
2012-03-07,1.52,1.7,1.47,1.5,1.5,23600
2012-03-08,1.46,1.55,1.46,1.47,1.47,42900
2012-03-09,1.47,1.62,1.38,1.49,1.49,20800
2012-03-12,1.45,1.5,1.39,1.46,1.46,13100
2012-03-13,1.47,1.5,1.42,1.42,1.42,3700
2012-03-14,1.45,1.5,1.42,1.49,1.49,9000
2012-03-15,1.5,1.6,1.46,1.59,1.59,14400
2012-03-16,1.53,1.53,1.36,1.45,1.45,72500
2012-03-19,1.44,1.48,1.36,1.36,1.36,24500
2012-03-20,1.39,1.4,1.37,1.39,1.39,8400
2012-03-21,1.4,1.46,1.4,1.46,1.46,11200
2012-03-22,1.45,1.49,1.43,1.43,1.43,1800
2012-03-23,1.37,1.65,1.37,1.55,1.55,38000
2012-03-26,1.52,1.54,1.46,1.52,1.52,4100
2012-03-27,1.52,1.52,1.52,1.52,1.52,500
2012-03-28,1.49,1.98,1.49,1.66,1.66,234100
2012-03-29,1.68,1.7,1.57,1.7,1.7,36100
2012-03-30,1.69,1.8,1.59,1.67,1.67,20300
2012-04-02,1.62,1.76,1.62,1.72,1.72,19800
2012-04-03,1.69,1.72,1.64,1.71,1.71,3300
2012-04-04,1.71,1.71,1.62,1.67,1.67,12300
2012-04-05,1.65,1.73,1.6,1.63,1.63,6800
2012-04-09,1.63,1.73,1.63,1.65,1.65,3700
2012-04-10,1.65,1.68,1.55,1.67,1.67,10500
2012-04-11,1.65,1.73,1.57,1.65,1.65,9200
2012-04-12,1.63,1.65,1.61,1.63,1.63,1000
2012-04-13,1.63,1.63,1.57,1.6,1.6,7700
2012-04-16,1.57,1.62,1.55,1.61,1.61,2400
2012-04-17,1.55,1.8,1.5,1.54,1.54,54100
2012-04-18,1.55,1.57,1.48,1.53,1.53,12000
2012-04-19,1.5,1.56,1.48,1.55,1.55,24600
2012-04-20,1.55,1.7,1.55,1.61,1.61,11800
2012-04-23,1.67,1.69,1.61,1.69,1.69,8100
2012-04-24,1.72,1.73,1.61,1.66,1.66,10800
2012-04-25,1.67,1.68,1.65,1.68,1.68,2400
2012-04-26,1.66,1.75,1.66,1.7,1.7,17200
2012-04-27,1.7,1.7,1.67,1.67,1.67,5400
2012-04-30,1.7,1.7,1.65,1.65,1.65,1200
2012-05-01,1.68,1.68,1.67,1.67,1.67,500
2012-05-02,1.67,1.7,1.67,1.67,1.67,4800
2012-05-03,1.7,1.7,1.67,1.67,1.67,8900
2012-05-04,1.67,1.7,1.6,1.63,1.63,23300
2012-05-07,1.6,1.6,1.6,1.6,1.6,400
2012-05-08,1.63,1.69,1.61,1.61,1.61,9100
2012-05-09,1.61,1.7,1.61,1.69,1.69,10500
2012-05-10,1.65,1.68,1.65,1.68,1.68,11000
2012-05-11,1.66,1.74,1.66,1.73,1.73,29600
2012-05-14,1.72,1.72,1.61,1.62,1.62,4700
2012-05-15,1.62,1.65,1.61,1.61,1.61,4800
2012-05-16,1.66,1.66,1.66,1.66,1.66,300
2012-05-17,1.61,1.68,1.61,1.68,1.68,3200
2012-05-18,1.63,1.7,1.61,1.62,1.62,7400
2012-05-21,1.63,1.65,1.63,1.65,1.65,2100
2012-05-22,1.65,1.65,1.62,1.63,1.63,20500
2012-05-23,1.69,1.69,1.63,1.64,1.64,5900
2012-05-24,1.63,1.65,1.55,1.65,1.65,30400
2012-05-25,1.65,1.69,1.62,1.62,1.62,10700
2012-05-29,1.62,1.68,1.55,1.6,1.6,33300
2012-05-30,1.62,1.62,1.61,1.61,1.61,2800
2012-05-31,1.65,1.65,1.61,1.61,1.61,9100
2012-06-01,1.63,1.65,1.61,1.61,1.61,22700
2012-06-04,1.64,1.65,1.49,1.51,1.51,23500
2012-06-05,1.53,1.6,1.43,1.43,1.43,28700
2012-06-06,1.44,1.5,1.43,1.5,1.5,17100
2012-06-07,1.47,1.52,1.45,1.45,1.45,12300
2012-06-08,1.51,1.54,1.5,1.5,1.5,4300
2012-06-11,1.53,1.64,1.53,1.64,1.64,12000
2012-06-12,1.65,1.67,1.61,1.67,1.67,9100
2012-06-13,1.66,1.68,1.56,1.68,1.68,24800
2012-06-14,1.66,1.68,1.61,1.65,1.65,3100
2012-06-15,1.65,1.69,1.65,1.67,1.67,14100
2012-06-18,1.66,1.68,1.65,1.68,1.68,1200
2012-06-19,1.67,1.67,1.54,1.55,1.55,13300
2012-06-20,1.55,1.58,1.54,1.54,1.54,700
2012-06-21,1.53,1.54,1.53,1.53,1.53,2200
2012-06-22,1.57,1.57,1.44,1.44,1.44,32000
2012-06-25,1.46,1.5,1.43,1.48,1.48,12300
2012-06-26,1.48,1.5,1.43,1.43,1.43,3900
2012-06-27,1.45,1.48,1.31,1.37,1.37,14900
2012-06-28,1.31,1.41,1.31,1.33,1.33,8400
