Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,18.75,18.9,14.99,16.889999,16.889999,4397300
2021-06-18,16.26,16.85,15.99,16.200001,16.200001,448000
2021-06-21,16.1,16.879999,15.12,16.66,16.66,698400
2021-06-22,16.74,16.870001,16.0,16.6,16.6,486000
2021-06-23,16.360001,16.85,16.0,16.549999,16.549999,2358000
2021-06-24,16.58,16.639999,15.5,16.0,16.0,383400
2021-06-25,15.9,16.15,15.8,15.99,15.99,126400
2021-06-28,15.905,16.940001,15.82,16.559999,16.559999,217600
2021-06-29,16.469999,16.73,16.01,16.32,16.32,643400
2021-06-30,16.200001,16.396999,16.0,16.24,16.24,461900
2021-07-01,16.1,16.370001,15.73,16.01,16.01,747400
2021-07-02,15.95,16.17,15.115,16.030001,16.030001,330600
2021-07-06,16.030001,16.030001,15.2,15.51,15.51,701600
2021-07-07,15.46,15.59,15.0,15.38,15.38,332000
2021-07-08,15.11,16.0,14.98,15.25,15.25,521800
2021-07-09,15.21,16.290001,15.02,15.88,15.88,442600
2021-07-12,16.0,16.915001,15.7,16.27,16.27,695900
2021-07-13,16.01,16.799999,15.86,16.219999,16.219999,439700
2021-07-14,16.1,16.75,16.1,16.67,16.67,384900
2021-07-15,16.639999,16.99,15.83,16.07,16.07,714300
2021-07-16,16.120001,17.35,15.995,16.91,16.91,760400
2021-07-19,16.709999,17.25,16.41,16.450001,16.450001,123500
2021-07-20,16.530001,17.15,16.530001,16.700001,16.700001,102900
2021-07-21,16.83,16.93,15.36,15.7,15.7,331100
2021-07-22,15.77,16.1,15.17,15.57,15.57,220900
2021-07-23,15.57,16.049999,14.3,14.43,14.43,241800
2021-07-26,14.5,15.164,14.11,14.55,14.55,297700
2021-07-27,14.66,14.98,14.0,14.41,14.41,250800
2021-07-28,14.46,14.61,13.11,13.51,13.51,289700
2021-07-29,13.62,14.32,13.455,13.97,13.97,290800
2021-07-30,13.93,14.73,13.75,14.5,14.5,207700
2021-08-02,15.77,15.77,14.28,14.72,14.72,266200
2021-08-03,14.79,15.73,14.43,15.55,15.55,97400
2021-08-04,15.55,16.23,15.45,15.72,15.72,159000
2021-08-05,15.74,16.700001,15.64,16.290001,16.290001,189800
2021-08-06,16.27,16.33,15.5,15.64,15.64,393500
2021-08-09,15.76,16.353001,14.8,15.03,15.03,441900
2021-08-10,14.91,15.15,14.53,14.82,14.82,139800
2021-08-11,14.89,14.91,14.41,14.41,14.41,175800
2021-08-12,14.5,14.9,14.0,14.28,14.28,134400
2021-08-13,14.34,15.0,14.28,14.81,14.81,141700
2021-08-16,14.83,14.83,13.75,14.08,14.08,154100
2021-08-17,14.06,14.86,13.76,14.73,14.73,101000
2021-08-18,14.66,15.175,14.29,14.87,14.87,136200
2021-08-19,14.84,15.18,14.01,14.54,14.54,226900
2021-08-20,14.51,15.4,14.4,15.14,15.14,200400
2021-08-23,15.28,16.200001,15.245,15.61,15.61,165600
2021-08-24,15.65,15.7,15.28,15.48,15.48,57300
2021-08-25,15.47,15.86,15.18,15.5,15.5,61000
2021-08-26,15.51,16.280001,14.98,15.29,15.29,268500
2021-08-27,15.33,16.9,15.05,16.23,16.23,207400
2021-08-30,16.33,17.0,15.74,15.78,15.78,209900
2021-08-31,15.87,16.32,15.66,15.79,15.79,124000
2021-09-01,15.78,16.83,15.32,16.1,16.1,209300
2021-09-02,16.190001,16.860001,15.965,16.700001,16.700001,146700
2021-09-03,16.700001,16.700001,16.254999,16.48,16.48,299300
2021-09-07,16.709999,19.84,16.700001,17.0,17.0,3028700
2021-09-08,16.959999,17.35,15.98,17.049999,17.049999,732700
2021-09-09,16.85,17.540001,16.77,16.860001,16.860001,458900
2021-09-10,17.059999,18.16,15.06,17.950001,17.950001,758700
2021-09-13,17.75,17.75,13.25,16.049999,16.049999,2111000
2021-09-14,15.88,16.040001,14.08,14.51,14.51,403800
2021-09-15,14.51,14.511,13.18,13.18,13.18,695600
2021-09-16,13.41,13.851,11.615,11.66,11.66,1092400
2021-09-17,12.0,12.61,11.37,11.81,11.81,4092600
2021-09-20,11.52,11.65,10.62,11.03,11.03,1015600
2021-09-21,11.11,11.406,10.88,11.0,11.0,394500
2021-09-22,11.0,11.45,10.86,11.29,11.29,332200
2021-09-23,11.28,11.405,10.985,11.23,11.23,349800
2021-09-24,11.3,12.4,11.12,12.28,12.28,258300
2021-09-27,11.99,13.16,11.88,12.84,12.84,461200
2021-09-28,12.84,14.35,12.35,14.12,14.12,1078900
2021-09-29,13.92,14.58,13.71,14.56,14.56,322300
2021-09-30,14.56,15.01,14.11,14.8,14.8,575800
2021-10-01,14.5,14.5,12.69,13.29,13.29,649600
2021-10-04,13.28,13.28,12.17,13.11,13.11,331200
2021-10-05,13.04,13.11,11.75,12.13,12.13,202600
2021-10-06,12.08,12.21,11.31,11.57,11.57,252400
2021-10-07,11.55,12.53,11.39,12.45,12.45,194800
2021-10-08,12.5,13.34,12.41,12.94,12.94,503800
2021-10-11,12.86,12.86,11.74,12.2,12.2,282700
2021-10-12,12.29,13.47,11.91,13.15,13.15,222200
2021-10-13,13.07,13.21,12.21,12.85,12.85,232200
2021-10-14,13.01,13.65,12.221,13.51,13.51,116900
2021-10-15,13.65,14.07,12.94,13.28,13.28,177400
2021-10-18,13.19,13.45,12.79,13.08,13.08,156100
2021-10-19,13.23,14.26,13.23,13.92,13.92,209300
2021-10-20,13.88,14.13,13.56,13.88,13.88,110600
2021-10-21,13.87,14.1,13.48,13.89,13.89,119400
2021-10-22,13.83,13.83,13.46,13.79,13.79,112800
2021-10-25,13.83,14.5,13.67,14.45,14.45,126600
2021-10-26,14.49,15.46,14.33,15.19,15.19,231700
2021-10-27,15.02,15.47,14.12,14.37,14.37,167800
2021-10-28,14.44,14.8,14.09,14.67,14.67,107600
2021-10-29,14.74,15.317,13.57,13.94,13.94,293400
2021-11-01,14.01,14.38,13.54,14.14,14.14,260600
2021-11-02,14.12,15.28,13.835,14.84,14.84,144400
2021-11-03,14.86,15.495,13.71,13.99,13.99,472800
2021-11-04,14.05,15.415,13.94,14.93,14.93,234800
2021-11-05,14.98,15.02,13.55,13.82,13.82,108600
2021-11-08,13.7,14.155,12.71,12.96,12.96,274400
2021-11-09,12.93,12.93,11.62,12.01,12.01,265200
2021-11-10,12.05,12.31,11.75,12.05,12.05,330400
2021-11-11,12.05,12.1,11.22,11.52,11.52,244200
2021-11-12,11.52,11.625,10.8,11.39,11.39,327600
2021-11-15,11.61,11.63,10.93,11.05,11.05,512200
2021-11-16,11.05,11.2,10.81,10.94,10.94,408600
2021-11-17,10.98,11.41,10.92,11.1,11.1,297200
2021-11-18,11.13,11.17,10.45,10.52,10.52,482800
2021-11-19,10.49,11.06,10.31,10.81,10.81,227000
2021-11-22,10.71,10.96,9.71,9.8,9.8,343200
