Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,14.17,14.23,13.96,14.03,12.368731,399300
2012-02-07,14.01,14.1,13.69,13.87,12.227675,479300
2012-02-08,13.95,14.15,13.83,13.89,12.245306,281200
2012-02-09,14.0,14.09,13.72,14.02,12.359911,317300
2012-02-10,13.82,14.0,13.76,13.79,12.157146,317100
2012-02-13,14.0,14.3,13.9,14.08,12.412808,620600
2012-02-14,14.0,14.06,13.79,14.05,12.38636,392200
2012-02-15,14.1,14.1,13.79,13.88,12.236488,421100
2012-02-16,13.85,14.05,13.82,13.98,12.32465,325100
2012-02-17,14.09,14.14,13.95,14.01,12.3511,294900
2012-02-21,14.05,14.55,14.03,14.42,12.712548,1172700
2012-02-22,14.5,14.69,13.85,13.89,12.245306,891400
2012-02-23,13.94,15.0,13.94,14.76,13.012291,890800
2012-02-24,14.73,14.98,14.43,14.46,12.747813,607200
2012-02-27,14.28,14.88,14.04,14.49,12.774261,415400
2012-02-28,14.48,14.6,14.27,14.52,12.80071,355100
2012-02-29,14.52,14.77,14.22,14.29,12.59794,579300
2012-03-01,14.36,14.5,14.14,14.21,12.527416,568500
2012-03-02,14.18,14.36,13.75,13.8,12.165964,490800
2012-03-05,13.73,14.01,13.59,13.67,12.051355,483000
2012-03-06,13.46,13.54,13.15,13.34,11.760428,515100
2012-03-07,13.42,13.75,13.39,13.74,12.113068,290500
2012-03-08,13.94,14.06,13.74,13.95,12.2982,374400
2012-03-09,13.98,14.25,13.89,14.16,12.483336,435600
2012-03-12,14.29,14.63,14.15,14.55,12.827157,448600
2012-03-13,14.71,15.0,14.56,14.99,13.215058,536800
2012-03-14,14.95,15.0,14.53,14.69,12.95058,355900
2012-03-15,14.7,15.22,14.52,15.13,13.338478,639500
2012-03-16,15.12,15.23,14.61,14.83,13.074003,2374900
2012-03-19,14.8,15.15,14.55,14.97,13.197427,462800
2012-03-20,14.77,14.81,14.36,14.67,12.932949,312700
2012-03-21,14.74,14.9,14.52,14.76,13.012291,353000
2012-03-22,14.54,14.66,14.35,14.64,12.906498,395100
2012-03-23,14.27,14.72,14.03,14.62,12.888869,523200
2012-03-26,14.75,15.17,14.63,15.1,13.312031,512400
2012-03-27,15.1,15.31,15.04,15.1,13.312031,528500
2012-03-28,15.07,15.44,14.91,15.16,13.364927,322800
2012-03-29,14.98,15.17,14.64,15.12,13.329662,322700
2012-03-30,15.28,15.28,14.86,14.96,13.188608,272100
2012-04-02,14.87,15.0,14.69,14.99,13.215058,367500
2012-04-03,14.91,15.34,14.85,15.06,13.276767,743000
2012-04-04,14.82,15.02,14.7,14.92,13.153343,741500
2012-04-05,14.85,15.16,14.78,15.16,13.364927,598700
2012-04-09,14.8,14.91,14.63,14.74,12.994658,370300
2012-04-10,14.74,14.74,13.43,13.51,11.910302,698100
2012-04-11,13.73,13.84,13.57,13.71,12.08662,352400
2012-04-12,13.68,14.37,13.61,14.33,12.633208,406900
2012-04-13,14.24,14.3,13.9,13.97,12.315833,353800
2012-04-16,14.1,14.11,13.65,13.91,12.262938,382100
2012-04-17,14.07,14.55,14.04,14.54,12.818342,479800
2012-04-18,14.39,14.62,14.16,14.53,12.809522,366100
2012-04-19,14.51,14.61,14.01,14.24,12.553865,428800
2012-04-20,14.48,14.54,14.15,14.26,12.571493,582200
2012-04-23,13.93,14.15,13.77,13.98,12.32465,498900
2012-04-24,13.99,14.58,13.88,14.31,12.615577,597300
2012-04-25,14.58,15.0,14.43,14.94,13.170976,489500
2012-04-26,14.91,15.15,14.83,15.03,13.250319,640600
2012-04-27,15.09,15.44,14.83,15.34,13.523613,789400
2012-04-30,15.31,15.32,14.93,15.07,13.285583,401000
2012-05-01,15.04,15.78,14.95,15.22,13.417821,597400
2012-05-02,15.02,16.43,15.0,16.26,14.334679,1087300
2012-05-03,16.25,16.360001,15.68,16.030001,14.131914,701300
2012-05-04,15.85,16.0,15.54,15.61,13.761641,569100
2012-05-07,15.47,15.69,15.28,15.45,13.62059,464300
2012-05-08,15.29,15.43,14.8,15.03,13.250319,565200
2012-05-09,14.77,14.89,14.5,14.72,12.977026,600700
2012-05-10,14.92,15.4,14.87,15.28,13.470718,371800
2012-05-11,15.06,15.49,15.03,15.22,13.417821,417900
2012-05-14,14.96,15.35,14.85,15.02,13.241506,550800
2012-05-15,14.97,15.39,14.8,15.0,13.223872,488300
2012-05-16,15.13,15.56,14.94,14.99,13.215058,412400
2012-05-17,15.0,15.11,13.8,13.82,12.183591,812900
2012-05-18,13.8,13.82,13.25,13.46,11.866222,730300
2012-05-21,13.56,13.91,13.21,13.9,12.254123,416100
2012-05-22,13.95,14.31,13.81,13.99,12.333464,476600
2012-05-23,13.81,14.31,13.63,14.2,12.518599,308000
2012-05-24,14.24,14.65,13.93,14.29,12.59794,245300
2012-05-25,14.32,14.44,14.18,14.34,12.642024,161700
2012-05-29,14.5,14.93,14.33,14.65,12.915314,334700
2012-05-30,14.45,14.45,14.0,14.21,12.527416,306100
2012-05-31,14.2,14.22,13.62,14.11,12.439253,648200
2012-06-01,13.65,13.74,12.82,13.04,11.495954,935800
2012-06-04,13.06,13.2,12.6,12.88,11.354901,952600
2012-06-05,12.88,13.28,12.59,13.21,11.645825,578300
2012-06-06,13.32,13.52,12.95,13.46,11.866222,523700
2012-06-07,13.72,13.74,13.21,13.4,11.813326,435400
2012-06-08,13.33,13.86,13.04,13.81,12.174781,442400
2012-06-11,14.03,14.03,13.15,13.23,11.663457,577700
2012-06-12,13.33,13.45,13.08,13.39,11.804513,454600
2012-06-13,13.32,13.58,12.58,12.68,11.17858,839600
2012-06-14,12.76,13.15,12.65,12.95,11.41661,645200
2012-06-15,13.03,13.4,12.88,13.09,11.540034,1379400
2012-06-18,13.01,13.11,12.82,13.01,11.469505,591800
2012-06-19,13.1,13.5,13.03,13.13,11.575295,664300
2012-06-20,12.82,12.82,11.3,11.47,10.111856,3177600
2012-06-21,11.43,11.45,10.95,11.21,9.882642,1827100
2012-06-22,11.27,11.6,11.21,11.49,10.129484,1238200
2012-06-25,11.25,11.47,11.09,11.32,9.979616,719400
2012-06-26,11.33,11.67,11.26,11.55,10.182384,563000
2012-06-27,11.5,11.85,11.48,11.74,10.349884,666100
2012-06-28,11.59,11.83,11.47,11.83,10.429229,461300
2012-06-29,12.14,12.42,11.91,12.29,10.83476,785800
2012-07-02,12.32,12.45,12.05,12.33,10.870021,491900
2012-07-03,12.36,12.58,12.27,12.44,10.966998,98700
2012-07-05,12.42,12.65,12.38,12.57,11.081606,348600
2012-07-06,12.36,12.42,12.2,12.31,10.852395,266900
2012-07-09,12.26,12.3,12.02,12.24,10.790679,389800
2012-07-10,12.38,12.76,11.96,12.11,10.676072,421800
2012-07-11,12.07,12.21,11.8,11.97,10.55265,392300
2012-07-12,11.81,12.14,11.81,11.99,10.570281,932600
2012-07-13,12.11,12.6,12.09,12.5,11.019894,966000
2012-07-16,12.51,12.63,12.1,12.28,10.825944,249600
