Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,45.509998,52.830002,43.25,49.0,49.0,4217800
2020-12-21,56.810001,62.0,50.349998,50.509998,50.509998,1035700
2020-12-22,52.119999,59.75,51.290001,56.290001,56.290001,743100
2020-12-23,56.919998,69.269997,56.919998,61.790001,61.790001,601600
2020-12-24,64.599998,71.110001,64.599998,67.919998,67.919998,393500
2020-12-28,72.0,74.0,59.240002,66.860001,66.860001,631000
2020-12-29,62.75,64.910004,55.790001,55.98,55.98,413000
2020-12-30,57.700001,60.380001,54.400002,60.380001,60.380001,393000
2020-12-31,58.610001,59.419998,54.509998,56.950001,56.950001,208500
2021-01-04,55.209999,57.490002,51.049999,54.709999,54.709999,417200
2021-01-05,54.0,60.93,52.360001,57.900002,57.900002,153100
2021-01-06,56.98,57.529999,54.490002,55.849998,55.849998,242000
2021-01-07,54.860001,55.75,52.119999,54.810001,54.810001,222200
2021-01-08,55.009998,55.195,51.060001,52.91,52.91,286700
2021-01-11,52.580002,58.950001,51.514,56.630001,56.630001,255100
2021-01-12,57.419998,59.330002,56.16,57.139999,57.139999,214900
2021-01-13,57.59,60.5,57.080002,57.59,57.59,264600
2021-01-14,58.040001,63.919998,57.139999,61.41,61.41,271600
2021-01-15,61.0,62.810001,57.43,62.450001,62.450001,165800
2021-01-19,62.220001,67.440002,62.220001,64.900002,64.900002,141600
2021-01-20,65.589996,68.769997,64.900002,65.379997,65.379997,165800
2021-01-21,65.0,65.370003,60.73,62.5,62.5,194600
2021-01-22,61.880001,66.260002,60.919998,65.449997,65.449997,206300
2021-01-25,64.629997,67.860001,63.028,63.93,63.93,162000
2021-01-26,64.279999,64.279999,57.5,57.709999,57.709999,234100
2021-01-27,56.299999,56.536999,50.75,53.650002,53.650002,320700
2021-01-28,53.970001,55.889999,53.650002,55.029999,55.029999,237400
2021-01-29,54.98,57.995998,53.310001,55.110001,55.110001,257100
2021-02-01,55.810001,56.360001,53.900002,54.84,54.84,117200
2021-02-02,55.290001,64.860001,55.290001,63.549999,63.549999,382400
2021-02-03,63.889999,69.989998,63.5,66.32,66.32,279900
2021-02-04,66.309998,73.665001,66.300003,68.5,68.5,213600
2021-02-05,68.470001,70.495003,66.031998,68.0,68.0,308200
2021-02-08,68.800003,75.339996,68.400002,71.519997,71.519997,323700
2021-02-09,72.760002,79.599998,72.129997,74.800003,74.800003,314600
2021-02-10,75.93,77.349998,63.330002,68.410004,68.410004,439000
2021-02-11,68.5,70.900002,66.370003,70.650002,70.650002,131800
2021-02-12,70.540001,73.199997,69.129997,73.150002,73.150002,123300
2021-02-16,74.040001,76.489998,73.690002,75.0,75.0,207900
2021-02-17,74.010002,75.044998,70.330002,71.849998,71.849998,203800
2021-02-18,70.690002,70.690002,61.959999,64.199997,64.199997,211600
2021-02-19,68.629997,68.629997,66.400002,68.050003,68.050003,123500
2021-02-22,66.349998,68.260002,64.199997,64.410004,64.410004,97100
2021-02-23,61.0,61.889999,52.52,58.849998,58.849998,426000
2021-02-24,59.16,65.089996,59.16,61.189999,61.189999,225900
2021-02-25,61.189999,62.02,54.200001,55.0,55.0,298400
2021-02-26,55.41,57.0,51.830002,53.189999,53.189999,240700
2021-03-01,55.82,58.625,55.0,57.470001,57.470001,180900
2021-03-02,57.139999,57.919998,54.669998,55.110001,55.110001,115200
2021-03-03,55.119999,55.66,48.5,50.200001,50.200001,424700
2021-03-04,49.459999,50.75,42.02,43.009998,43.009998,436600
2021-03-05,44.34,44.68,38.880001,41.459999,41.459999,397100
2021-03-08,43.722,43.722,39.669998,39.939999,39.939999,498500
2021-03-09,41.27,48.080002,41.27,42.799999,42.799999,445500
2021-03-10,45.200001,46.998001,43.900002,46.900002,46.900002,307400
2021-03-11,47.52,54.919998,47.52,53.369999,53.369999,325700
2021-03-12,52.610001,54.790001,51.0,54.290001,54.290001,207300
2021-03-15,54.290001,57.099998,54.200001,55.029999,55.029999,184700
2021-03-16,55.48,58.200001,53.301998,53.939999,53.939999,265300
2021-03-17,52.189999,55.330002,48.52,53.799999,53.799999,374300
2021-03-18,52.099998,54.68,49.380001,49.380001,49.380001,221100
2021-03-19,50.830002,53.970001,49.450001,51.279999,51.279999,1282300
2021-03-22,51.66,53.758999,50.150002,51.279999,51.279999,191500
2021-03-23,50.669998,51.608002,46.41,47.07,47.07,215100
2021-03-24,48.349998,48.349998,46.009998,46.130001,46.130001,147300
2021-03-25,44.5,46.32,42.880001,45.389999,45.389999,213700
2021-03-26,45.389999,45.845001,41.0,43.040001,43.040001,131600
2021-03-29,43.09,45.619999,42.549999,44.990002,44.990002,201100
2021-03-30,44.32,45.509998,41.0,44.860001,44.860001,494600
2021-03-31,45.849998,49.68,44.880001,48.5,48.5,358200
2021-04-01,50.610001,52.790001,50.0,52.110001,52.110001,247500
2021-04-05,53.060001,53.27,49.57,52.490002,52.490002,216800
2021-04-06,52.52,53.990002,51.220001,52.919998,52.919998,92800
2021-04-07,52.799999,53.145,48.66,49.650002,49.650002,257600
2021-04-08,50.799999,51.990002,49.669998,51.029999,51.029999,150800
2021-04-09,51.709999,51.709999,49.125,50.990002,50.990002,83900
2021-04-12,50.77,51.779999,48.75,50.77,50.77,129900
2021-04-13,50.830002,53.130001,50.169998,52.310001,52.310001,95600
2021-04-14,52.48,54.09,50.305,51.150002,51.150002,129600
2021-04-15,51.98,53.490002,50.040001,52.689999,52.689999,115300
2021-04-16,53.52,53.52,50.062,52.18,52.18,145400
2021-04-19,51.299999,51.465,48.5,51.130001,51.130001,236800
2021-04-20,50.75,51.588001,48.009998,50.970001,50.970001,201300
2021-04-21,50.669998,52.080002,49.400002,51.029999,51.029999,93600
2021-04-22,51.18,53.189999,50.615002,51.650002,51.650002,159100
2021-04-23,52.080002,54.0,51.919998,52.470001,52.470001,154000
2021-04-26,52.919998,55.0,52.150002,54.43,54.43,65000
2021-04-27,54.790001,55.826,54.474998,55.110001,55.110001,163600
2021-04-28,55.060001,55.450001,53.560001,54.150002,54.150002,128500
2021-04-29,54.82,54.82,51.5,53.09,53.09,129100
2021-04-30,52.82,53.200001,51.82,52.990002,52.990002,203700
2021-05-03,53.34,53.66,51.66,52.330002,52.330002,146100
2021-05-04,52.200001,52.299999,48.43,51.900002,51.900002,291600
2021-05-05,52.169998,53.189999,50.52,52.16,52.16,285700
2021-05-06,51.900002,51.900002,47.0,49.470001,49.470001,297900
2021-05-07,50.349998,52.290001,48.880001,50.470001,50.470001,247600
2021-05-10,50.119999,50.98,46.119999,47.18,47.18,451600
2021-05-11,45.59,47.16,43.153,44.439999,44.439999,355900
2021-05-12,43.599998,45.0,43.419998,44.009998,44.009998,238500
2021-05-13,42.389999,43.610001,35.314999,36.75,36.75,1371800
2021-05-14,38.029999,38.139999,33.709999,36.830002,36.830002,692000
2021-05-17,36.900002,38.410999,35.959999,36.700001,36.700001,387300
2021-05-18,36.889999,38.796001,36.150002,37.57,37.57,371800
2021-05-19,36.5,38.970001,35.84,36.849998,36.849998,228600
2021-05-20,36.849998,38.639999,36.310001,38.07,38.07,260800
2021-05-21,38.5,39.099998,37.720001,38.18,38.18,131200
2021-05-24,38.459999,38.759998,37.380001,38.450001,38.450001,91500
2021-05-25,38.75,39.599998,38.560001,38.98,38.98,96200
2021-05-26,38.98,39.700001,38.880001,39.459999,39.459999,189800
2021-05-27,39.5,41.080002,38.060001,40.330002,40.330002,372900
2021-05-28,41.0,42.509998,40.68,42.130001,42.130001,148500
2021-06-01,42.48,44.700001,42.09,44.450001,44.450001,178000
2021-06-02,45.089001,45.09,42.650002,43.950001,43.950001,93000
2021-06-03,43.400002,44.5,41.18,42.630001,42.630001,69000
2021-06-04,42.939999,43.939999,42.259998,42.790001,42.790001,76500
2021-06-07,42.77,43.380001,41.490002,42.790001,42.790001,199400
2021-06-08,43.25,43.68,42.665001,43.240002,43.240002,417100
2021-06-09,43.5,44.150002,42.040001,42.459999,42.459999,206400
2021-06-10,42.290001,44.150002,42.060001,42.549999,42.549999,351800
2021-06-11,42.419998,42.490002,40.669998,40.799999,40.799999,303700
2021-06-14,41.040001,44.860001,41.040001,43.580002,43.580002,321600
2021-06-15,43.0,43.93,37.59,38.709999,38.709999,903400
2021-06-16,38.16,40.389999,37.014999,40.32,40.32,1350000
2021-06-17,40.189999,43.529999,40.169998,41.700001,41.700001,606700
2021-06-18,42.02,43.0,39.0,40.0,40.0,973200
2021-06-21,40.5,41.110001,38.869999,39.009998,39.009998,672500
2021-06-22,39.040001,40.0,36.82,39.830002,39.830002,572900
2021-06-23,39.75,39.945,38.57,39.740002,39.740002,330400
2021-06-24,40.0,40.549999,39.110001,39.830002,39.830002,261900
2021-06-25,39.830002,40.099998,39.299999,39.580002,39.580002,226800
2021-06-28,39.75,39.82,38.650002,39.439999,39.439999,319500
2021-06-29,39.650002,41.450001,39.02,39.75,39.75,272700
2021-06-30,39.470001,39.549999,38.75,38.75,38.75,193800
2021-07-01,38.98,38.98,37.099998,37.110001,37.110001,400400
2021-07-02,37.470001,38.250999,34.330002,34.630001,34.630001,343000
2021-07-06,34.650002,34.82,32.689999,34.490002,34.490002,530000
2021-07-07,34.82,35.299999,32.900002,33.75,33.75,328600
2021-07-08,32.93,36.185001,32.259998,35.290001,35.290001,438500
2021-07-09,35.439999,35.52,34.43,35.240002,35.240002,361800
2021-07-12,35.209999,38.029999,35.009998,37.810001,37.810001,262400
2021-07-13,37.619999,37.619999,33.310001,33.619999,33.619999,548800
2021-07-14,33.73,33.851002,31.870001,32.02,32.02,260300
