Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,10.0,10.0,10.0,10.0,9.944522,1100
2017-06-30,10.25,10.25,10.05,10.06,10.004189,3300
2017-07-03,10.06,10.06,10.06,10.06,10.004189,0
2017-07-05,10.06,10.06,10.06,10.06,10.004189,0
2017-07-06,10.06,10.06,10.06,10.06,10.004189,0
2017-07-07,9.977,9.977,9.7,9.84,9.78541,1400
2017-07-10,9.84,9.84,9.84,9.84,9.78541,0
2017-07-11,9.84,9.84,9.84,9.84,9.78541,0
2017-07-12,9.84,9.84,9.84,9.84,9.78541,0
2017-07-13,9.85,9.85,9.85,9.85,9.795354,200
2017-07-14,9.85,9.85,9.85,9.85,9.795354,0
2017-07-17,9.9,9.9,9.9,9.9,9.845077,1000
2017-07-18,9.9,9.9,9.9,9.9,9.845077,0
2017-07-19,9.9,9.9,9.9,9.9,9.845077,0
2017-07-20,9.8,9.95,9.8,9.9,9.845077,47500
2017-07-21,9.9,9.9,9.9,9.9,9.845077,9300
2017-07-24,9.9,9.9,9.9,9.9,9.845077,0
2017-07-25,9.9,9.9,9.9,9.9,9.845077,0
2017-07-26,9.9,9.9,9.9,9.9,9.845077,0
2017-07-27,9.9,9.9,9.9,9.9,9.845077,0
2017-07-28,9.9,9.9,9.9,9.9,9.845077,0
2017-07-31,9.9,9.9,9.9,9.9,9.845077,0
2017-08-01,9.9,9.9,9.9,9.9,9.845077,0
2017-08-02,9.9,9.9,9.9,9.9,9.845077,0
2017-08-03,9.9,9.9,9.9,9.9,9.845077,0
2017-08-04,9.9,9.9,9.9,9.9,9.845077,0
2017-08-07,9.88,9.88,9.88,9.88,9.825188,300
2017-08-08,9.88,9.88,9.88,9.88,9.825188,0
2017-08-09,9.88,9.88,9.88,9.88,9.825188,0
2017-08-10,9.88,9.88,9.88,9.88,9.825188,0
2017-08-11,9.88,9.88,9.88,9.88,9.825188,0
2017-08-14,9.88,9.88,9.88,9.88,9.825188,0
2017-08-15,9.8,9.8,9.7,9.7,9.646186,3000
2017-08-16,9.76,9.82,9.76,9.8,9.745631,131700
2017-08-17,9.8,9.8,9.8,9.8,9.745631,100000
2017-08-18,9.8,9.8,9.8,9.8,9.745631,15000
2017-08-21,9.8,9.8,9.8,9.8,9.745631,2100
2017-08-22,9.8,9.8,9.8,9.8,9.745631,0
2017-08-23,9.8,9.8,9.79,9.8,9.745631,3500
2017-08-24,9.8,9.8,9.77,9.8,9.745631,228000
2017-08-25,9.8,9.8,9.8,9.8,9.745631,0
2017-08-28,9.83,9.85,9.778,9.778,9.723753,1000
2017-08-29,9.778,9.778,9.778,9.778,9.723753,0
2017-08-30,9.778,9.778,9.778,9.778,9.723753,0
2017-08-31,9.85,9.85,9.835,9.835,9.780437,1000
2017-09-01,9.85,9.85,9.809,9.809,9.754581,400
2017-09-05,9.85,9.85,9.807,9.85,9.795354,28100
2017-09-06,9.85,9.85,9.815,9.815,9.760548,26700
2017-09-07,9.85,9.85,9.84,9.85,9.795354,25800
2017-09-08,9.85,9.85,9.8,9.85,9.795354,27300
2017-09-11,9.85,9.85,9.85,9.85,9.795354,0
2017-09-12,9.8,9.85,9.79,9.795,9.740659,23700
2017-09-13,9.85,9.85,9.8,9.8,9.745631,5500
2017-09-14,9.8,9.8,9.8,9.8,9.745631,55600
2017-09-15,9.7,9.84,9.7,9.8,9.745631,2600
2017-09-18,9.8,9.8,9.8,9.8,9.745631,0
2017-09-19,9.71,9.83,9.7,9.83,9.775465,1900
2017-09-20,9.83,9.83,9.83,9.83,9.775465,0
2017-09-21,9.83,9.84,9.801,9.811,9.75657,400
2017-09-22,9.811,9.811,9.811,9.811,9.75657,0
2017-09-25,9.811,9.811,9.811,9.811,9.75657,0
2017-09-26,9.707,9.772,9.707,9.772,9.717787,900
2017-09-27,9.772,9.772,9.772,9.772,9.717787,0
2017-09-28,9.772,9.772,9.772,9.772,9.717787,0
2017-09-29,9.772,9.772,9.772,9.772,9.717787,44000
2017-10-02,9.772,9.772,9.772,9.772,9.717787,0
2017-10-03,9.7,9.7,9.7,9.7,9.646186,500
2017-10-04,9.7,9.7,9.7,9.7,9.646186,0
2017-10-05,9.7,9.84,9.7,9.83,9.775465,571400
2017-10-06,9.85,10.068,9.83,9.86,9.805298,213100
2017-10-09,9.86,9.86,9.86,9.86,9.805298,0
2017-10-10,9.86,9.86,9.86,9.86,9.805298,0
2017-10-11,9.86,9.86,9.75,9.859,9.804304,22000
2017-10-12,9.859,9.859,9.859,9.859,9.804304,0
2017-10-13,9.859,9.859,9.859,9.859,9.804304,0
2017-10-16,9.9,9.9,9.9,9.9,9.845077,12900
2017-10-17,9.8,9.8,9.8,9.8,9.745631,100000
2017-10-18,10.04,10.04,9.9,9.9,9.845077,400
2017-10-19,10.06,10.06,9.72,9.83,9.775465,2500
2017-10-20,9.83,9.83,9.83,9.83,9.775465,0
2017-10-23,9.93,9.93,9.86,9.86,9.805298,1400
2017-10-24,10.055,10.055,9.8,9.8,9.745631,113500
