Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,9.6,9.7,9.49,9.53,6.981006,109900
2012-02-07,9.49,9.59,9.48,9.49,6.951705,111500
2012-02-08,9.5,9.54,9.3,9.41,6.8931,143000
2012-02-09,9.43,9.43,9.19,9.22,6.753921,143700
2012-02-10,9.15,9.18,9.0,9.15,6.702645,149000
2012-02-13,9.25,9.64,9.22,9.58,7.017631,180400
2012-02-14,9.52,9.52,9.27,9.43,6.907753,131100
2012-02-15,9.45,9.45,9.12,9.14,6.695318,162600
2012-02-16,9.14,9.4,9.11,9.37,6.863802,80900
2012-02-17,9.41,9.45,9.27,9.39,6.878449,77200
2012-02-21,9.36,9.49,9.27,9.42,6.900428,103400
2012-02-22,9.41,9.44,9.14,9.14,6.695318,196900
2012-02-23,8.34,9.07,8.27,8.99,6.585438,456600
2012-02-24,8.98,8.98,8.76,8.76,6.416957,222600
2012-02-27,8.69,8.95,8.69,8.93,6.54149,320600
2012-02-28,8.91,9.06,8.87,8.97,6.570788,321000
2012-02-29,8.96,9.03,8.65,8.65,6.336379,218700
2012-03-01,8.68,8.78,8.55,8.56,6.270452,192400
2012-03-02,8.55,8.55,8.34,8.36,6.123946,453800
2012-03-05,8.33,8.55,8.31,8.55,6.263128,400600
2012-03-06,8.45,8.5,8.37,8.4,6.153247,355700
2012-03-07,8.45,8.45,8.31,8.41,6.160572,181500
2012-03-08,8.47,8.51,8.39,8.41,6.160572,433300
2012-03-09,8.41,8.5,8.4,8.45,6.189874,237500
2012-03-12,8.46,8.51,8.43,8.44,6.182548,165700
2012-03-13,8.5,8.56,8.25,8.53,6.248476,299100
2012-03-14,8.53,8.64,8.48,8.59,6.292426,155600
2012-03-15,8.6,8.7,8.5,8.69,6.36568,159200
2012-03-16,8.72,8.72,8.54,8.56,6.270452,215700
2012-03-19,8.56,8.98,8.54,8.9,6.519511,314800
2012-03-20,8.84,8.95,8.78,8.9,6.519511,200200
2012-03-21,8.9,8.96,8.84,8.92,6.534163,142500
2012-03-22,8.83,9.0,8.51,8.92,6.534163,212700
2012-03-23,8.9,9.12,8.82,9.11,6.673343,247200
2012-03-26,9.11,9.31,9.08,9.19,6.731946,213700
2012-03-27,9.22,9.22,9.02,9.1,6.666018,342500
2012-03-28,9.09,9.17,9.01,9.16,6.709969,156200
2012-03-29,9.01,9.1,8.99,9.04,6.680411,159400
2012-03-30,9.1,9.1,9.0,9.0,6.65085,120400
2012-04-02,8.97,9.19,8.97,9.18,6.783867,167900
2012-04-03,9.15,9.2,9.1,9.18,6.783867,304200
2012-04-04,9.08,9.16,8.89,9.13,6.74692,269400
2012-04-05,9.11,9.17,9.06,9.15,6.761699,168100
2012-04-09,9.02,9.09,9.0,9.04,6.680411,247800
2012-04-10,9.05,9.05,8.79,8.9,6.576952,494100
2012-04-11,8.99,8.99,8.68,8.73,6.451324,148200
2012-04-12,8.74,8.81,8.54,8.72,6.443936,125200
2012-04-13,8.72,8.72,8.39,8.41,6.21485,132300
2012-04-16,8.5,8.61,8.41,8.59,6.347867,181800
2012-04-17,8.68,8.69,8.6,8.61,6.362646,166100
2012-04-18,8.55,8.55,8.34,8.42,6.222242,123000
2012-04-19,8.41,8.48,8.29,8.31,6.140952,181700
2012-04-20,8.45,8.45,8.22,8.24,6.089223,185100
2012-04-23,8.12,8.15,8.01,8.1,5.985765,188100
2012-04-24,8.09,8.14,8.06,8.1,5.985765,166000
2012-04-25,8.21,8.3,8.15,8.17,6.037494,142900
2012-04-26,8.14,8.24,8.1,8.12,6.000545,125700
2012-04-27,8.14,8.28,8.1,8.27,6.111393,134000
2012-04-30,8.3,8.36,8.25,8.3,6.133562,154000
2012-05-01,8.28,8.45,8.24,8.26,6.104004,223000
2012-05-02,8.18,8.43,8.1,8.13,6.007936,126000
2012-05-03,8.16,8.48,8.16,8.41,6.21485,185300
