Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,14.35,14.52,14.3,14.38,14.38,166500
2012-02-07,14.38,14.38,13.2,13.7,13.7,1563900
2012-02-08,13.76,14.14,13.59,13.68,13.68,416100
2012-02-09,13.74,13.8,13.52,13.58,13.58,122800
2012-02-10,13.41,13.5,13.37,13.38,13.38,155100
2012-02-13,13.46,13.89,13.24,13.64,13.64,174200
2012-02-14,13.58,13.64,13.37,13.52,13.52,533600
2012-02-15,13.54,13.91,13.45,13.9,13.9,603800
2012-02-16,13.86,13.93,13.76,13.91,13.91,252200
2012-02-17,13.9,13.92,13.64,13.79,13.79,114100
2012-02-21,13.81,13.82,13.59,13.65,13.65,127300
2012-02-22,13.61,13.65,13.36,13.36,13.36,113400
2012-02-23,13.39,13.59,13.23,13.35,13.35,467600
2012-02-24,11.89,12.54,11.51,12.46,12.46,2638500
2012-02-27,12.41,12.75,12.26,12.54,12.54,665000
2012-02-28,12.56,12.73,12.5,12.62,12.62,534100
2012-02-29,12.66,12.75,12.49,12.56,12.56,719500
2012-03-01,12.57,12.69,12.37,12.42,12.42,834000
2012-03-02,12.55,12.74,12.34,12.47,12.47,354500
2012-03-05,12.39,12.7,12.39,12.58,12.58,251300
2012-03-06,12.41,12.47,12.2,12.22,12.22,247100
2012-03-07,12.26,12.5,12.17,12.47,12.47,272900
2012-03-08,12.57,12.59,12.38,12.57,12.57,174800
2012-03-09,12.61,12.85,12.52,12.59,12.59,154800
2012-03-12,12.61,12.7,12.31,12.32,12.32,302800
2012-03-13,12.42,12.73,12.32,12.67,12.67,469500
2012-03-14,12.62,12.67,12.26,12.36,12.36,240000
2012-03-15,12.38,12.49,12.24,12.44,12.44,147500
2012-03-16,12.46,12.46,12.23,12.43,12.43,252500
2012-03-19,12.41,12.7,12.38,12.51,12.51,131500
2012-03-20,12.47,12.47,12.31,12.34,12.34,113800
2012-03-21,12.32,12.37,12.03,12.05,12.05,213000
2012-03-22,11.98,12.04,11.8,12.02,12.02,249800
2012-03-23,11.98,12.05,11.87,11.97,11.97,197200
2012-03-26,12.08,12.5,12.08,12.29,12.29,202900
2012-03-27,12.34,12.37,12.1,12.1,12.1,170300
2012-03-28,12.13,12.42,12.06,12.41,12.41,217700
2012-03-29,12.33,12.52,12.26,12.46,12.46,185400
2012-03-30,12.56,12.71,12.41,12.42,12.42,178600
2012-04-02,12.41,12.64,12.36,12.56,12.56,323700
2012-04-03,12.5,12.58,12.19,12.23,12.23,251600
2012-04-04,12.09,12.18,11.97,11.99,11.99,148800
2012-04-05,11.86,12.06,11.81,12.02,12.02,344400
2012-04-09,11.85,12.1,11.81,11.96,11.96,461600
2012-04-10,11.95,12.02,11.6,11.61,11.61,199700
2012-04-11,11.74,11.77,11.61,11.77,11.77,129000
2012-04-12,11.73,11.8,11.59,11.61,11.61,300400
2012-04-13,11.65,11.67,11.58,11.6,11.6,339000
2012-04-16,12.02,12.75,11.88,11.95,11.95,453500
2012-04-17,12.05,12.41,12.05,12.36,12.36,481700
2012-04-18,12.33,12.42,12.27,12.3,12.3,144200
2012-04-19,12.29,12.49,12.14,12.43,12.43,319400
2012-04-20,12.65,12.65,12.37,12.44,12.44,193500
2012-04-23,12.24,12.5,12.24,12.45,12.45,258500
2012-04-24,12.44,12.84,12.33,12.8,12.8,351000
2012-04-25,13.01,13.09,12.41,12.86,12.86,699500
2012-04-26,12.86,12.91,12.69,12.76,12.76,362400
2012-04-27,12.84,13.26,12.77,13.17,13.17,279200
2012-04-30,13.18,13.3,12.94,13.22,13.22,326200
2012-05-01,13.24,13.47,13.18,13.36,13.36,460100
2012-05-02,13.24,13.39,13.15,13.35,13.35,276300
2012-05-03,13.34,13.37,13.24,13.32,13.32,232100
2012-05-04,13.26,13.31,13.07,13.1,13.1,187600
2012-05-07,13.05,13.32,12.99,13.28,13.28,151000
2012-05-08,13.19,13.53,13.16,13.49,13.49,250500
2012-05-09,13.34,13.5,13.32,13.43,13.43,285000
2012-05-10,13.5,13.6,13.36,13.49,13.49,201000
2012-05-11,13.42,13.45,13.25,13.34,13.34,178700
2012-05-14,13.18,13.36,13.14,13.28,13.28,308800
2012-05-15,13.25,13.37,13.22,13.32,13.32,180000
2012-05-16,13.33,13.51,13.24,13.37,13.37,249000
2012-05-17,13.41,13.56,13.31,13.49,13.49,296900
2012-05-18,13.47,13.55,13.08,13.24,13.24,310600
2012-05-21,13.3,13.45,13.16,13.26,13.26,240300
2012-05-22,13.26,13.35,12.95,13.02,13.02,258000
2012-05-23,12.96,13.03,12.66,12.91,12.91,151000
2012-05-24,12.96,13.03,12.7,13.0,13.0,129200
2012-05-25,13.04,13.28,13.0,13.25,13.25,146300
2012-05-29,13.3,13.43,13.04,13.21,13.21,99000
2012-05-30,13.15,13.28,12.95,12.97,12.97,121200
2012-05-31,12.97,13.05,12.73,13.0,13.0,185100
2012-06-01,12.76,12.9,12.55,12.56,12.56,179000
2012-06-04,12.61,12.8,12.35,12.42,12.42,132000
2012-06-05,12.36,12.53,12.21,12.45,12.45,133300
2012-06-06,12.49,12.54,12.42,12.49,12.49,138300
2012-06-07,12.62,12.78,12.59,12.64,12.64,166000
2012-06-08,12.59,12.89,12.59,12.88,12.88,185500
2012-06-11,13.01,13.01,12.63,12.63,12.63,149000
2012-06-12,12.71,12.78,12.45,12.52,12.52,123100
2012-06-13,12.5,12.64,12.38,12.43,12.43,168800
2012-06-14,12.46,12.56,12.42,12.54,12.54,115600
2012-06-15,12.49,12.83,12.44,12.76,12.76,406400
2012-06-18,12.65,13.06,12.65,12.93,12.93,123900
2012-06-19,12.96,13.36,12.87,13.08,13.08,219100
2012-06-20,13.06,13.19,12.96,13.17,13.17,81700
2012-06-21,13.18,13.18,12.75,12.89,12.89,166600
2012-06-22,12.97,13.07,12.94,13.04,13.04,1473200
2012-06-25,12.88,13.18,12.88,13.05,13.05,111200
2012-06-26,13.08,13.27,12.91,13.26,13.26,151900
2012-06-27,13.25,13.58,13.24,13.57,13.57,182800
2012-06-28,13.47,13.58,13.4,13.58,13.58,198600
2012-06-29,13.77,13.85,13.63,13.81,13.81,219300
2012-07-02,13.78,13.92,13.67,13.91,13.91,164800
2012-07-03,13.89,14.18,13.75,14.09,14.09,99100
2012-07-05,14.0,14.07,13.88,13.91,13.91,92600
2012-07-06,13.77,13.86,13.73,13.75,13.75,105900
2012-07-09,13.74,13.82,13.66,13.79,13.79,167900
2012-07-10,13.83,13.85,13.7,13.8,13.8,100800
2012-07-11,13.77,13.99,13.62,13.95,13.95,200500
2012-07-12,13.9,14.0,13.76,13.97,13.97,111500
2012-07-13,13.98,14.14,13.88,14.03,14.03,185900
2012-07-16,14.04,14.17,13.95,14.09,14.09,146300
2012-07-17,14.2,14.24,13.98,14.18,14.18,87400
2012-07-18,14.18,14.48,14.18,14.35,14.35,122400
2012-07-19,14.4,14.4,14.02,14.05,14.05,96700
2012-07-20,13.92,13.92,13.42,13.51,13.51,181000
2012-07-23,13.33,13.38,13.11,13.22,13.22,93900
2012-07-24,13.29,13.29,12.9,12.97,12.97,148700
2012-07-25,13.06,13.11,12.9,13.08,13.08,81500
2012-07-26,13.2,13.36,12.77,13.14,13.14,234700
