Date,Open,High,Low,Close,Adj Close,Volume
2016-11-15,0.225,0.225,0.225,0.225,0.225,6500
2016-11-16,0.27,0.289,0.27,0.289,0.289,43500
2016-11-17,0.289,0.289,0.289,0.289,0.289,0
2016-11-18,0.289,0.289,0.289,0.289,0.289,0
2016-11-21,0.35,0.35,0.347,0.347,0.347,20000
2016-11-22,0.347,0.347,0.347,0.347,0.347,0
2016-11-23,0.347,0.347,0.347,0.347,0.347,0
2016-11-25,0.347,0.347,0.347,0.347,0.347,0
2016-11-28,0.347,0.347,0.347,0.347,0.347,0
2016-11-29,0.347,0.347,0.347,0.347,0.347,0
2016-11-30,0.347,0.347,0.347,0.347,0.347,0
2016-12-01,0.347,0.347,0.347,0.347,0.347,0
2016-12-02,0.347,0.347,0.347,0.347,0.347,0
2016-12-05,0.347,0.347,0.347,0.347,0.347,0
2016-12-06,0.347,0.347,0.347,0.347,0.347,0
2016-12-07,0.347,0.347,0.347,0.347,0.347,0
2016-12-08,0.347,0.347,0.347,0.347,0.347,0
2016-12-09,0.397,0.435,0.397,0.435,0.435,56000
2016-12-12,0.451,0.459,0.451,0.459,0.459,14000
2016-12-13,0.459,0.459,0.459,0.459,0.459,0
2016-12-14,0.459,0.459,0.459,0.459,0.459,0
2016-12-15,0.465,0.466,0.465,0.466,0.466,35000
2016-12-16,0.466,0.466,0.466,0.466,0.466,0
2016-12-19,0.466,0.466,0.466,0.466,0.466,0
2016-12-20,0.466,0.466,0.466,0.466,0.466,0
2016-12-21,0.466,0.466,0.466,0.466,0.466,0
2016-12-22,0.515,0.515,0.515,0.515,0.515,1300
2016-12-23,0.527,0.549,0.527,0.549,0.549,9000
2016-12-27,0.549,0.549,0.549,0.549,0.549,0
2016-12-28,0.549,0.549,0.549,0.549,0.549,0
2016-12-29,0.549,0.549,0.549,0.549,0.549,0
2016-12-30,0.549,0.549,0.549,0.549,0.549,0
2017-01-03,0.623,0.623,0.623,0.623,0.623,500
2017-01-04,0.623,0.623,0.623,0.623,0.623,0
2017-01-05,0.581,0.581,0.551,0.555,0.555,10000
2017-01-06,0.539,0.54,0.539,0.539,0.539,40000
2017-01-09,0.59,0.59,0.546,0.584,0.584,51000
2017-01-10,0.584,0.584,0.584,0.584,0.584,0
2017-01-11,0.632,0.64,0.605,0.64,0.64,56000
2017-01-12,0.64,0.64,0.64,0.64,0.64,0
2017-01-13,0.646,0.67,0.646,0.666,0.666,55000
2017-01-17,0.683,0.72,0.657,0.716,0.716,28500
2017-01-18,0.692,0.692,0.687,0.687,0.687,5000
2017-01-19,0.688,0.688,0.688,0.688,0.688,5000
2017-01-20,0.748,0.748,0.718,0.741,0.741,10000
2017-01-23,0.75,0.77,0.748,0.77,0.77,12800
2017-01-24,0.776,0.776,0.75,0.75,0.75,5300
2017-01-25,0.745,0.745,0.699,0.699,0.699,5000
2017-01-26,0.731,0.731,0.731,0.731,0.731,5000
2017-01-27,0.695,0.695,0.668,0.669,0.669,5500
2017-01-30,0.685,0.685,0.67,0.67,0.67,5000
2017-01-31,0.67,0.67,0.67,0.67,0.67,0
2017-02-01,0.723,0.723,0.723,0.723,0.723,5000
2017-02-02,0.735,0.773,0.734,0.768,0.768,22200
2017-02-03,0.762,0.765,0.729,0.729,0.729,5600
2017-02-06,0.691,0.691,0.669,0.669,0.669,3200
2017-02-07,0.666,0.705,0.666,0.705,0.705,3000
2017-02-08,0.705,0.705,0.619,0.619,0.619,9500
2017-02-09,0.619,0.619,0.619,0.619,0.619,0
2017-02-10,0.651,0.651,0.65,0.65,0.65,5500
2017-02-13,0.668,0.668,0.668,0.668,0.668,500
2017-02-14,0.707,0.723,0.682,0.682,0.682,6000
2017-02-15,0.682,0.682,0.682,0.682,0.682,0
2017-02-16,0.776,0.776,0.757,0.776,0.776,22000
2017-02-17,0.749,0.781,0.749,0.781,0.781,8500
2017-02-21,0.78,0.862,0.77,0.859,0.859,113600
2017-02-22,0.865,0.898,0.865,0.89,0.89,58300
2017-02-23,0.898,0.928,0.894,0.927,0.927,77100
2017-02-24,0.926,1.036,0.922,0.979,0.979,249100
2017-02-27,0.997,1.058,0.988,1.034,1.034,175800
2017-02-28,0.996,1.051,0.974,1.02,1.02,193000
2017-03-01,1.048,1.076,1.03,1.05,1.05,102500
2017-03-02,1.082,1.11,1.05,1.08,1.08,137100
2017-03-03,1.086,1.11,0.968,0.968,0.968,166200
2017-03-06,1.0,1.03,0.971,1.025,1.025,133000
2017-03-07,1.028,1.12,1.025,1.12,1.12,273000
2017-03-08,1.106,1.12,1.059,1.08,1.08,230600
2017-03-09,1.12,1.12,1.047,1.1,1.1,118800
2017-03-10,1.103,1.11,1.066,1.08,1.08,90600
2017-03-13,1.082,1.12,1.06,1.08,1.08,316200
