Date,Open,High,Low,Close,Adj Close,Volume
2019-04-04,15.0,15.5,14.5,14.7,14.7,1995800
2019-04-05,15.19,15.485,14.51,15.1,15.1,361300
2019-04-08,15.22,15.93,15.14,15.79,15.79,191700
2019-04-09,15.79,17.118,15.79,16.6,16.6,356800
2019-04-10,16.610001,16.809999,16.049999,16.219999,16.219999,155100
2019-04-11,16.84,16.84,15.98,16.0,16.0,186800
2019-04-12,16.110001,16.65,16.0,16.059999,16.059999,90000
2019-04-15,16.799999,18.75,16.0,16.0,16.0,505200
2019-04-16,16.200001,16.49,15.12,15.66,15.66,200800
2019-04-17,15.87,16.1,15.55,16.0,16.0,70300
2019-04-18,16.0,16.468,15.15,15.45,15.45,99200
2019-04-22,15.5,16.113001,14.98,15.65,15.65,53700
2019-04-23,15.7,16.25,15.01,16.209999,16.209999,28800
2019-04-24,16.25,16.25,15.4,15.4,15.4,38700
2019-04-25,15.4,16.200001,15.0,15.57,15.57,35600
2019-04-26,15.49,15.7,15.49,15.69,15.69,47200
2019-04-29,15.94,16.200001,15.82,15.9,15.9,69700
2019-04-30,15.97,16.038,15.86,15.95,15.95,26900
2019-05-01,16.0,16.049999,15.9,15.93,15.93,40600
2019-05-02,15.9,15.954,15.75,15.95,15.95,12800
2019-05-03,15.95,15.95,15.25,15.91,15.91,178700
2019-05-06,15.71,15.71,14.7,14.88,14.88,96700
2019-05-07,14.73,15.79,13.14,14.26,14.26,158400
2019-05-08,14.62,15.2,14.131,14.38,14.38,31500
2019-05-09,14.73,14.73,14.18,14.3,14.3,38700
2019-05-10,14.36,14.62,13.75,14.0,14.0,50200
2019-05-13,13.82,13.82,13.375,13.55,13.55,16500
2019-05-14,13.61,13.75,13.503,13.52,13.52,42300
2019-05-15,13.46,13.71,13.16,13.35,13.35,67400
2019-05-16,13.4,13.503,12.0,12.56,12.56,89800
2019-05-17,12.48,13.5,12.48,13.3,13.3,37800
2019-05-20,13.35,13.65,13.09,13.41,13.41,122000
2019-05-21,13.5,15.32,13.5,13.82,13.82,37500
2019-05-22,14.47,15.0,13.81,14.82,14.82,108800
2019-05-23,14.91,15.25,14.07,15.0,15.0,76500
2019-05-24,15.0,15.0,14.55,14.95,14.95,13100
2019-05-28,15.0,15.1,14.79,14.95,14.95,26700
2019-05-29,14.9,15.26,14.55,14.9,14.9,26700
2019-05-30,14.87,15.0,14.3,14.43,14.43,17800
2019-05-31,14.36,14.95,13.902,14.14,14.14,57200
2019-06-03,14.14,14.88,13.25,13.55,13.55,47400
2019-06-04,13.57,14.22,12.75,13.07,13.07,76600
2019-06-05,13.14,14.5,13.14,13.67,13.67,79800
2019-06-06,13.67,14.161,12.975,13.28,13.28,79400
2019-06-07,13.15,13.86,13.09,13.53,13.53,71000
2019-06-10,13.787,13.915,13.32,13.75,13.75,57500
2019-06-11,13.81,14.0,13.56,13.75,13.75,61000
2019-06-12,13.45,14.5,13.45,14.33,14.33,61100
2019-06-13,14.255,14.4,13.56,13.68,13.68,79100
2019-06-14,14.083,14.175,13.51,13.73,13.73,77000
2019-06-17,13.76,14.12,13.65,13.9,13.9,138000
2019-06-18,14.0,14.56,13.84,13.88,13.88,110700
2019-06-19,13.71,14.145,13.54,13.75,13.75,143200
2019-06-20,13.79,14.0,13.54,13.9,13.9,95800
2019-06-21,13.87,14.28,13.635,13.8,13.8,262300
2019-06-24,13.91,14.08,13.33,13.85,13.85,101100
2019-06-25,14.18,15.24,13.835,14.42,14.42,155900
2019-06-26,14.51,15.156,14.455,14.88,14.88,36300
2019-06-27,14.85,14.99,14.185,14.64,14.64,65700
2019-06-28,14.75,15.18,14.3,14.64,14.64,912000
2019-07-01,15.0,15.0,14.35,14.47,14.47,74600
2019-07-02,14.98,14.98,13.94,14.39,14.39,59900
2019-07-03,14.46,14.46,13.9,13.96,13.96,53300
2019-07-05,13.89,14.379,13.72,13.75,13.75,95200
2019-07-08,13.86,13.86,13.42,13.62,13.62,42200
2019-07-09,13.53,14.07,13.335,13.69,13.69,68400
2019-07-10,13.75,14.04,13.55,13.93,13.93,144600
2019-07-11,13.89,14.04,13.52,13.95,13.95,139600
2019-07-12,13.95,14.04,13.505,13.54,13.54,63900
2019-07-15,13.65,13.88,13.49,13.75,13.75,116000
2019-07-16,13.78,14.68,13.75,14.2,14.2,85200
2019-07-17,14.19,14.58,14.045,14.37,14.37,72100
2019-07-18,14.4,14.579,14.03,14.11,14.11,23000
2019-07-19,14.13,14.32,13.92,14.03,14.03,28400
2019-07-22,14.01,14.2,12.77,13.18,13.18,178900
2019-07-23,13.2,13.454,12.975,13.09,13.09,77500
2019-07-24,13.09,13.865,13.0,13.5,13.5,107900
2019-07-25,13.53,13.53,13.135,13.37,13.37,100300
2019-07-26,13.49,13.84,13.27,13.55,13.55,91100
2019-07-29,13.66,13.806,13.35,13.71,13.71,63900
2019-07-30,13.72,14.0,13.71,13.95,13.95,65500
2019-07-31,14.09,14.49,14.0,14.07,14.07,52800
2019-08-01,14.07,14.25,13.9,14.03,14.03,45900
2019-08-02,13.98,14.37,13.87,14.21,14.21,22900
2019-08-05,14.12,14.23,13.6,14.02,14.02,66200
2019-08-06,14.259,14.6,13.85,14.55,14.55,53400
2019-08-07,14.45,14.64,13.76,13.89,13.89,291800
2019-08-08,13.98,14.4,13.98,14.16,14.16,28100
2019-08-09,14.15,14.35,13.91,13.98,13.98,13600
2019-08-12,14.0,14.14,13.43,13.5,13.5,58300
2019-08-13,13.89,15.18,13.89,14.93,14.93,216800
2019-08-14,15.0,15.0,14.45,14.74,14.74,95700
2019-08-15,14.66,15.69,14.305,15.29,15.29,217400
2019-08-16,15.29,15.724,14.7,14.9,14.9,128700
2019-08-19,15.0,15.4,14.53,14.96,14.96,44800
2019-08-20,15.0,15.0,14.605,14.95,14.95,36500
2019-08-21,15.09,15.77,14.97,15.72,15.72,152100
2019-08-22,15.75,17.896,15.57,17.51,17.51,106900
2019-08-23,17.5,18.243,17.0,17.379999,17.379999,64000
2019-08-26,17.5,19.27,17.219999,17.620001,17.620001,131100
2019-08-27,17.66,17.860001,16.565001,16.879999,16.879999,120300
2019-08-28,16.83,17.385,16.48,16.58,16.58,71300
2019-08-29,16.52,17.459999,16.290001,17.459999,17.459999,89300
2019-08-30,17.309999,17.76,17.155001,17.73,17.73,39000
2019-09-03,17.85,18.615999,17.59,17.76,17.76,90700
2019-09-04,17.74,18.690001,17.74,18.190001,18.190001,121800
2019-09-05,18.33,18.540001,16.51,16.780001,16.780001,117700
2019-09-06,16.799999,16.9,15.552,15.79,15.79,56300
2019-09-09,15.88,15.88,15.0,15.7,15.7,37300
2019-09-10,15.67,15.82,14.75,14.88,14.88,53600
2019-09-11,15.3,15.88,15.0,15.49,15.49,73300
2019-09-12,16.098,16.098,15.59,15.87,15.87,38800
2019-09-13,15.92,16.16,15.5,15.86,15.86,31100
2019-09-16,15.81,16.360001,15.59,15.73,15.73,41900
2019-09-17,15.81,16.299999,15.57,16.1,16.1,26200
2019-09-18,16.110001,16.110001,15.041,15.83,15.83,84100
2019-09-19,15.61,16.719999,15.61,16.309999,16.309999,17600
2019-09-20,16.309999,16.719999,15.52,16.51,16.51,121300
2019-09-23,16.5,16.629999,16.299999,16.530001,16.530001,14100
2019-09-24,16.610001,16.669001,15.56,15.89,15.89,37700
2019-09-25,15.855,15.96,15.51,15.75,15.75,43500
2019-09-26,15.77,16.035,14.05,14.625,14.625,125200
2019-09-27,14.72,15.14,13.85,13.95,13.95,49700
2019-09-30,14.02,15.12,13.5,13.85,13.85,62400
2019-10-01,13.5,14.6,13.17,13.42,13.42,212700
2019-10-02,13.33,13.47,12.85,12.89,12.89,110600
2019-10-03,12.9,13.285,12.8,13.04,13.04,116100
2019-10-04,13.1,13.62,12.05,13.55,13.55,120500
2019-10-07,8.81,11.61,8.81,10.78,10.78,989900
2019-10-08,10.84,10.93,9.9,10.0,10.0,208200
2019-10-09,9.98,10.6,9.625,10.33,10.33,127600
2019-10-10,10.38,10.804,10.02,10.43,10.43,150100
2019-10-11,10.48,10.9,10.2,10.2,10.2,132600
2019-10-14,10.25,10.55,10.01,10.27,10.27,151600
2019-10-15,10.26,10.52,9.933,9.97,9.97,155500
2019-10-16,10.0,10.39,9.95,10.28,10.28,180700
2019-10-17,10.57,10.98,10.31,10.87,10.87,202600
2019-10-18,10.77,11.45,10.76,11.17,11.17,280700
2019-10-21,11.29,12.359,11.29,11.75,11.75,235600
2019-10-22,11.91,12.48,11.89,12.08,12.08,126700
2019-10-23,12.15,12.73,11.75,12.47,12.47,254100
2019-10-24,12.61,13.0,12.035,12.87,12.87,145700
2019-10-25,12.86,13.9,12.86,13.25,13.25,187000
2019-10-28,13.32,13.729,13.0,13.13,13.13,59600
2019-10-29,13.19,13.55,12.77,12.93,12.93,76700
2019-10-30,12.99,13.62,12.93,13.53,13.53,70900
2019-10-31,13.5,13.5,12.69,12.97,12.97,325400
2019-11-01,13.01,13.63,13.0,13.42,13.42,134000
2019-11-04,11.32,12.87,11.21,12.28,12.28,449200
2019-11-05,12.37,12.89,12.105,12.67,12.67,182100
2019-11-06,12.75,13.33,12.5,13.01,13.01,81300
2019-11-07,13.15,13.44,12.8,12.84,12.84,135100
2019-11-08,12.81,13.08,12.53,12.66,12.66,146300
2019-11-11,12.6,12.99,12.0,12.82,12.82,161200
2019-11-12,12.81,13.45,12.345,13.0,13.0,168300
2019-11-13,13.2,13.2,12.05,12.95,12.95,149600
2019-11-14,12.88,14.4,12.72,14.15,14.15,231100
2019-11-15,14.25,15.05,13.92,14.54,14.54,160200
2019-11-18,14.43,14.43,13.05,13.85,13.85,116400
2019-11-19,13.98,14.95,13.98,14.54,14.54,119100
2019-11-20,14.34,15.68,14.29,14.72,14.72,220700
2019-11-21,14.82,15.0,13.76,14.33,14.33,152400
2019-11-22,14.44,15.18,14.205,15.01,15.01,182000
2019-11-25,14.81,16.139999,14.81,15.65,15.65,319500
2019-11-26,15.73,16.25,15.45,16.040001,16.040001,261300
2019-11-27,16.120001,16.950001,16.02,16.370001,16.370001,322400
2019-11-29,16.379999,17.790001,16.16,16.48,16.48,119800
2019-12-02,16.52,17.549999,16.280001,17.5,17.5,300900
2019-12-03,17.24,18.49,17.01,17.24,17.24,267500
2019-12-04,17.299999,17.715,16.33,16.780001,16.780001,248900
2019-12-05,16.76,17.5,16.219999,16.58,16.58,221900
2019-12-06,16.66,17.49,16.66,17.17,17.17,171500
2019-12-09,16.99,17.41,16.440001,16.639999,16.639999,169700
2019-12-10,16.76,17.5,16.593,17.5,17.5,217900
2019-12-11,17.290001,17.5,17.110001,17.219999,17.219999,170100
2019-12-12,17.24,18.5,17.24,18.299999,18.299999,205100
2019-12-13,18.200001,19.84,18.15,18.67,18.67,375000
