Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,14.05,14.99,13.72,13.95,12.835086,9312100
2017-12-18,14.08,15.24,14.05,14.61,13.442335,1746900
2017-12-19,14.6,15.39,14.6,15.34,14.113994,1451700
2017-12-20,15.34,15.7,15.01,15.37,14.141593,487200
2017-12-21,15.48,16.1,14.78,15.88,14.610836,1443800
2017-12-22,15.72,15.72,15.14,15.46,14.224402,403600
2017-12-26,15.46,15.69,15.17,15.54,14.29801,137000
2017-12-27,15.3,15.6,15.3,15.5,14.261206,246900
2017-12-28,15.5,15.715,15.23,15.49,14.252005,349200
2017-12-29,15.52,16.0,15.47,15.9,14.629235,310400
2018-01-02,15.72,16.18,15.675,16.16,14.868456,845300
2018-01-03,16.200001,16.219999,15.646,15.75,14.491223,283700
2018-01-04,15.81,16.1,15.45,15.63,14.380815,216600
2018-01-05,15.53,15.83,15.331,15.55,14.307211,263100
2018-01-08,15.88,15.88,15.36,15.56,14.31641,162000
2018-01-09,15.8,15.87,15.27,15.47,14.233603,762400
2018-01-10,16.73,16.74,15.54,15.54,14.29801,2457200
2018-01-11,15.81,16.24,15.651,15.97,14.693643,1903500
2018-01-12,16.129999,16.5,15.84,15.87,14.601636,975300
2018-01-16,16.0,16.344999,15.95,15.99,14.712044,641000
2018-01-17,15.99,16.18,15.93,16.059999,14.776448,353800
2018-01-18,16.129999,16.23,15.98,16.059999,14.776448,642700
2018-01-19,16.040001,16.35,15.96,16.245001,14.946664,695800
2018-01-22,16.23,16.450001,16.01,16.33,15.024872,400900
2018-01-23,16.299999,16.635,16.280001,16.549999,15.227287,317700
2018-01-24,16.58,16.68,16.396,16.530001,15.208887,239800
2018-01-25,16.5,16.639999,16.299999,16.34,15.034074,226100
2018-01-26,16.35,16.66,16.35,16.66,15.328496,189300
2018-01-29,16.629999,16.669001,16.34,16.360001,15.052475,135800
2018-01-30,16.290001,16.5,16.15,16.440001,15.126081,191900
2018-01-31,16.440001,16.68,16.351,16.610001,15.282494,264700
2018-02-01,16.610001,16.98,16.459999,16.66,15.328496,362900
2018-02-02,16.620001,16.98,15.95,16.040001,14.758047,211700
2018-02-05,15.97,16.67,15.9,16.02,14.739648,525900
2018-02-06,16.0,16.049999,15.73,15.96,14.684443,443700
2018-02-07,15.92,16.51,15.92,16.129999,14.840852,337100
2018-02-08,16.190001,16.299999,15.92,15.94,14.66604,364600
2018-02-09,15.93,16.1,14.56,15.0,13.801168,1697800
2018-02-12,15.15,15.23,14.25,14.69,13.51594,1212000
2018-02-13,14.78,15.43,14.75,15.3,14.07719,279500
2018-02-14,15.18,15.19,14.72,15.15,13.939179,322400
2018-02-15,15.23,15.32,14.87,14.9,13.709158,341200
2018-02-16,14.91,14.94,14.62,14.86,13.672356,374700
2018-02-20,14.75,15.0,14.55,14.74,13.561945,316800
2018-02-21,14.72,15.005,14.68,14.8,13.617151,180800
2018-02-22,14.81,15.27,14.5,14.58,13.414734,249200
2018-02-23,14.58,14.96,14.55,14.79,13.607951,195700
2018-02-26,14.77,14.96,14.57,14.92,13.727561,216900
2018-02-27,14.87,15.1,14.75,14.98,13.782767,306400
2018-02-28,14.92,15.12,14.55,14.59,13.423936,322300
2018-03-01,14.27,15.155,14.22,14.82,13.635553,431500
2018-03-02,14.71,14.71,14.28,14.38,13.230718,381700
2018-03-05,14.34,14.67,14.11,14.55,13.387132,352500
2018-03-06,14.62,15.039,14.46,14.57,13.405534,443500
2018-03-07,14.48,14.945,14.48,14.69,13.51594,263400
2018-03-08,14.58,14.73,14.44,14.64,13.469938,214500
2018-03-09,14.69,15.0,14.665,14.76,13.580348,333100
2018-03-12,14.81,15.95,14.81,15.57,14.325611,1024200
2018-03-13,15.44,15.78,14.74,15.24,14.021984,779700
2018-03-14,15.23,15.61,15.06,15.31,14.08639,637000
2018-03-15,15.26,16.055,15.26,15.4,14.169196,656200
2018-03-16,15.36,15.85,15.315,15.71,14.454422,7952700
2018-03-19,15.6,15.87,14.82,15.56,14.31641,861000
2018-03-20,15.67,15.835,15.3,15.4,14.169196,328400
2018-03-21,15.4,15.75,15.27,15.46,14.224402,221300
2018-03-22,15.34,15.67,15.1,15.2,13.985182,361600
2018-03-23,15.29,15.36,14.9,14.97,13.773564,560600
2018-03-26,15.13,15.35,14.79,15.28,14.058787,412800
2018-03-27,15.28,15.55,15.1,15.11,13.902376,382700
2018-03-28,15.15,15.2,14.94,15.0,13.801168,561600
2018-03-29,15.09,15.379,14.88,15.19,13.975981,638000
2018-04-02,15.16,15.32,15.04,15.14,13.929977,286500
2018-04-03,15.1,15.23,14.95,15.23,14.012783,275500
2018-04-04,15.07,15.19,14.95,15.16,13.948379,324500
2018-04-05,15.22,15.41,15.03,15.36,14.132394,145400
2018-04-06,15.26,15.37,15.09,15.16,13.948379,126900
2018-04-09,15.21,15.45,15.01,15.25,14.031186,120100
2018-04-10,15.42,15.59,15.15,15.5,14.261206,382000
2018-04-11,15.38,15.51,15.21,15.4,14.169196,171100
2018-04-12,15.44,15.53,15.25,15.33,14.104792,97500
2018-04-13,15.36,15.53,15.17,15.2,13.985182,144400
2018-04-16,15.29,15.53,15.17,15.37,14.141593,190600
2018-04-17,15.42,15.7,15.23,15.66,14.40842,274000
2018-04-18,15.72,15.82,15.66,15.78,14.518826,316300
2018-04-19,15.72,15.86,15.69,15.77,14.509627,330400
2018-04-20,15.75,15.75,15.251,15.67,14.417618,108500
2018-04-23,15.74,15.85,15.49,15.53,14.288807,144600
2018-04-24,15.51,15.7,15.49,15.52,14.279609,152200
2018-04-25,15.46,15.46,15.09,15.1,13.893174,234000
2018-04-26,15.15,15.4,15.15,15.29,14.067988,119100
2018-04-27,15.34,15.42,15.23,15.25,14.031186,136800
2018-04-30,15.3,15.45,15.08,15.1,13.893174,98900
2018-05-01,15.07,15.1,14.93,15.02,13.819567,431700
2018-05-02,15.08,15.29,14.97,15.2,13.985182,176200
2018-05-03,15.59,15.59,14.66,14.8,13.617151,331800
2018-05-04,14.6,14.65,14.16,14.35,13.203115,727300
2018-05-07,14.4,14.48,14.19,14.27,13.129512,562200
2018-05-08,14.29,14.64,14.27,14.47,13.313525,654400
2018-05-09,14.54,14.54,14.28,14.39,13.23992,312800
2018-05-10,14.46,14.89,14.35,14.73,13.552746,275500
2018-05-11,14.76,14.76,14.59,14.63,13.460737,200200
2018-05-14,14.65,14.76,14.38,14.56,13.396333,207000
2018-05-15,14.55,14.63,14.26,14.49,13.331926,332300
2018-05-16,14.51,14.63,14.31,14.39,13.23992,365300
2018-05-17,14.43,14.809,14.19,14.37,13.221519,256700
