Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.93,9.32,8.92,9.08,8.11715,150900
2012-02-07,9.09,9.21,8.93,9.15,8.179728,113000
2012-02-08,9.15,9.36,8.8,9.34,8.349581,153500
2012-02-09,9.4,9.69,9.31,9.5,8.492613,152200
2012-02-10,9.35,9.36,8.8,9.16,8.188665,189400
2012-02-13,9.3,10.3,9.29,10.16,9.082625,252900
2012-02-14,10.12,10.19,9.71,10.0,8.93959,136500
2012-02-15,10.06,10.12,9.56,9.57,8.555191,122000
2012-02-16,9.54,10.12,9.45,10.09,9.020046,133500
2012-02-17,10.06,10.11,9.68,9.74,8.707162,123600
2012-02-21,9.79,10.0,9.48,9.69,8.662465,164200
2012-02-22,9.62,9.79,9.43,9.45,8.447915,129400
2012-02-23,9.51,9.76,9.37,9.66,8.635644,99400
2012-02-24,9.7,9.78,9.42,9.46,8.456856,90600
2012-02-27,9.39,9.59,8.86,9.49,8.483672,134800
2012-02-28,9.52,9.66,9.25,9.25,8.269122,100000
2012-02-29,9.24,9.45,8.94,8.94,7.991997,154200
2012-03-01,9.0,9.23,8.75,8.79,7.857902,173700
2012-03-02,8.75,8.87,8.27,8.62,7.705928,223900
2012-03-05,8.6,8.86,8.44,8.85,7.911539,223400
2012-03-06,8.67,8.7,8.26,8.28,7.401982,158600
2012-03-07,8.32,8.49,8.26,8.3,7.41986,96000
2012-03-08,8.37,8.52,8.19,8.46,7.562895,58200
2012-03-09,8.42,8.68,8.34,8.44,7.545017,153700
2012-03-12,8.46,8.46,7.65,7.86,7.026521,263100
2012-03-13,7.95,8.5,7.56,8.45,7.553955,256600
2012-03-14,8.44,8.5,8.19,8.37,7.482439,90200
2012-03-15,8.36,8.58,8.12,8.55,7.643351,84000
2012-03-16,8.57,8.58,8.11,8.33,7.44668,132000
2012-03-19,8.27,9.13,8.14,8.9,7.956238,244000
2012-03-20,8.77,9.03,8.48,8.59,7.679111,154500
2012-03-21,8.66,8.92,8.66,8.86,7.92048,176300
2012-03-22,8.71,8.98,8.71,8.9,7.956238,129400
2012-03-23,8.91,9.11,8.74,8.87,7.929416,210600
2012-03-26,9.07,9.48,8.98,9.08,8.11715,238600
2012-03-27,9.07,9.28,8.87,8.88,7.938355,195500
2012-03-28,8.88,9.03,8.6,8.77,7.840023,144300
2012-03-29,8.64,8.69,8.28,8.48,7.580773,174300
2012-03-30,8.59,8.59,8.1,8.16,7.294709,174900
2012-04-02,8.2,8.87,8.07,8.79,7.857902,169500
2012-04-03,8.79,8.87,8.2,8.25,7.375164,159400
2012-04-04,8.08,8.39,8.0,8.34,7.455622,142800
2012-04-05,8.26,8.31,7.99,8.02,7.169554,134800
2012-04-09,7.78,7.9,7.62,7.73,6.910305,125600
