Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,11.9,12.0,11.71,11.81,11.81,58900
2012-02-07,11.79,12.0,11.61,11.87,11.87,37800
2012-02-08,11.91,11.99,11.46,11.55,11.55,84000
2012-02-09,11.55,11.77,11.5,11.56,11.56,58900
2012-02-10,11.44,11.73,11.44,11.66,11.66,43800
2012-02-13,11.78,11.95,11.65,11.92,11.92,75500
2012-02-14,11.86,11.93,11.71,11.91,11.91,43300
2012-02-15,11.92,11.95,11.63,11.75,11.75,60800
2012-02-16,11.77,12.01,11.7,11.84,11.84,89700
2012-02-17,11.9,12.0,11.8,11.91,11.91,71600
2012-02-21,11.93,11.93,11.29,11.65,11.65,117400
2012-02-22,11.59,11.74,11.51,11.68,11.68,57800
2012-02-23,11.58,12.0,11.54,12.0,12.0,91600
2012-02-24,11.9,11.99,11.65,11.97,11.97,65000
2012-02-27,11.82,12.0,11.74,11.82,11.82,35800
2012-02-28,11.86,11.86,11.61,11.75,11.75,34200
2012-02-29,11.75,11.79,11.47,11.49,11.49,64200
2012-03-01,11.52,11.91,11.52,11.57,11.57,75200
2012-03-02,11.57,11.64,11.43,11.51,11.51,106600
2012-03-05,11.46,11.66,11.43,11.5,11.5,126800
2012-03-06,11.34,11.36,11.22,11.29,11.29,53300
2012-03-07,11.35,11.48,11.28,11.37,11.37,48700
2012-03-08,11.44,11.58,11.37,11.5,11.5,63000
2012-03-09,11.48,11.75,11.44,11.55,11.55,127500
2012-03-12,11.29,11.59,11.29,11.49,11.49,76300
2012-03-13,11.62,11.66,11.45,11.51,11.51,326800
2012-03-14,11.51,11.59,11.45,11.5,11.5,107600
2012-03-15,11.1,11.7,11.1,11.55,11.55,196700
2012-03-16,11.63,11.75,11.48,11.64,11.64,380600
2012-03-19,11.66,12.01,11.22,11.92,11.92,130800
2012-03-20,11.81,11.9,11.67,11.78,11.78,44700
2012-03-21,11.77,12.03,11.65,11.92,11.92,74300
2012-03-22,11.84,12.09,11.8,12.07,12.07,167400
2012-03-23,12.03,12.23,11.82,12.15,12.15,246800
2012-03-26,12.24,12.25,11.96,12.24,12.24,239900
2012-03-27,12.24,12.38,12.1,12.17,12.17,100800
2012-03-28,12.16,12.25,11.78,12.22,12.22,79000
2012-03-29,12.06,12.12,11.85,11.99,11.99,92600
2012-03-30,12.03,12.1,11.85,12.06,12.06,112000
2012-04-02,12.06,12.3,11.95,12.3,12.3,99500
2012-04-03,12.25,12.25,11.96,12.0,12.0,242200
2012-04-04,11.85,11.85,11.6,11.73,11.73,62500
2012-04-05,11.66,11.75,11.56,11.58,11.58,165000
2012-04-09,11.75,11.97,11.61,11.75,11.75,222100
2012-04-10,11.77,11.77,11.44,11.52,11.52,99000
2012-04-11,11.66,11.86,11.52,11.86,11.86,59200
2012-04-12,11.84,12.15,11.73,12.04,12.04,65700
2012-04-13,11.96,11.96,11.66,11.78,11.78,55200
2012-04-16,11.8,12.0,11.76,11.97,11.97,50100
2012-04-17,12.03,12.2,11.85,12.13,12.13,69400
2012-04-18,12.03,12.03,11.93,12.0,12.0,66100
2012-04-19,12.01,12.03,11.86,11.96,11.96,60200
2012-04-20,12.08,12.08,11.93,11.97,11.97,150400
2012-04-23,11.76,11.86,11.67,11.82,11.82,91900
2012-04-24,11.82,12.0,11.74,12.0,12.0,112800
2012-04-25,12.09,12.22,11.99,12.21,12.21,85900
2012-04-26,12.17,12.29,12.1,12.26,12.26,71400
2012-04-27,12.29,12.3,12.09,12.3,12.3,62900
2012-04-30,12.23,12.24,12.04,12.07,12.07,119000
2012-05-01,12.05,12.25,11.97,12.17,12.17,111000
2012-05-02,12.05,12.09,11.95,12.06,12.06,97200
2012-05-03,12.01,12.05,11.88,11.91,11.91,643600
2012-05-04,11.84,11.84,11.3,11.37,11.37,223400
2012-05-07,11.3,11.32,11.16,11.23,11.23,82000
2012-05-08,11.11,11.57,10.83,11.37,11.37,185100
2012-05-09,11.32,12.58,11.32,12.44,12.44,425000
2012-05-10,12.38,12.5,12.16,12.32,12.32,137000
2012-05-11,12.21,12.4,12.2,12.36,12.36,104600
2012-05-14,12.21,12.55,12.15,12.43,12.43,154000
2012-05-15,12.4,12.54,11.92,11.95,11.95,126000
2012-05-16,11.99,12.26,11.7,12.03,12.03,5765300
2012-05-17,12.08,12.1,11.94,12.01,12.01,184900
2012-05-18,12.0,12.0,11.57,11.62,11.62,162600
2012-05-21,11.68,12.07,11.47,12.03,12.03,133700
2012-05-22,12.01,12.19,11.95,12.03,12.03,134000
2012-05-23,11.99,12.16,11.87,12.05,12.05,204000
2012-05-24,12.1,12.17,11.66,11.86,11.86,58700
2012-05-25,11.82,11.98,11.75,11.85,11.85,135900
2012-05-29,12.0,12.02,11.75,11.99,11.99,76100
2012-05-30,11.9,11.9,11.62,11.63,11.63,39100
2012-05-31,11.63,11.69,11.48,11.61,11.61,151100
2012-06-01,11.32,11.61,11.32,11.48,11.48,186600
2012-06-04,11.55,11.62,11.17,11.3,11.3,96600
2012-06-05,11.21,11.52,11.15,11.17,11.17,49600
2012-06-06,11.41,11.95,11.41,11.93,11.93,168700
2012-06-07,12.09,12.09,11.73,11.75,11.75,75300
2012-06-08,11.73,11.98,11.73,11.92,11.92,50800
2012-06-11,12.0,12.01,11.61,11.62,11.62,69000
2012-06-12,11.7,11.88,11.49,11.88,11.88,61900
2012-06-13,11.83,11.97,11.74,11.78,11.78,149400
2012-06-14,11.76,11.87,11.61,11.84,11.84,99900
2012-06-15,11.82,12.09,11.79,12.08,12.08,245400
2012-06-18,11.96,12.2,11.93,12.1,12.1,158800
2012-06-19,12.12,12.25,12.09,12.2,12.2,152200
2012-06-20,12.17,12.23,12.04,12.18,12.18,298000
2012-06-21,12.16,12.2,11.87,11.92,11.92,140400
2012-06-22,12.0,12.24,12.0,12.15,12.15,670100
2012-06-25,11.97,12.05,11.56,11.57,11.57,69500
2012-06-26,11.56,11.62,11.29,11.41,11.41,47100
2012-06-27,11.4,11.56,11.34,11.46,11.46,52300
2012-06-28,11.35,11.39,10.99,11.09,11.09,178500
2012-06-29,11.34,11.72,11.18,11.46,11.46,134900
2012-07-02,11.52,11.71,11.42,11.6,11.6,83800
2012-07-03,11.59,11.67,11.53,11.55,11.55,56600
2012-07-05,11.49,11.67,11.49,11.61,11.61,60700
2012-07-06,11.47,11.62,11.47,11.53,11.53,56500
2012-07-09,11.42,11.68,11.36,11.4,11.4,105600
2012-07-10,11.51,11.51,11.27,11.35,11.35,69800
2012-07-11,11.34,11.46,11.14,11.15,11.15,89700
2012-07-12,11.02,11.06,10.86,10.92,10.92,138400
2012-07-13,10.95,11.1,10.81,11.0,11.0,77400
2012-07-16,10.94,10.99,10.5,10.61,10.61,53600
2012-07-17,10.64,10.7,10.32,10.62,10.62,58800
2012-07-18,10.64,11.02,10.64,11.02,11.02,69700
2012-07-19,11.06,11.11,10.7,10.73,10.73,71900
2012-07-20,10.63,10.64,10.33,10.34,10.34,62800
2012-07-23,10.13,10.23,9.8,10.1,10.1,48100
2012-07-24,10.1,10.1,9.85,9.99,9.99,57900
2012-07-25,10.04,10.11,9.8,9.99,9.99,29800
2012-07-26,10.09,10.31,9.94,9.97,9.97,42400
2012-07-27,9.99,10.42,9.95,10.27,10.27,98500
2012-07-30,10.29,10.39,10.13,10.26,10.26,24200
2012-07-31,10.21,10.4,10.17,10.3,10.3,61600
2012-08-01,10.32,10.39,9.75,9.76,9.76,99200
2012-08-02,9.71,10.11,9.62,10.08,10.08,126300
2012-08-03,10.26,10.6,10.22,10.49,10.49,194800
2012-08-06,10.53,10.61,9.98,10.02,10.02,59300
2012-08-07,10.06,10.45,10.06,10.36,10.36,61400
2012-08-08,8.04,9.6,8.04,9.16,9.16,599000
2012-08-09,9.13,10.16,9.05,9.2,9.2,50400
2012-08-10,9.21,9.41,9.09,9.4,9.4,104500
2012-08-13,9.36,9.42,9.21,9.32,9.32,32500
2012-08-14,9.4,9.44,9.12,9.17,9.17,63500
2012-08-15,9.13,9.27,9.09,9.21,9.21,64900
2012-08-16,9.23,9.37,9.09,9.18,9.18,76000
2012-08-17,9.14,9.26,9.06,9.22,9.22,112900
2012-08-20,9.2,9.33,9.11,9.21,9.21,53800
2012-08-21,9.34,9.55,9.22,9.27,9.27,29400
2012-08-22,9.3,9.3,9.14,9.24,9.24,57600
2012-08-23,9.2,9.5,9.14,9.21,9.21,112300
2012-08-24,9.14,9.26,9.14,9.2,9.2,79600
2012-08-27,9.2,9.22,9.0,9.03,9.03,93300
2012-08-28,9.0,9.04,8.8,9.02,9.02,375300
2012-08-29,9.01,9.1,8.95,8.99,8.99,85000
2012-08-30,8.95,9.08,8.88,8.95,8.95,188600
2012-08-31,9.04,9.04,8.9,9.0,9.0,38400
2012-09-04,9.0,9.13,8.89,9.11,9.11,78600
2012-09-05,9.15,9.22,8.94,9.02,9.02,87000
2012-09-06,9.05,9.31,8.99,9.29,9.29,93200
2012-09-07,9.3,9.41,9.08,9.39,9.39,68300
2012-09-10,9.37,9.37,9.04,9.14,9.14,76900
2012-09-11,9.18,9.29,9.05,9.27,9.27,51100
2012-09-12,9.31,9.45,9.17,9.38,9.38,46000
2012-09-13,9.37,9.72,9.29,9.43,9.43,89700
2012-09-14,9.4,9.55,9.3,9.45,9.45,114700
2012-09-17,9.43,9.43,9.21,9.29,9.29,134800
2012-09-18,9.26,9.4,9.06,9.11,9.11,73800
2012-09-19,9.1,9.18,8.85,8.87,8.87,88900
2012-09-20,8.85,8.85,8.69,8.69,8.69,121700
2012-09-21,8.69,8.85,8.69,8.77,8.77,228900
2012-09-24,8.71,9.15,8.71,9.01,9.01,52300
2012-09-25,9.04,9.24,9.02,9.08,9.08,113500
2012-09-26,9.09,9.36,8.92,8.95,8.95,116500
2012-09-27,8.98,9.02,8.9,8.96,8.96,84800
2012-09-28,8.95,9.02,8.88,8.91,8.91,84900
2012-10-01,8.96,8.97,8.65,8.87,8.87,70600
2012-10-02,8.93,8.98,8.75,8.79,8.79,99200
2012-10-03,8.8,8.89,8.73,8.81,8.81,26500
2012-10-04,8.87,9.0,8.74,8.99,8.99,116800
2012-10-05,9.0,9.04,8.65,8.66,8.66,88100
2012-10-08,8.6,8.6,8.42,8.51,8.51,68000
2012-10-09,8.51,8.6,8.44,8.47,8.47,30800
2012-10-10,8.51,8.52,8.39,8.43,8.43,15800
2012-10-11,8.52,8.66,8.35,8.46,8.46,121500
2012-10-12,8.45,8.45,8.06,8.17,8.17,121400
2012-10-15,8.17,8.39,7.91,8.01,8.01,195300
2012-10-16,8.03,8.19,7.93,8.12,8.12,171400
2012-10-17,8.11,8.28,7.99,8.2,8.2,171800
2012-10-18,8.19,8.24,8.06,8.08,8.08,172900
2012-10-19,8.0,8.14,7.98,8.0,8.0,169500
2012-10-22,7.98,8.04,7.97,7.98,7.98,113200
2012-10-23,7.92,8.0,7.91,7.95,7.95,116300
2012-10-24,8.0,8.0,7.9,7.93,7.93,227600
2012-10-25,7.98,8.04,7.83,8.0,8.0,121400
2012-10-26,8.02,8.08,7.9,7.96,7.96,24700
2012-10-31,7.94,7.94,7.68,7.77,7.77,103600
2012-11-01,7.77,7.85,7.64,7.76,7.76,202400
2012-11-02,7.8,7.8,7.68,7.75,7.75,142200
2012-11-05,7.77,7.86,7.75,7.84,7.84,35800
2012-11-06,7.84,7.88,7.59,7.7,7.7,110000
2012-11-07,7.68,8.16,7.2,7.61,7.61,206600
2012-11-08,7.51,7.85,7.51,7.73,7.73,181900
2012-11-09,7.68,7.78,7.55,7.66,7.66,148800
2012-11-12,7.66,7.83,7.53,7.79,7.79,46900
2012-11-13,7.72,7.77,7.58,7.65,7.65,173900
2012-11-14,7.65,7.65,7.41,7.44,7.44,280300
2012-11-15,7.42,7.42,7.22,7.36,7.36,137400
2012-11-16,7.33,7.34,7.03,7.28,7.28,84900
2012-11-19,7.34,7.51,7.3,7.48,7.48,177400
2012-11-20,7.44,7.59,7.37,7.49,7.49,98200
2012-11-21,7.47,7.51,7.16,7.24,7.24,110000
2012-11-23,7.28,7.33,7.21,7.26,7.26,105000
2012-11-26,7.25,7.57,7.24,7.44,7.44,411700
2012-11-27,7.46,7.83,7.43,7.74,7.74,289000
2012-11-28,7.73,7.84,7.61,7.73,7.73,58800
2012-11-29,7.83,7.83,7.67,7.72,7.72,41000
2012-11-30,7.75,7.77,7.54,7.59,7.59,111900
2012-12-03,7.65,7.72,7.57,7.62,7.62,175500
2012-12-04,7.66,7.76,7.6,7.75,7.75,61000
2012-12-05,7.79,7.81,7.62,7.71,7.71,25800
2012-12-06,7.73,7.84,7.73,7.81,7.81,35500
2012-12-07,7.85,7.85,7.76,7.82,7.82,25300
2012-12-10,7.85,8.06,7.83,8.04,8.04,77100
2012-12-11,8.13,8.37,8.01,8.23,8.23,116300
2012-12-12,8.29,8.35,8.2,8.22,8.22,48000
2012-12-13,8.13,8.21,8.0,8.1,8.1,54100
2012-12-14,8.06,8.2,8.01,8.15,8.15,30800
2012-12-17,8.17,8.48,8.13,8.47,8.47,86100
