Date,Open,High,Low,Close,Adj Close,Volume
2015-04-22,13.0,13.0,13.0,13.0,9.8293,0
2015-04-23,13.0,13.52,12.7,13.0,9.8293,11165500
2015-04-24,12.98,13.16,12.81,13.1,9.904912,795300
2015-04-27,13.11,13.16,13.01,13.14,9.935156,292400
2015-04-28,13.07,13.23,13.07,13.2,9.980519,401500
2015-04-29,13.06,13.19,13.06,13.07,9.882228,234000
2015-04-30,13.05,13.07,12.78,12.83,9.700765,237700
2015-05-01,12.93,13.02,12.7,13.02,9.844427,233700
2015-05-04,13.02,13.02,12.86,13.0,9.8293,81300
2015-05-05,12.96,13.02,12.86,13.02,9.844427,235400
2015-05-06,13.02,13.09,12.9,12.93,9.776373,214500
2015-05-07,12.83,12.95,12.83,12.89,9.746132,80800
2015-05-08,12.83,13.01,12.83,12.99,9.821739,357200
2015-05-11,12.92,13.19,12.915,13.07,9.882228,279100
2015-05-12,13.0,13.105,12.9,13.08,9.889789,242300
2015-05-13,13.11,13.154,13.03,13.09,9.89735,408200
2015-05-14,13.05,13.14,12.97,13.12,9.920034,92900
2015-05-15,13.19,13.27,13.113,13.24,10.010765,210000
2015-05-18,13.35,13.65,13.2,13.47,10.184669,250700
2015-05-19,13.54,13.71,13.44,13.66,10.32833,328200
2015-05-20,13.71,13.745,13.57,13.62,10.298082,168900
2015-05-21,13.64,13.73,13.55,13.66,10.32833,157000
2015-05-22,13.7,13.72,13.42,13.55,10.245155,225400
2015-05-26,13.57,13.665,13.163,13.35,10.093938,173800
2015-05-27,13.37,13.6,13.29,13.6,10.282963,166600
2015-05-28,13.58,13.58,13.41,13.48,10.192229,98300
2015-05-29,13.4,13.545,13.4,13.49,10.19979,185200
2015-06-01,13.44,13.55,13.25,13.47,10.184669,122400
2015-06-02,13.51,13.51,13.31,13.32,10.071254,112800
2015-06-03,13.25,13.43,13.16,13.34,10.086376,145000
2015-06-04,13.23,13.35,13.05,13.09,9.89735,106200
2015-06-05,13.05,13.22,12.98,13.08,9.889789,146800
2015-06-08,13.05,13.23,12.91,13.15,9.942715,126500
2015-06-09,13.02,13.35,13.02,13.25,10.018326,215700
2015-06-10,13.25,13.29,12.86,12.99,9.821739,130200
