Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13,18.0,18.15,17.15,17.75,16.833191,4357300
2020-08-14,17.75,18.0,17.370001,18.0,17.070278,654500
2020-08-17,17.85,18.389999,17.690001,18.25,17.307367,445200
2020-08-18,18.02,18.299999,17.950001,18.26,17.316851,451900
2020-08-19,18.4,18.4,17.879999,18.049999,17.117697,367100
2020-08-20,18.0,18.200001,17.98,18.059999,17.12718,332200
2020-08-21,18.030001,18.25,17.9,18.059999,17.12718,256100
2020-08-24,18.0,18.139999,17.85,18.09,17.155632,264100
2020-08-25,18.01,18.540001,17.950001,18.360001,17.411684,294800
2020-08-26,18.16,18.290001,18.139999,18.190001,17.250467,70400
2020-08-27,18.0,18.540001,18.0,18.27,17.326336,241500
2020-08-28,18.219999,18.403,18.15,18.33,17.383232,202200
2020-08-31,18.110001,18.49,17.940001,18.34,17.392715,263600
2020-09-01,18.0,18.440001,18.0,18.299999,17.354782,196100
2020-09-02,18.18,18.379999,18.01,18.309999,17.364265,228600
2020-09-03,18.139999,18.49,18.049999,18.360001,17.411684,417300
2020-09-04,18.1,18.41,18.040001,18.370001,17.421171,177000
2020-09-08,18.299999,18.57,18.15,18.450001,17.497036,439000
2020-09-09,18.450001,18.6,18.120001,18.26,17.316851,358600
2020-09-10,18.129999,18.49,17.799999,17.940001,17.013376,240200
2020-09-11,18.190001,18.278,17.950001,18.049999,17.117697,351900
2020-09-14,18.040001,18.440001,17.93,18.049999,17.21306,299400
2020-09-15,18.01,18.41,18.0,18.299999,17.451466,277100
2020-09-16,18.08,18.51,18.040001,18.309999,17.461002,233800
2020-09-17,18.01,18.35,18.01,18.16,17.317957,243200
2020-09-18,18.440001,18.440001,17.25,17.610001,16.793463,2063900
2020-09-21,17.49,17.51,16.77,17.25,16.450153,465700
2020-09-22,17.15,17.67,17.15,17.49,16.679024,201300
2020-09-23,17.32,17.35,16.92,17.120001,16.326181,192700
2020-09-24,17.040001,17.65,16.9,17.35,16.545517,115100
2020-09-25,17.25,17.92,17.211,17.540001,16.726707,140300
2020-09-28,17.4,18.33,17.285,18.27,17.422861,240500
2020-09-29,18.17,18.32,17.559999,18.18,17.337032,135500
2020-09-30,18.02,18.370001,17.620001,18.26,17.413322,152300
2020-10-01,18.0,18.870001,17.790001,18.83,17.956892,300800
2020-10-02,18.6,19.25,18.6,19.129999,18.242981,210000
2020-10-05,19.24,19.459999,18.6,19.059999,18.176228,135600
2020-10-06,19.0,19.42,18.855,19.040001,18.157156,114500
2020-10-07,19.34,19.450001,18.26,19.290001,18.395565,223400
2020-10-08,19.389999,19.82,19.200001,19.49,18.58629,91800
2020-10-09,19.5,19.799999,19.309999,19.51,18.605362,94600
2020-10-12,19.51,19.639999,19.23,19.5,18.595827,110700
2020-10-13,19.209999,19.5,18.215,18.76,17.890139,202400
2020-10-14,18.59,19.205,17.84,17.860001,17.031872,126900
2020-10-15,17.5,17.940001,17.5,17.82,16.993723,222300
2020-10-16,17.98,18.309999,17.780001,18.049999,17.21306,170800
2020-10-19,18.35,18.450001,17.51,17.52,16.707636,200700
2020-10-20,17.709999,17.889999,17.41,17.76,16.936506,141300
2020-10-21,17.950001,18.09,17.450001,17.530001,16.717173,269200
2020-10-22,17.370001,18.0,17.370001,17.85,17.022333,90500
2020-10-23,17.92,18.34,17.92,18.08,17.241667,62500
2020-10-26,18.1,18.1,17.5,18.040001,17.203524,110500
2020-10-27,18.120001,18.190001,17.59,17.639999,16.822071,105700
2020-10-28,17.299999,17.594999,17.049999,17.280001,16.478764,111100
2020-10-29,16.98,17.709999,16.93,17.639999,16.822071,136000
2020-10-30,17.389999,17.76,17.190001,17.540001,16.726707,176400
2020-11-02,17.85,18.139999,17.450001,17.98,17.146305,218100
