Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.8,12.8,12.59,12.62,7.422731,270700
2012-02-07,12.59,12.73,12.56,12.57,7.393324,242500
2012-02-08,12.61,12.78,12.56,12.74,7.493311,306100
2012-02-09,12.76,12.83,12.63,12.64,7.434493,239400
2012-02-10,12.51,12.66,12.51,12.53,7.369793,361200
2012-02-13,12.68,12.71,12.56,12.64,7.434493,242600
2012-02-14,12.59,12.62,12.42,12.54,7.375678,217100
2012-02-15,12.55,12.7,12.4,12.45,7.322745,368700
2012-02-16,12.5,12.61,12.4,12.59,7.405086,768800
2012-02-17,12.67,12.78,12.54,12.66,7.446257,268400
2012-02-21,12.64,12.75,12.54,12.68,7.458025,441200
2012-02-22,12.63,12.71,12.14,12.5,7.352153,273200
2012-02-23,12.51,12.78,12.48,12.77,7.510958,267400
2012-02-24,12.76,12.8,12.63,12.64,7.434493,151800
2012-02-27,12.56,12.88,12.48,12.75,7.499194,274200
2012-02-28,12.75,12.88,12.7,12.72,7.481549,413600
2012-02-29,12.74,12.87,12.57,12.62,7.422731,818500
2012-03-01,12.67,12.74,12.5,12.5,7.352153,456700
2012-03-02,12.53,12.59,12.3,12.34,7.258043,475700
2012-03-05,12.3,12.52,12.3,12.48,7.340387,416700
2012-03-06,12.36,12.45,12.24,12.26,7.210989,290800
2012-03-07,12.34,12.38,12.25,12.33,7.252162,183800
2012-03-08,12.38,12.44,12.17,12.31,7.2404,213700
2012-03-09,12.33,12.59,12.3,12.53,7.369793,241700
2012-03-12,12.55,12.55,12.3,12.35,7.263926,392100
2012-03-13,12.46,12.63,12.36,12.61,7.41685,694000
2012-03-14,12.6,12.66,12.47,12.55,7.381562,269400
2012-03-15,12.58,12.78,12.51,12.75,7.499194,236300
2012-03-16,12.79,12.8,12.66,12.75,7.499194,643400
2012-03-19,12.72,12.93,12.64,12.9,7.587419,645800
2012-03-20,12.82,12.94,12.76,12.91,7.593301,330200
2012-03-21,12.81,12.93,12.79,12.83,7.546247,220000
2012-03-22,12.71,12.76,12.59,12.71,7.475667,225100
