Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.71,12.77,12.44,12.51,9.089543,340500
2012-02-07,12.49,12.55,12.3,12.39,9.002353,531900
2012-02-08,12.4,12.48,12.2,12.39,9.002353,346800
2012-02-09,12.44,12.44,12.21,12.25,8.900632,232900
2012-02-10,12.13,12.19,11.98,12.02,8.733523,274500
2012-02-13,12.16,12.27,12.02,12.26,8.907897,315400
2012-02-14,12.21,12.21,12.0,12.1,8.791642,270400
2012-02-15,12.17,12.18,11.96,12.05,8.755317,382600
2012-02-16,12.07,12.43,12.0,12.43,9.03142,374700
2012-02-17,12.43,12.43,12.24,12.36,8.980556,416700
2012-02-21,12.35,12.46,12.17,12.34,8.966025,343600
2012-02-22,12.31,12.46,12.03,12.04,8.748051,579000
2012-02-23,12.03,12.4,12.0,12.38,8.995089,271400
2012-02-24,12.36,12.38,12.13,12.19,8.857038,221000
2012-02-27,12.07,12.36,12.04,12.25,8.900632,429200
2012-02-28,12.18,12.29,12.02,12.13,8.878673,377200
2012-02-29,12.15,12.4,12.03,12.08,8.842074,478400
2012-03-01,12.1,12.39,12.1,12.2,8.929912,368100
2012-03-02,12.2,12.28,11.81,11.84,8.666406,511800
2012-03-05,11.77,11.95,11.71,11.87,8.688364,311500
2012-03-06,11.72,11.78,11.49,11.52,8.432178,479200
2012-03-07,11.55,11.7,11.46,11.7,8.563931,447100
2012-03-08,11.76,11.79,11.58,11.78,8.622486,569200
2012-03-09,11.78,12.17,11.76,12.11,8.864034,622000
2012-03-12,12.14,12.27,12.03,12.25,8.966508,440100
2012-03-13,12.35,12.82,12.28,12.8,9.369089,709300
2012-03-14,12.76,12.84,12.46,12.75,9.332486,622400
2012-03-15,12.79,13.12,12.65,12.97,9.493519,682500
2012-03-16,12.95,13.0,12.83,12.92,9.456919,1218100
2012-03-19,12.93,13.22,12.68,13.1,9.588676,624200
2012-03-20,12.97,13.09,12.87,12.91,9.449603,727800
2012-03-21,12.94,13.05,12.75,12.95,9.478881,602700
2012-03-22,12.87,12.93,12.65,12.86,9.413002,901600
2012-03-23,12.82,12.88,12.62,12.78,9.354445,850100
2012-03-26,12.93,13.06,12.86,13.0,9.515477,674100
2012-03-27,12.99,13.1,12.95,13.03,9.537438,533800
2012-03-28,13.02,13.29,12.96,13.29,9.727745,812600
2012-03-29,13.14,13.21,12.92,13.16,9.632589,748400
2012-03-30,13.3,13.3,13.05,13.14,9.617954,829600
2012-04-02,13.07,13.23,12.98,13.21,9.669189,811200
2012-04-03,13.18,13.23,13.01,13.19,9.654552,543300
2012-04-04,13.0,13.07,12.79,12.91,9.449603,521000
2012-04-05,12.81,12.88,12.77,12.84,9.398366,366800
2012-04-09,12.57,12.78,12.52,12.7,9.295892,623700
2012-04-10,12.65,12.7,12.43,12.52,9.164141,698400
2012-04-11,12.68,12.71,12.53,12.69,9.288567,431000
2012-04-12,12.68,12.84,12.61,12.8,9.369089,435900
2012-04-13,12.74,12.74,12.39,12.46,9.120217,437400
2012-04-16,12.55,12.71,12.41,12.68,9.28125,383600
2012-04-17,12.83,12.99,12.74,12.89,9.434964,536000
2012-04-18,12.78,12.79,12.63,12.7,9.295892,334800
2012-04-19,12.74,12.85,12.5,12.63,9.244651,409200
2012-04-20,12.75,12.91,12.65,12.7,9.295892,362900
2012-04-23,12.49,12.59,12.44,12.57,9.200735,414200
2012-04-24,12.58,12.83,12.53,12.8,9.369089,379900
2012-04-25,12.94,13.08,12.8,12.95,9.478881,307400
2012-04-26,12.89,13.07,12.81,13.03,9.537438,153900
2012-04-27,13.04,13.2,12.94,13.07,9.566714,455900
2012-04-30,13.06,13.15,12.71,12.82,9.383724,611100
2012-05-01,12.8,13.09,12.71,12.91,9.449603,487700
2012-05-02,12.86,12.86,12.66,12.81,9.376406,442200
2012-05-03,12.79,12.82,12.58,12.7,9.295892,477200
2012-05-04,12.58,12.63,12.26,12.36,9.047025,734600
2012-05-07,12.26,12.62,12.26,12.58,9.208055,313000
2012-05-08,12.44,12.6,12.4,12.58,9.208055,596500
2012-05-09,12.39,12.45,12.22,12.31,9.010427,360200
2012-05-10,12.44,12.51,12.34,12.49,9.142178,319500
2012-05-11,12.34,12.52,12.18,12.27,8.981148,414100
2012-05-14,12.1,12.17,12.01,12.04,8.812798,312400
2012-05-15,12.0,12.16,11.92,11.98,8.768879,271000
2012-05-16,12.0,12.06,11.85,11.85,8.673725,243100
2012-05-17,11.83,11.92,11.66,11.66,8.534655,348900
2012-05-18,11.64,11.75,11.51,11.55,8.454137,358900
2012-05-21,11.64,11.85,11.52,11.71,8.57125,377800
2012-05-22,11.74,11.9,11.56,11.64,8.52001,445500
2012-05-23,11.51,11.81,11.47,11.79,8.629806,361000
2012-05-24,11.79,12.0,11.66,12.0,8.783517,320500
2012-05-25,11.95,11.99,11.78,11.86,8.681044,265700
2012-05-29,12.01,12.02,11.75,11.88,8.695682,416400
2012-05-30,11.72,11.73,11.55,11.56,8.526048,364000
2012-05-31,11.6,11.72,11.45,11.59,8.548174,446800
2012-06-01,11.32,11.4,11.05,11.05,8.149898,495900
2012-06-04,11.05,11.15,10.89,10.92,8.054013,466500
2012-06-05,10.87,11.26,10.87,10.92,8.054013,421600
2012-06-06,11.01,11.21,10.96,11.16,8.23103,417100
2012-06-07,11.33,11.45,11.14,11.15,8.223652,584200
2012-06-08,11.11,11.32,11.06,11.32,8.349036,413600
2012-06-11,11.46,11.55,11.16,11.17,8.238402,625900
2012-06-12,11.17,11.34,11.14,11.33,8.356411,381900
2012-06-13,11.28,11.45,11.13,11.19,8.253155,252600
2012-06-14,11.2,11.34,11.12,11.25,8.297406,334700
2012-06-15,11.27,11.49,11.22,11.37,8.385912,690500
2012-06-18,11.32,11.48,11.26,11.39,8.400664,277500
2012-06-19,11.46,11.72,11.36,11.68,8.614552,446100
2012-06-20,11.7,11.74,11.55,11.65,8.592423,271600
2012-06-21,11.65,11.72,11.35,11.36,8.378538,280800
2012-06-22,11.47,11.7,11.4,11.63,8.577675,374700
2012-06-25,11.44,11.48,11.35,11.38,8.393289,189100
2012-06-26,11.42,11.46,11.23,11.33,8.356411,325900
2012-06-27,11.35,11.5,11.25,11.5,8.481795,439100
2012-06-28,11.37,11.67,11.29,11.67,8.607177,407300
2012-06-29,11.91,12.11,11.82,12.01,8.857944,569800
2012-07-02,12.04,12.27,11.95,12.27,9.049706,481700
2012-07-03,12.23,12.41,12.21,12.41,9.152961,245400
2012-07-05,12.36,12.44,12.23,12.31,9.079206,249500
2012-07-06,12.17,12.34,12.13,12.14,8.953826,279300
2012-07-09,12.08,12.19,12.02,12.13,8.946449,360900
2012-07-10,12.24,12.28,12.0,12.15,8.961199,266700
2012-07-11,12.17,12.28,12.09,12.25,9.034953,190100
2012-07-12,12.16,12.29,12.13,12.23,9.020205,235200
2012-07-13,12.25,12.55,12.24,12.52,9.234095,278500
2012-07-16,12.5,12.54,12.36,12.41,9.152961,206500
2012-07-17,12.47,12.63,12.34,12.57,9.270969,269600
2012-07-18,12.54,12.66,12.46,12.55,9.256221,307500
2012-07-19,12.57,12.58,12.32,12.37,9.123458,362100
2012-07-20,12.23,12.3,12.15,12.16,8.968575,394700
2012-07-23,11.95,12.08,11.86,11.92,8.791561,276100
