Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,19.26,19.32,19.200001,19.219999,11.302496,3679500
2012-02-07,19.200001,19.559999,19.200001,19.49,11.461274,3439200
2012-02-08,19.540001,19.639999,19.41,19.5,11.467158,3400100
2012-02-09,19.5,19.65,19.33,19.540001,11.490674,4388600
2012-02-10,19.49,19.540001,18.25,18.5,10.879095,9359400
2012-02-13,18.700001,18.719999,18.309999,18.48,10.867332,5106400
2012-02-14,18.49,18.530001,18.309999,18.51,10.884974,5316100
2012-02-15,18.309999,18.309999,17.9,18.08,10.851961,4711200
2012-02-16,18.040001,18.049999,17.700001,17.700001,10.623881,4359800
2012-02-17,17.73,17.870001,17.620001,17.799999,10.683901,4941700
2012-02-21,17.860001,18.1,17.83,17.969999,10.785937,4637700
2012-02-22,17.85,18.040001,17.75,17.790001,10.677898,2823700
2012-02-23,17.75,17.889999,17.719999,17.799999,10.683901,2929000
2012-02-24,17.780001,18.08,17.74,18.0,10.803943,3288800
2012-02-27,17.9,18.16,17.75,18.08,10.851961,2540500
2012-02-28,18.1,18.1,17.85,18.059999,10.83996,3140500
2012-02-29,18.09,18.280001,18.049999,18.129999,10.881975,3313800
2012-03-01,18.200001,18.27,18.09,18.209999,10.929992,2445700
2012-03-02,18.17,18.379999,17.950001,18.01,10.809948,2552600
2012-03-05,17.950001,18.030001,17.85,17.940001,10.767935,2651800
2012-03-06,17.83,17.889999,17.57,17.610001,10.56986,3859200
2012-03-07,17.65,17.719999,17.51,17.540001,10.527845,6902000
2012-03-08,17.700001,17.73,17.5,17.57,10.545851,2831200
2012-03-09,17.6,17.950001,17.450001,17.860001,10.719918,2481200
2012-03-12,17.870001,18.440001,17.870001,18.389999,11.03803,3742500
2012-03-13,18.459999,18.549999,18.26,18.549999,11.134066,2705700
2012-03-14,18.469999,18.629999,18.209999,18.34,11.008018,2686900
2012-03-15,18.309999,18.389999,18.190001,18.379999,11.032029,1661900
2012-03-16,18.379999,18.389999,17.889999,18.15,10.893975,3673100
2012-03-19,18.120001,18.209999,17.950001,18.16,10.899978,2014900
2012-03-20,18.040001,18.1,17.959999,18.059999,10.83996,1828500
2012-03-21,18.059999,18.23,18.049999,18.23,10.941996,1889500
2012-03-22,18.200001,18.25,18.02,18.129999,10.881975,1609400
2012-03-23,18.17,18.190001,17.950001,17.99,10.797943,2032300
2012-03-26,18.129999,18.209999,18.030001,18.209999,10.929992,1698200
2012-03-27,18.200001,18.25,18.01,18.049999,10.833959,3135700
2012-03-28,18.049999,18.129999,17.809999,17.93,10.76193,3471300
2012-03-29,17.84,17.9,17.709999,17.77,10.665895,2860500
2012-03-30,17.809999,17.91,17.58,17.58,10.551854,3565500
2012-04-02,17.52,17.74,17.43,17.74,10.647889,3611100
2012-04-03,17.709999,17.84,17.52,17.66,10.599871,2757400
2012-04-04,17.57,17.58,17.360001,17.459999,10.479828,3076800
2012-04-05,17.42,17.49,17.120001,17.15,10.29376,3707900
2012-04-09,17.040001,17.219999,16.91,17.209999,10.329773,2844800
2012-04-10,17.15,17.24,16.530001,16.530001,9.921621,4205100
2012-04-11,16.690001,16.889999,16.629999,16.77,10.065678,2446600
2012-04-12,16.799999,17.110001,16.77,17.07,10.245741,2119200
2012-04-13,17.0,17.049999,16.639999,16.68,10.011657,3037000
2012-04-16,16.719999,16.83,16.610001,16.639999,9.987646,2509000
2012-04-17,16.700001,17.27,16.700001,17.23,10.341775,3472400
2012-04-18,17.129999,17.15,16.98,17.059999,10.239741,1671700
2012-04-19,17.049999,17.219999,16.879999,16.93,10.161712,2460500
2012-04-20,17.0,17.32,16.959999,17.24,10.347777,2654200
2012-04-23,17.1,17.18,16.75,16.870001,10.125697,3306200
2012-04-24,16.879999,17.030001,16.799999,16.950001,10.173718,1691800
2012-04-25,17.09,17.1,16.75,16.790001,10.077681,2022300
2012-04-26,16.790001,17.07,16.74,16.959999,10.179717,1916300
2012-04-27,16.959999,17.24,16.940001,17.18,10.311768,2207500
2012-04-30,17.15,17.219999,17.02,17.129999,10.281755,1813700
2012-05-01,17.219999,17.870001,17.07,17.77,10.665895,4335600
2012-05-02,17.65,17.74,17.059999,17.200001,10.323769,3464700
2012-05-03,17.25,17.41,17.1,17.35,10.413803,2179000
2012-05-04,17.360001,17.42,17.059999,17.1,10.263745,2154900
2012-05-07,17.120001,17.290001,16.75,16.790001,10.077681,4918000
2012-05-08,16.85,16.99,15.11,16.02,9.615511,11076100
2012-05-09,15.66,15.66,15.19,15.25,9.372741,4133600
2012-05-10,15.42,15.5,14.84,15.17,9.323573,4433500
2012-05-11,15.07,15.28,14.92,14.93,9.176065,3099500
2012-05-14,14.76,14.82,14.21,14.24,8.751988,6920600
2012-05-15,14.29,14.29,13.25,13.45,8.266451,11572800
2012-05-16,13.49,13.8,13.45,13.51,8.303329,6565400
2012-05-17,13.52,13.73,13.2,13.31,8.180409,3520700
2012-05-18,13.29,13.33,12.81,12.95,7.959147,4276700
2012-05-21,13.12,13.77,13.0,13.77,8.463128,6150700
2012-05-22,13.69,13.78,13.48,13.57,8.340207,4112400
2012-05-23,13.52,13.92,13.4,13.84,8.506147,6281800
2012-05-24,13.92,13.95,13.62,13.82,8.493855,3544000
2012-05-25,13.83,14.1,13.82,13.93,8.56146,2885700
2012-05-29,14.04,14.07,13.86,14.01,8.610631,2573300
2012-05-30,13.87,13.94,13.37,13.42,8.248014,4826700
2012-05-31,13.41,13.74,13.21,13.64,8.383225,4246000
2012-06-01,13.37,13.75,13.2,13.5,8.297182,4463000
2012-06-04,13.53,13.53,13.05,13.24,8.137384,4570900
2012-06-05,13.24,13.7,13.22,13.42,8.248014,3576100
2012-06-06,13.51,14.07,13.51,14.06,8.64136,3807000
2012-06-07,14.2,14.49,13.92,14.0,8.604484,13184500
2012-06-08,13.95,14.29,13.9,14.28,8.776573,3030100
2012-06-11,14.39,14.45,14.02,14.06,8.64136,2888600
2012-06-12,14.14,14.18,13.8,14.08,8.653654,3900900
2012-06-13,14.08,14.19,13.98,14.04,8.629069,2560700
2012-06-14,14.07,14.71,14.02,14.64,8.997834,4764800
2012-06-15,14.79,15.05,14.61,15.04,9.243675,4626800
2012-06-18,14.9,15.1,14.72,14.85,9.1269,3041400
2012-06-19,14.94,15.0,14.8,14.88,9.145338,2800700
2012-06-20,14.86,15.06,14.75,15.04,9.243675,3405000
2012-06-21,15.03,15.1,14.65,14.67,9.016271,3077500
2012-06-22,14.87,14.96,14.71,14.9,9.157629,3983800
2012-06-25,14.69,14.76,14.32,14.47,8.893349,2577100
2012-06-26,14.86,15.09,14.41,14.46,8.887202,3228700
2012-06-27,14.5,14.97,14.45,14.8,9.096169,2433500
2012-06-28,14.89,15.1,14.71,15.05,9.24982,2953700
2012-06-29,15.27,15.4,14.94,14.97,9.200652,4205900
2012-07-02,15.11,15.13,14.58,14.69,9.02856,3710600
2012-07-03,14.76,14.83,14.53,14.61,8.979395,2124000
2012-07-05,14.61,14.65,14.21,14.51,8.917933,2959800
2012-07-06,14.4,14.53,14.21,14.47,8.893349,2400300
2012-07-09,14.54,14.54,13.86,14.25,8.758136,4877500
2012-07-10,14.31,14.53,14.17,14.25,8.758136,3044900
2012-07-11,14.22,14.37,14.15,14.33,8.807306,2052600
2012-07-12,14.19,14.23,13.8,13.84,8.506147,3938200
2012-07-13,13.85,14.11,13.82,13.9,8.543027,3439600
2012-07-16,13.84,14.05,13.66,13.93,8.56146,3618000
2012-07-17,13.94,13.95,13.42,13.6,8.35864,6202600
2012-07-18,13.56,13.59,13.4,13.45,8.266451,4300900
2012-07-19,13.57,13.57,13.4,13.48,8.284889,4277100
2012-07-20,13.46,13.63,13.28,13.46,8.272596,12806000
2012-07-23,13.36,13.51,13.28,13.37,8.217281,3813000
2012-07-24,13.49,13.51,13.21,13.3,8.174262,3292600
2012-07-25,13.42,13.44,13.15,13.18,8.100505,2479000
2012-07-26,13.32,13.32,13.01,13.06,8.026754,4000600
2012-07-27,13.14,13.23,13.0,13.03,8.008318,5317400
2012-07-30,13.01,13.34,13.0,13.24,8.137384,3599700
2012-07-31,13.23,13.45,13.16,13.36,8.211138,7096600
2012-08-01,13.37,13.45,13.22,13.25,8.14353,4928000
2012-08-02,13.2,13.25,12.64,12.94,7.953,5461300
2012-08-03,13.11,14.24,13.11,13.86,8.518441,9654900
2012-08-06,13.92,14.11,13.85,14.01,8.610631,7435700
2012-08-07,14.14,14.34,14.11,14.25,8.758136,6623100
2012-08-08,13.9,14.02,13.65,13.94,8.799164,4644800
2012-08-09,13.87,13.95,13.54,13.68,8.635048,3519300
2012-08-10,13.68,13.71,13.5,13.58,8.571927,3552800
2012-08-13,13.5,13.6,13.46,13.55,8.55299,2709500
2012-08-14,13.57,13.59,13.38,13.46,8.496181,2322800
2012-08-15,13.43,13.53,13.28,13.36,8.433059,2324200
