Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,30.85,31.23,30.809999,31.15,18.493347,276500
2012-02-07,30.98,31.360001,30.809999,31.16,18.499287,256000
2012-02-08,31.389999,31.41,31.0,31.35,18.612087,163600
2012-02-09,31.360001,31.49,31.01,31.309999,18.588339,235900
2012-02-10,31.120001,31.280001,30.950001,31.049999,18.433977,368700
2012-02-13,31.440001,31.52,31.190001,31.370001,18.62396,163800
2012-02-14,31.17,31.299999,30.85,31.1,18.463659,143800
2012-02-15,31.129999,31.129999,30.51,30.610001,18.17276,275000
2012-02-16,30.700001,31.33,30.700001,31.200001,18.523037,195700
2012-02-17,31.32,31.41,30.82,31.110001,18.469604,144800
2012-02-21,31.110001,31.110001,30.67,31.040001,18.428045,205800
2012-02-22,30.84,30.940001,30.309999,30.370001,18.03027,290900
2012-02-23,30.34,31.02,30.299999,31.01,18.410231,175800
2012-02-24,30.950001,31.08,30.67,30.82,18.297432,240800
2012-02-27,30.530001,31.200001,30.32,31.139999,18.487411,456600
2012-02-28,31.059999,31.219999,30.51,30.629999,18.184635,174100
2012-02-29,30.690001,31.110001,30.4,30.82,18.297432,321400
2012-03-01,30.879999,31.16,30.719999,30.92,18.356802,215400
2012-03-02,30.790001,31.280001,30.74,30.9,18.344923,264800
2012-03-05,30.719999,31.040001,30.709999,30.969999,18.38648,154400
2012-03-06,30.66,31.040001,30.26,30.34,18.012463,230500
2012-03-07,30.049999,30.4,29.799999,30.07,18.036453,257400
2012-03-08,30.209999,30.549999,29.940001,30.4,18.234394,262800
2012-03-09,30.440001,31.049999,30.26,31.02,18.606281,228600
2012-03-12,30.92,31.120001,30.799999,30.99,18.588282,189500
2012-03-13,31.139999,31.950001,30.93,31.889999,19.128119,313200
2012-03-14,31.799999,31.83,31.15,31.32,18.786228,227800
2012-03-15,31.32,31.559999,30.84,31.219999,18.726236,218600
2012-03-16,31.190001,31.389999,31.110001,31.35,18.804222,297000
2012-03-19,31.280001,31.709999,31.01,31.51,18.900188,144600
2012-03-20,31.33,31.42,31.030001,31.190001,18.708246,126900
2012-03-21,31.190001,31.35,30.879999,31.25,18.744236,222200
2012-03-22,30.91,31.290001,30.84,31.219999,18.726236,226300
2012-03-23,31.290001,31.440001,31.01,31.35,18.804222,108200
2012-03-26,31.58,31.85,31.309999,31.59,18.948174,163600
2012-03-27,31.65,31.790001,31.41,31.559999,18.930182,120900
2012-03-28,31.49,31.549999,31.200001,31.540001,18.918184,75200
2012-03-29,31.370001,31.459999,31.1,31.370001,18.816217,107600
2012-03-30,31.52,31.690001,31.280001,31.34,18.798222,185000
2012-04-02,31.209999,31.59,31.030001,31.459999,18.870199,132000
2012-04-03,31.290001,31.58,31.049999,31.23,18.732246,142200
2012-04-04,30.940001,31.01,30.639999,30.9,18.5343,105900
2012-04-05,30.530001,30.83,30.450001,30.51,18.300369,155800
2012-04-09,30.01,30.389999,30.01,30.190001,18.108433,137500
2012-04-10,30.07,30.360001,29.690001,29.73,17.832518,295200
2012-04-11,29.969999,30.219999,29.690001,30.0,17.994467,186200
2012-04-12,29.940001,30.379999,29.92,30.35,18.204401,135700
2012-04-13,30.18,30.41,29.959999,29.99,17.988466,182400
2012-04-16,30.040001,30.719999,29.93,30.42,18.246387,141600
2012-04-17,30.610001,31.049999,30.440001,30.690001,18.408337,132200
2012-04-18,30.559999,30.98,30.32,30.780001,18.46232,162600
2012-04-19,30.75,30.99,30.35,30.52,18.306377,139500
2012-04-20,31.200001,31.450001,30.799999,31.09,18.648266,209900
2012-04-23,30.76,30.76,30.01,30.5,18.294373,203700
2012-04-24,30.59,31.360001,30.440001,31.08,18.642269,144000
2012-04-25,31.469999,31.84,31.24,31.48,18.882195,186700
2012-04-26,31.32,31.76,31.32,31.58,18.942183,189700
2012-04-27,31.67,31.84,31.18,31.6,18.954172,179100
2012-04-30,31.48,31.530001,31.190001,31.299999,18.774225,189000
2012-05-01,31.209999,31.73,31.030001,31.08,18.642269,423200
2012-05-02,30.790001,31.200001,30.75,31.0,18.59428,239100
2012-05-03,30.940001,31.48,30.83,30.91,18.540298,271600
2012-05-04,30.780001,31.24,30.51,30.77,18.456331,229200
2012-05-07,30.620001,31.01,30.110001,30.870001,18.516304,112000
2012-05-08,30.639999,30.99,30.639999,30.84,18.498312,142200
2012-05-09,30.549999,30.83,30.469999,30.5,18.294373,188000
2012-05-10,30.74,30.74,30.1,30.469999,18.276381,173000
2012-05-11,30.139999,30.59,30.120001,30.33,18.192408,105300
2012-05-14,30.040001,30.35,29.85,30.25,18.144419,227100
2012-05-15,30.15,30.34,29.969999,30.200001,18.114426,143000
2012-05-16,30.25,30.469999,29.950001,29.959999,17.970476,133900
2012-05-17,29.969999,30.059999,29.5,29.530001,17.712561,222200
2012-05-18,29.51,29.709999,28.9,28.93,17.352667,384600
