Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,1.48,1.56,1.48,1.56,1.56,52600
2012-02-07,1.58,1.68,1.58,1.68,1.68,9400
2012-02-08,1.69,1.79,1.67,1.75,1.75,61800
2012-02-09,1.78,1.83,1.77,1.83,1.83,44500
2012-02-10,1.8,1.82,1.79,1.82,1.82,12800
2012-02-13,1.84,1.85,1.81,1.83,1.83,14300
2012-02-14,1.8,1.85,1.78,1.84,1.84,12400
2012-02-15,1.77,1.82,1.76,1.81,1.81,18400
2012-02-16,1.8,1.89,1.75,1.89,1.89,31000
2012-02-17,1.9,1.96,1.9,1.93,1.93,68600
2012-02-21,1.93,1.94,1.81,1.88,1.88,10300
2012-02-22,1.88,1.88,1.79,1.87,1.87,20400
2012-02-23,1.8,1.89,1.79,1.79,1.79,20000
2012-02-24,1.72,1.72,1.38,1.49,1.49,174500
2012-02-27,1.72,1.72,1.51,1.63,1.63,13300
2012-02-28,1.63,1.7,1.6,1.7,1.7,11000
2012-02-29,1.6,1.63,1.58,1.58,1.58,1100
2012-03-01,1.66,1.72,1.65,1.65,1.65,17900
2012-03-02,1.68,1.68,1.59,1.65,1.65,3200
2012-03-05,1.65,1.69,1.64,1.67,1.67,27500
2012-03-06,1.61,1.62,1.54,1.6,1.6,46400
2012-03-07,1.6,1.68,1.6,1.68,1.68,1100
2012-03-08,1.64,1.66,1.64,1.66,1.66,11500
2012-03-09,1.68,1.74,1.67,1.74,1.74,24100
2012-03-12,1.75,1.79,1.71,1.76,1.76,17900
2012-03-13,1.71,1.84,1.71,1.84,1.84,15600
2012-03-14,1.82,1.86,1.71,1.85,1.85,8700
2012-03-15,1.8,1.85,1.77,1.82,1.82,3800
2012-03-16,1.8,1.8,1.69,1.8,1.8,2200
2012-03-19,1.78,1.8,1.64,1.74,1.74,4400
2012-03-20,1.74,1.81,1.65,1.72,1.72,2000
2012-03-21,1.76,1.79,1.75,1.75,1.75,2200
2012-03-22,1.75,1.75,1.7,1.7,1.7,300
2012-03-23,1.73,1.76,1.7,1.7,1.7,3200
2012-03-26,1.7,1.8,1.7,1.7,1.7,2200
2012-03-27,1.75,1.79,1.75,1.78,1.78,28100
2012-03-28,1.81,1.81,1.7,1.75,1.75,5400
2012-03-29,1.75,1.8,1.75,1.8,1.8,3800
2012-03-30,1.81,1.81,1.76,1.79,1.79,28000
2012-04-02,1.75,1.77,1.75,1.75,1.75,37700
2012-04-03,1.75,1.75,1.73,1.73,1.73,20400
2012-04-04,1.73,1.75,1.73,1.75,1.75,28800
2012-04-05,1.75,1.81,1.75,1.81,1.81,4900
2012-04-09,1.81,1.81,1.75,1.79,1.79,5700
2012-04-10,1.8,1.82,1.76,1.81,1.81,17500
2012-04-11,1.81,1.86,1.75,1.86,1.86,57500
2012-04-12,1.83,1.89,1.78,1.89,1.89,14000
2012-04-13,1.85,1.89,1.8,1.87,1.87,10800
2012-04-16,1.84,1.94,1.84,1.94,1.94,4100
2012-04-17,1.96,2.02,1.94,1.99,1.99,24800
2012-04-18,2.0,2.04,2.0,2.0,2.0,6700
2012-04-19,1.97,2.04,1.84,1.95,1.95,10200
2012-04-20,1.95,2.02,1.91,1.99,1.99,3700
2012-04-23,1.95,2.02,1.95,2.0,2.0,5200
2012-04-24,2.01,2.02,2.0,2.02,2.02,6000
2012-04-25,2.0,2.08,2.0,2.08,2.08,5800
2012-04-26,2.04,2.08,2.0,2.08,2.08,8100
2012-04-27,2.09,2.09,1.98,1.98,1.98,2300
2012-04-30,2.02,2.1,2.02,2.04,2.04,9300
2012-05-01,2.05,2.1,2.01,2.1,2.1,13000
2012-05-02,2.09,2.1,2.04,2.1,2.1,7200
2012-05-03,2.1,2.15,2.1,2.12,2.12,29000
2012-05-04,2.12,2.23,2.07,2.17,2.17,14900
2012-05-07,2.2,2.23,2.07,2.22,2.22,27300
2012-05-08,2.22,2.27,2.21,2.25,2.25,55700
2012-05-09,2.21,2.36,2.13,2.29,2.29,30100
2012-05-10,2.36,2.44,2.33,2.43,2.43,21000
2012-05-11,2.46,2.49,2.46,2.47,2.47,43300
2012-05-14,2.4,2.69,2.36,2.59,2.59,35000
2012-05-15,2.61,2.61,2.45,2.61,2.61,22800
2012-05-16,2.65,3.0,2.65,2.89,2.89,87000
2012-05-17,2.9,2.9,2.35,2.53,2.53,62700
2012-05-18,2.48,2.53,2.35,2.42,2.42,20000
2012-05-21,2.42,2.63,2.39,2.58,2.58,5400
2012-05-22,2.55,2.73,2.47,2.73,2.73,15600
2012-05-23,2.65,2.7,2.6,2.67,2.67,19700
2012-05-24,2.62,2.69,2.62,2.68,2.68,4200
2012-05-25,2.59,2.64,2.5,2.61,2.61,10800
2012-05-29,2.51,2.69,2.51,2.66,2.66,9200
2012-05-30,2.61,2.68,2.5,2.55,2.55,10100
2012-05-31,2.59,2.7,2.5,2.59,2.59,16900
2012-06-01,2.51,2.65,2.45,2.49,2.49,25800
2012-06-04,2.45,2.65,2.42,2.5,2.5,9400
2012-06-05,2.53,2.57,2.37,2.57,2.57,8400
2012-06-06,2.55,2.7,2.55,2.7,2.7,27400
2012-06-07,2.7,2.7,2.51,2.7,2.7,15400
2012-06-08,2.65,2.9,2.46,2.89,2.89,60800
2012-06-11,2.9,2.94,2.75,2.84,2.84,72100
2012-06-12,2.89,2.93,2.76,2.89,2.89,21800
2012-06-13,2.88,2.93,2.7,2.93,2.93,49200
2012-06-14,2.92,2.94,2.81,2.91,2.91,78800
2012-06-15,2.91,2.92,2.83,2.85,2.85,47600
2012-06-18,2.87,2.95,2.83,2.92,2.92,107100
2012-06-19,2.92,2.95,2.85,2.95,2.95,64400
2012-06-20,2.95,2.95,2.76,2.93,2.93,125700
2012-06-21,2.81,2.95,2.81,2.94,2.94,134300
2012-06-22,2.83,3.05,2.83,2.96,2.96,2336800
2012-06-25,2.9,2.96,2.61,2.62,2.62,73700
2012-06-26,2.65,2.72,2.5,2.57,2.57,30300
2012-06-27,2.6,2.97,2.6,2.83,2.83,46800
2012-06-28,2.82,2.99,2.7,2.97,2.97,45200
2012-06-29,3.0,3.05,2.66,3.03,3.03,64100
2012-07-02,2.93,3.2,2.75,3.17,3.17,71000
2012-07-03,3.26,3.29,3.17,3.2,3.2,120100
2012-07-05,3.2,3.2,2.99,3.12,3.12,44300
2012-07-06,3.08,3.18,3.06,3.14,3.14,50000
2012-07-09,3.15,3.29,3.15,3.29,3.29,76400
2012-07-10,3.3,3.3,3.22,3.25,3.25,92500
2012-07-11,3.27,3.35,3.25,3.34,3.34,30500
2012-07-12,3.34,3.34,3.05,3.22,3.22,41500
2012-07-13,3.18,3.32,3.0,3.15,3.15,39000
2012-07-16,3.15,3.16,3.09,3.14,3.14,14200
