Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,25.219999,25.280001,25.08,25.110001,17.896572,226000
2012-02-07,25.110001,25.25,25.049999,25.129999,17.910828,632500
2012-02-08,25.200001,25.299999,25.02,25.24,17.989225,254500
2012-02-09,25.280001,25.35,25.059999,25.08,17.875191,315100
2012-02-10,24.92,25.15,24.92,25.120001,17.903708,325200
2012-02-13,25.280001,25.32,25.030001,25.08,17.875191,261000
2012-02-14,25.01,25.139999,24.870001,24.969999,17.796795,362800
2012-02-15,24.98,25.07,24.639999,24.84,17.704138,719100
2012-02-16,24.889999,25.27,24.860001,25.27,18.010612,584900
2012-02-17,25.219999,25.360001,25.139999,25.139999,17.917957,249800
2012-02-21,25.129999,25.24,24.99,25.139999,17.917957,467900
2012-02-22,25.16,25.16,24.83,24.92,17.761152,482700
2012-02-23,24.940001,25.08,24.870001,24.969999,17.796795,577200
2012-02-24,24.940001,25.120001,24.67,24.75,17.639996,982400
2012-02-27,24.65,25.01,24.65,24.969999,17.796795,675100
2012-02-28,25.01,25.01,24.67,24.709999,17.611485,538800
2012-02-29,24.799999,24.92,24.540001,24.639999,17.561588,479400
2012-03-01,24.67,24.82,24.559999,24.58,17.518833,430700
2012-03-02,24.540001,24.65,24.41,24.5,17.461811,424400
2012-03-05,24.41,24.629999,24.33,24.629999,17.554468,347900
2012-03-06,24.559999,24.6,24.41,24.469999,17.440428,499900
2012-03-07,24.549999,24.75,24.370001,24.74,17.632866,541500
2012-03-08,24.83,24.889999,24.66,24.83,17.69701,302900
2012-03-09,24.809999,25.129999,24.74,25.08,17.875191,437000
2012-03-12,25.139999,25.33,25.1,25.27,18.010612,294100
2012-03-13,25.379999,25.440001,25.23,25.440001,18.131775,438800
2012-03-14,25.379999,25.469999,24.940001,25.02,17.83243,373600
2012-03-15,25.02,25.09,24.799999,24.950001,17.782534,458800
2012-03-16,24.99,25.02,24.809999,24.91,17.754032,618000
2012-03-19,24.940001,25.030001,24.780001,24.780001,17.661373,506700
2012-03-20,24.73,24.91,24.709999,24.879999,17.732643,381400
2012-03-21,24.92,24.99,24.75,24.809999,17.682758,497300
2012-03-22,24.440001,24.6,24.290001,24.48,17.635927,585700
2012-03-23,24.43,24.639999,24.389999,24.620001,17.736784,406800
2012-03-26,24.77,24.91,24.66,24.83,17.888073,421200
2012-03-27,24.83,24.969999,24.700001,24.9,17.938507,385400
2012-03-28,24.93,24.98,24.66,24.790001,17.859259,382600
2012-03-29,24.67,24.959999,24.57,24.92,17.952911,448600
2012-03-30,24.98,25.059999,24.91,24.98,17.996136,371800
2012-04-02,25.0,25.27,24.889999,25.139999,18.111408,412900
2012-04-03,25.15,25.25,24.969999,25.17,18.133024,449300
2012-04-04,25.059999,25.209999,25.030001,25.07,18.060978,492300
2012-04-05,24.99,25.01,24.709999,24.780001,17.852053,311200
