Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.53,7.6,7.5,7.6,6.84699,1600
2012-02-07,7.61,7.61,7.59,7.59,6.837982,400
2012-02-08,7.59,7.59,7.34,7.55,6.801945,900
2012-02-09,7.6,7.6,7.45,7.58,6.828972,2800
2012-02-10,7.47,7.58,7.17,7.24,6.522658,4000
2012-02-13,7.37,7.41,7.32,7.34,6.612751,17500
2012-02-14,7.24,7.57,7.24,7.57,6.819963,13400
2012-02-15,7.59,7.6,7.35,7.6,6.84699,22600
2012-02-16,7.39,7.71,7.39,7.61,6.855999,24900
2012-02-17,7.4,7.59,7.4,7.51,6.765908,2800
2012-02-21,7.57,7.6,7.3,7.4,6.666807,13900
2012-02-22,7.4,7.44,7.15,7.42,6.684825,23700
2012-02-23,7.4,7.49,7.3,7.49,6.74789,14500
2012-02-24,7.56,7.56,7.47,7.53,6.783927,6000
2012-02-27,7.53,7.53,7.4,7.41,6.675816,5600
2012-02-28,7.44,7.54,7.4,7.49,6.74789,18100
2012-02-29,7.46,7.59,7.46,7.51,6.765908,8200
2012-03-01,7.59,7.59,7.49,7.59,6.837982,7900
2012-03-02,7.5,7.5,7.5,7.5,6.756898,300
2012-03-05,7.58,7.59,7.35,7.52,6.774917,13900
2012-03-06,7.42,7.59,7.4,7.57,6.819963,6200
2012-03-07,7.59,7.6,7.51,7.59,6.837982,33300
2012-03-08,7.59,7.9,7.56,7.75,6.982129,53600
2012-03-09,7.75,7.87,7.73,7.75,6.982129,30900
2012-03-12,7.75,7.9,7.72,7.81,7.036184,6600
2012-03-13,7.75,8.05,7.75,8.01,7.216367,24200
2012-03-14,8.09,8.2,7.95,8.18,7.369524,12200
2012-03-15,8.19,8.29,7.96,8.2,7.387542,10500
2012-03-16,8.14,8.35,8.1,8.19,7.378533,9200
2012-03-19,8.18,8.32,7.85,8.15,7.342496,4300
2012-03-20,8.14,8.15,8.0,8.1,7.297451,8800
2012-03-21,8.18,8.2,8.1,8.15,7.342496,1600
2012-03-22,8.1,8.1,8.05,8.1,7.297451,2300
2012-03-23,8.15,8.16,8.1,8.1,7.297451,5800
2012-03-26,8.0,8.15,7.96,8.08,7.279431,10100
2012-03-27,8.13,8.13,8.0,8.1,7.297451,12100
2012-03-28,8.09,8.25,7.95,8.25,7.432588,15200
2012-03-29,8.1,8.25,7.8,8.07,7.270422,11200
2012-03-30,7.95,8.12,7.8,8.0,7.207358,7400
2012-04-02,7.86,8.1,7.71,7.83,7.054202,9000
2012-04-03,7.93,8.1,7.89,8.1,7.297451,6300
2012-04-04,8.0,8.09,8.0,8.06,7.261414,10000
2012-04-05,8.0,8.0,8.0,8.0,7.207358,1200
2012-04-09,8.0,8.1,8.0,8.0,7.207358,4500
2012-04-10,8.03,8.08,7.9,8.03,7.234386,10400
2012-04-11,8.01,8.1,7.95,8.05,7.252404,15000
2012-04-12,7.97,8.19,7.53,8.11,7.306459,7800
2012-04-13,8.02,8.1,8.0,8.1,7.297451,11200
2012-04-16,8.15,8.15,7.97,8.08,7.279431,3500
2012-04-17,8.05,8.08,7.95,8.05,7.252404,54300
