Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.0,12.04,11.82,12.0,12.0,72500
2012-02-07,12.0,12.0,11.86,11.88,11.88,57000
2012-02-08,11.93,12.19,11.89,12.03,12.03,112600
2012-02-09,12.09,12.09,11.84,11.92,11.92,93200
2012-02-10,11.76,11.94,11.76,11.86,11.86,66200
2012-02-13,11.96,12.48,11.91,12.41,12.41,133300
2012-02-14,12.37,12.38,12.03,12.25,12.25,81900
2012-02-15,12.37,12.38,12.04,12.13,12.13,83300
2012-02-16,12.1,12.59,12.0,12.58,12.58,126200
2012-02-17,12.6,12.74,12.42,12.65,12.65,106600
2012-02-21,12.65,12.7,12.24,12.26,12.26,80200
2012-02-22,12.24,12.27,11.8,11.8,11.8,84300
2012-02-23,11.85,12.12,11.53,12.1,12.1,82800
2012-02-24,12.14,12.22,11.97,12.16,12.16,59900
2012-02-27,11.99,12.17,11.71,12.06,12.06,52800
2012-02-28,12.06,12.18,11.91,12.13,12.13,79600
2012-02-29,12.19,12.2,11.88,12.08,12.08,124800
2012-03-01,12.19,12.43,11.89,12.05,12.05,251000
2012-03-02,12.1,12.37,11.67,11.9,11.9,134000
2012-03-05,11.84,12.04,11.84,12.04,12.04,86900
2012-03-06,11.86,11.98,11.59,11.65,11.65,103200
2012-03-07,11.63,12.19,11.63,12.14,12.14,135700
2012-03-08,12.22,12.43,12.02,12.37,12.37,147800
2012-03-09,12.34,12.8,12.24,12.4,12.4,138600
2012-03-12,12.38,12.57,12.09,12.24,12.24,65000
2012-03-13,12.38,12.47,12.17,12.45,12.45,78000
2012-03-14,12.39,12.45,12.13,12.21,12.21,47300
2012-03-15,12.26,12.31,12.12,12.25,12.25,52800
2012-03-16,12.3,12.38,12.16,12.27,12.27,194000
2012-03-19,12.21,12.74,12.03,12.55,12.55,108000
2012-03-20,12.45,12.49,12.2,12.28,12.28,47300
2012-03-21,12.35,12.43,12.26,12.27,12.27,45400
2012-03-22,12.05,12.31,12.03,12.18,12.18,52100
2012-03-23,12.2,12.37,11.95,12.35,12.35,78300
2012-03-26,12.51,12.8,12.51,12.75,12.75,96500
2012-03-27,12.7,12.7,12.25,12.27,12.27,72500
2012-03-28,12.26,12.3,12.04,12.11,12.11,48200
2012-03-29,12.0,12.5,12.0,12.4,12.4,67500
2012-03-30,12.54,12.54,11.99,12.01,12.01,67700
2012-04-02,11.91,12.22,11.81,12.2,12.2,62600
2012-04-03,12.2,12.26,11.94,12.08,12.08,134200
2012-04-04,11.92,12.01,11.86,11.96,11.96,95900
2012-04-05,11.87,12.09,11.76,12.02,12.02,95800
2012-04-09,11.71,11.97,11.68,11.7,11.7,101500
2012-04-10,11.7,11.7,11.06,11.19,11.19,153300
2012-04-11,11.35,11.49,11.23,11.44,11.44,93300
2012-04-12,11.45,11.85,11.45,11.76,11.76,74700
2012-04-13,11.67,11.67,11.34,11.44,11.44,62900
2012-04-16,11.49,11.95,11.27,11.9,11.9,154900
2012-04-17,12.04,12.23,11.98,12.07,12.07,70100
2012-04-18,11.95,11.97,11.7,11.8,11.8,77800
2012-04-19,11.85,12.11,11.85,12.05,12.05,119000
2012-04-20,12.29,12.54,12.05,12.17,12.17,140600
2012-04-23,11.9,12.19,11.9,12.1,12.1,132300
2012-04-24,12.08,12.4,12.08,12.15,12.15,104200
2012-04-25,12.38,12.48,12.12,12.25,12.25,56800
2012-04-26,12.23,12.42,12.05,12.34,12.34,74500
2012-04-27,12.3,12.48,12.16,12.34,12.34,91100
2012-04-30,12.26,12.26,11.94,12.01,12.01,78000
2012-05-01,11.99,12.2,11.98,12.0,12.0,78000
2012-05-02,11.85,12.67,11.83,12.56,12.56,146700
2012-05-03,12.5,12.69,12.31,12.49,12.49,192600
2012-05-04,12.37,12.95,11.8,11.8,11.8,192100
2012-05-07,11.77,12.05,11.75,12.01,12.01,108000
2012-05-08,11.86,12.15,11.82,12.07,12.07,72300
2012-05-09,11.95,12.12,11.75,12.01,12.01,96000
2012-05-10,12.16,12.2,12.02,12.08,12.08,46000
2012-05-11,11.93,12.2,11.85,11.98,11.98,49900
2012-05-14,11.78,12.03,11.7,11.84,11.84,82400
2012-05-15,11.9,12.43,11.9,12.39,12.39,90000
2012-05-16,12.44,12.47,12.25,12.39,12.39,54300
2012-05-17,12.38,12.4,12.19,12.19,12.19,81300
2012-05-18,12.19,12.28,11.86,11.96,11.96,121200
2012-05-21,12.06,12.16,11.83,12.12,12.12,68000
2012-05-22,12.02,12.14,11.44,11.58,11.58,110000
2012-05-23,11.41,11.71,11.08,11.66,11.66,63000
2012-05-24,11.7,11.83,11.0,11.47,11.47,50100
2012-05-25,11.47,11.7,11.42,11.57,11.57,62600
2012-05-29,11.64,11.67,11.43,11.64,11.64,31600
2012-05-30,11.52,11.55,11.23,11.5,11.5,41100
2012-05-31,11.48,11.48,11.15,11.33,11.33,90700
2012-06-01,11.0,11.33,10.95,11.29,11.29,75400
2012-06-04,11.32,11.63,11.14,11.4,11.4,102000
2012-06-05,11.37,11.47,11.06,11.15,11.15,69600
2012-06-06,11.28,11.34,11.08,11.15,11.15,116500
2012-06-07,11.38,11.39,10.83,10.89,10.89,155700
2012-06-08,10.9,11.28,10.8,11.11,11.11,147200
2012-06-11,11.22,11.28,11.07,11.12,11.12,197100
2012-06-12,11.16,11.48,11.1,11.39,11.39,155400
2012-06-13,11.39,11.57,11.2,11.32,11.32,115200
2012-06-14,11.3,11.64,11.3,11.5,11.5,287600
2012-06-15,11.4,11.68,11.38,11.66,11.66,243500
2012-06-18,11.51,11.57,11.37,11.38,11.38,126700
2012-06-19,11.42,11.8,11.42,11.6,11.6,118500
2012-06-20,11.63,11.63,11.1,11.25,11.25,128300
2012-06-21,11.21,11.3,10.85,11.03,11.03,123700
2012-06-22,11.12,11.35,10.95,11.15,11.15,1301200
2012-06-25,10.98,11.1,10.88,10.96,10.96,122300
2012-06-26,10.97,11.08,10.85,10.95,10.95,96200
2012-06-27,10.99,11.24,10.97,11.04,11.04,136000
2012-06-28,10.91,11.03,10.62,10.83,10.83,117700
2012-06-29,11.09,11.27,11.09,11.23,11.23,222500
2012-07-02,11.3,11.59,11.18,11.59,11.59,167000
2012-07-03,11.69,11.98,11.59,11.98,11.98,146200
2012-07-05,11.95,12.03,11.8,11.83,11.83,170800
2012-07-06,11.65,11.82,11.46,11.6,11.6,87300
2012-07-09,11.5,11.57,10.99,11.03,11.03,379500
2012-07-10,11.1,11.39,11.0,11.34,11.34,243000
2012-07-11,11.34,12.01,11.34,11.95,11.95,164000
2012-07-12,11.87,12.0,11.44,11.98,11.98,162300
2012-07-13,11.98,12.1,11.79,12.1,12.1,122400
2012-07-16,12.04,12.15,12.03,12.12,12.12,219700
2012-07-17,12.17,12.3,12.09,12.28,12.28,233200
2012-07-18,12.23,12.57,12.15,12.56,12.56,122900
2012-07-19,12.56,12.7,12.43,12.52,12.52,120600
2012-07-20,12.36,12.53,12.32,12.48,12.48,174000
2012-07-23,12.26,12.27,12.05,12.14,12.14,99300
2012-07-24,12.23,12.53,12.06,12.38,12.38,625600
2012-07-25,12.51,12.66,12.49,12.53,12.53,220800
2012-07-26,12.7,12.94,12.61,12.85,12.85,304100
2012-07-27,12.85,13.08,12.84,13.02,13.02,187900
2012-07-30,13.0,13.3,12.97,13.14,13.14,462300
2012-07-31,13.15,13.54,13.15,13.29,13.29,367800
2012-08-01,13.33,13.33,12.65,12.65,12.65,182500
2012-08-02,13.1,13.1,12.47,12.51,12.51,522700
2012-08-03,12.55,12.74,12.3,12.63,12.63,163800
2012-08-06,12.6,12.6,12.04,12.19,12.19,210400
2012-08-07,12.29,12.4,12.03,12.08,12.08,172500
2012-08-08,11.99,12.0,11.69,11.79,11.79,117500
2012-08-09,11.76,11.76,11.55,11.59,11.59,146100
