Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.09,7.1,7.01,7.1,5.930744,250800
2012-02-07,7.1,7.31,7.05,7.3,6.097808,346500
2012-02-08,7.34,7.34,7.14,7.15,5.972509,322100
2012-02-09,7.15,7.27,7.06,7.11,5.939097,395700
2012-02-10,7.08,7.08,6.95,6.97,5.822153,203800
2012-02-13,6.96,7.05,6.83,6.86,5.730267,332400
2012-02-14,6.85,6.94,6.77,6.81,5.688502,320100
2012-02-15,6.84,6.98,6.78,6.8,5.680151,212500
2012-02-16,6.82,6.89,6.77,6.82,5.696855,144100
2012-02-17,6.44,6.7,6.01,6.54,5.462968,2392800
2012-02-21,6.55,6.75,6.5,6.58,5.49638,645700
2012-02-22,6.57,6.73,6.51,6.69,5.588265,457800
2012-02-23,6.66,6.79,6.59,6.72,5.613323,192500
2012-02-24,6.75,6.77,6.63,6.66,5.563206,163200
2012-02-27,6.62,6.67,6.52,6.55,5.471321,276800
2012-02-28,6.57,6.65,6.47,6.57,5.488026,238700
2012-02-29,6.57,6.65,6.52,6.56,5.479674,244500
2012-03-01,6.55,6.63,6.49,6.62,5.529791,490400
2012-03-02,6.59,6.61,6.5,6.5,5.429554,229400
2012-03-05,6.51,6.51,6.37,6.44,5.379436,163300
2012-03-06,6.37,6.37,6.28,6.33,5.287551,333300
2012-03-07,6.29,6.47,6.27,6.42,5.36273,168300
2012-03-08,6.45,6.5,6.38,6.45,5.387789,187900
2012-03-09,6.44,6.5,6.36,6.48,5.412848,460700
2012-03-12,6.48,6.49,6.39,6.41,5.354376,165500
2012-03-13,6.44,6.59,6.42,6.52,5.446262,162600
2012-03-14,6.5,6.57,6.39,6.48,5.412848,929300
2012-03-15,6.45,6.47,6.36,6.41,5.354376,166700
2012-03-16,6.43,6.55,6.42,6.52,5.446262,165500
2012-03-19,6.54,6.6,6.52,6.57,5.488026,120100
2012-03-20,6.56,6.6,6.44,6.51,5.437908,467700
2012-03-21,6.49,6.56,6.4,6.45,5.387789,626600
2012-03-22,6.4,6.52,6.4,6.51,5.437908,212000
2012-03-23,6.53,6.55,6.45,6.53,5.454613,367500
2012-03-26,6.57,6.64,6.57,6.61,5.52144,230500
2012-03-27,6.6,6.63,6.48,6.53,5.454613,200000
2012-03-28,6.54,6.54,6.42,6.45,5.387789,107400
2012-03-29,6.42,6.52,6.38,6.51,5.437908,164400
2012-03-30,6.56,6.62,6.49,6.59,5.504733,285100
2012-04-02,6.51,6.9,6.51,6.84,5.713562,535200
2012-04-03,6.83,6.83,6.57,6.71,5.60497,652800
2012-04-04,6.63,6.64,6.5,6.57,5.488026,258000
2012-04-05,6.59,6.6,6.51,6.53,5.454613,258500
2012-04-09,6.46,6.6,6.43,6.59,5.504733,156300
2012-04-10,6.56,6.56,6.35,6.37,5.320964,626100
2012-04-11,6.43,6.56,6.38,6.51,5.437908,218800
2012-04-12,6.5,6.55,6.4,6.5,5.429554,141100
2012-04-13,6.48,6.61,6.42,6.53,5.454613,116400
2012-04-16,6.53,6.57,6.44,6.48,5.412848,98700
2012-04-17,6.52,6.73,6.5,6.69,5.588265,227300
2012-04-18,6.7,6.7,6.5,6.57,5.488026,144900
2012-04-19,6.55,6.61,6.47,6.49,5.421202,254800
2012-04-20,6.55,6.62,6.54,6.58,5.49638,66200
2012-04-23,6.51,6.54,6.42,6.51,5.437908,127300
2012-04-24,6.51,6.61,6.48,6.6,5.513085,372800
2012-04-25,6.62,6.7,6.57,6.61,5.52144,249200
2012-04-26,6.61,6.73,6.59,6.69,5.588265,160800
