Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.27,5.33,4.81,5.23,3.214236,20900
2012-02-07,5.25,5.39,5.2,5.36,3.294132,10500
2012-02-08,5.35,5.75,5.22,5.69,3.496943,16400
2012-02-09,5.64,5.87,5.58,5.81,3.570691,12800
2012-02-10,5.75,5.99,5.74,5.81,3.570691,30000
2012-02-13,5.93,6.02,5.8,5.87,3.607566,57600
2012-02-14,5.87,5.95,5.77,5.79,3.5584,16000
2012-02-15,5.6,5.8,5.6,5.66,3.596526,5000
2012-02-16,5.69,5.82,5.69,5.75,3.653714,22900
2012-02-17,5.79,5.82,5.7,5.76,3.660069,31300
2012-02-21,5.82,5.86,5.62,5.85,3.717258,33600
2012-02-22,5.76,5.94,5.66,5.67,3.60288,14000
2012-02-23,5.67,5.87,5.62,5.75,3.653714,27800
2012-02-24,5.77,5.85,5.71,5.73,3.641006,19700
2012-02-27,5.7,5.71,5.47,5.49,3.488502,24300
2012-02-28,5.51,5.91,5.51,5.7,3.621943,19800
2012-02-29,5.7,5.78,5.12,5.14,3.266104,37600
2012-03-01,5.21,5.37,5.11,5.13,3.259749,19000
2012-03-02,5.13,5.28,4.86,4.9,3.1136,30800
2012-03-05,4.88,4.99,4.8,4.96,3.151726,15800
2012-03-06,4.89,4.96,4.89,4.9,3.1136,14400
2012-03-07,4.9,5.0,4.9,4.97,3.15808,10900
2012-03-08,5.0,5.07,4.9,5.02,3.189852,9500
2012-03-09,5.01,5.06,4.94,4.98,3.164435,13600
2012-03-12,4.94,5.09,4.94,5.04,3.202561,7500
2012-03-13,5.13,5.24,4.96,5.23,3.323292,14900
2012-03-14,5.26,5.26,5.1,5.19,3.297874,16400
2012-03-15,5.2,5.32,5.08,5.17,3.285166,11500
2012-03-16,5.18,5.36,5.15,5.31,3.374126,28700
2012-03-19,5.31,5.84,5.2,5.72,3.63465,12400
2012-03-20,5.7,5.7,5.61,5.67,3.60288,9600
2012-03-21,5.7,5.74,5.68,5.71,3.628298,3300
2012-03-22,5.67,5.85,5.61,5.79,3.679131,13700
2012-03-23,5.82,5.94,5.69,5.9,3.749028,10700
2012-03-26,5.98,6.3,5.83,6.26,3.977783,31900
2012-03-27,6.3,6.66,6.2,6.31,4.009555,26500
2012-03-28,6.36,6.36,5.97,6.13,3.895178,21700
2012-03-29,6.06,6.06,5.66,5.99,3.806216,14700
