Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,9.34,9.8,9.34,9.79,9.275838,3200
2012-02-07,9.6,9.6,9.24,9.43,8.934745,1900
2012-02-08,9.49,9.49,9.49,9.49,8.991594,100
2012-02-09,9.49,9.49,9.49,9.49,8.991594,0
2012-02-10,9.45,9.67,9.45,9.63,9.124243,800
2012-02-13,9.63,9.63,9.63,9.63,9.124243,0
2012-02-14,9.59,9.59,9.59,9.59,9.086341,100
2012-02-15,9.6,9.75,9.5,9.5,9.001069,2700
2012-02-16,9.71,9.75,9.71,9.74,9.228466,12000
2012-02-17,9.65,9.93,9.59,9.78,9.266365,1900
2012-02-21,9.7,9.93,9.7,9.85,9.332688,2600
2012-02-22,9.92,10.33,9.74,10.09,9.560084,6000
2012-02-23,10.18,10.25,10.18,10.25,9.71168,2900
2012-02-24,10.3,10.3,9.47,10.3,9.759054,600
2012-02-27,10.21,10.3,9.72,10.04,9.512709,4600
2012-02-28,10.04,10.04,10.04,10.04,9.512709,0
2012-02-29,10.09,10.31,9.91,9.91,9.389538,5700
2012-03-01,9.99,9.99,9.99,9.99,9.465335,500
2012-03-02,9.65,9.87,9.61,9.85,9.332688,1200
2012-03-05,9.64,9.83,9.64,9.66,9.152665,1700
2012-03-06,9.52,9.98,9.51,9.75,9.237938,700
2012-03-07,9.8,10.07,9.8,9.98,9.455857,2500
2012-03-08,10.04,10.04,10.04,10.04,9.512709,200
2012-03-09,10.04,10.04,10.04,10.04,9.512709,0
2012-03-12,9.97,10.01,9.97,10.01,9.484284,1100
2012-03-13,10.2,10.24,10.2,10.24,9.702207,300
2012-03-14,10.23,10.24,10.0,10.0,9.474813,2200
2012-03-15,10.18,10.45,10.17,10.4,9.853803,8900
2012-03-16,10.43,10.94,10.43,10.62,10.06225,3400
2012-03-19,10.85,11.09,10.85,10.97,10.393867,5900
2012-03-20,11.06,11.45,11.06,11.28,10.687584,1200
2012-03-21,11.44,11.75,10.88,11.52,10.914982,15700
2012-03-22,11.41,11.5,11.03,11.03,10.450711,2700
2012-03-23,11.17,12.0,11.17,12.0,11.36977,3600
2012-03-26,12.0,12.1,12.0,12.05,11.417145,2800
2012-03-27,12.1,12.26,12.05,12.15,11.511892,3400
2012-03-28,12.2,12.22,12.17,12.17,11.530844,2000
2012-03-29,12.2,12.2,12.17,12.17,11.530844,500
2012-03-30,12.23,12.45,12.0,12.2,11.559266,9200
2012-04-02,12.0,12.0,11.56,11.9,11.275023,5900
2012-04-03,11.8,11.8,11.77,11.77,11.151851,1600
2012-04-04,12.19,12.19,12.19,12.19,11.549795,500
2012-04-05,12.14,12.14,11.51,11.9,11.275023,29000
2012-04-09,11.81,11.89,11.5,11.89,11.265551,600
2012-04-10,11.69,11.69,11.69,11.69,11.076053,400
2012-04-11,11.79,11.79,11.1,11.13,10.545464,5000
2012-04-12,10.7,11.1,10.7,11.1,10.517038,700
2012-04-13,11.5,11.69,11.14,11.14,10.55494,3400
2012-04-16,11.04,11.7,11.0,11.5,10.896033,7000
2012-04-17,11.7,11.85,11.63,11.69,11.076053,1200
2012-04-18,11.69,11.69,11.69,11.69,11.076053,0
2012-04-19,11.69,11.69,11.69,11.69,11.076053,0
2012-04-20,11.69,11.69,11.69,11.69,11.076053,0
2012-04-23,11.5,11.52,11.1,11.52,10.914982,8100
2012-04-24,11.38,11.52,11.38,11.5,10.896033,2500
2012-04-25,11.63,11.63,11.63,11.63,11.019202,200
2012-04-26,11.65,11.94,11.65,11.94,11.312922,2000
2012-04-27,11.9,11.93,11.5,11.93,11.303447,1000
