Date,Open,High,Low,Close,Adj Close,Volume
2019-10-31,12.25,13.0,11.85,13.0,13.0,246700
2019-11-01,12.9,12.9,12.03,12.7,12.7,29600
2019-11-04,13.0,13.0,12.12,12.3,12.3,19900
2019-11-05,12.34,15.96,12.179,14.49,14.49,118800
2019-11-06,14.51,15.758,14.15,15.0,15.0,41800
2019-11-07,15.02,22.450001,14.208,22.27,22.27,75100
2019-11-08,23.57,42.0,23.030001,28.1,28.1,594100
2019-11-11,25.0,25.0,18.959999,19.6,19.6,123500
2019-11-12,19.35,23.709999,18.4,21.75,21.75,139600
2019-11-13,22.15,23.389999,19.5,20.379999,20.379999,63100
2019-11-14,20.615999,22.448,19.25,21.18,21.18,36800
2019-11-15,21.120001,25.34,18.974001,19.68,19.68,58100
2019-11-18,19.209999,19.9,16.49,17.790001,17.790001,70200
2019-11-19,17.42,18.299999,15.25,17.790001,17.790001,29600
2019-11-20,18.0,21.860001,17.719999,21.24,21.24,79400
2019-11-21,21.5,21.5,19.690001,20.700001,20.700001,21100
2019-11-22,20.77,21.056,19.785,20.49,20.49,19200
2019-11-25,21.200001,30.76,21.017,29.469999,29.469999,337300
2019-11-26,30.200001,30.25,24.379999,27.26,27.26,164200
2019-11-27,27.41,27.950001,25.285999,26.67,26.67,40600
2019-11-29,26.6,26.698,25.5,25.91,25.91,12600
2019-12-02,25.57,27.790001,21.191999,21.73,21.73,69500
2019-12-03,22.700001,25.261,22.0,24.950001,24.950001,67400
2019-12-04,27.99,31.464001,27.0,27.530001,27.530001,205100
2019-12-05,27.0,28.879999,26.0,26.200001,26.200001,72500
2019-12-06,26.49,27.736,24.162001,24.6,24.6,75100
2019-12-09,24.639999,26.6,24.139999,25.129999,25.129999,51000
2019-12-10,25.889999,26.236,24.26,24.73,24.73,60500
2019-12-11,24.76,25.5,22.870001,22.889999,22.889999,54500
2019-12-12,22.879999,24.607,21.0,21.68,21.68,100200
2019-12-13,21.65,23.940001,21.6,23.719999,23.719999,48000
2019-12-16,23.719999,25.440001,23.719999,24.76,24.76,70900
2019-12-17,24.17,24.49,22.48,23.0,23.0,79100
2019-12-18,22.98,24.4,21.799999,24.4,24.4,77000
2019-12-19,24.540001,25.190001,23.52,25.0,25.0,35800
2019-12-20,25.0,28.6,24.549999,27.42,27.42,303300
2019-12-23,27.9,35.900002,27.9,30.5,30.5,192600
2019-12-24,30.6,32.939999,30.5,30.780001,30.780001,30700
2019-12-26,31.236,32.0,26.17,26.77,26.77,78400
2019-12-27,27.209999,29.089001,26.809999,28.67,28.67,38800
2019-12-30,28.58,28.58,26.200001,26.58,26.58,39400
2019-12-31,26.379999,28.08,26.01,27.610001,27.610001,97600
2020-01-02,28.200001,29.99,27.663,29.889999,29.889999,54600
2020-01-03,29.950001,29.950001,27.6,29.58,29.58,51200
2020-01-06,29.27,31.209,27.787001,30.299999,30.299999,59200
2020-01-07,30.65,31.5,29.309999,30.9,30.9,57500
2020-01-08,30.24,30.700001,27.0,28.530001,28.530001,83000
2020-01-09,28.41,28.549999,26.580999,27.68,27.68,65800
2020-01-10,27.799999,28.861,26.6,28.18,28.18,59500
2020-01-13,28.23,29.684999,26.809999,28.35,28.35,98000
2020-01-14,28.299999,31.299999,27.02,31.290001,31.290001,52700
2020-01-15,31.23,37.259998,30.4,36.75,36.75,76000
2020-01-16,37.099998,47.095001,37.099998,46.959999,46.959999,184300
2020-01-17,47.02,49.060001,42.169998,47.389999,47.389999,125800
2020-01-21,47.25,47.702,42.23,44.700001,44.700001,87900
2020-01-22,44.939999,47.884998,43.749001,47.294998,47.294998,59700
2020-01-23,47.060001,47.556999,41.903,43.610001,43.610001,52800
2020-01-24,43.68,44.999001,41.32,42.009998,42.009998,28700
2020-01-27,41.02,49.200001,40.119999,48.860001,48.860001,53100
2020-01-28,50.279999,51.209999,44.549999,45.650002,45.650002,56700
2020-01-29,45.450001,46.240002,44.099998,45.189999,45.189999,44500
2020-01-30,44.75,46.490002,43.290001,44.66,44.66,35100
2020-01-31,43.459999,46.439999,43.25,44.290001,44.290001,20200
2020-02-03,44.0,44.495998,41.876999,43.049999,43.049999,22700
2020-02-04,42.52,44.994999,42.0,42.360001,42.360001,16500
2020-02-05,37.560001,40.0,31.17,32.0,32.0,144100
2020-02-06,34.16,34.549999,27.860001,33.610001,33.610001,106500
2020-02-07,31.15,31.4,29.775,30.01,30.01,1074900
2020-02-10,30.27,33.644001,30.0,31.290001,31.290001,135400
2020-02-11,32.380001,33.240002,30.129999,31.139999,31.139999,94800
2020-02-12,31.42,31.42,29.6,30.07,30.07,304200
2020-02-13,30.0,30.6,30.0,30.139999,30.139999,55300
2020-02-14,30.139999,30.785,30.0,30.27,30.27,66300
2020-02-18,30.299999,31.85,30.299999,31.139999,31.139999,78000
2020-02-19,31.280001,31.790001,30.629999,31.299999,31.299999,97200
2020-02-20,31.200001,31.629999,30.209999,31.139999,31.139999,66600
2020-02-21,30.940001,31.309999,29.950001,30.0,30.0,277200
2020-02-24,30.0,30.299999,27.969999,28.5,28.5,91200
2020-02-25,28.66,28.9,27.93,28.190001,28.190001,87800
2020-02-26,27.959999,28.4,23.450001,24.120001,24.120001,139000
2020-02-27,23.299999,24.115,20.51,21.59,21.59,108300
2020-02-28,20.48,21.49,18.5,19.77,19.77,155600
2020-03-02,19.870001,20.176001,17.165001,18.1,18.1,140300
2020-03-03,18.01,20.0,17.77,18.74,18.74,114300
2020-03-04,19.09,22.790001,18.805,22.26,22.26,193100
2020-03-05,21.889999,22.870001,20.5,21.17,21.17,88600
2020-03-06,20.459999,20.459999,18.6,19.42,19.42,133000
2020-03-09,18.5,19.709999,17.000999,19.5,19.5,106600
2020-03-10,19.870001,19.98,17.982,19.74,19.74,72600
2020-03-11,19.16,19.16,15.44,15.73,15.73,159500
2020-03-12,15.19,15.67,12.01,15.67,15.67,140500
2020-03-13,16.389999,18.879999,14.6,15.75,15.75,51500
2020-03-16,13.56,14.839,12.45,14.65,14.65,116300
2020-03-17,14.91,14.91,12.37,13.85,13.85,122600
2020-03-18,12.91,14.19,10.52,11.86,11.86,73800
2020-03-19,11.8,13.443,10.74,13.26,13.26,112500
2020-03-20,13.27,15.15,12.756,15.1,15.1,95700
2020-03-23,14.7,15.76,13.47,15.76,15.76,30000
2020-03-24,16.389999,18.950001,14.67,16.34,16.34,98300
2020-03-25,16.43,17.5,15.21,16.66,16.66,48500
2020-03-26,16.85,19.6,16.540001,19.18,19.18,55900
2020-03-27,18.59,20.535,17.500999,19.559999,19.559999,46900
2020-03-30,19.559999,19.92,17.549999,19.92,19.92,41200
2020-03-31,20.120001,21.74,19.059999,21.27,21.27,26900
2020-04-01,20.24,21.07,14.52,15.41,15.41,46400
2020-04-02,16.299999,19.41,16.264999,18.68,18.68,49400
2020-04-03,19.129999,20.846001,17.000999,17.690001,17.690001,32100
2020-04-06,18.309999,19.92,16.59,16.91,16.91,37500
2020-04-07,17.549999,18.01,15.65,15.65,15.65,31900
2020-04-08,16.4,17.295,15.64,16.51,16.51,23000
2020-04-09,17.639999,17.639999,16.18,17.190001,17.190001,22200
2020-04-13,17.5,17.66,16.290001,16.93,16.93,30200
2020-04-14,17.5,17.815001,16.58,17.24,17.24,37800
2020-04-15,16.83,16.83,14.86,15.2,15.2,58300
2020-04-16,15.2,16.799,14.793,16.15,16.15,43600
2020-04-17,16.15,16.15,15.16,15.9,15.9,25000
2020-04-20,15.42,16.27,15.08,16.040001,16.040001,24000
2020-04-21,15.891,17.639999,14.58,16.23,16.23,39200
2020-04-22,16.559999,17.555,16.205,17.1,17.1,39700
2020-04-23,17.48,17.48,15.49,16.18,16.18,39300
2020-04-24,16.34,16.665001,14.956,16.139999,16.139999,19800
2020-04-27,16.4,17.25,15.65,16.719999,16.719999,38700
2020-04-28,17.4,17.416,16.0,16.120001,16.120001,19700
2020-04-29,16.49,16.49,15.63,15.74,15.74,53400
2020-04-30,16.440001,16.440001,14.72,15.19,15.19,76500
2020-05-01,14.75,14.812,13.355,14.16,14.16,52000
2020-05-04,14.07,15.0,14.04,14.75,14.75,42300
2020-05-05,14.23,15.31,14.23,14.96,14.96,127500
2020-05-06,14.75,15.9,14.75,15.41,15.41,114900
2020-05-07,15.74,15.88,15.11,15.64,15.64,80300
2020-05-08,15.8,17.85,15.64,15.99,15.99,126900
2020-05-11,16.09,16.695,15.615,15.65,15.65,113600
2020-05-12,15.7,16.41,15.46,15.46,15.46,125200
2020-05-13,15.26,15.39,14.62,15.03,15.03,79900
2020-05-14,14.61,15.0,14.17,14.62,14.62,80900
2020-05-15,14.09,15.8,14.09,15.58,15.58,78900
2020-05-18,15.88,16.780001,15.6,16.049999,16.049999,195700
2020-05-19,16.92,18.42,16.52,17.07,17.07,216700
2020-05-20,17.459999,18.0,16.809999,17.92,17.92,141600
2020-05-21,17.99,18.75,17.860001,18.040001,18.040001,62600
2020-05-22,17.93,18.129,16.200001,17.99,17.99,111600
2020-05-26,18.08,18.4,17.995001,18.1,18.1,269600
2020-05-27,18.18,18.25,16.959999,17.969999,17.969999,128800
2020-05-28,17.76,18.389999,17.395,17.85,17.85,131200
2020-05-29,17.74,18.49,17.34,18.280001,18.280001,113200
2020-06-01,18.5,20.549999,18.35,19.879999,19.879999,285400
2020-06-02,20.129999,20.59,19.575001,20.43,20.43,157200
2020-06-03,20.540001,20.91,18.02,18.469999,18.469999,138800
2020-06-04,18.07,19.030001,18.07,18.57,18.57,103600
2020-06-05,18.809999,21.014999,18.75,20.25,20.25,126800
2020-06-08,20.360001,21.395,19.73,21.16,21.16,158700
2020-06-09,21.280001,22.559999,20.530001,21.610001,21.610001,186500
2020-06-10,21.43,24.395,21.25,23.209999,23.209999,222600
2020-06-11,22.790001,22.965,20.122,21.24,21.24,111900
2020-06-12,21.309999,22.07,20.540001,21.52,21.52,79400
2020-06-15,20.950001,23.0,20.827,22.67,22.67,215500
2020-06-16,23.0,23.34,21.77,21.959999,21.959999,131900
2020-06-17,21.99,25.879999,21.99,25.389999,25.389999,214900
2020-06-18,25.440001,28.35,24.870001,28.27,28.27,216000
2020-06-19,28.469999,32.98,27.9,32.18,32.18,338100
2020-06-22,31.58,32.48,28.42,32.18,32.18,228000
2020-06-23,32.419998,33.540001,31.73,32.849998,32.849998,207900
2020-06-24,32.299999,33.459999,29.129999,29.24,29.24,199900
2020-06-25,29.450001,35.299999,29.34,32.18,32.18,251200
2020-06-26,31.77,32.439999,26.18,27.549999,27.549999,1494300
2020-06-29,27.469999,27.9,24.77,26.6,26.6,121300
2020-06-30,26.4,29.5,25.885,29.02,29.02,135800
2020-07-01,28.610001,29.440001,26.049999,27.74,27.74,96700
2020-07-02,28.610001,29.83,27.014999,28.049999,28.049999,104400
2020-07-06,28.07,28.93,27.0,27.290001,27.290001,117500
2020-07-07,27.07,27.58,26.690001,26.809999,26.809999,89200
2020-07-08,26.629999,27.870001,26.559999,27.299999,27.299999,82800
2020-07-09,27.440001,27.855,25.370001,26.49,26.49,77600
2020-07-10,26.48,27.370001,25.34,25.459999,25.459999,113500
2020-07-13,26.950001,29.34,26.027,27.549999,27.549999,311500
2020-07-14,27.49,30.43,27.190001,30.42,30.42,317000
2020-07-15,28.76,28.76,26.754999,27.01,27.01,401700
2020-07-16,28.07,28.296,26.719999,27.209999,27.209999,89900
2020-07-17,27.030001,27.533001,26.111,27.290001,27.290001,95300
2020-07-20,27.559999,28.58,27.33,28.41,28.41,139200
2020-07-21,28.5,28.959999,27.82,28.1,28.1,119900
2020-07-22,27.6,27.945,25.209999,25.709999,25.709999,105100
2020-07-23,25.450001,26.870001,24.99,25.209999,25.209999,70500
2020-07-24,25.26,26.621,21.870001,22.450001,22.450001,118600
2020-07-27,24.74,24.74,23.219999,23.4,23.4,85200
2020-07-28,23.540001,24.1,22.15,23.639999,23.639999,80300
2020-07-29,23.59,23.9,22.879999,23.26,23.26,34600
2020-07-30,23.01,23.040001,22.113001,22.780001,22.780001,36200
2020-07-31,23.030001,23.030001,21.261,21.6,21.6,143600
2020-08-03,21.540001,23.110001,21.07,22.950001,22.950001,112400
2020-08-04,22.6,23.186001,21.719999,22.17,22.17,111800
2020-08-05,22.290001,22.85,21.76,22.5,22.5,162600
2020-08-06,22.1,23.110001,21.85,22.98,22.98,89000
2020-08-07,23.01,24.27,22.76,23.83,23.83,243700
2020-08-10,24.0,24.674999,22.805,22.860001,22.860001,52100
2020-08-11,22.879999,23.299999,21.66,22.110001,22.110001,78500
