Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,34.029999,34.950001,34.029999,34.700001,27.233913,492500
2012-02-07,34.560001,34.869999,34.110001,34.82,27.328098,383100
2012-02-08,34.75,35.25,34.279999,34.849998,27.351637,536300
2012-02-09,34.82,34.959999,34.240002,34.619999,27.171124,353200
2012-02-10,34.330002,35.139999,33.779999,34.810001,27.320248,618500
2012-02-13,35.240002,35.470001,34.189999,35.330002,27.728367,404500
2012-02-14,35.060001,35.5,34.799999,35.459999,27.830391,330400
2012-02-15,35.610001,35.619999,34.630001,34.799999,27.312399,611900
2012-02-16,34.82,35.400002,34.700001,35.349998,27.744051,350900
2012-02-17,35.59,35.73,35.299999,35.57,27.916721,352000
2012-02-21,35.599998,35.82,34.959999,35.18,27.610632,388200
2012-02-22,34.93,35.240002,34.639999,34.900002,27.390882,684300
2012-02-23,35.02,35.740002,34.799999,35.549999,27.901024,600300
2012-02-24,35.43,36.369999,35.299999,36.349998,28.528894,580500
2012-02-27,35.93,36.57,35.860001,36.450001,28.607386,360800
2012-02-28,36.34,36.689999,36.09,36.330002,28.513206,687600
2012-02-29,36.34,36.43,35.419998,35.459999,27.830391,870800
2012-03-01,35.599998,36.139999,35.34,35.799999,28.097237,616900
2012-03-02,35.889999,36.299999,34.34,34.389999,26.99061,958200
2012-03-05,34.220001,34.900002,33.779999,34.209999,26.849339,811600
2012-03-06,33.779999,34.060001,33.009998,33.16,26.025265,916700
2012-03-07,33.32,33.73,33.009998,33.549999,26.331347,764200
2012-03-08,33.869999,34.52,33.650002,34.16,26.810102,797000
2012-03-09,34.139999,35.040001,33.439999,34.799999,27.312399,847800
2012-03-12,34.799999,34.889999,34.48,34.650002,27.194674,643400
2012-03-13,34.93,34.93,33.790001,34.139999,26.794405,960500
2012-03-14,34.049999,34.43,33.93,34.060001,26.731617,799100
2012-03-15,34.689999,34.689999,33.91,34.459999,27.045549,485300
2012-03-16,34.599998,34.720001,34.040001,34.060001,26.731617,1267000
2012-03-19,34.259998,35.189999,34.040001,34.990002,27.461521,623500
2012-03-20,34.75,35.360001,34.75,35.099998,27.547853,681200
2012-03-21,35.34,35.720001,35.209999,35.5,27.861782,662900
2012-03-22,35.220001,35.599998,34.91,35.41,27.791149,687300
2012-03-23,35.490002,35.599998,34.759998,35.419998,27.799,598900
2012-03-26,36.66,37.419998,35.82,37.310001,29.282347,956900
2012-03-27,38.310001,39.5,37.970001,38.389999,30.129967,1322000
2012-03-28,38.32,38.330002,37.470001,37.669998,29.564894,660000
2012-03-29,37.470001,38.290001,37.220001,38.139999,29.933762,731900
2012-03-30,38.259998,38.470001,37.68,37.75,29.627672,724300
2012-04-02,37.509998,38.27,37.259998,37.970001,29.927177,785200
2012-04-03,37.82,38.279999,37.73,38.119999,30.045408,375600
2012-04-04,37.779999,37.970001,37.490002,37.700001,29.714375,536000
2012-04-05,37.459999,37.740002,37.200001,37.259998,29.367573,592700
2012-04-09,36.630001,37.459999,36.360001,37.369999,29.454275,487400
2012-04-10,37.139999,37.18,36.32,36.41,28.697617,921700
2012-04-11,36.860001,36.860001,36.200001,36.540001,28.800083,618600
2012-04-12,36.48,37.360001,36.330002,37.27,29.375454,410400
2012-04-13,37.0,37.330002,36.48,36.970001,29.138996,400000
2012-04-16,36.84,37.549999,36.52,37.240002,29.351812,408500
2012-04-17,37.610001,38.330002,37.610001,37.889999,29.864126,621400
2012-04-18,37.669998,38.220001,37.209999,38.119999,30.045408,439000
2012-04-19,38.0,38.130001,36.720001,37.049999,29.202051,644300
2012-04-20,37.490002,37.490002,36.389999,36.759998,28.973478,1061300
2012-04-23,36.23,37.119999,35.880001,36.66,28.894665,735000
2012-04-24,37.59,38.380001,34.299999,35.080002,27.649343,2384100
2012-04-25,35.02,35.400002,34.540001,34.799999,27.42865,1038600
2012-04-26,34.599998,35.68,34.59,35.669998,28.114368,910200
2012-04-27,35.889999,35.889999,35.130001,35.209999,27.751801,1033100
2012-04-30,35.009998,35.009998,32.82,34.209999,26.963627,2353300
2012-05-01,34.380001,35.330002,34.27,34.509998,27.200083,872400
2012-05-02,34.349998,35.080002,34.189999,34.900002,27.507473,714400
2012-05-03,34.98,35.360001,34.459999,34.540001,27.223724,690500
2012-05-04,34.290001,34.75,34.099998,34.150002,26.916336,606300
2012-05-07,34.0,34.369999,33.75,33.869999,26.695642,466800
2012-05-08,33.580002,34.169998,33.32,33.77,26.616829,729100
2012-05-09,33.16,33.830002,33.07,33.57,26.459192,368000
2012-05-10,33.919998,34.189999,33.490002,33.919998,26.73506,570000
2012-05-11,33.580002,34.099998,33.330002,33.459999,26.372486,501600
2012-05-14,33.23,33.700001,32.860001,33.299999,26.246382,369900
2012-05-15,33.23,34.080002,33.099998,33.459999,26.372486,601200
2012-05-16,33.509998,34.189999,33.299999,33.34,26.277912,527300
2012-05-17,33.41,33.77,32.779999,32.84,25.88382,693000
2012-05-18,32.759998,33.34,32.400002,32.810001,25.860168,637700
2012-05-21,32.849998,33.220001,32.279999,33.18,26.1518,454600
2012-05-22,33.240002,33.82,33.080002,33.48,26.388256,329400
2012-05-23,33.049999,33.720001,32.900002,33.700001,26.561653,376000
2012-05-24,33.610001,33.66,33.099998,33.41,26.333082,432200
2012-05-25,33.389999,33.779999,33.389999,33.75,26.601065,269600
2012-05-29,34.0,34.380001,33.610001,34.360001,27.081852,315000
2012-05-30,33.950001,34.07,33.75,33.799999,26.640471,396400
2012-05-31,33.799999,33.900002,33.549999,33.669998,26.538006,744600
2012-06-01,33.07,33.689999,32.860001,33.27,26.222734,779200
2012-06-04,33.290001,33.57,32.91,33.16,26.136038,620200
2012-06-05,32.939999,33.549999,32.759998,33.5,26.404016,472400
2012-06-06,33.75,34.990002,33.75,34.650002,27.310425,464300
2012-06-07,34.970001,35.0,34.290001,34.369999,27.089731,467300
2012-06-08,34.130001,34.639999,34.060001,34.400002,27.11338,296700
2012-06-11,34.639999,34.700001,33.830002,33.860001,26.687763,329800
2012-06-12,34.049999,34.400002,33.73,34.34,27.066088,298400
2012-06-13,34.169998,34.639999,33.560001,33.650002,26.52224,466400
2012-06-14,33.630001,34.950001,33.59,34.740002,27.381361,494800
2012-06-15,34.720001,35.389999,34.68,35.259998,27.791216,716800
2012-06-18,35.099998,35.389999,34.580002,35.09,27.657217,325500
2012-06-19,35.25,35.990002,35.099998,35.349998,27.862148,417300
2012-06-20,35.349998,35.57,34.990002,35.130001,27.688753,201600
2012-06-21,35.130001,35.349998,33.68,33.830002,26.664118,575800
2012-06-22,33.93,33.950001,33.560001,33.610001,26.490717,553500
2012-06-25,33.23,33.400002,32.720001,32.740002,25.805006,344600
2012-06-26,32.68,32.950001,32.169998,32.610001,25.702541,401500
2012-06-27,32.580002,32.959999,31.98,32.82,25.868057,466300
2012-06-28,32.43,32.700001,31.959999,32.700001,25.899738,315800
2012-06-29,33.439999,34.049999,33.279999,33.709999,26.699699,567700
2012-07-02,33.66,34.259998,33.560001,33.880001,26.834351,466200
2012-07-03,33.779999,34.549999,33.779999,34.470001,27.301653,196500
2012-07-05,34.400002,35.509998,33.959999,35.060001,27.768959,315400
2012-07-06,34.740002,34.889999,34.470001,34.630001,27.428366,172600
2012-07-09,34.560001,34.73,34.200001,34.450001,27.285809,241900
2012-07-10,34.709999,35.07,34.209999,34.369999,27.222443,263300
2012-07-11,34.290001,34.290001,33.290001,33.380001,26.438332,496700
2012-07-12,33.130001,33.299999,32.619999,32.93,26.081907,585700
2012-07-13,33.0,33.450001,32.950001,33.389999,26.446243,488600
2012-07-16,33.400002,33.43,32.790001,33.23,26.319523,250300
2012-07-17,33.459999,33.790001,32.990002,33.259998,26.343275,290600
2012-07-18,33.220001,33.830002,33.110001,33.43,26.477926,423200
2012-07-19,33.59,33.98,33.360001,33.709999,26.699699,189000
2012-07-20,33.599998,33.709999,32.950001,33.080002,26.200712,290400
2012-07-23,32.66,32.950001,32.439999,32.740002,25.931423,625000
2012-07-24,32.93,34.93,32.310001,34.880001,27.626389,1302900
2012-07-25,35.139999,35.740002,34.169998,35.34,27.990723,578900
2012-07-26,35.959999,35.990002,35.41,35.799999,28.355062,406400
2012-07-27,35.950001,36.689999,35.91,36.529999,28.933256,552800
2012-07-30,36.57,36.799999,35.889999,36.18,28.656048,209600
2012-07-31,36.009998,36.220001,35.52,35.560001,28.164972,223400
2012-08-01,35.580002,36.0,34.939999,35.150002,27.840239,354600
2012-08-02,34.990002,35.810001,34.43,35.049999,27.761038,224200
2012-08-03,35.540001,36.360001,35.240002,36.349998,28.790686,355900
2012-08-06,36.400002,36.490002,35.669998,35.689999,28.267937,422100
2012-08-07,35.98,36.970001,35.98,36.75,29.107506,392300
2012-08-08,36.5,36.84,36.240002,36.490002,28.901571,193200
2012-08-09,36.490002,36.57,36.119999,36.209999,28.679802,192600
2012-08-10,36.099998,36.259998,35.549999,35.860001,28.402592,230300
2012-08-13,35.75,35.810001,35.43,35.73,28.299625,267700
2012-08-14,35.799999,36.130001,35.580002,35.689999,28.267937,165700
2012-08-15,35.560001,36.419998,35.349998,36.25,28.711487,192200
2012-08-16,36.169998,36.669998,35.939999,36.599998,28.988695,224700
2012-08-17,36.52,36.740002,36.18,36.700001,29.067904,222400
2012-08-20,36.73,36.759998,36.119999,36.59,28.980774,176900
2012-08-21,36.639999,36.950001,36.380001,36.75,29.107506,285500
2012-08-22,36.709999,36.970001,35.650002,36.700001,29.067904,177300
2012-08-23,36.700001,36.900002,36.419998,36.450001,28.869894,294600
2012-08-24,36.299999,36.419998,35.919998,36.310001,28.759005,500600
2012-08-27,36.41,36.599998,35.830002,35.919998,28.450111,195000
2012-08-28,35.709999,36.220001,35.709999,35.970001,28.489714,308200
2012-08-29,35.98,36.0,35.650002,35.869999,28.410509,253900
2012-08-30,35.650002,35.889999,35.150002,35.27,27.93528,321100
2012-08-31,35.419998,35.509998,34.84,35.279999,27.943205,279000
2012-09-04,35.369999,35.810001,34.740002,35.73,28.299625,326900
2012-09-05,35.950001,36.0,35.529999,35.77,28.331303,682400
2012-09-06,35.950001,36.0,35.5,35.91,28.44219,482400
2012-09-07,36.060001,36.220001,35.619999,35.669998,28.252102,283300
2012-09-10,35.580002,36.139999,35.48,35.950001,28.473875,426600
2012-09-11,35.889999,36.189999,35.68,36.09,28.584755,307900
2012-09-12,36.099998,36.490002,34.439999,36.439999,28.861975,242000
2012-09-13,36.560001,36.919998,36.009998,36.700001,29.067904,337100
2012-09-14,36.939999,37.630001,36.59,37.099998,29.384714,526000
2012-09-17,36.900002,37.040001,36.709999,36.919998,29.242151,255600
2012-09-18,37.049999,37.119999,36.689999,37.029999,29.329271,231800
2012-09-19,37.0,37.220001,36.68,36.970001,29.281748,282500
2012-09-20,36.709999,37.220001,36.380001,37.040001,29.337191,240500
2012-09-21,37.450001,37.810001,36.990002,37.0,29.305513,631300
2012-09-24,37.040001,37.240002,36.139999,36.169998,28.648121,340400
2012-09-25,36.18,36.830002,35.41,35.490002,28.109526,450100
2012-09-26,35.650002,35.84,35.419998,35.75,28.31546,326000
2012-09-27,35.619999,35.84,34.82,34.900002,27.766499,478000
2012-09-28,34.689999,35.220001,34.439999,35.040001,27.877884,327900
2012-10-01,35.169998,35.259998,34.18,34.189999,27.201618,603200
2012-10-02,34.32,34.509998,33.869999,34.279999,27.27322,446800
2012-10-03,34.310001,34.650002,34.130001,34.279999,27.27322,218700
2012-10-04,34.330002,35.650002,34.330002,35.16,27.973349,737600
2012-10-05,35.18,35.52,35.18,35.43,28.188168,449100
2012-10-08,35.279999,35.450001,35.110001,35.310001,28.092693,232500
2012-10-09,35.240002,35.389999,34.82,34.900002,27.766499,258400
2012-10-10,34.84,35.040001,34.57,34.650002,27.567598,171200
2012-10-11,34.849998,34.93,34.32,34.5,27.448254,364000
2012-10-12,34.41,34.790001,34.16,34.25,27.249361,197500
2012-10-15,34.25,34.549999,34.060001,34.490002,27.440306,220100
2012-10-16,34.57,34.970001,34.529999,34.75,27.647152,120800
2012-10-17,34.709999,34.790001,34.380001,34.650002,27.567598,312800
2012-10-18,34.639999,34.830002,34.310001,34.509998,27.456217,190800
2012-10-19,34.349998,34.349998,33.369999,33.68,26.795864,773400
2012-10-22,33.700001,33.709999,32.810001,33.400002,26.573092,478000
2012-10-23,32.0,34.459999,31.219999,33.860001,26.93907,1841900
2012-10-24,33.84,34.099998,32.779999,32.970001,26.230982,678200
2012-10-25,33.16,33.360001,33.0,33.209999,26.421934,476700
2012-10-26,33.310001,33.580002,32.650002,32.790001,26.087774,755900
2012-10-31,32.98,33.41,32.68,33.34,26.525358,311800
2012-11-01,33.34,34.990002,33.34,34.73,27.631243,655200
2012-11-02,34.869999,34.939999,34.509998,34.68,27.591457,398800
2012-11-05,34.75,34.959999,34.439999,34.75,27.647152,367100
2012-11-06,34.959999,35.130001,34.790001,34.959999,27.814234,314100
2012-11-07,34.650002,34.689999,34.0,34.439999,27.400518,502300
2012-11-08,34.48,34.610001,34.040001,34.490002,27.440306,545000
2012-11-09,34.259998,34.689999,33.759998,34.310001,27.297096,684900
2012-11-12,34.360001,34.43,33.830002,34.110001,27.137968,255300
2012-11-13,33.970001,34.869999,33.779999,34.09,27.122059,293900
2012-11-14,34.240002,34.240002,33.639999,34.130001,27.153889,402300
2012-11-15,34.099998,34.59,33.98,34.259998,27.257315,307700
2012-11-16,34.16,34.41,33.880001,34.400002,27.368696,553300
2012-11-19,34.639999,35.41,34.310001,35.209999,28.013134,352900
2012-11-20,35.040001,35.369999,34.459999,34.849998,27.726719,255100
2012-11-21,34.869999,35.0,34.189999,34.299999,27.289135,270600
2012-11-23,34.490002,35.049999,34.48,34.639999,27.559635,171000
2012-11-26,34.459999,34.82,33.709999,34.299999,27.289135,473800
2012-11-27,34.310001,34.779999,33.950001,34.450001,27.40848,315600
2012-11-28,34.209999,34.889999,33.799999,34.830002,27.71081,369200
2012-11-29,34.98,35.130001,34.080002,34.419998,27.384609,408400
2012-11-30,34.57,34.93,34.52,34.759998,27.655113,320600
2012-12-03,34.889999,35.439999,34.349998,34.619999,27.54373,270800
2012-12-04,34.700001,35.25,34.360001,35.049999,27.885839,311200
2012-12-05,35.110001,35.509998,34.779999,35.240002,28.036999,201000
2012-12-06,35.16,35.400002,34.919998,35.240002,28.036999,186400
2012-12-07,35.369999,35.560001,34.880001,35.400002,28.164299,289500
2012-12-10,34.91,35.540001,34.91,35.240002,28.036999,406800
2012-12-11,35.48,35.830002,35.400002,35.810001,28.490496,471100
2012-12-12,35.82,35.889999,35.209999,35.380001,28.148384,412800
2012-12-13,35.529999,35.939999,35.240002,35.32,28.100645,212600
2012-12-14,35.200001,35.52,34.950001,35.16,27.973349,199000
2012-12-17,35.299999,35.779999,35.220001,35.779999,28.466629,379400
2012-12-18,35.880001,36.439999,35.75,36.389999,28.951948,394800
2012-12-19,36.330002,36.73,35.959999,36.049999,28.681444,307400
2012-12-20,36.029999,36.240002,35.59,35.939999,28.593922,508800
2012-12-21,35.669998,35.669998,34.48,35.299999,28.08474,889500
2012-12-24,35.369999,35.369999,34.959999,35.110001,27.933575,118900
2012-12-26,35.25,35.369999,34.490002,34.66,27.575548,370800
2012-12-27,34.630001,34.77,33.700001,34.02,27.06637,425800
2012-12-28,33.93,34.099998,33.52,33.700001,26.811773,236200
2012-12-31,33.639999,34.389999,33.540001,34.360001,27.508287,322400
2013-01-02,35.139999,35.139999,34.52,35.099998,28.100725,593900
2013-01-03,35.049999,35.200001,34.490002,34.560001,27.668407,400600
2013-01-04,34.77,35.09,34.389999,34.860001,27.908588,341200
2013-01-07,34.59,34.98,34.09,34.43,27.564325,367800
2013-01-08,34.290001,34.599998,33.889999,34.02,27.236088,255600
2013-01-09,34.200001,34.369999,33.52,33.57,26.87582,333900
2013-01-10,33.77,33.77,32.93,33.439999,26.771738,660600
2013-01-11,33.57,33.880001,33.16,33.720001,26.995911,652400
2013-01-14,33.66,34.049999,33.23,34.029999,27.244089,475000
2013-01-15,33.740002,34.66,33.740002,34.400002,27.540319,750400
2013-01-16,34.389999,34.560001,34.23,34.25,27.420219,265500
2013-01-17,34.43,34.599998,34.139999,34.389999,27.532307,421800
2013-01-18,34.41,34.639999,34.279999,34.400002,27.540319,422200
2013-01-22,34.43,35.009998,34.290001,34.759998,27.828522,1204400
2013-01-23,34.799999,34.84,34.580002,34.66,27.748457,378600
2013-01-24,34.779999,35.549999,34.66,34.91,27.94861,881000
2013-01-25,34.950001,35.200001,34.650002,34.98,28.004654,675400
2013-01-28,34.91,35.540001,34.369999,35.43,28.36492,1381500
2013-01-29,34.740002,35.009998,33.919998,34.330002,27.484282,2553900
2013-01-30,34.18,35.790001,34.18,34.77,27.836529,1502500
2013-01-31,34.669998,35.98,34.43,35.68,28.565069,1337700
2013-02-01,35.740002,36.66,35.209999,36.220001,28.997385,1312700
2013-02-04,35.98,36.23,35.75,35.990002,28.81325,1217800
2013-02-05,36.049999,36.669998,35.990002,36.41,29.14949,689800
2013-02-06,36.16,36.810001,36.009998,36.650002,29.341642,546100
2013-02-07,36.860001,37.0,36.490002,36.82,29.477741,527700
2013-02-08,36.830002,37.41,36.830002,37.119999,29.717915,491100
2013-02-11,37.169998,37.639999,36.959999,37.439999,29.974104,800400
2013-02-12,37.380001,37.48,37.150002,37.279999,29.84601,1563000
2013-02-13,36.349998,37.599998,36.290001,37.560001,30.070179,1614700
2013-02-14,37.400002,37.650002,36.959999,37.560001,30.070179,695900
2013-02-15,37.779999,37.810001,37.330002,37.48,30.006132,809900
2013-02-19,37.549999,38.060001,37.27,37.900002,30.342381,630800
2013-02-20,37.84,37.900002,37.360001,37.389999,29.934078,613600
2013-02-21,37.41,37.740002,37.220001,37.27,29.838003,770600
2013-02-22,37.529999,37.759998,37.18,37.450001,29.982117,354300
2013-02-25,37.5,37.540001,36.490002,36.490002,29.213549,458000
2013-02-26,36.73,37.080002,35.959999,36.110001,28.909323,727500
2013-02-27,36.16,36.630001,35.950001,36.09,28.893312,993300
2013-02-28,36.169998,36.650002,35.939999,36.279999,29.045427,696900
2013-03-01,36.099998,36.529999,35.110001,36.48,29.205536,1594700
2013-03-04,36.34,37.290001,36.23,37.029999,29.645863,884200
2013-03-05,37.099998,37.73,37.099998,37.599998,30.102192,912500
2013-03-06,37.59,37.990002,37.34,37.57,30.078182,630500
2013-03-07,37.490002,37.919998,37.220001,37.540001,30.054159,481900
2013-03-08,37.869999,37.93,37.41,37.720001,30.198269,498200
2013-03-11,37.59,37.700001,37.369999,37.639999,30.134228,425600
2013-03-12,37.529999,37.630001,37.349998,37.5,30.022133,588600
2013-03-13,37.41,38.0,37.389999,37.75,30.222292,610700
2013-03-14,37.73,37.900002,37.52,37.830002,30.286346,452000
2013-03-15,37.880001,37.880001,37.439999,37.740002,30.214291,712400
2013-03-18,37.27,37.740002,37.27,37.57,30.078182,337900
2013-03-19,37.75,37.82,37.330002,37.580002,30.086193,398400
2013-03-20,37.639999,38.23,37.639999,38.119999,30.518511,339200
2013-03-21,37.880001,38.07,37.389999,37.580002,30.086193,304900
2013-03-22,37.639999,37.84,37.349998,37.43,29.966095,547900
2013-03-25,37.650002,37.66,37.110001,37.220001,29.797974,500300
2013-03-26,37.459999,37.459999,36.740002,36.990002,29.613852,509600
2013-03-27,36.790001,37.040001,36.439999,36.98,29.605827,576800
2013-03-28,37.049999,37.07,36.720001,36.939999,29.573805,353000
2013-04-01,37.009998,37.099998,36.130001,36.16,28.949347,423900
2013-04-02,36.130001,36.299999,35.75,36.119999,29.086248,822000
2013-04-03,36.150002,36.299999,35.68,35.779999,28.812458,409900
2013-04-04,35.82,36.049999,35.599998,36.029999,29.013769,314700
2013-04-05,35.48,36.029999,35.330002,35.98,28.973507,418800
2013-04-08,36.119999,36.52,35.959999,36.5,29.39225,241700
2013-04-09,36.509998,36.57,36.130001,36.220001,29.166773,248000
2013-04-10,36.32,36.77,36.32,36.68,29.537195,378900
2013-04-11,36.630001,37.369999,36.630001,37.02,29.810997,301100
2013-04-12,36.91,37.23,36.639999,36.810001,29.641882,283600
2013-04-15,36.709999,36.98,35.5,35.59,28.65946,522900
2013-04-16,35.880001,35.919998,35.450001,35.849998,28.86882,430600
2013-04-17,35.68,35.860001,35.009998,35.209999,28.353453,548000
2013-04-18,35.330002,35.330002,34.669998,34.849998,28.063557,494900
2013-04-19,34.790001,35.5,34.790001,35.439999,28.53866,404200
2013-04-22,35.52,36.700001,35.080002,35.900002,28.90909,788600
2013-04-23,33.68,34.700001,33.34,33.810001,27.226084,3413100
2013-04-24,33.68,34.060001,33.200001,33.900002,27.298552,1150200
2013-04-25,33.98,34.259998,33.639999,33.900002,27.298552,860000
2013-04-26,33.860001,34.240002,33.740002,34.09,27.451551,653600
2013-04-29,34.389999,34.869999,34.09,34.459999,27.7495,854700
2013-04-30,34.389999,35.009998,34.200001,34.93,28.127979,1040800
2013-05-01,34.759998,35.049999,34.509998,34.610001,27.870295,692900
2013-05-02,34.860001,35.029999,34.689999,34.84,28.0555,480000
2013-05-03,35.5,36.82,35.32,36.52,29.408348,1240300
2013-05-06,36.549999,36.84,36.25,36.369999,29.287561,325400
2013-05-07,36.490002,36.619999,36.189999,36.389999,29.303675,388500
2013-05-08,36.389999,36.529999,35.959999,36.200001,29.150667,445000
2013-05-09,36.23,36.330002,35.310001,35.799999,28.828564,414100
2013-05-10,35.439999,35.509998,34.849998,35.110001,28.272926,710700
2013-05-13,35.189999,35.220001,34.599998,34.860001,28.071613,577200
2013-05-14,34.93,35.41,34.669998,35.139999,28.297085,543300
2013-05-15,35.16,35.299999,34.93,35.18,28.329288,476300
2013-05-16,35.189999,35.360001,34.709999,34.939999,28.136028,534700
2013-05-17,35.080002,35.400002,34.759998,35.18,28.329288,420500
2013-05-20,35.200001,35.799999,35.029999,35.52,28.603085,398100
2013-05-21,35.48,35.66,35.299999,35.349998,28.466188,228400
2013-05-22,35.290001,36.07,35.16,35.369999,28.482298,686600
2013-05-23,35.169998,35.470001,34.549999,34.93,28.127979,417100
2013-05-24,34.66,35.139999,34.509998,35.110001,28.272926,822600
2013-05-28,35.470001,35.98,35.400002,35.919998,28.925188,575200
2013-05-29,35.630001,36.07,35.549999,36.0,28.989613,320500
2013-05-30,35.990002,36.82,35.959999,36.799999,29.633831,419000
2013-05-31,36.610001,37.23,36.330002,36.580002,29.456669,372400
2013-06-03,36.68,36.900002,36.200001,36.66,29.52109,599000
2013-06-04,36.759998,37.099998,36.619999,36.860001,29.682144,353300
2013-06-05,36.799999,37.169998,36.509998,37.0,29.794884,743100
2013-06-06,37.09,37.290001,36.639999,37.290001,30.028406,384000
2013-06-07,37.5,38.0,37.450001,37.759998,30.406881,255500
2013-06-10,37.75,38.27,37.700001,38.25,30.801453,323300
2013-06-11,37.970001,38.5,37.57,38.330002,30.865896,492600
2013-06-12,38.490002,38.779999,38.02,38.25,30.801453,458400
2013-06-13,38.150002,39.220001,38.049999,39.150002,31.526209,376200
2013-06-14,39.220001,39.610001,38.73,38.759998,31.212151,357000
2013-06-17,38.25,38.75,38.07,38.5,31.002792,559100
2013-06-18,38.599998,38.720001,38.279999,38.700001,31.16383,598800
2013-06-19,38.57,38.66,37.860001,38.009998,30.608204,453800
2013-06-20,37.75,38.27,36.950001,37.16,29.923723,624800
2013-06-21,37.240002,37.740002,36.66,37.369999,30.092829,823900
2013-06-24,37.110001,37.5,36.91,37.07,29.85125,529600
