Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,13.24,13.33,13.13,13.25,9.913688,171200
2012-02-07,13.24,13.47,13.11,13.39,10.018439,194600
2012-02-08,13.38,13.6,13.17,13.3,9.9511,181600
2012-02-09,13.31,13.39,13.19,13.25,9.913688,79400
2012-02-10,13.05,13.27,13.03,13.15,9.838867,136000
2012-02-13,13.29,13.49,13.13,13.24,9.906209,145000
2012-02-14,13.2,13.31,13.03,13.2,9.913719,110000
2012-02-15,13.26,13.35,13.08,13.14,9.868657,142700
2012-02-16,13.1,13.54,13.1,13.46,10.108988,163100
2012-02-17,13.56,13.6,13.37,13.39,10.056417,117900
2012-02-21,13.4,13.59,13.32,13.38,10.048907,129500
2012-02-22,13.35,13.56,13.31,13.35,10.026373,113400
2012-02-23,13.36,13.69,13.32,13.51,10.146539,185200
2012-02-24,13.46,13.58,13.27,13.27,9.966291,217300
2012-02-27,13.14,13.53,12.99,13.37,10.041394,396200
2012-02-28,13.39,13.46,13.16,13.31,9.996332,91300
2012-02-29,13.33,13.43,13.05,13.07,9.816083,307300
2012-03-01,13.21,13.31,12.7,12.7,9.538198,348700
2012-03-02,12.71,12.8,12.2,12.2,9.162677,165400
2012-03-05,12.2,12.35,12.05,12.3,9.237784,157000
2012-03-06,12.12,12.24,11.85,12.05,9.050024,171100
2012-03-07,12.07,12.14,11.92,12.13,9.110106,169400
2012-03-08,12.26,12.46,12.03,12.28,9.222761,146100
2012-03-09,12.25,12.7,12.19,12.53,9.41052,212800
2012-03-12,12.49,12.57,12.23,12.32,9.252804,89100
2012-03-13,12.45,12.77,12.35,12.77,9.590772,124800
2012-03-14,12.74,12.89,12.54,12.6,9.463096,85900
2012-03-15,12.6,12.79,12.49,12.72,9.553218,113100
2012-03-16,12.78,12.89,12.53,12.88,9.673388,637200
2012-03-19,12.86,13.1,12.75,12.95,9.725957,180400
2012-03-20,12.8,12.88,12.71,12.76,9.583259,111200
2012-03-21,12.85,12.98,12.81,12.88,9.673388,150600
2012-03-22,12.83,12.96,12.67,12.92,9.703426,110600
2012-03-23,12.91,13.01,12.72,12.99,9.756001,175400
2012-03-26,13.15,13.45,13.04,13.44,10.093967,196300
2012-03-27,13.42,13.61,13.42,13.5,10.139029,163300
2012-03-28,13.49,13.62,13.31,13.6,10.214132,185600
2012-03-29,13.75,14.21,13.75,13.94,10.469486,511700
2012-03-30,14.1,14.23,13.96,14.05,10.552102,509600
2012-04-02,14.02,14.33,13.91,14.33,10.762391,229300
2012-04-03,14.3,14.49,14.24,14.37,10.792431,160900
2012-04-04,14.19,14.19,13.75,13.8,10.364342,129800
2012-04-05,13.78,13.97,13.67,13.93,10.461978,211800
2012-04-09,13.61,13.61,13.35,13.42,10.078947,113300
2012-04-10,13.4,13.4,12.83,13.08,9.823592,232800
2012-04-11,13.25,13.33,12.94,13.26,9.958779,247700
2012-04-12,13.27,13.47,13.15,13.36,10.033884,281700
2012-04-13,13.28,13.3,12.87,12.88,9.673388,222900
2012-04-16,12.96,13.07,12.65,12.91,9.695919,305100
2012-04-17,13.06,13.36,13.06,13.18,9.898697,249400
2012-04-18,13.08,13.14,12.77,12.86,9.658365,201300
2012-04-19,12.9,13.02,12.62,12.89,9.680896,281500
2012-04-20,13.05,13.19,12.95,13.0,9.763512,215900
2012-04-23,12.75,12.91,12.66,12.83,9.635835,195300
2012-04-24,12.8,12.97,12.71,12.9,9.688406,192200
2012-04-25,13.06,13.32,12.98,13.23,9.93625,200700
2012-04-26,13.2,13.47,13.07,13.24,9.94376,276100
2012-04-27,13.27,13.39,13.11,13.38,10.048907,188000
2012-04-30,13.38,13.38,12.95,12.98,9.748489,227000
2012-05-01,12.97,13.17,12.79,12.79,9.605791,194000
2012-05-02,12.66,12.85,12.53,12.83,9.635835,118900
2012-05-03,12.77,12.84,12.56,12.68,9.523179,115700
2012-05-04,12.58,12.6,12.24,12.42,9.327908,173900
2012-05-07,12.34,12.56,12.3,12.51,9.395503,124000
2012-05-08,12.38,12.58,12.31,12.54,9.418032,197600
2012-05-09,12.35,12.97,12.19,12.51,9.395503,134000
2012-05-10,12.62,12.7,12.47,12.55,9.42554,186000
2012-05-11,12.42,12.64,12.33,12.41,9.320396,148100
2012-05-14,12.23,12.38,12.12,12.28,9.222761,153300
2012-05-15,12.24,12.41,12.13,12.27,9.215252,108000
2012-05-16,12.31,12.46,11.84,11.9,8.937366,231000
2012-05-17,11.91,12.05,11.68,11.7,8.78716,128500
2012-05-18,11.77,11.96,11.65,11.72,8.802181,253800
2012-05-21,11.8,12.07,11.7,11.95,8.97492,404000
2012-05-22,11.9,12.04,11.74,11.92,8.990005,201100
2012-05-23,11.8,12.14,11.67,12.07,9.103132,107000
2012-05-24,12.09,12.09,11.84,12.03,9.072964,93200
2012-05-25,11.99,12.12,11.9,12.08,9.110677,223700
2012-05-29,12.15,12.33,12.04,12.21,9.208719,97600
2012-05-30,12.08,12.13,11.95,11.99,9.042798,100800
2012-05-31,12.04,12.07,11.83,12.0,9.050341,207500
2012-06-01,11.72,11.88,11.46,11.48,8.658154,246200
2012-06-04,11.52,13.2,11.52,11.65,8.78637,245500
2012-06-05,11.55,11.9,11.36,11.79,8.891956,125500
2012-06-06,11.88,12.06,11.77,11.85,8.93721,188300
2012-06-07,12.0,12.03,11.69,11.72,8.839166,247100
2012-06-08,11.65,11.86,11.53,11.7,8.824078,328700
2012-06-11,11.88,11.94,11.54,11.57,8.726036,324200
2012-06-12,11.69,11.74,11.55,11.71,8.831623,190400
2012-06-13,11.69,11.73,11.58,11.67,8.801455,253100
2012-06-14,11.72,11.8,11.62,11.73,8.846706,162600
2012-06-15,11.72,11.86,11.68,11.73,8.846706,862400
2012-06-18,11.67,11.85,11.67,11.77,8.876874,190600
2012-06-19,11.85,12.07,11.85,12.03,9.072964,275400
2012-06-20,12.06,12.21,12.0,12.05,9.088049,253600
2012-06-21,12.07,12.13,11.83,11.87,8.952294,191300
2012-06-22,11.97,12.01,11.88,12.0,9.050341,557400
2012-06-25,11.73,11.9,11.59,11.84,8.929667,162100
2012-06-26,11.86,11.9,11.63,11.65,8.78637,224200
2012-06-27,11.65,12.01,11.62,11.99,9.042798,112700
