Date,Open,High,Low,Close,Adj Close,Volume
2012-03-28,17.0,17.719999,16.18,16.450001,15.990973,2354400
2012-03-29,16.35,16.9,16.35,16.77,16.302046,100400
2012-03-30,16.85,17.23,16.65,16.799999,16.331209,110900
2012-04-02,16.799999,17.940001,16.790001,17.209999,16.729769,72000
2012-04-03,17.41,17.67,16.709999,16.85,16.379812,22900
2012-04-04,16.65,16.65,16.35,16.41,15.952091,96400
2012-04-05,16.190001,16.51,16.01,16.049999,15.602136,224400
2012-04-09,16.25,16.25,15.5,15.75,15.310508,56500
2012-04-10,15.82,15.87,15.17,15.45,15.01888,29200
2012-04-11,15.63,15.8,15.52,15.68,15.242461,15400
2012-04-12,15.58,16.299999,15.53,15.9,15.456321,11300
2012-04-13,15.9,16.200001,15.83,16.01,15.563253,31300
2012-04-16,16.040001,16.07,15.53,15.78,15.33967,71300
2012-04-17,15.83,15.83,15.6,15.61,15.174414,11200
2012-04-18,15.67,15.86,15.25,15.47,15.038321,101000
2012-04-19,15.6,16.15,15.25,15.46,15.0286,112800
2012-04-20,15.35,16.370001,15.0,15.77,15.32995,119500
2012-04-23,15.59,16.09,15.21,16.0,15.553532,40000
2012-04-24,16.040001,16.129999,15.79,15.8,15.359113,5200
2012-04-25,16.0,16.1,15.56,15.9,15.456321,25600
2012-04-26,16.299999,16.299999,15.68,15.82,15.378554,38200
2012-04-27,15.99,16.74,15.73,16.35,15.893765,42000
2012-04-30,16.370001,17.23,15.92,16.91,16.438139,22800
2012-05-01,16.780001,17.620001,16.41,17.049999,16.574232,66000
2012-05-02,16.129999,17.48,16.129999,17.049999,16.574232,73000
2012-05-03,17.18,17.52,16.469999,16.809999,16.340927,38000
2012-05-04,16.459999,16.98,16.09,16.57,16.107626,15300
2012-05-07,16.68,17.01,16.299999,16.549999,16.088184,21600
2012-05-08,16.610001,16.610001,16.35,16.42,15.96181,13100
2012-05-09,15.45,16.5,15.45,16.33,15.874322,10300
2012-05-10,16.309999,16.389999,16.15,16.35,15.893765,15000
2012-05-11,16.190001,16.25,15.92,16.23,15.777114,18600
2012-05-14,16.15,16.26,15.44,15.9,15.456321,65000
2012-05-15,16.0,16.190001,15.8,16.049999,15.602136,27600
2012-05-16,15.99,16.049999,15.4,15.65,15.213297,80000
2012-05-17,15.58,15.59,14.46,14.73,14.318969,52700
2012-05-18,15.0,15.0,14.21,14.46,14.056504,30000
2012-05-21,14.42,15.02,14.27,14.97,14.552273,5900
2012-05-22,14.94,15.27,14.47,14.47,14.066225,15600
2012-05-23,14.47,14.82,14.44,14.71,14.299527,11700
2012-05-24,14.76,14.76,14.5,14.76,14.348133,12700
2012-05-25,14.72,14.9,14.5,14.9,14.484224,17800
2012-05-29,14.87,15.01,14.5,14.62,14.21204,57100
2012-05-30,14.51,14.67,14.03,14.26,13.862085,22800
2012-05-31,14.26,14.75,14.18,14.75,14.338412,14800
2012-06-01,14.55,14.85,13.94,14.5,14.095387,43100
2012-06-04,14.49,14.49,14.04,14.2,13.80376,24700
2012-06-05,14.16,14.16,13.81,14.03,13.638502,4800
2012-06-06,14.05,14.05,13.16,13.92,13.531572,17200
2012-06-07,14.1,14.1,13.05,13.66,13.278828,14600
2012-06-08,13.49,13.84,12.84,13.67,13.288548,38700
2012-06-11,13.93,13.93,12.96,13.06,12.695571,25200
2012-06-12,13.24,13.92,13.06,13.58,13.201059,35800
2012-06-13,13.54,13.69,13.19,13.5,13.123292,21500
2012-06-14,13.5,14.4,13.5,13.71,13.327433,36700
2012-06-15,13.69,14.2,13.67,13.67,13.288548,36700
2012-06-18,13.71,14.24,13.56,13.75,13.366317,18300
2012-06-19,13.9,14.39,13.7,14.29,13.891247,34300
