Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.0,12.0,11.94,11.96,8.221574,373300
2012-02-07,11.92,11.99,11.91,11.97,8.228448,239600
2012-02-08,11.99,12.05,11.95,11.99,8.242198,163800
2012-02-09,12.0,12.0,11.95,11.96,8.221574,351600
2012-02-10,11.93,12.04,11.9,12.02,8.26282,189500
2012-02-13,12.06,12.1,12.01,12.1,8.317814,161500
2012-02-14,12.0,12.02,11.91,11.97,8.228448,258600
2012-02-15,12.04,12.09,11.92,11.96,8.221574,362300
2012-02-16,11.99,12.0,11.95,12.0,8.249071,184500
2012-02-17,12.0,12.0,11.92,12.0,8.249071,315100
2012-02-21,12.0,12.09,11.95,11.98,8.235324,357100
2012-02-22,11.97,12.0,11.89,11.89,8.173456,353700
2012-02-23,12.05,12.05,11.77,11.79,8.104714,220300
2012-02-24,11.8,11.9,11.71,11.87,8.159707,288500
2012-02-27,11.73,11.75,11.61,11.72,8.138874,211600
2012-02-28,11.73,11.78,11.65,11.67,8.104152,324100
2012-02-29,11.64,11.75,11.63,11.65,8.090262,565300
2012-03-01,11.66,11.76,11.53,11.54,8.013872,235400
2012-03-02,11.57,11.74,11.55,11.69,8.118039,579600
2012-03-05,11.8,11.87,11.74,11.78,8.180538,445400
2012-03-06,11.8,11.84,11.74,11.82,8.208317,291500
2012-03-07,11.85,11.92,11.75,11.9,8.263872,400600
2012-03-08,11.94,11.97,11.82,11.87,8.243039,271000
2012-03-09,11.86,11.95,11.81,11.94,8.29165,325300
2012-03-12,11.99,12.01,11.94,11.98,8.319429,242700
2012-03-13,12.05,12.05,11.94,12.0,8.333318,370600
2012-03-14,12.0,12.01,11.9,11.92,8.277766,182200
2012-03-15,11.97,12.17,11.87,12.03,8.354151,538600
2012-03-16,12.04,12.18,12.0,12.09,8.395817,732200
2012-03-19,12.1,12.1,12.04,12.06,8.374984,357300
2012-03-20,11.99,12.06,11.98,12.01,8.340263,312200
2012-03-21,12.06,12.09,11.95,12.01,8.340263,224100
2012-03-22,11.97,12.05,11.92,12.02,8.347207,182000
2012-03-23,12.0,12.08,11.97,12.08,8.388876,149600
2012-03-26,12.1,12.12,11.99,12.01,8.340263,254500
2012-03-27,12.04,12.07,12.01,12.03,8.354151,180100
2012-03-28,12.04,12.05,11.99,12.0,8.333318,174100
2012-03-29,12.06,12.15,11.95,12.04,8.361094,304300
2012-03-30,12.07,12.1,12.0,12.04,8.361094,311900
2012-04-02,12.1,12.1,12.02,12.06,8.374984,409800
2012-04-03,12.06,12.1,11.98,12.0,8.333318,435800
2012-04-04,11.97,12.06,11.97,11.99,8.326375,238100
2012-04-05,12.01,12.06,11.97,12.05,8.368041,235500
2012-04-09,12.01,12.04,11.99,12.0,8.333318,296300
2012-04-10,12.01,12.05,11.87,11.88,8.249984,751600
2012-04-11,11.94,12.04,11.89,12.0,8.333318,551900
2012-04-12,11.95,12.05,11.95,12.0,8.333318,411000
2012-04-13,12.01,12.05,11.93,12.02,8.347207,177000
2012-04-16,12.05,12.05,12.0,12.01,8.340263,107900
2012-04-17,12.01,12.14,12.0,12.11,8.409706,378000
2012-04-18,12.07,12.11,12.04,12.06,8.374984,240000
2012-04-19,12.07,12.07,11.82,11.85,8.229151,295200
2012-04-20,11.96,12.05,11.86,12.01,8.340263,187200
2012-04-23,11.93,12.02,11.81,12.01,8.340263,374500
2012-04-24,11.99,12.07,11.99,12.06,8.374984,136200
2012-04-25,12.1,12.14,12.07,12.11,8.409706,258700
2012-04-26,12.07,12.15,12.02,12.14,8.430539,219500
2012-04-27,12.12,12.21,12.07,12.2,8.472208,194000
2012-04-30,12.2,12.2,12.1,12.15,8.437484,129800
2012-05-01,12.13,12.25,12.1,12.11,8.409706,329700
2012-05-02,12.12,12.41,12.1,12.39,8.604152,588800
2012-05-03,12.47,12.47,12.23,12.38,8.597209,337500
2012-05-04,12.4,12.52,12.35,12.5,8.680542,484100
2012-05-07,12.52,12.57,12.45,12.53,8.701372,320600
2012-05-08,12.49,12.62,12.46,12.6,8.749986,386800
2012-05-09,12.54,12.65,12.52,12.55,8.715261,351800
2012-05-10,12.57,12.8,12.3,12.36,8.58332,243000
2012-05-11,12.32,12.51,12.31,12.45,8.64582,274900
2012-05-14,12.28,12.44,12.22,12.22,8.575642,257000
2012-05-15,12.21,12.3,12.2,12.25,8.596693,243000
2012-05-16,12.25,12.4,12.19,12.25,8.596693,345900
2012-05-17,12.25,12.27,11.9,11.9,8.351074,332700
2012-05-18,11.9,12.09,11.89,12.03,8.442303,562000
2012-05-21,12.03,12.04,12.0,12.02,8.435286,226300
2012-05-22,12.0,12.06,11.95,12.03,8.442303,257900
2012-05-23,11.97,12.09,11.93,12.05,8.456339,286100
2012-05-24,12.05,12.12,11.95,12.08,8.477392,156900
2012-05-25,12.06,12.07,12.0,12.06,8.463358,103600
2012-05-29,12.07,12.16,12.02,12.12,8.505463,201200
2012-05-30,12.11,12.15,11.95,12.0,8.421251,140900
2012-05-31,12.01,12.04,11.93,12.02,8.435286,298200
2012-06-01,11.96,12.06,11.92,12.04,8.44932,271100
2012-06-04,12.01,12.09,11.91,12.04,8.44932,399900
2012-06-05,12.0,12.13,11.99,12.12,8.505463,218500
2012-06-06,12.14,12.2,12.06,12.15,8.526516,259200
2012-06-07,12.2,12.25,12.04,12.05,8.456339,180900
2012-06-08,12.12,12.18,12.05,12.18,8.547568,212500
2012-06-11,12.2,12.3,11.96,11.97,8.400195,265200
2012-06-12,11.97,12.07,11.95,12.0,8.421251,175500
2012-06-13,12.01,12.14,11.92,11.96,8.393178,323900
2012-06-14,11.98,12.19,11.97,12.18,8.547568,189900
2012-06-15,12.14,12.24,12.09,12.2,8.561608,318800
2012-06-18,12.13,12.32,12.13,12.15,8.526516,203200
2012-06-19,12.13,12.24,12.12,12.18,8.547568,218200
2012-06-20,12.13,12.21,12.1,12.13,8.512483,215900
2012-06-21,12.09,12.13,11.95,11.97,8.400195,306300
2012-06-22,12.02,12.05,11.84,11.88,8.337038,651600
2012-06-25,11.85,11.98,11.82,11.93,8.372128,307900
2012-06-26,11.91,11.94,11.8,11.87,8.330019,596700
2012-06-27,11.9,12.01,11.83,12.01,8.428269,733400
2012-06-28,11.85,11.97,11.85,11.95,8.386163,205500
2012-06-29,12.05,12.11,12.0,12.06,8.463358,437800
2012-07-02,12.01,12.22,12.01,12.2,8.561608,664600
2012-07-03,12.22,12.26,12.21,12.25,8.596693,135600
2012-07-05,12.24,12.29,12.12,12.15,8.526516,143400
2012-07-06,12.05,12.14,12.05,12.12,8.505463,196700
2012-07-09,12.09,12.15,12.05,12.14,8.5195,291300
2012-07-10,12.15,12.24,12.11,12.23,8.582657,351900
2012-07-11,12.21,12.25,12.17,12.18,8.547568,115700
2012-07-12,12.21,12.26,12.12,12.22,8.575642,130400
2012-07-13,12.26,12.36,12.22,12.33,8.652837,352200
2012-07-16,12.36,12.4,12.3,12.37,8.680906,232000
2012-07-17,12.35,12.39,12.23,12.37,8.680906,191600
2012-07-18,12.32,12.46,12.27,12.43,8.723013,222400
2012-07-19,12.35,12.43,12.3,12.38,8.687924,238600
2012-07-20,12.35,12.44,12.18,12.28,8.617747,182100
2012-07-23,12.15,12.24,12.15,12.2,8.561608,198500
2012-07-24,12.21,12.22,12.12,12.12,8.505463,151900
2012-07-25,12.18,12.18,12.06,12.1,8.491429,124100
2012-07-26,12.17,12.22,12.06,12.1,8.491429,174500
2012-07-27,12.1,12.26,12.1,12.25,8.596693,183200
2012-07-30,12.26,12.39,12.18,12.37,8.680906,160800
2012-07-31,12.4,12.4,12.16,12.19,8.554586,147900
2012-08-01,12.24,12.33,12.08,12.11,8.498445,232800
2012-08-02,12.14,12.41,12.14,12.37,8.680906,244300
2012-08-03,12.43,12.44,12.34,12.35,8.666872,184600
2012-08-06,12.3,12.4,12.3,12.4,8.701961,168600
2012-08-07,12.41,12.45,12.34,12.36,8.673888,122700
2012-08-08,12.32,12.4,12.27,12.37,8.680906,332000
2012-08-09,12.4,12.42,12.33,12.37,8.680906,229500
