Date,Open,High,Low,Close,Adj Close,Volume
2021-04-08,15.0,15.0,15.0,15.0,15.0,100
2021-04-09,15.3,17.18,13.26,13.89,13.89,2261700
2021-04-12,13.0,13.34,12.51,12.75,12.75,314800
2021-04-13,12.89,12.89,11.63,12.23,12.23,154100
2021-04-14,12.39,12.85,11.79,12.32,12.32,127600
2021-04-15,12.5,12.86,12.5,12.69,12.69,28500
2021-04-16,13.04,13.23,12.72,13.0,13.0,43900
2021-04-19,13.0,13.35,12.72,12.72,12.72,34900
2021-04-20,12.89,12.917,12.718,12.87,12.87,22700
2021-04-21,12.88,12.908,12.75,12.8,12.8,8600
2021-04-22,12.77,13.456,12.53,13.2,13.2,143400
2021-04-23,13.52,13.69,12.905,13.2,13.2,84100
2021-04-26,13.03,13.69,12.84,13.39,13.39,116900
2021-04-27,13.63,13.68,13.03,13.46,13.46,131200
2021-04-28,13.6,13.73,13.38,13.38,13.38,93400
2021-04-29,13.27,13.88,13.089,13.78,13.78,126400
2021-04-30,13.8,14.64,13.5,14.4,14.4,137200
2021-05-03,14.69,14.907,14.3,14.5,14.5,79700
2021-05-04,14.47,14.95,13.86,14.65,14.65,131300
2021-05-05,14.75,14.83,14.35,14.75,14.75,95200
2021-05-06,14.85,14.885,14.53,14.84,14.84,69700
2021-05-07,14.9,14.95,14.49,14.93,14.93,98300
2021-05-10,14.95,14.95,13.41,13.41,13.41,47000
2021-05-11,13.16,13.75,12.47,12.47,12.47,24400
2021-05-12,12.53,12.72,10.96,11.15,11.15,45700
2021-05-13,11.03,11.03,7.87,8.01,8.01,105800
2021-05-14,8.5,8.938,7.63,7.78,7.78,146900
2021-05-17,7.78,7.9,7.7,7.9,7.9,64000
2021-05-18,8.0,8.47,7.96,8.36,8.36,85700
2021-05-19,8.27,8.84,8.02,8.83,8.83,39000
2021-05-20,8.82,9.64,8.82,9.39,9.39,52100
2021-05-21,9.4,9.75,9.314,9.49,9.49,72300
2021-05-24,9.58,9.58,9.21,9.21,9.21,12100
2021-05-25,9.14,9.64,9.01,9.09,9.09,26900
2021-05-26,9.15,9.48,9.105,9.41,9.41,56100
2021-05-27,9.36,9.765,9.095,9.66,9.66,14400
2021-05-28,9.56,10.26,8.8,10.05,10.05,29100
2021-06-01,10.44,11.16,10.05,10.78,10.78,63500
2021-06-02,10.65,10.96,10.61,10.69,10.69,30900
2021-06-03,10.61,10.61,9.03,9.23,9.23,92600
2021-06-04,9.57,9.72,9.2,9.7,9.7,52300
2021-06-07,9.84,10.429,9.65,9.83,9.83,42800
2021-06-08,9.95,10.239,9.435,9.63,9.63,56000
2021-06-09,9.84,10.14,9.58,9.73,9.73,43900
2021-06-10,9.74,12.14,9.74,10.71,10.71,205100
2021-06-11,10.63,12.14,10.63,12.0,12.0,62700
2021-06-14,12.26,12.78,11.59,11.71,11.71,86000
2021-06-15,11.61,11.71,9.87,10.73,10.73,94200
2021-06-16,10.61,10.63,9.99,10.06,10.06,84100
2021-06-17,10.04,10.639,10.0,10.44,10.44,59500
2021-06-18,10.5,10.71,8.63,8.63,8.63,270100
2021-06-21,9.5,9.5,8.55,8.68,8.68,175700
2021-06-22,8.56,9.35,8.5,9.14,9.14,80000
2021-06-23,9.86,9.86,9.19,9.59,9.59,82600
2021-06-24,9.78,10.39,9.45,9.64,9.64,32600
2021-06-25,10.17,10.55,9.49,9.71,9.71,741300
2021-06-28,9.53,9.8,9.53,9.6,9.6,20400
2021-06-29,9.74,9.77,9.2,9.35,9.35,61100
2021-06-30,9.41,9.76,9.11,9.33,9.33,29200
2021-07-01,9.083,9.75,9.083,9.45,9.45,25600
2021-07-02,9.502,9.64,9.25,9.29,9.29,47800
2021-07-06,9.5,9.539,9.2,9.32,9.32,50800
2021-07-07,9.22,9.46,9.11,9.15,9.15,19300
2021-07-08,9.11,9.19,8.43,8.73,8.73,40300
2021-07-09,8.97,8.97,8.43,8.51,8.51,26300
2021-07-12,8.62,8.96,8.62,8.96,8.96,14600
2021-07-13,8.91,9.23,8.82,9.01,9.01,18900
2021-07-14,9.21,9.21,8.62,8.65,8.65,13900
2021-07-15,8.43,8.45,8.25,8.36,8.36,34600
2021-07-16,8.69,9.32,8.69,8.85,8.85,130500
2021-07-19,8.62,8.625,8.37,8.38,8.38,25000
2021-07-20,8.33,9.0,8.33,8.88,8.88,27600
2021-07-21,8.88,9.0,8.457,8.88,8.88,12300
2021-07-22,8.89,8.925,8.471,8.9,8.9,6900
2021-07-23,8.94,9.12,8.483,9.12,9.12,13900
2021-07-26,9.15,9.331,8.75,8.87,8.87,14100
2021-07-27,8.91,8.97,8.5,8.82,8.82,27900
2021-07-28,8.83,8.83,8.48,8.67,8.67,9600
2021-07-29,8.73,8.73,8.296,8.46,8.46,8700
2021-07-30,8.26,8.62,8.15,8.19,8.19,18400
2021-08-02,8.37,8.66,8.09,8.56,8.56,8600
2021-08-03,8.56,8.56,8.04,8.29,8.29,6800
2021-08-04,8.37,8.37,8.05,8.14,8.14,9700
2021-08-05,8.26,8.289,8.0,8.1,8.1,8100
2021-08-06,8.21,8.31,8.02,8.22,8.22,13100
2021-08-09,8.33,8.37,8.0,8.28,8.28,38900
2021-08-10,8.36,8.49,8.1,8.49,8.49,13000
2021-08-11,8.49,8.5,8.18,8.5,8.5,10300
2021-08-12,8.54,8.54,8.23,8.5,8.5,17700
2021-08-13,8.6,8.615,8.12,8.31,8.31,19600
2021-08-16,8.26,8.545,8.1,8.22,8.22,22000
2021-08-17,8.23,8.425,8.12,8.25,8.25,11600
2021-08-18,8.14,8.4,8.0,8.11,8.11,20900
2021-08-19,8.0,8.235,7.75,7.87,7.87,15400
2021-08-20,7.74,7.84,6.6,7.84,7.84,53200
2021-08-23,7.54,7.84,7.54,7.58,7.58,17100
2021-08-24,7.6,7.7,7.11,7.39,7.39,36500
2021-08-25,8.0,8.0,6.72,7.04,7.04,43200
2021-08-26,7.04,7.527,6.1,6.28,6.28,62500
2021-08-27,6.9,8.88,6.9,7.9,7.9,500400
2021-08-30,7.89,10.69,7.79,9.46,9.46,699500
2021-08-31,9.74,11.4,9.63,11.07,11.07,571600
2021-09-01,10.68,10.895,8.09,9.71,9.71,267600
2021-09-02,9.57,9.59,8.88,9.08,9.08,74400
2021-09-03,9.03,9.877,8.27,8.41,8.41,54700
2021-09-07,8.39,9.395,8.3,8.88,8.88,59500
2021-09-08,8.9,10.719,8.89,10.19,10.19,497300
2021-09-09,10.18,10.45,9.137,9.61,9.61,101400
2021-09-10,9.62,9.75,8.6,8.66,8.66,55700
2021-09-13,8.63,9.49,8.63,9.22,9.22,54300
2021-09-14,9.18,9.18,8.395,8.49,8.49,35200
2021-09-15,8.42,9.05,7.51,7.65,7.65,60700
2021-09-16,7.64,8.331,7.56,7.76,7.76,20100
2021-09-17,7.7,8.03,7.528,7.98,7.98,67200
2021-09-20,7.6,8.5,7.5,8.1,8.1,46900
2021-09-21,8.05,8.29,7.706,7.8,7.8,18300
2021-09-22,7.78,8.3,7.61,8.04,8.04,16200
2021-09-23,8.315,8.315,7.8,8.11,8.11,14900
2021-09-24,8.0,8.99,8.0,8.64,8.64,72000
2021-09-27,8.64,8.822,8.0,8.17,8.17,41700
2021-09-28,8.02,8.26,7.776,7.93,7.93,45900
2021-09-29,7.85,8.25,7.06,7.41,7.41,34500
2021-09-30,7.49,7.52,7.29,7.45,7.45,22300
2021-10-01,7.53,7.77,6.86,7.21,7.21,64100
2021-10-04,7.0,7.44,6.585,6.8,6.8,30500
2021-10-05,6.94,7.11,6.11,6.4,6.4,25000
2021-10-06,6.45,6.8,6.21,6.32,6.32,19200
2021-10-07,6.489,7.18,6.36,6.92,6.92,18100
2021-10-08,7.02,7.155,6.27,6.55,6.55,10600
2021-10-11,6.398,6.715,6.39,6.44,6.44,6200
2021-10-12,6.43,6.78,6.11,6.72,6.72,9900
2021-10-13,6.9,6.91,6.55,6.61,6.61,14200
2021-10-14,6.46,7.1,6.36,6.67,6.67,71300
2021-10-15,6.88,6.98,6.44,6.44,6.44,38400
2021-10-18,6.44,6.59,6.18,6.31,6.31,58200
2021-10-19,6.4,7.01,6.3,6.89,6.89,18800
2021-10-20,7.07,7.94,7.0,7.78,7.78,42400
2021-10-21,7.39,7.49,6.78,7.01,7.01,21000
2021-10-22,6.94,6.94,6.545,6.69,6.69,20400
2021-10-25,6.77,6.821,6.42,6.52,6.52,13700
2021-10-26,6.57,6.89,6.44,6.67,6.67,23300
2021-10-27,6.48,6.69,6.31,6.52,6.52,24700
2021-10-28,6.57,7.17,6.51,6.51,6.51,5900
2021-10-29,6.61,6.68,6.32,6.56,6.56,15800
2021-11-01,6.57,7.05,6.34,7.0,7.0,18700
2021-11-02,6.82,7.25,6.47,7.1,7.1,28000
2021-11-03,7.06,7.24,6.665,7.17,7.17,17800
2021-11-04,7.23,7.63,7.04,7.58,7.58,18000
2021-11-05,7.7,7.93,7.59,7.93,7.93,29400
2021-11-08,7.29,8.935,6.56,8.5,8.5,63100
2021-11-09,7.92,8.3,7.788,8.01,8.01,28000
2021-11-10,7.98,8.01,7.581,7.71,7.71,21600
2021-11-11,7.385,8.43,7.385,8.41,8.41,27100
2021-11-12,8.65,9.0,8.42,8.85,8.85,26900
2021-11-15,8.66,8.678,7.94,8.17,8.17,45300
2021-11-16,8.185,8.52,7.92,8.15,8.15,21100
2021-11-17,8.14,8.261,7.774,8.16,8.16,18100
2021-11-18,7.72,7.98,7.55,7.77,7.77,25300
2021-11-19,7.58,8.19,7.58,7.99,7.99,17600
2021-11-22,8.31,9.17,8.0,8.63,8.63,167900
2021-11-23,8.24,8.58,7.72,7.97,7.97,51200
2021-11-24,7.94,7.94,7.42,7.72,7.72,33800
2021-11-26,7.41,7.51,6.91,7.03,7.03,15500
2021-11-29,7.18,7.28,6.93,7.01,7.01,15200
2021-11-30,6.95,7.24,6.65,6.88,6.88,20000
2021-12-01,6.98,6.98,6.31,6.31,6.31,23900
2021-12-02,6.3,6.37,6.0,6.3,6.3,21800
2021-12-03,6.22,6.4,5.96,6.07,6.07,44400
2021-12-06,5.95,7.12,5.95,6.87,6.87,102400
2021-12-07,6.69,7.54,6.69,7.4,7.4,79600
2021-12-08,7.25,7.66,6.53,7.39,7.39,22900
2021-12-09,7.25,7.54,6.82,7.0,7.0,13600
2021-12-10,6.89,7.175,6.575,6.69,6.69,35300
2021-12-13,7.25,7.33,6.52,6.67,6.67,75700
2021-12-14,6.68,8.81,6.21,8.26,8.26,488600
2021-12-15,8.19,8.57,7.01,7.58,7.58,56100
2021-12-16,7.79,7.91,7.07,7.18,7.18,26500
2021-12-17,7.08,7.8,6.71,6.92,6.92,129900
2021-12-20,6.6,7.74,6.55,6.88,6.88,57000
2021-12-21,7.6,7.6,6.87,6.87,6.87,40300
2021-12-22,6.88,7.92,6.78,7.92,7.92,171300
2021-12-23,8.02,9.01,7.94,8.95,8.95,150300
2021-12-27,9.26,10.0,9.241,9.68,9.68,115600
2021-12-28,9.8,9.84,8.7,8.98,8.98,86400
2021-12-29,8.77,9.132,8.56,8.65,8.65,33100
2021-12-30,8.7,9.074,8.6,8.65,8.65,31600
2021-12-31,8.67,8.83,8.55,8.55,8.55,32700
2022-01-03,8.64,8.996,8.55,8.86,8.86,46800
2022-01-04,8.99,9.22,8.8,8.92,8.92,19200
2022-01-05,8.91,9.598,8.57,9.07,9.07,74400
2022-01-06,9.24,9.588,8.67,8.82,8.82,39700
2022-01-07,8.69,8.8,8.37,8.65,8.65,16700
2022-01-10,8.56,8.81,8.55,8.81,8.81,31700
2022-01-11,8.596,8.917,8.55,8.66,8.66,29400
2022-01-12,8.52,9.324,8.52,8.92,8.92,77400
2022-01-13,8.84,9.18,8.63,9.01,9.01,67400
2022-01-14,9.146,9.25,8.865,8.98,8.98,38600
2022-01-18,8.88,8.88,8.0,8.05,8.05,26800
2022-01-19,8.29,8.42,7.7,7.96,7.96,37200
2022-01-20,8.04,8.07,7.9,8.01,8.01,37400
2022-01-21,7.77,7.93,7.5,7.7,7.7,50200
2022-01-24,7.64,8.14,7.5,7.88,7.88,40100
2022-01-25,7.67,8.12,6.925,7.23,7.23,38300
2022-01-26,7.26,7.26,6.23,6.41,6.41,59200
2022-01-27,6.81,6.861,6.22,6.3,6.3,54700
2022-01-28,6.23,6.29,5.81,6.0,6.0,73000
2022-01-31,5.87,6.31,5.77,6.21,6.21,50100
2022-02-01,6.3,6.395,6.14,6.27,6.27,56051
