Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.913333,12.913333,12.913333,12.913333,12.296093,2100
2012-02-07,12.74,12.833333,12.74,12.793333,12.18183,12000
2012-02-08,12.913333,13.133333,12.833333,12.966667,12.346878,2250
2012-02-09,13.113333,13.333333,13.033333,13.253333,12.619843,15150
2012-02-10,13.193333,13.5,13.08,13.366667,12.72776,24750
2012-02-13,13.26,13.293333,13.186667,13.206667,12.575406,20850
2012-02-14,13.053333,13.073333,12.84,12.96,12.34053,16050
2012-02-15,13.133333,14.006667,12.333333,13.666667,13.013419,49950
2012-02-16,13.5,13.686667,13.32,13.68,13.026114,10500
2012-02-17,13.68,13.68,13.56,13.573333,12.924547,8250
2012-02-21,13.713333,13.713333,13.366667,13.533333,12.886459,10050
2012-02-22,13.406667,13.46,13.32,13.373333,12.734106,4800
2012-02-23,13.366667,13.453333,13.206667,13.453333,12.810284,1200
2012-02-24,13.44,13.466667,13.286667,13.466667,12.822979,1800
2012-02-27,13.426667,13.433333,13.406667,13.433333,12.791238,1200
2012-02-28,13.42,13.42,13.32,13.32,12.683324,1350
2012-02-29,13.433333,13.606667,13.333333,13.34,12.702367,41700
2012-03-01,13.38,13.4,13.32,13.333333,12.696021,9000
2012-03-02,13.42,13.42,12.726667,12.78,12.169134,9600
2012-03-05,12.78,12.78,12.766667,12.773333,12.162786,1200
2012-03-06,12.52,12.52,12.113333,12.146667,11.566072,16050
2012-03-07,12.233333,12.233333,12.233333,12.233333,11.648596,150
2012-03-08,12.34,12.573333,12.253333,12.573333,11.972345,10200
2012-03-09,12.686667,12.9,12.686667,12.84,12.226267,4500
2012-03-12,12.76,12.8,12.76,12.8,12.188178,1050
2012-03-13,12.853333,13.226667,12.733333,13.193333,12.562709,16650
2012-03-14,13.073333,13.073333,13.073333,13.073333,12.448447,300
2012-03-15,13.246667,13.36,12.993333,12.993333,12.372271,16800
2012-03-16,13.113333,13.113333,12.806667,12.893333,12.277049,2700
2012-03-19,13.213333,13.36,13.06,13.093333,12.467489,8100
2012-03-20,12.96,13.1,12.866667,12.926667,12.308789,4500
2012-03-21,12.813333,13.02,12.8,12.92,12.302441,13200
2012-03-22,12.906667,12.906667,12.373333,12.5,11.902517,3900
2012-03-23,12.526667,12.526667,11.886667,12.26,11.67399,149550
2012-03-26,12.46,12.72,12.16,12.426667,11.832689,133050
2012-03-27,12.326667,12.48,12.166667,12.306667,11.718426,46050
2012-03-28,12.393333,12.393333,12.0,12.066667,11.489896,19200
2012-03-29,11.973333,12.013333,11.553333,12.013333,11.439114,6750
2012-03-30,11.66,11.666667,11.52,11.52,10.96936,7950
