Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,6.87,7.07,6.8,7.07,6.036013,148300
2012-02-07,7.03,7.1,6.96,7.0,5.97625,97400
2012-02-08,7.05,7.38,7.04,7.3,6.232376,361600
2012-02-09,7.3,7.45,7.29,7.41,6.326287,328400
2012-02-10,7.38,7.4,7.19,7.23,6.172612,175600
2012-02-13,7.25,7.41,7.15,7.37,6.292137,128500
2012-02-14,7.35,7.62,7.31,7.56,6.45435,277500
2012-02-15,7.59,7.66,7.42,7.57,6.462888,237000
2012-02-16,7.52,7.57,7.43,7.5,6.403125,174300
2012-02-17,7.51,7.73,7.51,7.65,6.531188,203900
2012-02-21,7.64,7.7,7.6,7.6,6.4885,313700
2012-02-22,7.45,7.52,7.39,7.42,6.462371,39200
2012-02-23,7.35,7.39,7.22,7.28,6.34044,173500
2012-02-24,7.29,7.39,7.25,7.28,6.34044,99500
2012-02-27,7.29,7.34,7.23,7.24,6.305602,81900
2012-02-28,7.28,7.28,7.07,7.13,6.209799,175000
2012-02-29,7.18,7.2,7.06,7.16,6.235927,117800
2012-03-01,7.21,7.52,7.21,7.51,6.540756,220000
2012-03-02,7.55,7.55,7.3,7.32,6.375278,170500
2012-03-05,7.38,7.38,7.19,7.28,6.34044,80800
2012-03-06,7.22,7.22,7.07,7.15,6.227219,96600
2012-03-07,7.21,7.21,7.08,7.11,6.19238,69800
2012-03-08,7.2,7.27,7.16,7.27,6.331731,52200
2012-03-09,7.23,7.3,7.2,7.21,6.279475,62200
2012-03-12,7.19,7.2,7.1,7.15,6.227219,94100
2012-03-13,6.48,6.55,6.42,6.5,5.661107,4869800
2012-03-14,6.5,6.55,6.5,6.53,5.687235,753200
2012-03-15,6.55,6.69,6.5,6.69,5.826586,969800
2012-03-16,6.66,6.94,6.64,6.88,5.992064,910800
2012-03-19,6.87,6.88,6.75,6.8,5.922388,642500
2012-03-20,6.73,6.73,6.6,6.65,5.791748,231700
2012-03-21,6.64,6.8,6.6,6.74,5.870131,238800
2012-03-22,6.75,6.76,6.61,6.65,5.791748,220200
2012-03-23,6.62,6.65,6.5,6.62,5.765619,259000
2012-03-26,6.65,6.71,6.6,6.66,5.800457,109300
2012-03-27,6.64,6.69,6.63,6.65,5.791748,208900
2012-03-28,6.64,6.73,6.58,6.6,5.748201,215500
2012-03-29,6.6,6.67,6.52,6.64,5.783039,202800
2012-03-30,6.64,6.69,6.6,6.68,5.817876,168000
2012-04-02,6.7,6.72,6.64,6.7,5.835295,194800
2012-04-03,6.67,6.69,6.59,6.64,5.783039,295100
2012-04-04,6.57,6.59,6.5,6.52,5.678526,177400
2012-04-05,6.51,6.56,6.5,6.51,5.669817,140900
2012-04-09,6.5,6.51,6.35,6.37,5.547884,214400
2012-04-10,6.36,6.39,6.07,6.12,5.33015,431300
2012-04-11,6.18,6.3,6.18,6.26,5.452082,141200
2012-04-12,6.27,6.41,6.26,6.41,5.582723,141700
2012-04-13,6.39,6.39,6.22,6.28,5.4695,107100
2012-04-16,6.29,6.37,6.18,6.18,5.382406,111100
2012-04-17,6.2,6.37,6.2,6.33,5.513048,172400
2012-04-18,6.31,6.4,6.28,6.34,5.521757,66600
2012-04-19,6.34,6.45,6.24,6.38,5.556594,98700
2012-04-20,6.45,6.49,6.38,6.44,5.60885,129100
2012-04-23,6.37,6.37,6.22,6.37,5.547884,117200
2012-04-24,6.36,6.59,6.32,6.51,5.669817,194600
2012-04-25,6.55,6.65,6.5,6.6,5.748201,270500
2012-04-26,6.61,6.72,6.55,6.68,5.817876,217400
2012-04-27,6.74,6.75,6.56,6.68,5.817876,191400
2012-04-30,6.72,6.85,6.7,6.85,5.965936,289000
2012-05-01,6.87,7.0,6.86,6.94,6.044321,308800
2012-05-02,6.91,6.92,6.7,6.74,5.870131,170000
2012-05-03,6.84,6.84,6.58,6.63,5.77433,186000
2012-05-04,6.6,6.65,6.48,6.57,5.722074,153900
2012-05-07,6.53,6.53,6.45,6.45,5.61756,112000
2012-05-08,6.45,6.5,6.36,6.48,5.643689,180300
2012-05-09,6.66,6.83,6.51,6.74,5.870131,327700
2012-05-10,6.83,6.83,6.65,6.74,5.870131,162200
2012-05-11,6.7,6.7,6.6,6.61,5.756912,117000
2012-05-14,6.6,6.67,6.53,6.53,5.687235,114900
2012-05-15,6.56,6.64,6.55,6.6,5.748201,145000
2012-05-16,6.6,6.74,6.4,6.48,5.643689,168700
2012-05-17,6.5,6.59,6.44,6.54,5.695945,200300
2012-05-18,6.55,6.6,6.41,6.46,5.62627,276000
2012-05-21,6.3,6.49,6.28,6.44,5.742183,106400
2012-05-22,6.5,6.6,6.45,6.49,5.786766,160800
2012-05-23,6.48,6.48,6.25,6.46,5.760016,185000
2012-05-24,6.46,6.56,6.46,6.52,5.813514,197300
2012-05-25,6.54,6.7,6.5,6.62,5.902679,204300
2012-05-29,6.63,6.71,6.55,6.55,5.840265,157100
2012-05-30,6.53,6.55,6.38,6.39,5.697601,106700
2012-05-31,6.42,6.53,6.3,6.49,5.786766,159300
2012-06-01,6.44,6.47,6.34,6.43,5.733267,114300
2012-06-04,6.41,6.44,6.25,6.26,5.581687,176000
2012-06-05,6.27,6.36,6.25,6.26,5.581687,78000
2012-06-06,6.29,6.53,6.29,6.42,5.724351,175600
2012-06-07,6.51,6.58,6.37,6.4,5.706517,129900
2012-06-08,6.41,6.44,6.34,6.38,5.688684,54800
2012-06-11,6.41,6.49,6.16,6.18,5.510356,133400
2012-06-12,6.18,6.24,6.12,6.13,5.465774,90500
2012-06-13,6.12,6.19,6.02,6.06,5.403359,140800
2012-06-14,6.03,6.1,5.96,6.03,5.37661,222800
2012-06-15,6.05,6.19,6.0,6.19,5.519272,104900
2012-06-18,6.2,6.25,5.98,6.05,5.394443,148800
2012-06-19,6.07,6.25,6.05,6.21,5.537106,116600
2012-06-20,6.16,6.24,6.1,6.11,5.447941,79900
2012-06-21,6.11,6.16,5.98,6.12,5.456857,137300
2012-06-22,6.11,6.17,6.06,6.09,5.430109,62800
2012-06-25,6.12,6.16,5.98,6.07,5.412275,132800
2012-06-26,6.04,6.08,6.0,6.0,5.34986,57800
2012-06-27,6.02,6.06,5.99,6.05,5.394443,63600
2012-06-28,6.05,6.11,6.01,6.04,5.385525,46100
2012-06-29,6.15,6.17,6.0,6.17,5.50144,124700
2012-07-02,6.14,6.14,5.93,6.11,5.447941,103800
2012-07-03,6.07,6.22,6.06,6.22,5.546021,94700
2012-07-05,6.15,6.27,6.15,6.26,5.581687,99100
2012-07-06,6.22,6.32,6.15,6.28,5.59952,89600
2012-07-09,6.23,6.27,6.18,6.19,5.519272,55100
2012-07-10,6.19,6.3,6.19,6.26,5.581687,75100
2012-07-11,6.24,6.34,6.23,6.28,5.59952,87000
2012-07-12,6.27,6.35,6.27,6.32,5.635186,87500
2012-07-13,6.31,6.41,6.31,6.36,5.670852,57800
2012-07-16,6.35,6.43,6.3,6.35,5.661935,80600
2012-07-17,6.36,6.4,6.21,6.25,5.572772,96000
2012-07-18,6.25,6.37,6.23,6.23,5.554938,63900
2012-07-19,6.34,6.34,6.2,6.24,5.563854,64700
2012-07-20,6.22,6.24,6.12,6.12,5.456857,93200
2012-07-23,6.1,6.11,6.0,6.03,5.37661,110900
2012-07-24,6.03,6.08,6.0,6.02,5.367693,69100
2012-07-25,6.14,6.14,5.95,5.98,5.332027,147300
2012-07-26,6.05,6.09,5.9,5.97,5.323111,154400
2012-07-27,5.93,6.1,5.89,6.07,5.412275,126300
2012-07-30,6.09,6.1,6.02,6.04,5.385525,59500
2012-07-31,6.08,6.12,5.95,5.96,5.314195,79600
2012-08-01,5.98,6.12,5.98,6.04,5.385525,55800
2012-08-02,6.07,6.14,6.0,6.04,5.385525,96600
